,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180516.0,20.2,20.1,20.2,20.1,5320.0,,,,,,,
1,20180515.0,20.1,20.1,20.1,20.1,90.0,20.13333333333333,,,,,,
2,20180514.0,20.2,20.0,20.2,20.0,440.0,20.16666666666666,,,,,,
3,20180510.0,19.8,19.8,19.8,19.8,100.0,19.98333333333333,20.08,,,,,
4,20180509.0,20.0,20.1,20.1,20.0,230.0,19.991666666666667,20.053333333333327,,,,,
5,20180508.0,20.0,21.0,21.0,20.0,40.0,19.99583333333333,20.035555555555554,,,,,
6,20180507.0,20.0,20.0,20.0,20.0,30.0,19.99791666666667,20.023703703703706,,,,,
7,20180504.0,20.0,19.5,20.0,19.5,540.0,19.99895833333333,20.015802469135803,,,,,
8,20180503.0,20.8,20.3,21.6,20.3,150.0,20.399479166666662,20.277201646090532,20.12,,,,
9,20180502.0,21.8,21.5,21.8,21.5,1500.0,21.099739583333328,20.78480109739369,20.425454545454546,,,,
10,20180427.0,20.4,20.35,20.4,19.2,40.0,20.74986979166666,20.656534064929122,20.420826446280987,,,,
11,20180426.0,20.4,19.8,20.4,19.8,50.0,20.574934895833326,20.571022709952754,20.417039819684444,,,,
12,20180424.0,19.7,19.7,20.0,19.7,230.0,20.137467447916666,20.280681806635165,20.286668943378178,20.25,,,
13,20180423.0,19.7,20.6,20.6,19.7,30.0,19.91873372395833,20.087121204423443,20.180001862763966,20.176666666666662,,,
14,20180420.0,20.8,20.8,20.8,20.8,10.0,20.35936686197917,20.32474746961563,20.29272879680688,20.259777777777774,,,
15,20180419.0,21.0,20.45,21.0,20.45,200.0,20.679683430989584,20.549831646410418,20.421323561023808,20.358474074074078,,,
16,20180418.0,20.0,20.0,20.0,20.0,20.0,20.339841715494792,20.366554430940283,20.344719277201296,20.310677530864197,,,
17,20180417.0,20.45,20.0,20.45,18.6,340.0,20.394920857747394,20.39436962062685,20.363861226801063,20.329253860082304,,,
18,20180413.0,20.0,20.1,20.1,20.0,150.0,20.197460428873697,20.262913080417903,20.29770464010996,20.28535334540466,20.2725,,
19,20180412.0,20.1,20.0,20.1,20.0,1100.0,20.14873021443685,20.208608720278598,20.26175834190815,20.26063956601737,20.25607142857143,,
20,20180410.0,20.2,20.2,20.2,20.2,750.0,20.174365107218424,20.2057391468524,20.250529552470304,20.25255429054839,20.25073129251701,,
21,20180409.0,20.4,20.4,20.4,20.4,1890.0,20.287182553609213,20.270492764568267,20.277705997475707,20.272213718475278,20.264947359896347,,
22,20180406.0,20.4,20.4,20.4,20.4,2700.0,20.343591276804606,20.31366184304551,20.299941270661936,20.28925188934524,20.27780951609669,,
23,20180405.0,20.4,21.4,21.4,20.4,310.0,20.371795638402304,20.34244122869701,20.318133766905223,20.304018304099202,20.289446705039865,,
24,20180404.0,20.9,21.5,21.5,20.5,610.0,20.63589781920115,20.52829415246467,20.42392762746791,20.38348253021931,20.34759463789321,,
25,20180403.0,20.9,20.9,20.9,20.9,10.0,20.767948909600577,20.652196101643117,20.510486240655563,20.452351526190068,20.40020467237957,,
26,20180402.0,20.5,20.9,21.0,20.1,480.0,20.63397445480029,20.60146406776208,20.508579651445466,20.458704656031394,20.4097089892958,,
27,20180328.0,20.5,20.5,20.5,20.5,140.0,20.566987227400144,20.567642711841383,20.507019714819016,20.464210701893876,20.418308133172392,,
28,20180326.0,20.5,20.5,20.5,20.5,450.0,20.533493613700077,20.545095141227588,20.50574340303374,20.468982608308025,20.426088310965497,,
29,20180323.0,20.5,20.5,20.5,20.5,2000.0,20.51674680685004,20.530063427485057,20.504699147936698,20.47311826053362,20.433127519444973,,
30,20180322.0,20.5,20.5,20.5,20.5,2200.0,20.50837340342502,20.52004228499004,20.503844757402753,20.476702492462472,20.43949632711688,,
31,20180321.0,21.0,21.0,21.0,21.0,60.0,20.75418670171251,20.68002818999336,20.594054801511344,20.546475493467476,20.492877629296228,,
32,20180319.0,21.0,21.0,21.0,20.4,530.0,20.877093350856256,20.786685459995567,20.66786301941837,20.60694542767181,20.541174997934682,,
33,20180316.0,20.8,21.0,21.0,20.8,610.0,20.838546675428127,20.79112363999705,20.69188792497867,20.63268603731557,20.565824998131376,,
34,20180315.0,21.0,21.2,21.2,21.0,3500.0,20.919273337714063,20.860749093331364,20.747908302255276,20.68166123234016,20.607174998309343,,
35,20180314.0,21.2,21.2,21.2,21.0,6430.0,21.05963666885703,20.973832728887572,20.83010679275432,20.750773068028135,20.663634522279878,,
36,20180313.0,21.2,21.4,21.4,21.0,70.0,21.129818334428514,21.049221819258385,20.897360103162622,20.810669992291054,20.714716948729414,,
37,20180312.0,20.0,21.2,21.3,20.0,8820.0,20.564909167214257,20.69948121283892,20.734203720769415,20.702580659985575,20.646648667898045,,
38,20180309.0,21.2,21.2,22.0,21.2,3230.0,20.882454583607128,20.86632080855928,20.818893953356795,20.76890323865417,20.699348794764894,,
39,20180308.0,21.2,20.7,21.9,20.7,5910.0,21.041227291803565,20.977547205706188,20.888185961837376,20.826382806833614,20.747029861930145,,
40,20180307.0,20.5,20.6,20.6,20.5,1310.0,20.770613645901786,20.818364803804126,20.817606696048767,20.7828650992558,20.72350320841299,,
41,20180306.0,20.7,20.5,20.7,20.5,1290.0,20.735306822950886,20.77890986920275,20.796223660403538,20.771816419355023,20.721264807611757,,
42,20180305.0,20.6,19.8,20.7,19.7,1800.0,20.66765341147544,20.719273246135167,20.760546631239258,20.74890756344102,20.709715778315395,,
43,20180302.0,20.1,20.5,20.5,20.1,90.0,20.383826705737725,20.512848830756774,20.64044724374121,20.662386554982213,20.651647608952025,,
44,20180301.0,20.1,20.1,20.1,20.1,330.0,20.241913352868863,20.37523255383785,20.54218410851553,20.587401680984588,20.599109741432784,,
45,20180228.0,20.1,20.0,20.1,20.0,40.0,20.170956676434432,20.283488369225235,20.46178699787635,20.522414790186644,20.55157548034395,,
46,20180227.0,20.1,20.1,20.1,20.1,10.0,20.135478338217215,20.22232557948349,20.39600754371701,20.46609281816176,20.508568291739763,,
47,20180226.0,20.1,20.1,21.5,20.0,860.0,20.117739169108606,20.18155038632233,20.34218799031392,20.417280442406852,20.46965702585978,,
48,20180223.0,21.5,21.5,21.5,21.2,290.0,20.808869584554305,20.621033590881552,20.552699264802296,20.56164305008594,20.56778492815885,20.473,
49,20180222.0,21.4,21.6,21.6,21.2,670.0,21.104434792277154,20.880689060587706,20.706753943929154,20.673423976741148,20.64704350642944,20.509352941176477,
50,20180221.0,21.4,20.9,22.3,19.9,970.0,21.252217396138576,21.053792707058463,20.832798681396582,20.77030077984233,20.71875364867425,20.544280276816608,
51,20180213.0,20.85,20.2,20.85,19.7,60.0,21.051108698069285,20.985861804705646,20.835926193869927,20.780927342530017,20.731253301181468,20.556269285568902,
