,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,6.25,6.28,6.28,6.1,5250.0,,,,,,,
1,20180518.0,6.2,6.1,6.2,6.08,7020.0,6.206666666666665,,,,,,
2,20180517.0,6.19,6.3,6.3,6.14,31780.0,6.198333333333335,,,,,,
3,20180516.0,6.3,6.33,6.33,6.1,12410.0,6.249166666666668,6.222,,,,,
4,20180515.0,6.33,6.33,6.39,6.3,106450.0,6.289583333333335,6.258,,,,,
5,20180514.0,6.33,5.75,6.33,5.75,172150.0,6.309791666666668,6.282,,,,,
6,20180511.0,5.92,6.1,6.1,5.9,26320.0,6.1148958333333345,6.161333333333332,,,,,
7,20180510.0,5.9,6.1,6.1,5.9,89700.0,6.007447916666665,6.0742222222222235,,,,,
8,20180509.0,6.01,6.01,6.1,6.0,15620.0,6.0087239583333325,6.052814814814814,6.16,,,,
9,20180508.0,6.01,6.14,6.14,6.01,61720.0,6.009361979166666,6.0385432098765435,6.132727272727274,,,,
10,20180507.0,6.14,6.18,6.18,6.03,55930.0,6.074680989583333,6.072362139917695,6.134049586776858,,,,
11,20180504.0,6.12,6.12,6.17,6.02,112470.0,6.097340494791665,6.088241426611796,6.131495116453793,,,,
12,20180503.0,6.12,6.01,6.18,6.0,82910.0,6.108670247395834,6.098827617741199,6.129405095280378,6.142142857142858,,,
13,20180502.0,6.07,6.34,6.34,6.07,57260.0,6.089335123697918,6.089218411827465,6.1186041688657635,6.13252380952381,,,
14,20180427.0,6.25,6.05,6.25,6.05,428180.0,6.169667561848959,6.142812274551644,6.142494319981078,6.148187301587302,,,
15,20180426.0,6.15,6.17,6.45,6.15,155180.0,6.15983378092448,6.14520818303443,6.143858989075429,6.148428994708994,,,
16,20180424.0,6.35,6.28,6.35,6.28,185990.0,6.25491689046224,6.213472122022953,6.1813391728798965,6.175305128747795,,,
17,20180423.0,6.28,6.2,6.3,6.01,265920.0,6.267458445231119,6.235648081348637,6.1992775050835505,6.189264444914755,,,
18,20180420.0,6.2,6.09,6.35,5.94,607310.0,6.23372922261556,6.2237653875657575,6.199408867795632,6.190695852259456,6.1645,,
19,20180419.0,5.94,5.93,5.94,5.85,40250.0,6.08686461130778,6.129176925043839,6.1522436191055165,6.157269738624862,6.143119047619047,,
20,20180418.0,5.94,5.98,5.98,5.82,2280.0,6.013432305653889,6.066117950029224,6.113653870177241,6.1283004401415475,6.123774376417233,,
