,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,30.0,30.5,30.5,30.0,1200.0,,,,,,,
1,20180518.0,31.0,31.0,31.0,31.0,100.0,30.333333333333325,,,,,,
2,20180517.0,28.0,28.0,28.0,28.0,100.0,29.16666666666666,,,,,,
3,20180516.0,31.0,31.0,31.0,31.0,300.0,30.083333333333325,30.0,,,,,
4,20180515.0,34.0,26.4,34.0,26.4,200.0,32.041666666666664,31.333333333333325,,,,,
5,20180510.0,31.0,31.0,31.0,31.0,100.0,31.520833333333325,31.22222222222222,,,,,
6,20180507.0,30.0,30.0,30.0,30.0,100.0,30.76041666666666,30.81481481481481,,,,,
7,20180424.0,30.0,30.0,30.0,30.0,300.0,30.380208333333325,30.543209876543205,,,,,
8,20180411.0,29.5,29.5,29.5,29.5,2.0,29.94010416666666,30.195473251028805,30.45,,,,
9,20180404.0,29.5,29.5,29.5,29.5,1.0,29.720052083333325,29.963648834019207,30.27727272727273,,,,
10,20180403.0,29.5,29.5,29.5,29.5,100.0,29.61002604166666,29.809099222679468,30.135950413223142,,,,
11,20180329.0,29.3,29.3,29.3,29.3,1000.0,29.45501302083333,29.639399481786317,29.983959429000755,,,,
12,20180328.0,25.5,25.5,25.5,25.5,100.0,27.47750651041667,28.259599654524205,29.168694078273344,29.87857142857143,,,
13,20180327.0,30.0,30.0,30.0,30.0,100.0,28.738753255208337,28.83973310301614,29.31984060949637,29.894761904761907,,,
14,20180314.0,27.0,27.0,27.0,27.0,200.0,27.869376627604165,28.22648873534409,28.89805140776976,29.508793650793653,,,
15,20180305.0,27.2,27.2,27.2,27.2,400.0,27.53468831380208,27.884325823562726,28.58931478817525,29.200954497354495,,,
16,20180302.0,27.0,27.0,27.0,27.0,1700.0,27.267344156901036,27.589550549041824,28.300348463052483,28.907493897707237,,,
17,20180301.0,31.0,31.0,31.0,31.0,100.0,29.133672078450523,28.726367032694547,28.791194197042937,29.18649471134627,,,
18,20180227.0,27.0,28.0,28.0,27.0,300.0,28.06683603922526,28.150911355129697,28.46552252485331,28.89496208316677,29.375,,
19,20180226.0,26.4,26.4,26.4,26.4,200.0,27.23341801961263,27.567274236753125,28.089972974879984,28.562300472077865,29.09166666666666,,
20,20180221.0,31.0,31.0,31.0,31.0,2500.0,29.116709009806318,28.711516157835423,28.619068797629083,28.887327075800812,29.27341269841269,,
21,20180209.0,31.0,31.0,31.0,31.0,1.0,30.05835450490316,29.474344105223608,29.051965379878336,29.16901679902737,29.43784958427815,,
22,20180123.0,31.0,31.0,31.0,31.0,3000.0,30.52917725245158,29.98289607014908,29.40615349262773,29.413147892490393,29.586625814346892,,
23,20180119.0,30.0,32.7,32.7,30.0,4504.0,30.264588626225784,29.988597380099385,29.51412558487724,29.491394840158335,29.625994784409095,,
24,20180103.0,28.5,28.5,28.5,28.5,600.0,29.38229431311289,29.49239825339959,29.32973911489956,29.35920886147056,29.518757185893946,,
25,20171220.0,28.0,28.0,28.0,28.0,800.0,28.691147156556447,28.994932168933055,29.087968366736007,29.17798101327449,29.374113644380238,,
26,20171219.0,27.0,27.0,27.0,27.0,1800.0,27.845573578278227,28.329954779288705,28.708337754602184,28.887583544837888,29.14800758301069,,
27,20171211.0,27.2,27.2,27.2,27.2,100.0,27.522786789139108,27.95330318619248,28.434094526492697,28.66257240552617,28.962483051295386,,
28,20171206.0,27.0,27.0,27.0,27.0,1200.0,27.261393394569556,27.635535457461646,28.173350067130386,28.440896084789344,28.775579903552966,,
29,20171205.0,27.1,27.1,27.1,27.1,18100.0,27.18069669728478,27.457023638307763,27.97819550947032,28.26210994015077,28.616000865119354,,
30,20171129.0,27.0,27.0,27.0,27.0,700.0,27.090348348642397,27.30468242553851,27.800341780475716,28.093828614797328,28.462096020822273,,
31,20171124.0,27.0,27.0,27.0,27.0,200.0,27.045174174321197,27.20312161702567,27.654825093116486,27.94798479949102,28.32284878074396,,
32,20171101.0,28.5,28.5,28.5,28.5,3000.0,27.772587087160602,27.635414411350446,27.808493258004404,28.02158682622555,28.339720325435007,,
33,20171025.0,28.5,28.0,28.5,28.0,1100.0,28.136293543580305,27.92360960756697,27.93422175654906,28.085375249395483,28.35498505634596,,
34,20171023.0,28.0,27.0,28.0,27.0,200.0,28.06814677179015,27.949073071711314,27.946181437176506,28.073991882809416,28.321176955741585,,
35,20171018.0,27.0,27.0,27.0,27.0,600.0,27.534073385895073,27.63271538114087,27.774148448598957,27.930792965101485,28.195350579004288,,
36,20171012.0,26.5,29.0,29.0,26.5,3300.0,27.01703669294754,27.255143587427245,27.54248509430824,27.740020569754623,28.03388861909912,,
37,20170928.0,30.0,30.0,30.0,30.0,100.0,28.50851834647377,28.170095724951494,27.989305986252194,28.04135116045401,28.221137322042054,,
38,20170927.0,26.5,26.5,26.5,26.5,700.0,27.504259173236882,27.61339714996766,27.718523079660894,27.835837672393478,28.05721948184757,,
39,20170925.0,28.0,28.0,28.0,28.0,200.0,27.752129586618445,27.742264766645114,27.76970070154072,27.85772598274101,28.0517700073859,,
40,20170921.0,28.0,28.0,28.0,28.0,100.0,27.876064793309226,27.828176511096736,27.811573301260594,27.876695851708885,28.046839530492,,
