,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,31.3,31.2,31.5,31.15,4620.0,,,,,,,
1,20180518.0,31.3,31.7,31.7,31.2,1420.0,31.2,,,,,,
2,20180517.0,31.4,31.5,31.5,31.4,12590.0,31.3,,,,,,
3,20180516.0,31.4,31.5,31.5,31.4,23350.0,31.35,31.28,,,,,
4,20180515.0,31.55,31.65,31.7,31.45,15360.0,31.45,31.37,,,,,
5,20180514.0,31.55,31.2,31.9,31.15,9150.0,31.5,31.43,,,,,
6,20180511.0,31.5,31.75,31.75,31.1,8430.0,31.5,31.45333333333333,,,,,
7,20180510.0,31.4,32.0,32.0,31.1,4660.0,31.45,31.43555555555556,,,,,
8,20180509.0,31.75,32.0,32.0,31.0,5220.0,31.6,31.54037037037037,31.415,,,,
9,20180508.0,31.5,32.3,32.3,31.0,27080.0,31.55,31.52691358024692,31.43045454545455,,,,
10,20180507.0,31.0,32.4,32.4,31.0,17610.0,31.275,31.351275720164608,31.352190082644626,,,,
11,20180504.0,32.0,32.4,32.4,32.0,24300.0,31.6375,31.56751714677641,31.469973703981964,,,,
12,20180503.0,32.0,32.4,32.4,30.7,48190.0,31.81875,31.71167809785094,31.566342121439796,31.475,,,
13,20180502.0,30.7,31.5,31.5,30.7,21890.0,31.259375,31.374452065233957,31.408825372087104,31.371666666666663,,,
14,20180427.0,31.5,30.4,32.0,30.4,41830.0,31.3796875,31.416301376822645,31.425402577162178,31.388777777777772,,,
15,20180426.0,30.75,32.3,32.3,30.75,29950.0,31.06484375,31.19420091788176,31.302602108587237,31.303607407407405,,,
16,20180424.0,32.4,31.2,32.55,31.2,15230.0,31.732421875,31.596133945254508,31.502128997935014,31.44979308641975,,,
17,20180423.0,32.35,32.2,33.25,31.0,50610.0,32.0412109375,31.84742263016967,31.65628736194683,31.569820674897112,,,
18,20180420.0,32.45,32.5,32.9,32.3,20150.0,32.24560546875,32.048281753446446,31.80059875068377,31.687177918244167,31.54,,
19,20180419.0,32.45,32.9,32.9,32.2,67420.0,32.347802734375,32.18218783563096,31.918671705104902,31.788887529144947,31.62666666666667,,
20,20180418.0,33.0,33.5,33.6,33.0,28790.0,32.6739013671875,32.454791890420644,32.115276849631286,31.95036919192562,31.75746031746032,,
21,20180417.0,33.6,34.0,34.0,33.2,12680.0,33.13695068359375,32.8365279269471,32.385226513334686,32.17031996633553,31.932940287226003,,
22,20180416.0,33.6,33.8,33.8,33.1,22190.0,33.368475341796874,33.09101861796473,32.6060944200011,32.36094397082413,32.09170787891877,,
23,20180413.0,33.8,34.4,34.4,33.6,32080.0,33.58423767089844,33.32734574530982,32.82316816181908,32.552818108047575,32.25440236664079,,
24,20180412.0,33.8,33.5,34.4,33.5,10980.0,33.69211883544922,33.48489716353988,33.00077395057925,32.719109026974564,32.40160214124643,,
25,20180411.0,34.0,34.5,34.5,33.6,73450.0,33.84605941772461,33.65659810902658,33.1824514141103,32.88989449004462,32.55383050874676,,
26,20180410.0,34.5,34.9,34.9,34.2,32800.0,34.173029708862295,33.93773207268439,33.42200570245388,33.10457522470534,32.73917998410422,,
27,20180409.0,34.8,35.15,35.15,34.55,36180.0,34.48651485443115,34.22515471512293,33.67255012018954,33.3306318614113,32.93544855704668,,
28,20180406.0,35.15,34.8,35.2,34.55,37120.0,34.81825742721556,34.53343647674861,33.941177371064164,33.57321427988978,33.14635821828033,,
29,20180405.0,34.8,34.95,35.0,34.2,86270.0,34.809128713607784,34.62229098449908,34.0973269399616,33.736785709237815,33.30384791177744,,
30,20180404.0,34.5,34.6,34.95,34.4,64450.0,34.65456435680389,34.581527322999385,34.17054022360494,33.83854761467277,33.41776715827483,,
31,20180403.0,34.7,34.5,35.15,34.5,12070.0,34.677282178401946,34.621018215332924,34.266805637494954,33.9534079327164,33.53988457177246,,
32,20180402.0,34.5,35.45,35.5,34.5,84890.0,34.58864108920097,34.58067881022195,34.30920461249587,34.02628687502088,33.63132413636556,,
33,20180330.0,35.1,35.5,35.5,35.0,73250.0,34.844320544600485,34.75378587348129,34.452985592042076,34.1694486250181,33.77119802814027,,
34,20180329.0,35.0,35.2,35.5,35.0,53270.0,34.922160272300246,34.83585724898752,34.552442757125334,34.28018880834902,33.88822678736501,,
35,20180328.0,35.2,34.45,35.5,34.45,61390.0,35.061080136150125,34.95723816599168,34.670180437648,34.40283030056914,34.013157569520715,,
36,20180327.0,34.45,35.0,36.0,34.45,129000.0,34.755540068075064,34.788158777327794,34.6301476308029,34.409119593826595,34.054761610518746,,
37,20180326.0,34.55,34.45,34.6,34.3,45450.0,34.65277003403753,34.70877251821853,34.61557533429329,34.427903647983044,34.10192717142172,,
38,20180323.0,34.7,33.0,34.7,33.0,76530.0,34.67638501701877,34.70584834547901,34.630925273512695,34.46418316158531,34.15888648842917,,
39,20180322.0,34.9,35.5,35.5,34.75,32180.0,34.78819250850938,34.77056556365268,34.67984795105584,34.522292073373926,34.2294687276264,,
40,20180321.0,35.0,34.9,35.0,34.5,99990.0,34.89409625425469,34.84704370910178,34.73805741450023,34.58598646359074,34.302852658328646,,
41,20180320.0,34.9,35.5,35.9,34.9,120830.0,34.89704812712735,34.86469580606785,34.76750152095474,34.627854935111976,34.359723833725916,,
42,20180319.0,36.0,36.55,36.55,35.65,105060.0,35.448524063563674,35.24313053737857,34.99159215350842,34.81080761043038,34.515940611466306,,
43,20180316.0,36.0,36.3,36.5,35.6,191520.0,35.724262031781834,35.495420358252375,35.174939034688705,34.96936659570633,34.657279600850465,,
44,20180315.0,36.0,35.8,36.8,35.65,306090.0,35.86213101589092,35.66361357216825,35.32495011929076,35.106784382945484,34.7851577341028,,
45,20180314.0,35.65,35.25,35.75,35.2,169580.0,35.75606550794546,35.659075714778844,35.38405009760153,35.179213131886094,34.86752366418825,,
46,20180313.0,35.2,34.6,35.3,34.6,308300.0,35.47803275397273,35.50605047651923,35.35058644349216,35.18198471430128,34.8991880771227,,
47,20180312.0,34.65,35.5,35.5,34.65,71420.0,35.06401637698636,35.22070031767949,35.22320709012996,35.11105341906111,34.87545587930149,,
48,20180309.0,35.0,34.9,35.9,34.1,489120.0,35.03200818849318,35.14713354511965,35.1826239828336,35.096246296519624,34.88731722412992,33.406000000000006,
49,20180308.0,34.25,34.6,35.2,34.2,352640.0,34.64100409424658,34.84808903007977,35.013055985954765,34.98341345698368,34.82662034564136,33.43909803921569,
50,20180307.0,34.6,35.0,35.0,34.2,127640.0,34.62050204712329,34.76539268671985,34.937954897599354,34.93229166271919,34.80503745558028,33.48462360630528,
51,20180306.0,34.55,34.3,35.0,33.8,309120.0,34.58525102356165,34.6935951244799,34.86741764349038,34.88131944102329,34.780748174096445,33.526403072724676,
52,20180305.0,34.3,34.6,35.5,34.0,313970.0,34.44262551178081,34.56239674965327,34.7642507992194,34.80381018222018,34.7349626337063,33.55674020712763,
53,20180302.0,34.2,32.0,34.2,32.0,604270.0,34.3213127558904,34.44159783310218,34.66165974481587,34.72330215792417,34.684013811448565,33.58196608135792,
54,20180301.0,32.0,32.0,32.5,31.8,135060.0,33.1606563779452,33.627731888734786,34.1777216093948,34.36019520353428,34.428393448453456,33.51992819581447,
55,20180228.0,32.4,31.9,32.5,31.5,127950.0,32.780328188972604,33.21848792582319,33.85449949859574,34.098835843063036,34.23521312002932,33.476009443037434,
56,20180227.0,32.0,32.9,32.95,31.8,133820.0,32.390164094486295,32.812325283882124,33.51731777157833,33.81899106398796,34.02233568002652,33.418126719781064,
57,20180226.0,32.95,33.2,33.3,32.8,71230.0,32.670082047243156,32.85821685592141,33.41416908583681,33.70312558878957,33.92020847240495,33.399768809201404,
58,20180223.0,33.1,33.2,33.4,32.8,99920.0,32.88504102362158,32.938811237280945,33.35704743386649,33.62270884361762,33.84209337979496,33.388013169624884,
59,20180222.0,32.8,32.2,33.0,31.9,251220.0,32.84252051181079,32.89254082485396,33.255766082254404,33.513014331135274,33.742846391243056,33.364953829639596,
60,20180221.0,32.2,32.0,32.2,31.75,46950.0,32.5212602559054,32.661693883235976,33.063808612753604,33.337945753650565,33.5959086396961,33.31926936573216,
61,20180213.0,31.65,31.8,31.8,31.35,158730.0,32.0856301279527,32.324462588823984,32.80675250134386,33.11288631983049,33.41058400734409,33.25380782197796,
62,20180212.0,31.45,30.8,31.5,30.8,68970.0,31.767815063976354,32.032975059215985,32.56007022837225,32.89116814385309,33.22386172093036,33.18307026033176,
63,20180209.0,30.9,30.9,31.2,29.4,64520.0,31.333907531988174,31.65531670614399,32.25823927775911,32.62567905800601,33.002541557032245,33.09353809325993,
64,20180208.0,30.9,31.4,31.5,30.0,53360.0,31.116953765994086,31.403544470762657,32.01128668180291,32.395588516938545,32.80229950398156,33.00751699156346,
65,20180207.0,31.0,30.75,31.6,30.7,136960.0,31.05847688299704,31.269029647175103,31.827416376020558,32.209510048013406,32.630651932173784,32.92879083503156,
66,20180206.0,30.1,30.8,30.8,29.7,486810.0,30.57923844149852,30.879353098116734,31.513340671289548,31.928242041611615,32.38963746244295,32.817857861108756,
67,20180205.0,31.9,32.5,32.5,31.5,231250.0,31.239619220749262,31.219568732077825,31.58364236741872,31.924476436063397,32.343005323162664,32.78186343518292,
68,20180202.0,32.5,32.7,32.8,32.3,182880.0,31.86980961037463,31.64637915471855,31.750252846069863,32.001212911254946,32.357957197147165,32.77080996713652,
69,20180201.0,32.7,32.9,33.0,32.4,251780.0,32.284904805187324,31.997586103145704,31.922934146784435,32.09438452308762,32.39053270218078,32.768033105680196,
70,20180131.0,32.7,32.4,33.1,32.15,263870.0,32.492452402593656,32.2317240687638,32.064218847369084,32.1751332533426,32.42000577816356,32.765365140751555,
71,20180130.0,32.0,32.0,32.35,31.55,280640.0,32.24622620129683,32.1544827125092,32.05254269330198,32.15178215289692,32.38000522786227,32.7353508215064,
72,20180129.0,31.5,33.1,33.3,31.5,605370.0,31.87311310064841,31.936321808339468,31.95208038542889,32.064877865844,32.2961952061611,32.68690569125125,
73,20180126.0,33.5,32.95,33.9,32.9,231630.0,32.686556550324205,32.457547872226314,32.233520315350916,32.256227483731465,32.410843281764805,32.71879174257472,
74,20180125.0,32.9,34.15,34.15,32.8,361490.0,32.7932782751621,32.605031914817545,32.35469843983257,32.342063819233935,32.45742963588244,32.72589794874827,
75,20180122.0,33.7,34.0,34.5,33.4,151180.0,33.24663913758105,32.97002127654504,32.59929872349937,32.52312197666941,32.575769670560305,32.76409802918951,
76,20180119.0,34.0,34.6,34.95,33.8,276800.0,33.62331956879053,33.31334751769669,32.853971682863126,32.72003904644682,32.71141065431647,32.81256477314287,
77,20180118.0,34.6,34.9,35.0,33.8,217440.0,34.111659784395265,33.742231678464464,33.17143137688801,32.97070050692058,32.89127630628633,32.882660272235306,
78,20180117.0,34.9,36.0,36.0,34.9,199400.0,34.50582989219763,34.128154452309644,33.48571658109019,33.22794043933117,33.08258332473525,32.96177163410843,
79,20180116.0,36.0,36.35,36.5,35.5,192470.0,35.25291494609881,34.75210296820642,33.942859020891966,33.59754838075368,33.36043253190333,33.08091784453555,
80,20180115.0,36.5,35.75,36.7,35.2,159170.0,35.876457473049406,35.33473531213761,34.40779374436616,33.98454192998652,33.65943895743634,33.21499949769102,
81,20180112.0,35.7,35.95,36.45,35.6,302360.0,35.7882287365247,35.45649020809174,34.64274033629959,34.21326967265498,33.85377810434717,33.31245049778157,
82,20180111.0,36.2,35.2,36.2,34.6,439110.0,35.99411436826235,35.70432680539449,34.92587845697239,34.478167049634315,34.07722780869505,33.42568773316268,
83,20180110.0,35.2,35.0,35.4,34.9,192790.0,35.597057184131174,35.536217870262995,34.97571873752287,34.57441144301641,34.18415849358124,33.49526860637198,
84,20180109.0,35.25,35.3,35.45,34.8,247820.0,35.42352859206559,35.44081191350866,35.02558805797325,34.66448991728089,34.285667208478266,33.56408160220054,
85,20180108.0,34.8,34.2,35.5,34.0,284520.0,35.11176429603279,35.227207942339106,34.984572047432664,34.6825579283101,34.334651283861284,33.61254899034954,
86,20180105.0,34.2,33.2,34.5,33.2,299510.0,34.655882148016396,34.884805294892736,34.84192258426309,34.61821687120209,34.32182735206497,33.63558628484564,
87,20180104.0,33.0,32.95,33.3,32.85,153380.0,33.8279410740082,34.256536863261815,34.50702756894252,34.40245462170847,34.1959390328207,33.61066133249875,
88,20180103.0,32.95,33.3,33.3,32.7,445620.0,33.3889705370041,33.821024575507884,34.22393164731661,34.20879400548068,34.07727817255205,33.58475304494977,
89,20180102.0,33.3,33.95,33.95,33.3,182570.0,33.34448526850205,33.647349717005255,34.05594407507723,34.08762147141658,34.00325167992805,33.57358625887331,
90,20171229.0,33.65,33.7,33.75,33.5,109810.0,33.49724263425102,33.64823314467017,33.98213606142682,34.029271941894365,33.96960866279204,33.576582876172395,
91,20171228.0,33.6,33.95,33.95,33.4,98990.0,33.54862131712551,33.632155429780106,33.91265677753103,33.972035682975125,33.934407837764226,33.57750119475387,
92,20171227.0,33.85,34.0,34.2,33.8,97320.0,33.69931065856275,33.70477028652007,33.901264636161756,33.95576425857844,33.9263689960724,33.588187422410584,
93,20171226.0,34.0,33.85,34.2,33.8,107230.0,33.84965532928137,33.80318019101338,33.91921652049597,33.96166235743465,33.93338147263693,33.60433693525723,
94,20171225.0,34.0,34.4,34.4,33.7,104610.0,33.92482766464069,33.86878679400892,33.93390442586035,33.96677404311003,33.93972609429056,33.61985313387459,
95,20171222.0,34.6,34.85,35.5,34.35,235760.0,34.26241383232035,34.112524529339275,34.05501271206756,34.05120417069536,34.00260932340575,33.65829026587951,
96,20171221.0,34.5,33.35,34.9,33.2,143270.0,34.381206916160174,34.241683019559524,34.135919491691645,34.11104361460264,34.049979864033766,33.69129849074698,
97,20171220.0,33.3,33.4,33.55,33.2,104120.0,33.840603458080075,33.927788679706346,33.98393412956589,34.002904465988955,33.978553210316264,33.67595345189416,
98,20171219.0,33.4,33.9,34.0,33.3,83680.0,33.62030172904004,33.75185911980423,33.877764287826636,33.9225172038571,33.92345290457186,33.66513174789831,
99,20171218.0,33.75,33.2,34.0,33.2,77500.0,33.68515086452001,33.75123941320282,33.8545344173127,33.899514910009486,33.90693358032692,33.66845991464739,
100,20171215.0,33.4,33.6,33.8,33.0,90750.0,33.54257543226001,33.63415960880188,33.771891795983116,33.83291292200822,33.858654191724355,33.65793207485729,
101,20171214.0,33.2,33.5,33.8,32.95,145160.0,33.371287716130006,33.489439739201245,33.66791146944073,33.748524532407124,33.79592522108394,33.63997395427466,
102,20171213.0,33.5,33.9,33.9,33.5,61960.0,33.43564385806501,33.49295982613417,33.6373821113606,33.71538792808617,33.767741866695005,33.63448477959722,
103,20171212.0,33.9,34.0,34.0,32.5,116550.0,33.6678219290325,33.628639884089445,33.68513081838594,33.74000287100801,33.780337879390714,33.644897141181644,
104,20171211.0,33.9,34.2,34.5,33.9,138090.0,33.78391096451625,33.71909325605963,33.72419794231577,33.76133582154028,33.7917342718297,33.6549011748608,
105,20171208.0,34.2,34.05,34.6,34.0,146970.0,33.99195548225813,33.879395504039756,33.81070740734926,33.819824378668244,33.83061672213164,33.67627759937606,
106,20171207.0,34.05,34.2,34.4,34.0,115350.0,34.02097774112906,33.93626366935984,33.85421515146758,33.850514461512475,33.8515103676429,33.690933379792675,
107,20171206.0,34.2,33.95,34.35,33.8,77750.0,34.11048887056453,34.02417577957322,33.91708512392801,33.89711253331081,33.88469985643881,33.71089677666356,
