,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,114.0,102.3,115.0,102.3,580.0,,,,,,,
1,20180518.0,109.0,105.1,109.4,105.0,210.0,110.0,,,,,,
2,20180517.0,105.5,109.0,112.9,105.1,200.0,107.75,,,,,,
3,20180516.0,111.0,111.0,115.0,111.0,400.0,109.375,109.3,,,,,
4,20180515.0,111.0,111.0,112.6,109.0,2360.0,110.1875,109.86666666666665,,,,,
5,20180514.0,108.8,109.0,109.3,100.1,1160.0,109.49375,109.5111111111111,,,,,
6,20180511.0,105.9,107.0,107.0,100.3,1000.0,107.696875,108.30740740740738,,,,,
7,20180510.0,105.0,104.0,107.0,103.5,400.0,106.3484375,107.20493827160495,,,,,
8,20180509.0,107.0,112.0,114.0,104.6,1370.0,106.67421875,107.13662551440328,108.41999999999999,,,,
9,20180508.0,112.0,104.4,114.4,104.3,1190.0,109.337109375,108.75775034293552,109.07090909090908,,,,
10,20180507.0,112.0,108.0,112.0,101.2,1460.0,110.6685546875,109.83850022862369,109.60347107438017,,,,
11,20180504.0,108.0,99.0,108.0,99.0,3070.0,109.33427734375,109.22566681908248,109.31193087903831,,,,
12,20180503.0,103.0,98.1,105.0,98.0,3280.0,106.16713867187501,107.15044454605496,108.16430708284953,108.51428571428569,,,
13,20180502.0,105.0,105.8,105.8,97.3,310.0,105.58356933593747,106.43362969736998,107.58897852233144,108.04571428571428,,,
14,20180427.0,104.5,95.0,104.5,92.1,3340.0,105.04178466796877,105.78908646491331,107.02734606372572,107.57295238095234,,,
15,20180426.0,99.0,100.0,101.0,98.0,2590.0,102.02089233398436,103.52605764327555,105.56782859759376,106.42989206349208,,,
16,20180424.0,104.0,103.0,115.0,103.0,860.0,103.01044616699218,103.68403842885037,105.28276885257672,106.10590645502643,,,
17,20180423.0,109.7,118.8,126.1,109.7,1400.0,106.35522308349609,105.68935895256692,106.08590178847183,106.5851189276896,,,
18,20180420.0,117.9,115.5,120.0,106.1,2460.0,112.12761154174804,109.75957263504462,108.23391964511335,108.09376973733097,107.965,,
19,20180419.0,114.0,115.0,115.5,112.0,3590.0,113.06380577087401,111.17304842336307,109.28229789145638,108.88126710568686,108.53976190476187,,
20,20180418.0,115.5,118.9,118.9,115.0,1680.0,114.28190288543699,112.61536561557537,110.41278918391886,109.76376482492861,109.20264172335601,,
21,20180417.0,116.5,117.0,117.0,116.5,430.0,115.39095144271849,113.91024374371693,111.5195547868427,110.66192951493811,109.89762822589351,,
22,20180416.0,116.0,122.0,122.0,116.0,690.0,115.69547572135923,114.60682916247795,112.33418118923493,111.37367224627971,110.47880649009413,,
23,20180413.0,119.9,115.5,121.5,115.5,5030.0,117.79773786067966,116.37121944165197,113.70978460937405,112.51051594677578,111.37606301484708,,
24,20180412.0,117.4,120.0,124.0,115.0,9280.0,117.59886893033982,116.71414629443464,114.38073286221511,113.16244715387232,111.94977129914737,,
25,20180411.0,120.0,121.0,121.0,119.0,11660.0,118.79943446516992,117.80943086295645,115.40241779635784,114.07412086668936,112.7164597468476,,
26,20180410.0,121.0,121.1,121.1,119.0,2510.0,119.89971723258493,118.87295390863761,116.42016001520184,114.99757141779745,113.50536834238592,,
27,20180409.0,121.0,119.1,123.0,119.1,2470.0,120.44985861629247,119.58196927242508,117.25285819425608,115.79789522875778,114.21914278596819,,
28,20180406.0,121.8,125.0,125.0,120.5,9280.0,121.12492930814622,120.32131284828337,118.07961124984587,116.59817586492339,114.94112918730458,,
29,20180405.0,123.7,125.8,125.8,123.5,5810.0,122.41246465407313,121.4475418988556,119.10150011351024,117.5450857496003,115.77530735994225,,
30,20180404.0,126.1,127.0,127.0,126.0,3900.0,124.25623232703657,122.99836126590372,120.37395463832655,118.6857409829869,116.75861142090012,,
