,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180509.0,12.2,12.2,12.2,12.2,400.0,,,,,,,
1,20180508.0,12.2,12.2,12.2,12.2,150.0,12.199999999999998,,,,,,
2,20180419.0,12.0,12.0,12.0,12.0,300.0,12.099999999999996,,,,,,
3,20180413.0,12.0,12.0,12.0,12.0,1000.0,12.05,12.12,,,,,
4,20180409.0,12.0,12.0,12.0,12.0,100.0,12.024999999999997,12.08,,,,,
5,20180406.0,12.0,12.4,12.4,11.6,10600.0,12.0125,12.05333333333333,,,,,
6,20180404.0,12.0,12.0,12.0,12.0,100.0,12.00625,12.035555555555556,,,,,
7,20180403.0,11.5,11.5,11.5,11.5,1800.0,11.753125,11.857037037037035,,,,,
8,20180402.0,11.5,11.5,11.5,11.5,22.0,11.6265625,11.738024691358024,11.96,,,,
9,20180328.0,11.5,11.5,11.5,11.5,100.0,11.56328125,11.658683127572017,11.876363636363635,,,,
10,20180327.0,11.5,11.5,11.5,11.5,13.0,11.531640625,11.605788751714678,11.80793388429752,,,,
11,20180326.0,11.5,11.5,11.5,11.5,2022.0,11.5158203125,11.57052583447645,11.751945905334333,,,,
12,20180321.0,11.5,11.5,11.5,11.5,1.0,11.50791015625,11.5470172229843,11.706137558909905,11.828571428571427,,,
13,20180315.0,11.5,11.5,11.5,11.5,3.0,11.503955078125,11.531344815322868,11.66865800274447,11.784761904761904,,,
14,20180314.0,11.5,11.5,11.5,11.5,6.0,11.5019775390625,11.520896543548579,11.637992911336385,11.746793650793649,,,
15,20180312.0,11.5,11.5,11.5,11.5,200.0,11.500988769531249,11.513931029032385,11.612903291093406,11.713887830687831,,,
16,20180301.0,13.5,13.5,13.5,13.5,58000.0,12.500494384765624,12.175954019354926,11.956011783621879,11.952036119929454,,,
17,20180228.0,13.5,13.4,13.5,13.4,102000.0,13.000247192382814,12.61730267956995,12.236736913872445,12.158431303938862,,,
18,20180227.0,13.4,13.4,13.4,13.4,100.0,13.200123596191409,12.878201786379964,12.448239293168363,12.323973796747012,12.025,,
19,20180226.0,11.7,11.6,11.7,11.6,200.0,12.450061798095703,12.485467857586642,12.312195785319572,12.240777290514076,11.994047619047619,,
20,20180223.0,10.2,10.6,10.6,10.2,102700.0,11.325030899047853,11.723645238391095,11.92816018798874,11.968673651778865,11.823185941043088,,
21,20180213.0,11.8,11.8,11.8,11.8,100.0,11.562515449523922,11.749096825594066,11.904858335627152,11.946183831541683,11.82097775618184,,
22,20180209.0,10.3,10.3,10.3,10.3,110.0,10.931257724761961,11.266064550396045,11.61306591096767,11.726692654002793,11.676122731783568,,
23,20180208.0,11.4,11.4,11.4,11.4,100.0,11.165628862380979,11.310709700264029,11.574326654428093,11.683133633469087,11.64982532875656,,
24,20180205.0,13.4,13.4,13.4,13.4,10.0,12.282814431190493,12.00713980017602,11.906267262713895,11.91204914900654,11.816508630779746,,
25,20180202.0,13.4,13.4,13.4,13.4,33000.0,12.841407215595247,12.47142653345068,12.177855033129548,12.11044259580567,11.967317332610248,,
26,20180201.0,13.4,13.5,13.5,13.4,98200.0,13.120703607797623,12.780951022300451,12.400063208924177,12.282383583031582,12.103763300933078,,
27,20180131.0,13.3,13.3,13.3,13.3,100.0,13.210351803898813,12.953967348200305,12.563688080028871,12.418065771960704,12.217690605606121,,
28,20180130.0,11.7,11.7,11.7,11.7,400.0,12.455175901949406,12.535978232133534,12.406653883659986,12.322323669032606,12.168386738405534,,
29,20180129.0,13.1,11.4,13.1,10.1,99110.0,12.777587950974702,12.723985488089024,12.532716813903626,12.426013846494929,12.257111810938346,,
30,20180126.0,11.4,11.4,11.4,11.4,100.0,12.088793975487352,12.282656992059346,12.326768302284783,12.289212000295603,12.1754821146585,,
31,20180119.0,13.3,13.3,13.3,13.3,1400.0,12.694396987743676,12.621771328039568,12.503719520051186,12.423983733589525,12.282579056119598,,
32,20180118.0,13.3,13.3,13.3,13.3,2000.0,12.997198493871839,12.847847552026378,12.64849778913279,12.540785902444254,12.37947628887011,,
33,20180104.0,11.6,11.6,11.6,11.6,100.0,12.298599246935918,12.431898368017585,12.457861827472282,12.415347782118353,12.305240451834862,,
34,20180103.0,10.1,10.1,10.1,10.1,900.0,11.199299623467958,11.654598912011725,12.029159677022776,12.106634744502575,12.095217551660111,,
35,20180102.0,11.0,11.0,11.0,11.0,1000.0,11.09964981173398,11.436399274674482,11.842039735745905,11.959083445235564,11.990911118168674,,
36,20171229.0,10.1,10.1,10.1,10.1,100.0,10.599824905866988,10.99093284978299,11.52530523833756,11.711205652537489,11.81082434500975,,
37,20171222.0,11.0,11.0,11.0,11.0,300.0,10.799912452933494,10.99395523318866,11.429795195003459,11.616378232199155,11.733602978818345,,
38,20171220.0,12.4,11.1,12.4,11.1,800.0,11.599956226466748,11.462636822125774,11.606196068639193,11.720861134572605,11.79706936178803,,
39,20171218.0,12.4,12.4,12.4,12.4,200.0,11.999978113233377,11.775091214750516,11.750524056159339,11.811412983296256,11.854491327332024,,
40,20171211.0,11.0,11.0,11.1,11.0,90000.0,11.499989056616688,11.516727476500344,11.614065136857642,11.703224585523422,11.773111200919454,,
41,20171205.0,11.0,11.2,11.2,11.0,3900.0,11.249994528308344,11.344484984333565,11.502416930156253,11.609461307453635,11.699481562736649,,
42,20171128.0,11.8,11.8,11.8,11.8,10.0,11.524997264154173,11.496323322889042,11.55652294285512,11.634866466459812,11.709054747237918,,
43,20171127.0,11.7,11.9,11.9,11.7,300.0,11.612498632077086,11.564215548592692,11.582609680517821,11.643550937598505,11.708192390358116,,
44,20171124.0,11.9,12.0,12.0,11.9,300.0,11.756249316038543,11.676143699061795,11.640317011332765,11.677744145918703,11.726459781752581,,
45,20171121.0,11.8,12.0,12.0,11.8,13900.0,11.778124658019273,11.717429132707862,11.669350281999535,11.694044926462876,11.73346361206186,,
46,20171120.0,13.8,13.8,13.8,13.8,500.0,12.789062329009635,12.411619421805245,12.0567411398178,11.974838936267824,11.930276601389304,,
47,20171113.0,13.5,13.5,13.5,13.5,500.0,13.14453116450482,12.774412947870161,12.319151841669107,12.178193744765448,12.079774067923656,,
48,20171110.0,11.5,12.0,12.0,11.5,2000.0,12.322265582252408,12.349608631913442,12.170215143183816,12.087767912130056,12.024557490026163,11.975999999999997,
49,20171108.0,12.8,12.8,12.8,12.8,1000.0,12.561132791126205,12.499739087942295,12.28472148078676,12.182732190512716,12.098409157642722,12.008313725490192,
50,20171011.0,15.0,15.0,15.0,15.0,10.0,13.780566395563103,13.333159391961528,12.778408484280076,12.558367898444356,12.37475114262913,12.125634755863127,
51,20171004.0,15.0,15.0,15.0,15.0,100.0,14.390283197781551,13.888772927974353,13.182334214410973,12.883918845318442,12.624774843331119,12.238354961515551,
52,20170928.0,15.0,15.0,15.0,15.0,10.0,14.695141598890775,14.2591819519829,13.512818902699884,13.166062999275981,12.850986763013866,12.346654766946317,
53,20170914.0,15.0,15.0,15.0,15.0,10.0,14.84757079944539,14.506121301321933,13.78321546584536,13.410587932705848,13.055654690345879,12.450707521183714,
54,20170911.0,15.0,15.0,15.0,15.0,290.0,14.923785399722691,14.670747534214623,14.004449017509842,13.622509541678403,13.240830434122461,12.55067977525494,
55,20170831.0,15.0,15.0,15.0,15.0,100.0,14.961892699861346,14.780498356143081,14.185458287053503,13.806174936121284,13.408370392777464,12.646731548774353,
56,20170830.0,15.0,15.0,15.0,15.0,100.0,14.980946349930672,14.853665570762054,14.333556780316503,13.96535161130511,13.559954164893895,12.739016586077325,
