,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,13.6,13.65,13.7,13.6,61310.0,,,,,,,
1,20180518.0,13.65,13.65,13.7,13.6,76000.0,13.583333333333332,,,,,,
2,20180517.0,13.65,13.8,14.0,13.6,81750.0,13.61666666666667,,,,,,
3,20180516.0,13.8,14.0,14.2,13.8,131120.0,13.708333333333332,13.64,,,,,
4,20180515.0,14.05,14.3,14.4,14.05,97680.0,13.879166666666666,13.77666666666667,,,,,
5,20180514.0,14.3,14.45,14.6,14.3,123060.0,14.08958333333333,13.951111111111112,,,,,
6,20180511.0,14.45,14.15,14.45,14.0,88830.0,14.269791666666666,14.117407407407407,,,,,
7,20180510.0,14.45,14.45,14.65,14.35,111400.0,14.35989583333333,14.22827160493827,,,,,
8,20180509.0,14.45,14.4,14.7,14.4,136880.0,14.404947916666666,14.302181069958845,13.99,,,,
9,20180508.0,14.6,14.95,15.1,14.45,225480.0,14.502473958333331,14.401454046639229,14.100909090909092,,,,
10,20180507.0,14.85,14.8,15.0,14.8,252400.0,14.676236979166669,14.55096936442615,14.237107438016528,,,,
11,20180504.0,14.7,14.8,14.9,14.6,165710.0,14.688118489583331,14.600646242950768,14.321269722013522,,,,
12,20180503.0,14.7,14.65,14.7,14.3,231050.0,14.694059244791667,14.633764161967177,14.390129772556522,14.196428571428566,,,
13,20180502.0,14.6,14.5,14.65,14.4,240950.0,14.647029622395834,14.622509441311452,14.428287995728061,14.250238095238096,,,
14,20180427.0,14.4,14.0,14.4,14.0,253310.0,14.523514811197916,14.548339627540967,14.423144723777504,14.27020634920635,,,
15,20180426.0,14.0,14.35,14.45,13.9,387060.0,14.261757405598958,14.365559751693981,14.34620931945432,14.234178835978833,,,
16,20180424.0,14.4,14.1,14.5,14.0,274680.0,14.33087870279948,14.377039834462654,14.3559894431899,14.256288324514992,,,
17,20180423.0,14.05,15.0,15.2,14.05,225050.0,14.19043935139974,14.268026556308433,14.300354998973555,14.22878321457966,,,
18,20180420.0,15.1,14.95,15.2,14.9,182540.0,14.645219675699868,14.545351037538957,14.44574499916018,14.344945452635704,14.265,,
19,20180419.0,15.1,15.7,15.7,15.0,187750.0,14.872609837849936,14.730234025025972,14.564700453858329,14.445619392284279,14.34452380952381,,
20,20180418.0,15.5,15.6,16.0,15.5,331310.0,15.186304918924966,14.986822683350649,14.734754916793177,14.58620347331304,14.454569160997732,,
21,20180417.0,15.5,15.1,15.5,15.1,297930.0,15.343152459462484,15.15788178890043,14.873890386467142,14.708043010204637,14.554134002807473,,
22,20180416.0,15.25,15.05,15.3,14.9,204940.0,15.296576229731238,15.188587859266953,14.94227395256403,14.780303942177351,14.620406954921046,,
23,20180413.0,15.1,15.2,15.5,15.1,229650.0,15.198288114865619,15.159058572844637,14.970951415734206,14.82293008322037,14.666082483023805,,
24,20180412.0,15.3,15.2,15.3,14.9,247360.0,15.249144057432813,15.206039048563092,15.030778431055257,14.886539405457654,14.726455579878682,,
25,20180411.0,15.3,15.7,15.7,15.1,266950.0,15.274572028716406,15.237359365708727,15.079727807227027,14.941667484729969,14.781078857985472,,
26,20180410.0,15.7,15.4,16.25,15.35,353180.0,15.487286014358201,15.391572910472483,15.192504569549385,15.042778486765972,14.86859515722495,,
27,20180409.0,15.2,15.3,15.4,15.0,232070.0,15.3436430071791,15.327715273648323,15.193867375085858,15.063741355197177,14.900157523203527,,
28,20180406.0,15.3,15.0,15.3,14.9,322360.0,15.321821503589549,15.318476849098884,15.21316421597934,15.095242507837552,14.938237759088903,,
29,20180405.0,15.0,14.9,15.1,14.7,176530.0,15.160910751794777,15.212317899399254,15.17440708580128,15.082543506792543,14.944119877270916,,
30,20180404.0,15.0,14.8,15.2,14.8,206910.0,15.080455375897385,15.141545266266169,15.142696706564685,15.071537705886874,14.949441793721306,,
31,20180403.0,14.8,14.5,14.8,14.5,180550.0,14.940227687948692,15.027696844177447,15.080388214462014,15.035332678435289,14.935209241938324,,
32,20180402.0,14.5,14.35,14.6,14.25,299920.0,14.720113843974342,14.851797896118297,14.974863084559827,14.963954987977248,14.8937607427061,,
33,20180330.0,14.2,14.1,14.4,14.1,91300.0,14.46005692198717,14.634531930745533,14.833978887367133,14.862094322913617,14.827688291019804,,
34,20180329.0,14.1,14.4,14.4,14.1,89850.0,14.280028460993584,14.45635462049702,14.700528180573107,14.760481746525134,14.758384644256015,,
35,20180328.0,14.3,14.3,14.45,14.2,32450.0,14.290014230496794,14.404236413664682,14.627704875014361,14.699084180321785,14.714728963850682,,
36,20180327.0,14.3,14.35,14.5,14.3,38870.0,14.295007115248398,14.36949094244312,14.568122170466298,14.645872956278877,14.675230967293473,,
37,20180326.0,14.3,14.8,14.8,14.3,59150.0,14.2975035576242,14.346327294962078,14.519372684926969,14.599756562108361,14.639494684694093,,
38,20180323.0,14.3,14.0,14.3,13.95,90780.0,14.298751778812099,14.330884863308054,14.479486742212975,14.559789020493914,14.60716185758037,,
39,20180322.0,14.2,14.35,14.7,14.2,124100.0,14.24937588940605,14.287256575538704,14.428670970901523,14.511817151094723,14.568384537810813,,
40,20180321.0,14.8,15.0,15.5,14.6,175030.0,14.524687944703023,14.458171050359136,14.496185339828518,14.550241530948762,14.590443153257402,,
41,20180320.0,15.2,15.4,15.4,15.0,157570.0,14.862343972351514,14.705447366906089,14.624151641677882,14.636875993488925,14.648496186280505,,
42,20180319.0,15.3,15.5,15.5,15.0,378940.0,15.081171986175757,14.903631577937395,14.74703316137281,14.725292527690403,14.710544168539505,,
43,20180316.0,14.85,13.9,14.85,13.9,599250.0,14.965585993087876,14.885754385291596,14.765754404759571,14.741920190665018,14.723825676297645,,
