,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180226.0,8.8,8.8,8.8,8.8,500.0,,,,,,,
1,20180212.0,8.8,8.8,8.8,8.8,100.0,9.2,,,,,,
2,20180208.0,7.7,7.7,7.7,7.7,14.0,8.450000000000001,,,,,,
3,20180201.0,7.7,7.7,7.7,7.7,1000.0,8.075000000000001,8.600000000000001,,,,,
4,20180130.0,9.0,9.0,9.0,9.0,1000.0,8.537500000000001,8.733333333333334,,,,,
5,20180129.0,9.0,9.0,9.0,9.0,200.0,8.76875,8.822222222222225,,,,,
6,20180126.0,9.0,10.3,10.3,9.0,300.0,8.884375,8.881481481481481,,,,,
7,20180125.0,9.0,9.0,9.0,9.0,100.0,8.942187499999998,8.920987654320987,,,,,
8,20180122.0,8.0,8.0,8.0,8.0,100.0,8.471093749999998,8.613991769547324,8.699999999999998,,,,
9,20180119.0,8.0,8.0,8.0,8.0,500.0,8.235546875,8.409327846364883,8.572727272727272,,,,
10,20180116.0,7.7,7.7,7.7,7.7,500.0,7.9677734375,8.172885230909923,8.414049586776857,,,,
11,20180109.0,8.5,8.5,8.5,8.5,86.0,8.233886718750002,8.281923487273282,8.429676934635612,,,,
12,20180108.0,8.5,8.5,8.5,8.5,1200.0,8.366943359375,8.354615658182189,8.442462946520045,8.55,,,
13,20180104.0,8.5,8.5,8.5,8.5,300.0,8.4334716796875,8.403077105454795,8.452924228970947,8.543333333333335,,,
14,20171226.0,7.7,7.7,7.7,7.7,300.0,8.06673583984375,8.168718070303196,8.316028914612593,8.430888888888889,,,
15,20171221.0,8.0,8.0,8.0,8.0,1300.0,8.033367919921876,8.112478713535465,8.258569111955762,8.373437037037037,,,
16,20171220.0,8.0,8.0,8.0,8.0,3000.0,8.016683959960936,8.07498580902364,8.21155654614562,8.323645432098767,,,
17,20171218.0,8.5,8.5,8.5,8.5,600.0,8.258341979980468,8.216657206015762,8.26400081048278,8.347159374485598,,,
18,20171214.0,7.7,7.7,7.7,7.7,100.0,7.979170989990234,8.04443813734384,8.16145520857682,8.260871457887518,8.404999999999998,,
19,20171213.0,8.699999999999998,8.699999999999998,8.699999999999998,8.699999999999998,10.0,8.339585494995116,8.262958758229228,8.259372443381034,8.319421930169183,8.433095238095236,,
20,20171208.0,8.699999999999998,8.699999999999998,8.699999999999998,8.699999999999998,108.0,8.519792747497558,8.408639172152819,8.33948654458448,8.370165672813291,8.458514739229022,,
21,20171207.0,7.8,8.0,8.0,7.8,2500.0,8.15989637374878,8.205759448101878,8.241398081932756,8.294143583104852,8.395799049778638,,
22,20171206.0,8.0,8.0,8.0,8.0,1800.0,8.07994818687439,8.137172965401254,8.197507521581347,8.254924438690873,8.358103902180673,,
23,20171205.0,8.5,8.5,8.5,8.5,250.0,8.289974093437193,8.258115310267502,8.2525061540211,8.287601180198756,8.371617816258704,,
24,20171204.0,8.3,8.3,8.3,8.199999999999998,3000.0,8.294987046718596,8.272076873511667,8.261141398744538,8.289254356172256,8.364797071853113,,
25,20171201.0,8.199999999999998,8.599999999999998,8.599999999999998,8.199999999999998,1510.0,8.2474935233593,8.248051249007778,8.250024780790987,8.277353775349289,8.349102112629009,,
26,20171130.0,9.0,9.0,9.0,9.0,2900.0,8.623746761679648,8.498700832671853,8.386383911556258,8.373706605302717,8.411092387616721,,
27,20171129.0,8.699999999999998,8.699999999999998,8.699999999999998,8.699999999999998,100.0,8.661873380839825,8.565800555114569,8.44340501854603,8.417212391262355,8.438607398319892,,
28,20171128.0,9.5,9.5,9.5,9.5,100.0,9.080936690419913,8.877200370076377,8.635513196992207,8.561584072427374,8.53969240800371,,
29,20171116.0,9.5,9.5,9.5,9.5,100.0,9.290468345209957,9.084800246717586,8.792692615720897,8.686706196103724,8.631150273908117,,
30,20171114.0,8.5,8.5,8.5,8.5,2000.0,8.895234172604978,8.889866831145058,8.739475776498915,8.661812036623228,8.618659771631153,,
31,20171107.0,8.5,8.5,8.5,8.5,2000.0,8.69761708630249,8.759911220763373,8.695934726226385,8.640237098406798,8.607358840999616,,
32,20171102.0,8.5,8.4,8.5,8.4,3800.0,8.598808543151245,8.67327414717558,8.66031023054886,8.621538818619225,8.597134189475842,,
33,20171030.0,9.0,8.5,9.0,8.5,2100.0,8.799404271575622,8.78218276478372,8.722072006812704,8.672000309469995,8.635502361906715,,
34,20171010.0,10.0,10.0,10.0,10.0,410.0,9.399702135787807,9.188121843189148,8.954422551028577,8.849066934873996,8.765454517915598,,
35,20171009.0,10.0,10.0,10.0,10.0,200.0,9.699851067893906,9.458747895459432,9.144527541750653,9.002524676890799,8.883030278114113,,
36,20170925.0,9.0,9.0,9.0,9.0,100.0,9.349925533946951,9.30583193030629,9.118249806886896,9.002188053305357,8.894170251627054,,
37,20170921.0,8.0,8.0,8.0,8.0,350.0,8.674962766973476,8.870554620204192,8.914931660180189,8.86856297953131,8.809011180043525,,
38,20170920.0,8.5,8.5,8.5,8.5,600.0,8.58748138348674,8.747036413469461,8.839489540147428,8.819421248927135,8.779581543848904,,
39,20170919.0,9.9,9.9,9.9,9.9,200.0,9.243740691743366,9.13135760897964,9.032309623756989,8.96349841573685,8.886288063482342,,
40,20170915.0,9.9,9.9,9.9,9.9,300.0,9.571870345871684,9.387571739319759,9.190071510346623,9.088365293638605,8.982832057436402,,
41,20170913.0,11.6,11.6,11.6,11.6,2100.0,10.58593517293584,10.125047826213173,9.628240326647239,9.423249921153456,9.232086147204367,,
42,20170825.0,10.1,10.1,10.1,10.1,3000.0,10.34296758646792,10.116698550808781,9.71401481271138,9.513483264999666,9.314744609375376,,
43,20170824.0,10.1,10.1,10.1,10.1,1100.0,10.22148379323396,10.111132367205855,9.784193937672946,9.591685496333042,9.389530837053913,,
44,20170821.0,9.0,10.1,10.1,9.0,6200.0,9.610741896616979,9.740754911470567,9.64161322173241,9.51279409682197,9.352432662096398,,
45,20170817.0,10.1,10.1,10.1,10.1,3300.0,9.85537094830849,9.860503274313713,9.724956272326516,9.591088217245705,9.42362955142055,,
46,20170816.0,11.8,11.8,11.8,11.8,100.0,10.827685474154244,10.507002182875809,10.10223695008533,9.885609788279613,9.649950546523357,,
47,20170804.0,10.3,10.3,10.3,10.3,300.0,10.563842737077124,10.438001455250541,10.138193868251635,9.940861816508994,9.711860018283037,,
48,20170724.0,12.0,12.0,12.0,12.0,200.0,11.281921368538562,10.958667636833693,10.476704074024063,10.215413574307796,9.92977811177989,8.955999999999998,
49,20170718.0,12.0,12.0,12.0,12.0,200.0,11.640960684269281,11.305778424555795,10.75366696965605,10.453358431066755,10.126942101134183,9.075372549019608,
50,20170717.0,10.5,10.5,10.5,10.5,1200.0,11.07048034213464,11.037185616370529,10.70754570244586,10.45957730692452,10.162471424835694,9.131240292195308,
51,20170713.0,9.2,9.2,9.2,9.2,700.0,10.135240171067322,10.424790410913687,10.43344648381934,10.291633666001252,10.070807479613245,9.133936751324905,
52,20170711.0,8.0,8.0,8.0,8.0,500.0,9.067620085533663,9.616526940609125,9.991001668579461,9.98608251053442,9.873587719650079,9.08946864342981,
53,20170703.0,8.5,8.5,8.5,8.5,200.0,8.783810042766833,9.244351293739417,9.719910456110467,9.787938175796494,9.742769841588167,9.066352226040406,
54,20170629.0,10.0,10.0,10.0,10.0,100.0,9.391905021383415,9.496234195826277,9.770835827726744,9.816213085690297,9.767267951913103,9.1029658642349,
55,20170626.0,8.8,8.8,8.8,8.8,1100.0,9.095952510691708,9.26415613055085,9.59432022268552,9.680718007598257,9.675147194588044,9.09108484995118,
56,20170530.0,10.3,10.3,10.3,10.3,100.0,9.697976255345854,9.609437420367234,9.722625636742698,9.763288939918489,9.734656985579662,9.138493287207993,
57,20170529.0,9.0,9.0,9.0,9.0,5300.0,9.348988127672927,9.406291613578157,9.591239157334936,9.661517081262692,9.664689653619693,9.13306217790572,
58,20170525.0,9.2,9.2,9.2,9.2,100.0,9.274494063836466,9.337527742385438,9.520104765092217,9.599981470427668,9.620433496132105,9.135687190536867,
59,20170523.0,9.5,9.5,9.5,9.5,100.0,9.387247031918234,9.39168516159029,9.516449353257268,9.586650607703977,9.608963639357617,9.14997396737856,
60,20170425.0,10.1,10.1,10.1,10.1,100.0,9.743623515959115,9.627790107726861,9.622549470846854,9.655097193343444,9.655729007037845,9.187229890226462,
61,20170420.0,8.8,8.8,8.8,8.8,100.0,9.271811757979556,9.351860071817908,9.472995021601974,9.541084234230988,9.574231006367576,9.172044404335226,
62,20170419.0,7.7,7.7,7.7,7.7,100.0,8.48590587898978,8.801240047878606,9.150632290401616,9.295606336333522,9.395732815284948,9.114317172792669,
