,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,22.9,22.9,22.9,22.9,301.0,,,,,,,
1,20180518.0,23.3,23.3,23.3,23.3,15710.0,23.06666666666666,,,,,,
2,20180516.0,23.7,23.7,23.7,23.7,76.0,23.383333333333333,,,,,,
3,20180515.0,24.3,23.3,24.4,23.2,3590.0,23.84166666666667,23.44,,,,,
4,20180514.0,23.3,23.1,23.3,23.1,2900.0,23.570833333333333,23.39333333333333,,,,,
5,20180511.0,23.5,23.4,23.9,23.4,670.0,23.53541666666666,23.42888888888889,,,,,
6,20180510.0,24.0,23.9,24.0,23.9,3200.0,23.76770833333333,23.61925925925926,,,,,
7,20180509.0,24.5,24.5,24.5,24.5,105.0,24.13385416666666,23.912839506172837,,,,,
8,20180508.0,23.2,23.1,23.2,23.1,16223.0,23.66692708333333,23.67522633744856,23.57,,,,
9,20180507.0,23.1,23.1,23.2,23.0,2490.0,23.383463541666668,23.483484224965707,23.484545454545454,,,,
10,20180504.0,23.2,23.0,23.2,22.8,28512.0,23.29173177083333,23.38898948331047,23.432809917355367,,,,
11,20180503.0,23.2,23.2,23.2,23.2,5862.0,23.245865885416663,23.325992988873644,23.390480841472574,,,,
12,20180502.0,23.3,23.3,23.4,23.3,21200.0,23.272932942708334,23.317328659249096,23.374029779386657,23.464285714285715,,,
13,20180427.0,23.3,23.3,23.3,23.3,15945.0,23.28646647135417,23.311552439499398,23.36056981949817,23.44238095238096,,,
14,20180426.0,23.3,23.5,23.5,23.3,20094.0,23.29323323567709,23.307701626332936,23.34955712504396,23.42339682539683,,,
15,20180424.0,23.3,23.7,23.7,23.3,122248.0,23.29661661783855,23.305134417555294,23.340546738672327,23.406943915343916,,,
16,20180423.0,23.7,24.1,24.1,23.7,37900.0,23.49830830891927,23.436756278370193,23.405901877095538,23.44601805996473,,,
17,20180420.0,24.1,24.0,24.1,24.0,24430.0,23.79915415445964,23.657837518913464,23.53210153580544,23.533215651969435,,,
18,20180419.0,24.1,24.5,24.5,24.1,2500.0,23.94957707722982,23.80522501260897,23.635355802022637,23.60878689837351,23.515000000000008,,
19,20180418.0,24.2,24.3,24.3,24.2,2400.0,24.07478853861491,23.936816675072645,23.738018383473058,23.687615311923704,23.580238095238098,,
20,20180417.0,24.5,24.1,24.8,24.0,7682.0,24.287394269307452,24.12454445004843,23.87656049556887,23.795933270333883,23.667834467120187,,
21,20180416.0,24.6,24.6,24.6,23.7,10557.0,24.44369713465373,24.283029633365626,24.00809495091998,23.903142167622697,23.756612136918264,,
22,20180413.0,24.7,24.0,24.9,24.0,15285.0,24.571848567326864,24.422019755577082,24.133895868934534,24.009389878606335,23.846458600068907,,
23,20180412.0,24.7,24.1,25.0,24.0,34515.0,24.63592428366343,24.514679837051386,24.236823892764615,24.10147122812549,23.927748257205202,,
24,20180411.0,24.7,24.5,25.0,24.5,21205.0,24.667962141831715,24.576453224700927,24.321037730443784,24.18127506437543,24.001296042233278,,
25,20180410.0,25.3,25.2,25.3,25.2,11800.0,24.983981070915856,24.81763548313395,24.49903087036309,24.33043838912537,24.124982133449155,,
26,20180409.0,25.2,25.2,25.2,25.1,6290.0,25.091990535457928,24.9450903220893,24.62647980302435,24.446379937241986,24.227364787406376,,
27,20180406.0,24.9,25.0,25.1,24.8,5700.0,24.995995267728965,24.9300602147262,24.676210747929005,24.506862612276382,24.29142528384387,,
28,20180405.0,25.2,25.4,25.4,25.1,1705.0,25.09799763386448,25.020040143150805,24.771445157396464,24.599280930639534,24.37795620919207,,
29,20180404.0,25.9,25.1,26.0,25.1,17550.0,25.49899881693224,25.313360095433872,24.976636946960735,24.7727101398876,24.522912760697583,,
30,20180403.0,25.9,25.7,26.0,25.7,25010.0,25.699499408466117,25.508906730289244,25.144521138422427,24.92301545456925,24.65406392634544,,
31,20180402.0,26.0,26.0,26.0,25.7,6179.0,25.849749704233055,25.672604486859488,25.30006274961835,25.06661339396001,24.78224831431254,,
