,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,19.2,18.1,19.2,18.0,260.0,,,,,,,
1,20180518.0,18.7,18.05,18.7,18.0,4120.0,18.96666666666667,,,,,,
2,20180517.0,17.5,17.6,17.7,17.25,5170.0,18.23333333333333,,,,,,
3,20180516.0,17.6,17.6,17.6,17.6,80.0,17.916666666666668,18.4,,,,,
4,20180515.0,17.8,17.5,17.8,17.5,600.0,17.858333333333334,18.2,,,,,
5,20180514.0,18.1,17.5,18.1,17.2,11230.0,17.979166666666668,18.166666666666668,,,,,
6,20180511.0,17.5,17.6,17.6,17.5,5350.0,17.73958333333334,17.944444444444446,,,,,
7,20180510.0,17.5,17.1,17.5,17.1,60.0,17.619791666666668,17.796296296296294,,,,,
8,20180509.0,17.5,17.5,17.5,17.5,50.0,17.55989583333334,17.69753086419753,18.04,,,,
9,20180508.0,17.0,17.0,17.0,17.0,10.0,17.279947916666668,17.465020576131685,17.85090909090909,,,,
10,20180507.0,17.5,17.0,17.5,17.0,450.0,17.38997395833334,17.476680384087793,17.78710743801653,,,,
11,20180504.0,17.2,17.3,17.3,16.8,1340.0,17.294986979166662,17.38445358939186,17.680360631104435,,,,
12,20180503.0,16.2,16.2,16.2,16.2,40.0,16.747493489583334,16.98963572626124,17.41120415272181,17.735714285714284,,,
13,20180502.0,16.8,17.0,17.0,16.8,590.0,16.773746744791666,16.926423817507494,17.30007612495421,17.61095238095238,,,
14,20180427.0,17.0,17.0,17.0,17.0,5000.0,16.886873372395833,16.95094921167166,17.245516829507988,17.529492063492064,,,
15,20180426.0,17.0,16.2,17.0,16.2,5210.0,16.943436686197916,16.967299474447774,17.20087740596108,17.458893121693123,,,
16,20180424.0,16.399999999999995,17.2,17.2,16.399999999999995,30.0,16.67171834309896,16.778199649631848,17.05526333214997,17.31770737213404,,,
17,20180423.0,17.1,16.6,17.1,16.6,60.0,16.885859171549477,16.8854664330879,17.06339727175907,17.288679722516168,,,
18,20180420.0,16.55,17.1,17.1,16.55,210.0,16.71792958577474,16.773644288725265,16.97005231325742,17.190189092847344,17.4575,,
19,20180419.0,17.0,17.0,17.0,17.0,100.0,16.85896479288737,16.849096192483515,16.975497347210617,17.164830547134365,17.41392857142857,,
20,20180418.0,17.3,17.5,17.5,17.2,7060.0,17.079482396443687,16.999397461655676,17.034497829535958,17.182853140849787,17.403078231292515,,
21,20180417.0,17.5,17.3,17.5,17.0,7200.0,17.289741198221844,17.166264974437116,17.119134587802147,17.22513938873648,17.412308875931323,,
22,20180416.0,17.3,17.3,17.3,17.3,20.0,17.294870599110922,17.21084331629141,17.152019208201757,17.23512080357161,17.401612792509294,,
23,20180413.0,17.3,17.25,17.3,17.2,3180.0,17.29743529955546,17.24056221086094,17.178924806710526,17.243771363095394,17.391935383698886,,
24,20180412.0,17.5,17.5,17.5,17.5,50.0,17.398717649777726,17.327041473907293,17.237302114581343,17.277935181349346,17.40222725191804,,
