,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180518.0,9.3,9.3,9.3,9.3,2400.0,,,,,,,
1,20180517.0,8.199999999999998,8.199999999999998,8.199999999999998,8.199999999999998,600.0,8.533333333333331,,,,,,
2,20180516.0,7.9,7.9,7.9,7.9,100.0,8.216666666666665,,,,,,
3,20180509.0,9.0,9.1,9.1,9.0,2601.0,8.608333333333334,8.5,,,,,
4,20180508.0,9.5,9.1,9.5,9.0,3500.0,9.054166666666669,8.833333333333334,,,,,
5,20180504.0,9.1,9.1,9.1,9.1,32.0,9.077083333333334,8.922222222222222,,,,,
6,20180503.0,9.1,9.1,9.1,9.1,100.0,9.08854166666667,8.981481481481481,,,,,
7,20180502.0,10.2,10.2,10.2,10.2,100.0,9.644270833333332,9.38765432098765,,,,,
8,20180427.0,9.3,9.3,9.3,9.3,400.0,9.472135416666669,9.358436213991768,8.97,,,,
9,20180426.0,9.3,9.3,9.3,9.3,800.0,9.386067708333332,9.338957475994512,9.03,,,,
10,20180423.0,9.3,9.4,9.4,9.3,5000.0,9.343033854166666,9.325971650663009,9.07909090909091,,,,
11,20180420.0,9.3,9.3,9.3,9.3,10000.0,9.321516927083332,9.317314433775337,9.11925619834711,,,,
12,20180419.0,10.0,10.2,10.3,10.0,500.0,9.660758463541665,9.54487628918356,9.27939143501127,9.114285714285712,,,
13,20180418.0,10.3,10.3,10.9,10.3,4700.0,9.980379231770831,9.796584192789041,9.464956628645583,9.272380952380953,,,
14,20180417.0,10.3,10.3,10.3,10.3,500.0,10.140189615885417,9.96438946185936,9.61678269616457,9.409396825396824,,,
15,20180416.0,12.0,9.3,12.4,9.3,1200.0,11.070094807942708,10.64292630790624,10.050094933225555,9.754810582010583,,,
16,20180413.0,10.9,10.9,10.9,10.9,100.0,10.985047403971354,10.72861753860416,10.204623127184544,9.907502504409171,,,
17,20180403.0,9.6,9.6,9.6,9.6,100.0,10.292523701985678,10.352411692402772,10.094691649514628,9.86650217048795,,,
18,20180327.0,9.7,9.7,9.7,9.7,100.0,9.996261850992836,10.134941128268515,10.02292953142106,9.844301881089555,9.52,,
19,20180326.0,11.4,11.4,11.4,11.4,100.0,10.698130925496418,10.556627418845677,10.273305980253594,10.05172829694428,9.699047619047615,,
20,20180323.0,10.0,10.0,10.0,10.0,400.0,10.349065462748207,10.371084945897119,10.223613983843848,10.044831190685043,9.727709750566893,,
21,20180322.0,10.0,10.0,10.0,10.0,700.0,10.174532731374104,10.247389963931413,10.18295689587224,10.038853698593703,9.75364215527481,,
22,20180321.0,11.0,12.4,12.4,11.0,200.0,10.587266365687054,10.498259975954273,10.331510187531832,10.167006538781209,9.872342902391491,,
23,20180320.0,11.0,11.0,11.0,11.0,100.0,10.793633182843523,10.665506650636184,10.453053789798771,10.27807233361038,9.979738816449446,,
24,20180319.0,9.6,9.7,9.7,9.6,2200.0,10.19681659142176,10.310337767090788,10.297953100744449,10.187662689128995,9.943573214882832,,
25,20180312.0,9.7,9.7,9.7,9.7,100.0,9.94840829571088,10.106891844727192,10.18923435515455,10.122640997245128,9.920375765846373,,
26,20180308.0,9.7,9.7,10.0,9.7,1900.0,9.82420414785544,9.971261229818126,10.10028265421736,10.066288864279112,9.899387597670525,,
