,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,23.8,23.8,23.8,23.7,24100.0,,,,,,,
1,20180518.0,24.7,24.6,24.9,24.6,27700.0,24.166666666666668,,,,,,
2,20180517.0,24.4,23.7,24.6,23.7,23000.0,24.28333333333333,,,,,,
3,20180516.0,23.5,25.8,25.8,23.5,51000.0,23.89166666666666,24.08,,,,,
4,20180515.0,25.6,25.2,25.6,25.2,27700.0,24.74583333333333,24.58666666666667,,,,,
5,20180514.0,25.0,24.8,25.0,24.8,26000.0,24.87291666666667,24.724444444444448,,,,,
6,20180511.0,24.9,24.8,24.9,24.8,23300.0,24.88645833333333,24.782962962962962,,,,,
7,20180510.0,24.8,24.7,25.0,24.7,26700.0,24.843229166666667,24.78864197530864,,,,,
8,20180509.0,24.6,24.0,24.7,24.0,23200.0,24.72161458333333,24.72576131687243,24.53,,,,
9,20180508.0,24.0,25.5,25.5,22.8,46500.0,24.360807291666667,24.483840877914957,24.433636363636367,,,,
10,20180507.0,25.2,26.1,26.1,25.1,20000.0,24.780403645833328,24.722560585276636,24.572975206611567,,,,
11,20180504.0,26.1,26.5,26.6,26.1,24200.0,25.440201822916666,25.18170705685109,24.850616078136735,,,,
12,20180503.0,26.3,25.2,26.9,25.2,20220.0,25.870100911458337,25.554471371234058,25.11414042756643,24.778571428571432,,,
13,20180502.0,25.0,22.8,25.0,22.8,45510.0,25.43505045572917,25.369647580822708,25.093387622554342,24.808095238095238,,,
14,20180427.0,22.8,22.3,22.8,22.3,87400.0,24.117525227864583,24.513098387215138,24.676408054817188,24.54034920634921,,,
15,20180426.0,22.4,22.4,22.6,22.2,21800.0,23.258762613932287,23.808732258143426,24.262515681214065,24.25496931216931,,,
16,20180424.0,22.5,22.4,22.6,22.3,19500.0,22.879381306966145,23.372488172095615,23.942058284629688,24.02097340388008,,,
17,20180423.0,22.3,22.9,22.9,22.3,23500.0,22.589690653483075,23.014992114730408,23.643502232878838,23.791510283362722,,,
18,20180420.0,22.9,22.9,22.9,22.8,40100.0,22.744845326741537,22.976661409820274,23.508320008719046,23.67264224558103,24.24,,
19,20180419.0,22.9,24.0,24.0,22.7,22800.0,22.822422663370766,22.95110760654685,23.39771637077013,23.56962327950356,24.112380952380953,,
20,20180418.0,23.0,23.0,23.0,22.9,23477.0,22.911211331685383,22.967405071031234,23.32540430335738,23.493673508903086,24.006439909297058,,
21,20180417.0,23.0,22.9,23.1,22.9,23000.0,22.95560566584269,22.978270047354158,23.266239884565127,23.427850374382675,23.910588489364,,
22,20180416.0,23.0,23.0,23.2,22.9,24400.0,22.977802832921345,22.98551336490277,23.217832632826017,23.370803657798316,23.82386577609124,,
23,20180413.0,23.0,23.1,23.3,22.9,117577.0,22.98890141646067,22.99034224326851,23.178226699584922,23.321363170091878,23.745402368844452,,
24,20180412.0,23.4,23.1,23.4,23.0,27800.0,23.19445070823033,23.12689482884568,23.21854911784221,23.33184808074629,23.712506905144984,,
25,20180411.0,23.4,23.3,23.6,23.0,21800.0,23.297225354115167,23.21792988589712,23.25154018732544,23.340935003313454,23.682744342750222,,
26,20180410.0,23.4,23.5,23.6,23.0,19800.0,23.34861267705758,23.27861992393141,23.278532880539,23.348810336204995,23.655816310107348,,
27,20180409.0,23.7,23.7,23.9,23.5,23700.0,23.52430633852879,23.41907994928761,23.355163265895538,23.395635624710994,23.66002428057331,,
28,20180406.0,23.8,23.7,23.8,23.5,20810.0,23.66215316926439,23.546053299525074,23.436042672096352,23.449550874749534,23.673355301471087,,
29,20180405.0,23.7,23.5,23.8,23.2,24500.0,23.681076584632198,23.597368866350045,23.484034913533378,23.482944091449593,23.675892891807173,,
30,20180404.0,23.7,23.6,23.8,23.5,28900.0,23.6905382923161,23.631579244233365,23.52330129289094,23.511884879256314,23.67818880687316,,
31,20180403.0,23.5,23.8,23.8,23.5,27610.0,23.59526914615805,23.58771949615557,23.519064694183502,23.510300228688802,23.66121844431381,,
32,20180402.0,23.9,24.2,24.3,23.7,40500.0,23.747634573079026,23.69181299743705,23.58832565887741,23.56226019819696,23.683959544855355,,
33,20180330.0,24.0,21.9,24.0,21.9,63100.0,23.873817286539513,23.794541998291365,23.663175539081518,23.620625505104034,23.71405863582151,,
34,20180329.0,21.9,24.1,24.4,21.7,210500.0,22.886908643269756,23.163027998860912,23.342598168339425,23.391208771090167,23.54129114669565,,
35,20180328.0,24.1,24.3,24.3,24.0,17800.0,23.49345432163488,23.47535199924061,23.480307592277715,23.485714268278137,23.59450151367702,,
36,20180327.0,24.3,24.3,24.4,24.0,18000.0,23.89672716081744,23.750234666160402,23.62934257549994,23.59428569917439,23.661691845707775,,
37,20180326.0,24.1,24.5,24.5,24.0,15400.0,23.99836358040872,23.8668231107736,23.71491665268177,23.661714272617804,23.70343547944989,,
38,20180323.0,24.4,24.4,24.6,24.4,16700.0,24.19918179020436,24.044548740515737,23.839477261285086,23.760152369602093,23.769774957597523,,
39,20180322.0,24.5,24.6,24.6,24.5,15900.0,24.349590895102175,24.19636582701049,23.9595723046878,23.85879872032182,23.839320199731088,,
40,20180321.0,24.2,24.8,24.9,24.2,18600.0,24.27479544755109,24.197577218006995,24.003286431108197,23.904292224278905,23.87367065689956,,
41,20180320.0,24.9,25.0,25.0,24.8,16200.0,24.587397723775545,24.431718145338,24.166325261815803,24.03705326104172,23.971416308623404,,
42,20180319.0,24.9,25.0,25.0,24.8,18000.0,24.74369886188777,24.587812096892,24.299720668758376,24.152112826236152,24.059852850659276,,
43,20180316.0,25.0,25.7,25.7,25.0,13810.0,24.87184943094389,24.725208064594664,24.42704418352958,24.265164449404665,24.14939067440601,,
44,20180315.0,25.7,26.0,26.0,25.5,23700.0,25.285924715471943,25.050138709729772,24.65849069561511,24.456475856150718,24.29706775303401,,
45,20180314.0,26.1,26.0,26.1,25.9,17600.0,25.69296235773597,25.400092473153183,24.920583296412364,24.67561240866395,24.468775586078394,,
46,20180313.0,26.0,25.9,26.0,25.9,18400.0,25.846481178867982,25.600061648768786,25.116840878882847,24.852197420842085,24.614606482642355,,
47,20180312.0,26.0,26.0,26.1,25.8,22400.0,25.923240589434,25.733374432512527,25.277415264540508,25.005237764729813,24.7465487223907,,
48,20180309.0,26.0,25.9,26.0,25.9,20472.0,25.961620294716997,25.822249621675013,25.40879430735133,25.137872729432505,24.865925034543967,24.166000000000007,
49,20180308.0,25.9,25.9,26.0,25.9,19935.0,25.930810147358496,25.848166414450013,25.49810443328745,25.239489698841503,24.9644083645874,24.234000000000005,
50,20180307.0,26.0,25.9,26.0,25.8,17500.0,25.965405073679246,25.89877760963334,25.589358172689725,25.34089107232931,25.063036139388604,24.303254901960788,
51,20180306.0,26.0,26.0,26.0,25.9,16300.0,25.98270253683962,25.932518406422226,25.664020323109778,25.428772262685396,25.152270792780165,24.369793925413305,
52,20180305.0,26.0,25.8,26.1,25.8,28828.0,25.99135126841981,25.955012270948146,25.725107537089823,25.504935960994008,25.233006907753477,24.43372357539709,
53,20180302.0,25.9,25.7,25.9,25.7,18830.0,25.945675634209906,25.936674847298764,25.756906166709854,25.55761116619481,25.296530059396,24.491224611656033,
54,20180301.0,25.7,25.5,25.7,25.5,21153.0,25.822837817104958,25.85778323153251,25.74655959094442,25.5765963440355,25.33495576802496,24.53862756806168,
