,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180508.0,5.5,5.5,5.5,5.5,1000.0,,,,,,,
1,20180424.0,5.5,5.5,5.5,5.5,3700.0,5.5,,,,,,
2,20180419.0,5.2,5.2,5.2,5.2,24.0,5.35,,,,,,
3,20180417.0,5.2,5.2,5.2,5.2,100.0,5.275,5.38,,,,,
4,20180416.0,5.5,5.5,5.5,5.5,6.0,5.3875,5.42,,,,,
5,20180413.0,5.5,5.7,5.7,5.5,9000.0,5.44375,5.446666666666665,,,,,
6,20180412.0,5.7,6.0,6.0,5.7,1418.0,5.571875,5.531111111111111,,,,,
7,20180411.0,6.0,5.8,6.0,5.8,1100.0,5.7859375,5.687407407407407,,,,,
8,20180410.0,6.0,6.0,6.0,6.0,738.0,5.89296875,5.791604938271605,5.56,,,,
9,20180406.0,6.5,6.5,6.5,6.5,10.0,6.196484375000001,6.027736625514403,5.730909090909091,,,,
10,20180403.0,6.5,6.5,6.5,6.5,40.0,6.3482421875,6.1851577503429365,5.870743801652892,,,,
11,20180402.0,6.5,6.5,6.5,6.5,210.0,6.424121093750001,6.290105166895289,5.985154019534185,,,,
12,20180329.0,6.5,6.5,6.5,6.5,46.0,6.4620605468750005,6.360070111263528,6.078762379618878,5.828571428571428,,,
13,20180312.0,6.5,6.5,6.5,6.5,200.0,6.481030273437501,6.4067134075090175,6.155351037869992,5.918095238095237,,,
14,20180118.0,6.0,6.0,6.0,6.0,14.0,6.24051513671875,6.271142271672678,6.1271053946209015,5.9290158730158735,,,
15,20171128.0,6.0,6.0,6.0,6.0,100.0,6.120257568359375,6.180761514448451,6.103995322871646,5.938480423280424,,,
16,20171011.0,6.0,6.0,6.0,6.0,500.0,6.060128784179687,6.120507676298968,6.085087082349529,5.946683033509699,,,
17,20170908.0,6.0,6.0,6.0,6.0,9.0,6.0300643920898445,6.0803384508659795,6.069616703740524,5.953791962375074,,,
18,20170828.0,6.0,6.0,6.0,6.0,6.0,6.015032196044921,6.053558967243986,6.056959121242247,5.959953034058396,5.904999999999999,,
19,20170818.0,6.0,6.0,6.0,6.0,200.0,6.007516098022462,6.035705978162658,6.04660291738002,5.965292629517279,5.9140476190476186,,
20,20170817.0,6.0,6.0,6.0,6.0,200.0,6.00375804901123,6.023803985441771,6.038129659674563,5.969920278914975,5.922233560090701,,
21,20170816.0,6.0,6.0,6.0,6.0,900.0,6.001879024505615,6.015869323627848,6.031196994279187,5.973930908392979,5.9296398877011125,,
22,20170802.0,5.5,5.5,5.5,5.5,32.0,5.750939512252807,5.843912882418564,5.934615722592063,5.910740120607247,5.888721803158148,,
23,20170728.0,5.5,5.5,5.5,5.5,100.0,5.625469756126403,5.72927525494571,5.855594682120778,5.855974771192948,5.851700679047848,,
24,20170727.0,5.8,5.8,5.8,5.8,1000.0,5.712734878063202,5.752850169963808,5.845486558098819,5.848511468367221,5.846776804852816,,
25,20170717.0,6.1,6.1,6.1,6.1,800.0,5.906367439031601,5.86856677997587,5.891761729353579,5.882043272584924,5.8708932996287375,,
26,20170714.0,6.0,6.0,6.0,6.0,1862.0,5.953183719515801,5.912377853317247,5.911441414925656,5.897770836240269,5.8831891758545725,,
27,20170713.0,5.9,5.9,5.9,5.9,100.0,5.926591859757901,5.9082519022114965,5.909361157666447,5.898068058074901,5.884790206725565,,
28,20170704.0,5.5,5.3,5.5,5.3,300.0,5.713295929878949,5.7721679348076655,5.834931856272545,5.844992316998248,5.8481435203707495,,
29,20170627.0,5.6,5.6,5.6,5.6,70.0,5.656647964939475,5.7147786232051105,5.7922169733139,5.812326674731815,5.824510804144963,,
30,20170608.0,5.6,5.6,5.6,5.6,100.0,5.6283239824697375,5.67651908213674,5.757268432711373,5.78401645143424,5.803128822797825,,
31,20170522.0,6.2,6.1,6.2,6.1,200.0,5.914161991234868,5.8510127214244925,5.837765081309305,5.83948092457634,5.840926077769461,,
32,20170510.0,5.8,5.8,5.8,5.8,2000.0,5.857080995617434,5.834008480949662,5.830898702889432,5.834216801299496,5.837028356077132,,
33,20170420.0,5.3,5.3,5.3,5.3,300.0,5.578540497808717,5.6560056539664405,5.7343716660004445,5.762987894459561,5.785882798355499,,
34,20170403.0,4.9,4.9,4.9,4.9,800.0,5.239270248904359,5.404003769310961,5.582667726727636,5.647922841864953,5.701513008035929,,
35,20170331.0,4.5,4.5,4.5,4.5,200.0,4.869635124452179,5.102669179540641,5.385819049140793,5.494866462949627,5.587083197746793,,
36,20170329.0,4.1,4.5,4.5,4.1,1700.0,4.484817562226088,4.768446119693761,5.152033767478831,5.308884267889676,5.445456226532813,,
