,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,19.9,19.9,19.9,19.9,100.0,,,,,,,
1,20180518.0,18.6,20.0,20.0,18.6,90.0,19.916666666666668,,,,,,
2,20180517.0,19.4,19.2,19.4,19.2,270.0,19.658333333333328,,,,,,
3,20180516.0,18.2,19.0,19.0,18.2,990.0,18.929166666666667,19.47,,,,,
4,20180515.0,18.0,18.0,18.0,18.0,100.0,18.46458333333333,18.98,,,,,
5,20180514.0,18.5,19.0,19.2,18.5,360.0,18.48229166666667,18.82,,,,,
6,20180511.0,18.35,18.35,18.35,18.35,120.0,18.41614583333333,18.66333333333333,,,,,
7,20180510.0,19.3,19.0,19.3,17.5,520.0,18.858072916666668,18.875555555555557,,,,,
8,20180509.0,18.2,18.2,18.2,18.2,20.0,18.52903645833333,18.650370370370368,18.97,,,,
9,20180508.0,18.8,19.5,20.0,18.8,1240.0,18.664518229166667,18.70024691358025,18.93909090909091,,,,
10,20180507.0,19.0,19.2,19.5,19.0,5490.0,18.83225911458333,18.800164609053496,18.950165289256198,,,,
11,20180504.0,18.8,19.0,19.8,18.8,5580.0,18.816129557291667,18.800109739369,18.922862509391436,,,,
12,20180503.0,18.7,18.9,20.0,18.7,12910.0,18.75806477864583,18.766739826246,18.882342053138448,18.928571428571438,,,
13,20180502.0,18.7,18.8,19.8,18.7,7710.0,18.729032389322917,18.74449321749733,18.849188952567822,18.898095238095244,,,
14,20180427.0,18.6,18.0,18.7,18.0,5080.0,18.664516194661456,18.69632881166489,18.80388187028276,18.858349206349214,,,
15,20180426.0,17.5,18.0,18.8,17.5,4380.0,18.082258097330726,18.297552541109926,18.566812439322256,18.677235978835984,,,
16,20180424.0,17.75,19.3,19.3,17.75,890.0,17.916129048665365,18.115035027406616,18.41830108671821,18.553604514991186,,,
17,20180423.0,19.0,19.3,19.6,19.0,3620.0,18.458064524332684,18.41002335160441,18.52406452549672,18.613123912992357,,,
18,20180420.0,19.35,20.9,20.9,19.35,1480.0,18.904032262166343,18.723348901069606,18.674234611770043,18.711374057926715,18.795,,
19,20180419.0,20.7,20.45,20.7,20.45,3330.0,19.802016131083167,19.382232600713074,19.042555591448217,18.976524183536483,18.976428571428578,,
20,20180418.0,20.0,21.7,21.7,20.0,400.0,19.901008065541586,19.588155067142047,19.216636393003085,19.112987625731616,19.073911564625856,,
21,20180417.0,21.4,21.4,21.4,21.3,3000.0,20.65050403277079,20.192103378094693,19.61361159427525,19.417922608967405,19.295443796566246,,
22,20180416.0,21.2,21.8,21.8,21.2,990.0,20.925252016385397,20.528068918729797,19.90204584986157,19.655532927771752,19.476830101655175,,
23,20180413.0,21.6,22.0,22.0,21.6,120.0,21.262626008192697,20.8853792791532,20.210764786250376,19.91479520406885,19.6790367586404,,
24,20180412.0,21.8,22.0,22.0,21.8,90.0,21.531313004096347,21.1902528527688,20.49971664329576,20.16615584352634,19.881033257817503,,
25,20180411.0,21.5,22.0,22.1,21.5,3530.0,21.515656502048174,21.293501901845868,20.68158634451472,20.34400173105616,20.035220566596795,,
26,20180410.0,21.5,22.0,22.0,21.5,490.0,21.50782825102409,21.362334601230575,20.83038882733022,20.498134833582004,20.174723369778047,,
27,20180409.0,21.4,22.95,22.95,21.4,1790.0,21.45391412551204,21.374889734153722,20.933954495088358,20.618383522437732,20.29141638218014,,
28,20180406.0,22.95,23.0,23.0,22.95,360.0,22.201957062756026,21.89992648943581,21.300508223254113,20.929265719446043,20.54461482197251,,
29,20180405.0,22.95,23.0,23.0,22.95,160.0,22.57597853137801,22.24995099295721,21.600415819026093,21.19869695685323,20.773699124641794,,
30,20180404.0,22.5,23.1,23.1,22.5,2010.0,22.537989265689006,22.333300661971474,21.763976579203167,21.3722040292728,20.938108731818765,,
31,20180403.0,23.0,23.0,23.0,22.2,1570.0,22.768994632844507,22.55553377464765,21.988708110257132,21.589243492036424,21.1344793287884,,
32,20180402.0,22.0,23.5,23.5,21.8,16100.0,22.384497316422248,22.3703558497651,21.990761181119474,21.644011026431567,21.216909868903794,,
33,20180330.0,23.4,24.3,24.3,23.4,6220.0,22.892248658211123,22.713570566510068,22.24698642091593,21.878142889574022,21.42482321472248,,
