,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,31.7,32.2,32.4,31.6,126170.0,,,,,,,
1,20180518.0,32.4,32.2,32.7,32.0,146650.0,31.7,,,,,,
2,20180517.0,32.5,32.9,33.15,32.0,189990.0,32.1,,,,,,
3,20180516.0,33.15,34.0,34.0,32.8,132270.0,32.625,32.15,,,,,
4,20180515.0,34.0,33.3,34.2,32.5,169900.0,33.3125,32.766666666666666,,,,,
5,20180514.0,33.4,31.7,34.0,31.55,230330.0,33.35625,32.977777777777774,,,,,
6,20180511.0,31.8,31.1,31.8,30.9,156090.0,32.578125,32.585185185185175,,,,,
7,20180510.0,31.1,31.5,31.55,30.0,88790.0,31.8390625,32.090123456790124,,,,,
8,20180509.0,31.7,32.6,32.6,31.4,95830.0,31.76953125,31.96008230452675,32.275,,,,
9,20180508.0,33.0,32.45,33.1,32.3,130590.0,32.384765625,32.30672153635117,32.40681818181818,,,,
10,20180507.0,32.5,31.9,32.7,31.9,156410.0,32.4423828125,32.37114769090078,32.42376033057851,,,,
11,20180504.0,32.0,31.1,32.3,31.05,237520.0,32.22119140625,32.24743179393385,32.34671299774605,,,,
12,20180503.0,31.0,31.0,31.3,30.0,88220.0,31.610595703125,31.831621195955897,32.10185608906495,32.232142857142854,,,
13,20180502.0,31.6,31.7,31.85,31.3,129680.0,31.6052978515625,31.75441413063727,32.01060952741678,32.14785714285714,,,
14,20180427.0,31.8,31.9,31.9,30.1,507180.0,31.702648925781247,31.769609420424846,31.97231688606828,32.10147619047619,,,
15,20180426.0,32.0,33.6,33.6,31.9,141850.0,31.851324462890624,31.846406280283226,31.977350179510406,32.087946031746036,,,
16,20180424.0,33.5,32.0,33.6,31.9,171500.0,32.675662231445315,32.39760418685549,32.25419560141761,32.27621989417989,,,
17,20180423.0,32.2,33.4,33.5,31.5,139280.0,32.43783111572266,32.33173612457033,32.244341855705315,32.266057241622576,,,
18,20180420.0,33.4,33.35,33.7,32.3,132020.0,32.918915557861325,32.687824083046884,32.45446151830435,32.417249609406234,32.2875,,
19,20180419.0,33.3,34.05,34.1,32.5,166760.0,33.10945777893066,32.89188272203125,32.60819578770356,32.5349496614854,32.38392857142857,,
20,20180418.0,34.0,34.1,34.4,33.2,240990.0,33.55472888946533,33.26125514802084,32.861251099030184,32.73028970662068,32.53784013605442,,
21,20180417.0,34.1,33.7,34.1,33.3,219670.0,33.827364444732666,33.54083676534722,33.086478171933784,32.91291774573792,32.686617265954,,
22,20180416.0,33.8,33.9,34.05,33.3,331750.0,33.81368222236633,33.62722451023148,33.21620941340037,33.031195379639534,32.79265371681552,,
23,20180413.0,33.8,35.8,36.45,33.7,503890.0,33.80684111118316,33.68481634015431,33.32235315641849,33.13370266235425,32.88859145807119,,
24,20180412.0,35.9,35.5,35.9,35.05,419770.0,34.85342055559158,34.42321089343621,33.791016218887854,33.50254230737369,33.17539227158822,,
25,20180411.0,35.3,36.4,36.4,35.2,711210.0,35.07671027779579,34.71547392895747,34.065376906362786,33.742203333057205,33.377735864770294,,
26,20180410.0,36.3,36.65,37.1,35.5,938390.0,35.68835513889789,35.24364928597165,34.47167201429682,34.08324288864957,33.65604673479216,,
27,20180409.0,36.7,36.2,36.7,35.9,826130.0,36.194177569448954,35.72909952398109,34.87682255715194,34.43214383682964,33.94594704576434,,
28,20180406.0,36.1,34.85,36.4,34.5,1399820.0,36.147088784724474,35.8527330159874,35.09921845585159,34.654524658585686,34.15109494616774,,
29,20180405.0,34.85,34.3,34.95,34.2,567420.0,35.498544392362234,35.518488677324925,35.05390600933312,34.68058803744093,34.217657332247,,
30,20180404.0,34.3,35.1,35.35,33.9,587310.0,34.899272196181116,35.11232578488329,34.91683218945437,34.62984296578214,34.22549949108061,,
31,20180403.0,35.15,35.6,35.7,35.0,695400.0,35.024636098090554,35.12488385658886,34.9592263368263,34.699197237011184,34.31354715859675,,
32,20180402.0,35.65,34.5,36.0,34.2,1117180.0,35.33731804904528,35.29992257105924,35.08482154831242,34.825970938743026,34.44082838158753,,
33,20180330.0,34.45,33.45,35.0,31.2,1707310.0,34.893659024522634,35.01661504737283,34.96939944861926,34.775841480243955,34.4417018690554,,
34,20180329.0,33.5,33.8,34.25,33.5,269860.0,34.19682951226132,34.51107669824855,34.702235912506666,34.605729282878094,34.352015976764406,,
35,20180328.0,33.9,34.55,34.6,33.9,532390.0,34.04841475613065,34.307384465499034,34.556374837505444,34.51163204516101,34.30896683612018,,
36,20180327.0,34.7,35.0,35.35,34.6,479390.0,34.37420737806533,34.43825631033268,34.58248850341356,34.536747772472886,34.346208089823016,,
37,20180326.0,35.0,35.0,35.35,34.4,550640.0,34.68710368903267,34.62550420688846,34.658399684611084,34.59851473614316,34.408473986030344,,
38,20180323.0,35.2,35.2,35.25,34.7,469020.0,34.943551844516335,34.817002804592306,34.756872469227254,34.67871277132407,34.48385741593221,,
39,20180322.0,35.6,35.25,35.75,35.2,1061610.0,35.27177592225817,35.078001869728205,34.91016838391321,34.801551068480855,34.59015670965295,,
40,20180321.0,35.2,35.0,35.45,35.0,835340.0,35.23588796112909,35.11866791315214,34.96286504138354,34.85467759268341,34.64823702301934,,
41,20180320.0,35.0,35.3,35.3,34.9,600240.0,35.11794398056455,35.07911194210143,34.969616852041085,34.874053913658955,34.68173825892225,,
42,20180319.0,35.0,35.4,35.5,35.0,617430.0,35.05897199028228,35.052741294734275,34.97514106076088,34.890846725171095,34.712048900929666,,
43,20180316.0,35.45,34.45,35.8,34.45,947620.0,35.25448599514113,35.18516086315619,35.06147904971345,34.96540049514829,34.78232995798399,,
44,20180315.0,34.45,34.95,34.95,34.1,801690.0,34.85224299757056,34.940107242104126,34.95030104067464,34.896680429128516,34.75067948579503,,
45,20180314.0,35.0,34.5,35.1,33.05,963760.0,34.926121498785285,34.960071494736084,34.959337215097435,34.91045637191137,34.77442429667169,,
46,20180313.0,34.8,35.4,35.5,34.55,938640.0,34.863060749392645,34.90671432982405,34.930366812352446,34.89572885565652,34.77686007794106,,
