,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20171221.0,8.0,8.0,8.0,8.0,2600.0,,,,,,,
1,20171108.0,8.0,8.0,8.0,8.0,90.0,8.0,,,,,,
2,20171107.0,8.0,8.0,8.0,8.0,900.0,8.0,,,,,,
3,20170913.0,9.0,9.0,9.0,9.0,490.0,8.5,8.199999999999998,,,,,
4,20170912.0,9.0,9.0,9.0,9.0,400.0,8.75,8.466666666666665,,,,,
5,20170725.0,9.0,9.0,9.0,9.0,1450.0,8.875,8.644444444444444,,,,,
6,20170719.0,9.0,9.0,9.0,9.0,1420.0,8.9375,8.762962962962963,,,,,
7,20170714.0,8.0,8.0,8.0,8.0,790.0,8.46875,8.508641975308642,,,,,
8,20170704.0,8.0,8.0,8.0,8.0,20.0,8.234375,8.33909465020576,8.4,,,,
9,20170703.0,8.0,8.0,8.0,8.0,800.0,8.1171875,8.226063100137173,8.327272727272728,,,,
10,20161025.0,11.0,11.0,11.0,11.0,300.0,9.558593750000002,9.150708733424782,8.81322314049587,,,,
11,20161004.0,12.0,12.0,12.0,12.0,200.0,10.779296875,10.100472488949855,9.392637114951166,,,,
12,20160929.0,12.6,12.6,12.6,12.6,1468170.0,11.689648437500002,10.933648325966567,9.97579400314186,9.114285714285712,,,
13,20160921.0,11.0,11.0,11.0,11.0,300.0,11.34482421875,10.955765550644381,10.162013275297888,9.365714285714285,,,
14,20160822.0,11.0,11.0,11.0,11.0,500.0,11.172412109375,10.970510367096255,10.314374497970999,9.583619047619049,,,
15,20160718.0,11.0,11.0,11.0,11.0,500.0,11.086206054687501,10.980340244730833,10.43903368015809,9.77246984126984,,,
16,20160324.0,11.0,11.0,11.0,11.0,8000.0,11.04310302734375,10.986893496487223,10.541027556492985,9.93614052910053,,,
