,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180516.0,1.7,1.7,1.7,1.7,100.0,,,,,,,
1,20180509.0,1.5,1.5,1.5,1.5,110.0,1.6333333333333337,,,,,,
2,20180507.0,1.5,1.5,1.5,1.5,60.0,1.566666666666667,,,,,,
3,20180503.0,1.5,1.5,1.5,1.5,10.0,1.5333333333333337,1.58,,,,,
4,20180502.0,1.5,1.5,1.5,1.5,100.0,1.5166666666666664,1.5533333333333337,,,,,
5,20180424.0,1.6,1.6,1.6,1.6,30.0,1.558333333333333,1.5688888888888888,,,,,
6,20180423.0,1.6,1.6,1.6,1.6,10.0,1.5791666666666664,1.5792592592592591,,,,,
7,20180420.0,1.6,1.6,1.6,1.6,110.0,1.589583333333333,1.586172839506173,,,,,
8,20180412.0,1.7,1.7,1.7,1.7,700.0,1.6447916666666664,1.6241152263374483,1.5899999999999999,,,,
9,20180411.0,1.7,1.8,1.8,1.7,2100.0,1.672395833333333,1.6494101508916323,1.6099999999999999,,,,
10,20180406.0,1.9,1.9,1.9,1.9,20.0,1.7861979166666664,1.7329401005944218,1.6627272727272728,,,,
11,20180403.0,1.9,1.9,1.9,1.9,400.0,1.8430989583333328,1.7886267337296144,1.7058677685950412,,,,
12,20180330.0,2.0,2.0,2.0,2.0,100.0,1.9215494791666663,1.8590844891530756,1.7593463561232154,1.6714285714285708,,,
13,20180329.0,1.8,1.8,1.8,1.8,200.0,1.8607747395833332,1.839389659435384,1.766737927737176,1.6885714285714277,,,
14,20180328.0,1.7,1.6,1.7,1.6,860.0,1.780387369791667,1.7929264396235898,1.7546037590576895,1.6900952380952377,,,
15,20180327.0,1.8,1.8,1.8,1.8,100.0,1.7901936848958333,1.7952842930823933,1.7628576210472002,1.704749206349206,,,
16,20180319.0,2.0,2.0,2.0,2.0,110.0,1.8950968424479169,1.863522862054929,1.8059744172204368,1.7441159788359781,,,
17,20180316.0,1.9,1.9,1.9,1.9,100.0,1.8975484212239584,1.8756819080366192,1.8230699777258117,1.764900514991181,,,
18,20180315.0,1.7,1.7,1.7,1.7,310.0,1.7987742106119793,1.8171212720244128,1.8006936181393007,1.7562471129923571,1.7149999999999999,,
19,20180314.0,1.9,1.9,1.9,1.9,100.0,1.8493871053059892,1.8447475146829415,1.8187493239321553,1.775414164593376,1.7326190476190475,,
20,20180313.0,1.7,1.7,1.7,1.7,4000.0,1.7746935526529948,1.7964983431219612,1.7971585377626724,1.7653589426475929,1.7295124716553287,,
21,20180312.0,1.7,1.7,1.7,1.7,100.0,1.7373467763264971,1.7643322287479741,1.77949334907855,1.7566444169612467,1.726701760069107,,
22,20180309.0,1.7,1.7,1.7,1.7,800.0,1.7186733881632483,1.7428881524986495,1.76504001288245,1.7490918280330807,1.7241587353006207,,
23,20180308.0,1.9,1.7,1.9,1.7,300.0,1.809336694081624,1.7952587683324328,1.789578192358368,1.76921291762867,1.7409055224148473,,
24,20180307.0,1.7,1.7,1.7,1.7,200.0,1.754668347040812,1.7635058455549553,1.7732912482932097,1.7599845286115139,1.737009758375338,,
25,20180306.0,1.9,1.7,1.9,1.7,670.0,1.827334173520406,1.8090038970366369,1.79632920314899,1.7786532581299788,1.752532638530068,,
26,20180302.0,1.9,1.9,1.9,1.9,10.0,1.8636670867602028,1.8393359313577575,1.815178438940083,1.7948328237126483,1.7665771491462519,,
27,20180226.0,1.9,1.9,1.9,1.9,200.0,1.8818335433801012,1.8595572875718385,1.8306005409509765,1.8088551138842952,1.7792840873227993,,
28,20180222.0,1.9,1.9,1.9,1.9,1510.0,1.8909167716900508,1.8730381917145595,1.843218624414436,1.8210077653663888,1.790780840911104,,
29,20180221.0,2.2,2.2,2.2,2.2,20.0,2.045458385845025,1.9820254611430397,1.9080879654299927,1.8715400633175372,1.829754094157665,,
30,20180209.0,2.2,2.2,2.2,2.2,100.0,2.1227291929225127,2.0546836407620264,1.9611628808063577,1.9153347215418657,1.865015608999793,,
31,20180208.0,2.0,2.0,2.0,2.0,30.0,2.061364596461256,2.036455760508017,1.9682241752052017,1.9266234253362835,1.8778712652855267,,
32,20180206.0,2.0,2.0,2.0,2.0,1000.0,2.030682298230628,2.0243038403386784,1.9740015978951648,1.9364069686247791,1.889502573353572,,
33,20180205.0,2.1,2.1,2.1,2.1,310.0,2.0653411491153135,2.049535893559119,1.9969103982778624,1.9582193728081412,1.909549947319898,,
34,20180202.0,2.1,2.1,2.1,2.1,5000.0,2.0826705745576573,2.0663572623727458,2.015653962227342,1.9771234564337232,1.927688047575146,,
35,20180201.0,2.0,2.0,2.0,2.0,100.0,2.0413352872788284,2.044238174915164,2.0128077872769157,1.98017366224256,1.9345749001870367,,
36,20180131.0,1.8,1.8,1.8,1.8,300.0,1.920667643639414,1.9628254499434423,1.9741154623174768,1.9561505072768848,1.9217582430263664,,
37,20180130.0,2.1,2.1,2.1,2.1,900.0,2.010333821819707,2.008550299962295,1.997003560077936,1.9753304396399671,1.938733648452427,,
38,20180129.0,2.1,2.1,2.1,2.1,7200.0,2.055166910909853,2.0390335333081966,2.015730185518311,1.9919530476879717,1.9540923485998147,,
39,20180126.0,2.2,2.1,2.2,1.8,9440.0,2.127583455454926,2.092689022205465,2.0492337881513447,2.019692641329575,1.9775121249236416,,
40,20180125.0,2.0,2.1,2.1,2.0,12910.0,2.0637917277274638,2.061792681470309,2.0402821903056454,2.0170669558189647,1.9796538273118665,,
41,20180124.0,1.9,1.9,1.9,1.9,10100.0,1.9818958638637316,2.007861787646873,2.0147763375228007,2.0014580283764354,1.97206774852026,,
42,20180123.0,1.6,1.8,1.8,1.6,2000.0,1.7909479319318657,1.8719078584312487,1.9393624579732007,1.947930291259578,1.936632724851664,,
43,20180122.0,1.8,1.8,1.8,1.8,1300.0,1.795473965965933,1.8479385722874992,1.9140238292508007,1.928206252424968,1.9236200843896007,,
44,20180119.0,1.8,1.8,1.8,1.8,100.0,1.7977369829829661,1.831959048191666,1.8932922239324732,1.911112085434972,1.911846743019162,,
45,20180118.0,1.9,1.8,1.9,1.8,800.0,1.8488684914914832,1.8546393654611104,1.8945118195811144,1.9096304740436425,1.9107184817792424,,
46,20180117.0,2.0,2.0,2.0,2.0,5000.0,1.9244342457457413,1.9030929103074072,1.9136914887481853,1.9216797441711568,1.919221483514553,,
47,20180116.0,2.0,2.2,2.2,2.0,20000.0,1.9622171228728709,1.9353952735382716,1.929383945339424,1.932122444948336,1.9269146755607856,,
