,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180301.0,9.4,9.4,9.4,9.4,100.0,,,,,,,
1,20180226.0,11.0,11.0,11.0,11.0,100.0,9.83333333333333,,,,,,
2,20180223.0,9.8,9.8,9.8,9.8,100.0,9.816666666666665,,,,,,
3,20170814.0,7.0,7.0,7.0,7.0,60.0,8.408333333333331,9.26,,,,,
4,20170811.0,7.0,7.0,7.0,7.0,78150.0,7.704166666666666,8.50666666666667,,,,,
5,20170804.0,7.8,7.8,7.8,7.8,2900.0,7.752083333333331,8.27111111111111,,,,,
6,20170801.0,7.0,7.0,7.0,7.0,2400.0,7.376041666666666,7.84740740740741,,,,,
7,20170731.0,6.9,6.9,6.9,6.9,600.0,7.138020833333335,7.531604938271605,,,,,
8,20170726.0,6.0,6.0,6.0,6.0,1500.0,6.569010416666665,7.021069958847736,8.099999999999998,,,,
9,20170725.0,6.3,6.3,6.5,6.3,22100.0,6.4345052083333325,6.780713305898491,7.772727272727272,,,,
10,20170724.0,7.4,7.4,7.4,7.4,100.0,6.917252604166666,6.987142203932328,7.70495867768595,,,,
11,20170714.0,6.5,6.5,6.5,6.5,3900.0,6.708626302083333,6.824761469288219,7.485875281743051,,,,
12,20170713.0,6.5,6.5,6.5,6.5,100.0,6.6043131510416675,6.716507646192146,7.306625230517041,7.692857142857142,,,
13,20170707.0,6.8,6.8,6.8,6.8,3000.0,6.702156575520833,6.744338430794763,7.214511552241214,7.5738095238095235,,,
14,20170706.0,6.8,6.8,6.8,6.8,5000.0,6.751078287760416,6.762892287196508,7.139145815470084,7.47063492063492,,,
15,20170705.0,7.0,7.0,7.0,7.0,2600.0,6.875539143880207,6.841928191464341,7.113846576293706,7.407883597883597,,,
16,20170703.0,6.8,7.0,7.0,6.8,9400.0,6.837769571940104,6.827952127642892,7.056783562422121,7.326832451499117,,,
17,20170629.0,7.0,7.0,7.0,7.0,1000.0,6.918884785970052,6.885301418428596,7.046459278345372,7.283254791299235,,,
18,20170627.0,6.5,6.5,6.5,6.5,100.0,6.709442392985026,6.7568676122857285,6.947103045918941,7.178820819126005,7.4300000000000015,,
19,20170623.0,7.0,7.0,7.0,7.0,13700.0,6.854721196492513,6.837911741523819,6.95672067393368,7.1549780432425365,7.389047619047621,,
20,20170619.0,7.0,7.0,7.0,7.0,2300.0,6.927360598246257,6.89194116101588,6.964589642309374,7.134314304143532,7.351995464852608,,
21,20170616.0,7.0,7.5,7.5,7.0,10000.0,6.963680299123128,6.927960774010587,6.971027889162215,7.1164057302577275,7.318472087247597,,
22,20170613.0,7.5,7.5,7.5,7.5,930.0,7.231840149561565,7.118640516007058,7.067204636587267,7.167551632890032,7.335760459890686,,
