,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,49.0,47.8,51.5,47.8,52320.0,,,,,,,
1,20180518.0,47.9,47.6,47.9,47.6,62020.0,48.36666666666666,,,,,,
2,20180517.0,47.8,47.1,48.1,47.1,17600.0,48.08333333333332,,,,,,
3,20180516.0,47.6,47.7,47.8,47.5,16630.0,47.84166666666666,48.1,,,,,
4,20180515.0,47.8,48.0,48.0,47.3,12600.0,47.82083333333332,47.999999999999986,,,,,
5,20180514.0,48.0,47.5,48.3,47.5,19756.0,47.91041666666666,47.999999999999986,,,,,
6,20180511.0,47.9,48.0,48.0,47.9,41600.0,47.90520833333332,47.96666666666666,,,,,
7,20180510.0,47.5,47.9,48.0,47.5,59680.0,47.70260416666666,47.8111111111111,,,,,
8,20180509.0,47.5,47.5,47.7,47.0,59600.0,47.60130208333334,47.70740740740741,47.92,,,,
9,20180508.0,47.0,47.2,47.3,47.0,43210.0,47.30065104166666,47.471604938271604,47.75272727272726,,,,
10,20180507.0,47.0,47.5,47.6,47.0,6500.0,47.150325520833334,47.31440329218106,47.61586776859503,,,,
11,20180504.0,47.0,46.4,48.0,46.4,29686.0,47.07516276041667,47.20960219478738,47.50389181066866,,,,
12,20180503.0,47.2,47.0,47.2,46.6,13332.0,47.13758138020832,47.20640146319159,47.448638754183456,47.67142857142857,,,
13,20180502.0,47.3,46.9,48.0,46.6,82700.0,47.21879069010415,47.237600975461056,47.42161352615009,47.62190476190476,,,
14,20180427.0,47.0,46.7,47.0,45.8,32800.0,47.10939534505208,47.158400650307364,47.344956521395524,47.538984126984126,,,
15,20180426.0,45.9,47.0,47.5,45.9,35295.0,46.50469767252604,46.73893376687158,47.082237153869066,47.3204529100529,,,
16,20180424.0,47.7,47.5,48.0,46.6,38900.0,47.10234883626301,47.05928917791439,47.194557671347425,47.37105918871252,,,
17,20180423.0,47.9,48.5,48.5,47.9,38387.0,47.50117441813152,47.33952611860959,47.32281991292063,47.44158463021752,,,
18,20180420.0,48.6,48.5,48.6,48.4,7003.0,48.05058720906576,47.759684079073054,47.55503447420777,47.596040012855184,47.59,,
19,20180419.0,48.3,48.6,48.8,48.3,71100.0,48.175293604532875,47.9397893860487,47.690482751624536,47.68990134447449,47.65761904761904,,
20,20180418.0,48.8,49.2,49.4,48.8,11000.0,48.48764680226644,48.22652625736581,47.892213160420084,47.837914498544556,47.76641723356008,,
21,20180417.0,49.9,49.2,49.9,49.0,15955.0,49.19382340113322,48.78435083824386,48.25726531307097,48.11285923207195,47.969615592268646,,
22,20180416.0,49.1,49.0,49.9,49.0,7510.0,49.14691170056661,48.88956722549591,48.41048980160352,48.244478001129025,48.077271250147824,,
23,20180413.0,48.7,49.3,49.6,48.7,23340.0,48.9234558502833,48.82637815033061,48.4631280194938,48.305214267645155,48.136578750133744,,
24,20180412.0,49.2,49.9,49.9,49.1,2610.0,49.061727925141646,48.95091876688708,48.597104743222204,48.42451903195913,48.23785696440672,,
25,20180411.0,49.1,50.1,50.1,48.5,35183.0,49.08086396257084,49.00061251125805,48.68854024445452,48.514583161031254,48.319965824939416,,
26,20180410.0,49.1,50.5,50.5,49.1,67200.0,49.09043198128541,49.03374167417203,48.76335110909915,48.592638739560414,48.39425479399281,,
27,20180409.0,50.8,50.8,51.0,50.8,35130.0,49.94521599064271,49.62249444944802,49.13365090744475,48.886953574285705,48.62337338504111,,
28,20180406.0,50.8,51.5,51.8,50.8,43520.0,50.37260799532136,50.01499629963201,49.43662346972753,49.1420264310476,48.830671157894336,,
