,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,32.1,32.1,32.2,32.1,5019.0,,,,,,,
1,20180518.0,33.0,32.3,33.0,32.2,34800.0,32.36666666666667,,,,,,
2,20180517.0,32.2,32.0,32.2,32.0,22600.0,32.283333333333324,,,,,,
3,20180516.0,32.5,32.2,32.5,32.2,1400.0,32.391666666666666,32.36,,,,,
4,20180515.0,32.5,32.3,32.5,32.3,16107.0,32.445833333333326,32.40666666666666,,,,,
5,20180514.0,32.5,32.5,32.5,32.5,1800.0,32.47291666666666,32.437777777777775,,,,,
6,20180511.0,32.8,32.4,32.8,32.2,18800.0,32.63645833333332,32.55851851851852,,,,,
7,20180510.0,32.2,32.0,32.2,32.0,1900.0,32.41822916666666,32.43901234567901,,,,,
8,20180509.0,32.4,32.4,32.8,32.3,23699.0,32.409114583333334,32.42600823045268,32.42,,,,
9,20180508.0,32.4,32.5,32.5,32.4,2500.0,32.40455729166666,32.41733882030177,32.416363636363634,,,,
10,20180507.0,32.8,32.5,32.8,32.5,3800.0,32.60227864583333,32.54489254686785,32.48611570247933,,,,
11,20180504.0,32.8,32.5,32.8,32.0,27000.0,32.70113932291666,32.62992836457857,32.543185574755825,,,,
12,20180503.0,32.6,32.3,33.0,32.2,10201.0,32.65056966145833,32.619952243052374,32.553515470254766,32.485714285714295,,,
13,20180502.0,32.9,32.1,33.5,32.0,31550.0,32.775284830729156,32.713301495368256,32.616512657481174,32.54095238095238,,,
14,20180427.0,32.9,32.2,32.9,32.2,5608.0,32.837642415364584,32.775534330245506,32.66805581066642,32.5888253968254,,,
15,20180426.0,32.5,33.0,33.0,32.5,45910.0,32.66882120768229,32.683689553497004,32.63750020872707,32.57698201058201,,,
16,20180424.0,33.0,32.1,33.0,32.1,5207.0,32.83441060384114,32.789126368998005,32.703409261685785,32.63338440917108,,,
17,20180423.0,32.6,32.4,34.5,32.4,89604.0,32.71720530192057,32.72608424599867,32.684607577742916,32.628933154614934,,,
18,20180420.0,32.8,32.5,32.8,32.2,23358.0,32.758602650960285,32.75072283066578,32.705588018153286,32.65174206733293,32.575,,
19,20180419.0,32.5,32.0,32.5,32.0,35900.0,32.62930132548014,32.66714855377719,32.66820837848905,32.63150979168855,32.56785714285714,,
20,20180418.0,32.0,31.6,33.0,31.6,20200.0,32.31465066274007,32.444765702518126,32.54671594603649,32.54730848613008,32.513775510204084,,
21,20180417.0,31.5,31.5,31.6,31.5,16020.0,31.907325331370036,32.12984380167875,32.356403955848045,32.407667354646065,32.41722546161322,,
22,20180416.0,31.6,31.2,31.7,31.2,9984.0,31.753662665685017,31.953229201119168,32.218875963875675,32.29997837402659,32.3393944652691,,
23,20180413.0,31.5,31.3,31.5,31.3,24040.0,31.62683133284251,31.80215280074611,32.088171243171004,32.19331459082304,32.25945213524347,,
24,20180412.0,31.2,31.0,31.5,30.9,28514.0,31.413415666421255,31.601435200497402,31.926685562594457,32.06087264537997,32.15855193188695,,
25,20180411.0,31.0,31.6,31.6,31.0,46000.0,31.20670783321063,31.400956800331596,31.758197278486374,31.919422959329314,32.04821365265962,,
26,20180410.0,31.6,31.6,31.8,31.2,37230.0,31.40335391660532,31.4673045335544,31.7294341369434,31.87683323141874,32.00552663812061,,
27,20180409.0,31.6,31.5,32.0,31.4,39600.0,31.501676958302664,31.51153635570293,31.705900657499143,31.839922133896245,31.96690505353769,,
28,20180406.0,31.8,31.8,32.0,31.6,16491.0,31.65083847915133,31.60769090380196,31.723009628862936,31.834599182710072,31.951009334153145,,
29,20180405.0,31.8,30.8,31.8,30.8,43310.0,31.72541923957567,31.671793935867967,31.737007878160583,31.82998595834873,31.93662749280523,,
30,20180404.0,31.5,30.8,31.5,30.7,86000.0,31.612709619787832,31.61452929057865,31.693915536676837,31.785987830568896,31.895043922061877,,
31,20180403.0,31.0,30.9,31.4,30.7,13500.0,31.30635480989392,31.409686193719097,31.567749075462874,31.681189453159718,31.809801643770264,,
32,20180402.0,31.0,31.0,31.3,31.0,30500.0,31.153177404946955,31.273124129146062,31.464521970833253,31.59036419273842,31.73267767769691,,
33,20180330.0,31.3,31.4,31.5,30.1,53100.0,31.226588702473478,31.282082752764044,31.434608885227206,31.551648967039963,31.691470279821004,,
34,20180329.0,31.5,31.5,31.8,31.5,21100.0,31.363294351236735,31.354721835176026,31.446498178822267,31.544762438101298,31.673235015076152,,
35,20180328.0,31.5,31.7,31.9,31.5,5916.0,31.43164717561837,31.40314789011735,31.45622578267276,31.538794113021126,31.656736442211756,,
36,20180327.0,31.7,31.6,31.9,31.5,12900.0,31.565823587809184,31.50209859341157,31.50054836764135,31.56028823128498,31.66085678104873,,
37,20180326.0,31.6,31.5,32.5,31.5,30100.0,31.58291179390459,31.534732395607712,31.51863048261565,31.565583133780315,31.65506089713933,,
38,20180323.0,31.7,31.5,31.8,31.5,42400.0,31.641455896952294,31.589821597071808,31.55160675850372,31.583505382609605,31.659340811697486,,
39,20180322.0,31.8,31.9,32.0,31.5,29700.0,31.720727948476146,31.659881064714533,31.596769166048492,31.612371331594996,31.67273692486916,,
40,20180321.0,31.9,32.0,32.2,31.6,111525.0,31.810363974238072,31.739920709809688,31.651902044948766,31.650721820715653,31.694381027262565,,
41,20180320.0,32.0,32.5,32.5,31.6,112900.0,31.90518198711904,31.826613806539797,31.71519258223081,31.697292244620236,31.723487596094706,,
42,20180319.0,32.5,33.0,33.0,32.3,74600.0,32.20259099355952,32.051075871026526,31.857884840007028,31.804319945337536,31.7974411583714,,
43,20180316.0,33.0,34.3,34.3,33.0,81601.0,32.601295496779755,32.36738391401769,32.06554214182393,31.96374395262587,31.91197057185984,,
44,20180315.0,34.2,33.4,34.8,33.2,49400.0,33.40064774838988,32.97825594267846,32.45362538876504,32.26191142560908,32.12987813644462,,
45,20180314.0,33.3,34.5,34.7,33.0,150200.0,33.350323874194935,33.08550396178564,32.607511681716844,32.40032323552787,32.24131831392608,,
46,20180313.0,34.5,34.6,35.0,33.9,54730.0,33.92516193709747,33.55700264119042,32.95160046685924,32.68028013745749,32.45643085545693,,
47,20180312.0,35.1,35.5,36.1,35.0,165700.0,34.51258096854873,34.07133509412695,33.34221856379392,33.002909452463165,32.708199345413405,,
48,20180309.0,35.1,32.9,35.8,32.9,345600.0,34.80629048427437,34.41422339608464,33.66181518855866,33.28252152546807,32.93598988394547,32.315999999999995,
49,20180308.0,32.9,32.6,33.5,32.5,60109.0,33.85314524213719,33.90948226405642,33.52330333609345,33.23151865540566,32.93256227595066,32.33890196078431,
50,20180307.0,32.5,32.7,32.8,32.3,16000.0,33.176572621068594,33.43965484270428,33.33724818407646,33.1339828346849,32.89136586871726,32.34521953094964,
51,20180306.0,32.7,33.5,33.5,32.0,34410.0,32.93828631053429,33.19310322846952,33.22138487788074,33.07611845672692,32.87314054788705,32.359132490520246,
52,20180305.0,33.4,32.2,33.7,32.0,98650.0,33.16914315526715,33.26206881897968,33.25386035462969,33.11930266249665,32.92331763856447,32.39995082422533,
53,20180302.0,31.6,31.0,31.6,30.8,29944.0,32.38457157763357,32.70804587931978,32.95315847196975,32.91672897416377,32.79728738727261,32.36858020366747,
54,20180301.0,30.9,31.0,31.0,30.9,5200.0,31.642285788816785,32.10536391954652,32.57985693161161,32.6478317776086,32.616593350389515,32.31098882313149,
55,20180228.0,30.8,30.7,30.8,30.7,56360.0,31.2211428944084,31.670242613031014,32.2562465804095,32.40145420726079,32.44358445987623,32.25173435947927,
56,20180227.0,30.7,31.2,31.4,30.7,81300.0,30.9605714472042,31.346828408687347,31.973292656698682,32.174593646292685,32.277528797030875,32.190882031656564,
57,20180226.0,31.5,31.9,31.9,31.2,35800.0,31.230285723602098,31.397885605791558,31.887239446389838,32.084647826787,32.20347843540889,32.163788618650415,
58,20180223.0,31.5,31.5,31.7,31.5,14718.0,31.36514286180105,31.431923737194374,31.81683227431896,32.0066947832154,32.13648048917947,32.13775769242883,
59,20180222.0,31.5,31.6,31.9,31.4,41260.0,31.432571430900524,31.45461582479625,31.759226406260968,31.939135478786675,32.075863299733804,32.11274758684338,
60,20180221.0,31.5,31.9,31.9,30.8,69633.0,31.466285715450258,31.4697438831975,31.712094332395335,31.880584081615115,32.02101917594963,32.08871826971226,
61,20180213.0,32.0,30.1,32.0,29.5,56718.0,31.733142857725127,31.64649592213166,31.76444081741436,31.896506204066437,32.019017349668715,32.08523912188041,
62,20180212.0,30.3,30.3,30.5,30.3,11800.0,31.016571428862566,31.197663948087776,31.49817885061175,31.683638710190912,31.855301411605023,32.01522974455177,
63,20180209.0,30.3,30.1,30.3,29.9,11300.0,30.658285714431283,30.898442632058522,31.280328150500523,31.499153548832123,31.707177467642644,31.947965833000715,
