,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,2.93,2.96,3.08,2.91,168900.0,,,,,,,
1,20180518.0,3.08,3.16,3.2,3.05,251340.0,2.94,,,,,,
2,20180517.0,3.27,3.26,3.3,3.2,701530.0,3.105,,,,,,
3,20180516.0,3.09,2.94,3.09,2.94,254660.0,3.0975,3.036,,,,,
4,20180515.0,2.89,2.74,2.89,2.74,404070.0,2.9937500000000004,2.987333333333333,,,,,
5,20180514.0,2.71,2.73,2.8,2.71,16730.0,2.851875,2.8948888888888886,,,,,
6,20180511.0,2.73,2.7,2.73,2.66,24230.0,2.7909375,2.839925925925926,,,,,
7,20180510.0,2.72,2.74,2.74,2.69,40020.0,2.7554687500000004,2.7999506172839514,,,,,
8,20180509.0,2.7,2.63,2.73,2.63,10170.0,2.727734375,2.7666337448559672,2.893,,,,
9,20180508.0,2.7,2.79,2.79,2.68,30980.0,2.7138671875000004,2.7444224965706447,2.8579090909090907,,,,
10,20180507.0,2.73,2.8,2.8,2.67,6790.0,2.72193359375,2.739614997713763,2.8346528925619836,,,,
11,20180504.0,2.67,2.7,2.7,2.63,32510.0,2.695966796875,2.716409998475842,2.804716003005259,,,,
12,20180503.0,2.67,2.8,2.8,2.57,27150.0,2.6829833984375,2.7009399989838943,2.7802221842770303,2.8357142857142854,,,
13,20180502.0,2.65,2.84,2.84,2.65,56330.0,2.66649169921875,2.6839599993225964,2.7565454234993885,2.8109523809523806,,,
14,20180427.0,2.72,2.73,2.75,2.66,32130.0,2.693245849609375,2.695973332881731,2.749900801044954,2.798825396825397,,,
15,20180426.0,2.73,2.77,2.82,2.73,15720.0,2.7116229248046873,2.707315555254487,2.746282473582235,2.789648677248677,,,
16,20180424.0,2.77,2.77,2.77,2.7,34220.0,2.740811462402344,2.7282103701696583,2.7505947511127378,2.7870288536155203,,,
17,20180423.0,2.77,2.91,3.0,2.76,222470.0,2.755405731201172,2.742140246779772,2.7541229781831484,2.784758339800117,,,
18,20180420.0,2.96,3.03,3.03,2.9,38280.0,2.8577028656005856,2.814760164519848,2.791555163968031,2.808123894493435,2.8150000000000004,,
19,20180419.0,2.97,3.0,3.0,2.9,51310.0,2.9138514328002927,2.866506776346565,2.823999679610208,2.829707375227643,2.829761904761905,,
20,20180418.0,3.01,3.05,3.05,2.91,21000.0,2.9619257164001462,2.91433785089771,2.8578179196810782,2.8537463918639574,2.8469274376417233,,
21,20180417.0,3.02,3.05,3.05,2.92,20850.0,2.9909628582000733,2.9495585672651408,2.8873055706481554,2.8759135396154307,2.8634105388187026,,
22,20180416.0,3.05,3.08,3.08,3.04,5260.0,3.0204814291000366,2.983039044843427,2.9168863759848542,2.899125067666706,2.881180963693112,,
23,20180413.0,2.95,3.1,3.1,2.95,25990.0,2.9852407145500184,2.972026029895618,2.922907034896699,2.905908391977812,2.887735157627101,,
24,20180412.0,3.05,3.0,3.08,2.93,24330.0,3.017620357275008,2.9980173532637444,2.9460148467336627,2.92512060638077,2.9031889521388057,,
25,20180411.0,3.09,3.07,3.13,2.96,33430.0,3.053810178637504,3.0286782355091635,2.9721939655093608,2.9471045255300004,2.920980480506538,,
26,20180410.0,3.13,3.13,3.2,3.02,110030.0,3.0919050893187525,3.062452157006109,3.0008859717803853,2.971490588792668,2.9408871014106777,,
