,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20160408.0,34.8,34.8,34.8,34.8,200.0,,,,,,,
1,20160322.0,34.8,34.8,34.8,34.8,400.0,36.133333333333326,,,,,,
2,20160321.0,30.3,30.3,30.3,30.3,100.0,33.21666666666667,,,,,,
3,20160318.0,26.4,26.4,26.4,26.4,500.0,29.80833333333333,33.02,,,,,
4,20160317.0,23.0,23.0,23.0,23.0,200.0,26.40416666666667,29.68,,,,,
5,20160316.0,20.2,20.2,20.2,20.2,100.0,23.302083333333332,26.52,,,,,
6,20160315.0,17.6,17.6,17.6,17.6,100.0,20.45104166666667,23.54666666666666,,,,,
7,20160314.0,15.4,15.4,15.4,15.4,100.0,17.92552083333333,20.831111111111106,,,,,
8,20150915.0,11.0,11.0,11.0,11.0,9400.0,14.462760416666665,17.554074074074073,25.23,,,,
9,20150625.0,15.7,15.7,15.7,15.7,194100.0,15.08138020833333,16.93604938271605,23.49727272727273,,,,
10,20150508.0,15.7,15.7,15.7,15.7,10000.0,15.390690104166662,16.5240329218107,22.079586776859504,,,,
11,20150424.0,14.3,14.3,14.3,14.3,50.0,14.845345052083331,15.782688614540467,20.66511645379414,,,,
12,20150423.0,14.3,14.3,14.3,14.3,2300.0,14.572672526041668,15.288459076360313,19.507822553104294,22.307142857142853,,,
13,20150422.0,13.0,13.0,13.0,13.0,1400.0,13.786336263020834,14.525639384240208,18.324582088903515,21.06619047619048,,,
14,20150420.0,14.0,14.0,14.0,11.7,1800.0,13.893168131510416,14.35042625616014,17.538294436375605,20.124031746031747,,,
15,20150417.0,13.0,13.0,13.0,13.0,400.0,13.446584065755209,13.900284170773425,16.713149993398222,19.17416084656085,,,
16,20150416.0,14.0,14.0,14.0,14.0,600.0,13.723292032877604,13.933522780515618,16.219849994598544,18.484272733686065,,,
17,20150408.0,15.4,15.4,15.4,15.4,1000.0,14.561646016438804,14.422348520343748,16.070786359216992,18.073036369194597,,,
18,20150406.0,17.1,17.1,17.1,17.1,3450.0,15.8308230082194,15.314899013562496,16.257916112086626,17.94329818663531,19.94,,
19,20150331.0,16.0,15.3,16.0,15.3,4000.0,15.915411504109702,15.543266009041664,16.21102227352542,17.684191761750604,19.564761904761905,,
20,20150316.0,17.0,17.0,17.0,17.0,1500.0,16.45770575205485,16.028844006027775,16.35447276924807,17.59296619351719,19.320498866213157,,
21,20150311.0,17.0,17.0,17.0,17.0,1000.0,16.728852876027425,16.352562670685185,16.47184135665751,17.513904034381564,19.099498974192848,,
22,20150310.0,17.0,17.0,17.0,17.0,1400.0,16.864426438013712,16.56837511379012,16.567870200901602,17.445383496464018,18.899546690936386,,
23,20150309.0,17.0,17.0,17.0,17.0,900.0,16.932213219006854,16.71225007586008,16.64643925528313,17.38599903026882,18.718637482275778,,
24,20150306.0,18.0,18.0,18.0,18.0,1934.0,17.466106609503427,17.141500050573388,16.892541208868018,17.467865826232977,18.65019581729713,,
25,20150302.0,18.7,17.0,18.7,17.0,3500.0,18.083053304751715,17.66100003371559,17.221170079982922,17.632150382735247,18.654939072792647,,
26,20150227.0,17.0,17.0,17.0,17.0,19700.0,17.541526652375858,17.44066668914373,17.180957338167847,17.547863665037216,18.497325827764772,,
27,20150226.0,16.8,16.8,16.8,16.8,500.0,17.17076332618793,17.22711112609582,17.111692367591875,17.448148509698918,18.33567574893004,,
28,20150224.0,15.5,15.5,15.5,15.5,300.0,16.335381663093965,16.651407417397213,16.81865739166608,17.1883953750724,18.06561139188908,,
29,20150213.0,14.3,14.3,14.3,14.3,100.0,15.317690831546983,15.867604944931475,16.36071968409043,16.803275991729414,17.706981735518692,,
30,20150212.0,13.2,13.2,13.2,13.2,100.0,14.258845415773491,14.978403296620986,15.78604337789217,16.32283919283216,17.277745379755007,,
31,20150211.0,12.0,12.0,12.0,12.0,2800.0,13.129422707886746,13.985602197747323,15.097671854639046,15.74646063378787,16.775102962635483,,
