,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180517.0,5.9,5.9,5.9,5.9,100.0,,,,,,,
1,20180514.0,6.0,5.9,6.0,5.9,3100.0,5.9333333333333345,,,,,,
2,20180508.0,6.0,6.0,6.0,6.0,1800.0,5.966666666666666,,,,,,
3,20180507.0,6.1,6.1,6.1,6.1,3100.0,6.033333333333332,5.98,,,,,
4,20180504.0,6.2,6.2,6.2,6.2,1000.0,6.116666666666668,6.053333333333332,,,,,
5,20180503.0,6.2,6.2,6.2,6.2,10.0,6.158333333333332,6.102222222222222,,,,,
6,20180502.0,6.2,6.2,6.2,6.2,400.0,6.179166666666668,6.134814814814814,,,,,
7,20180427.0,6.5,6.1,6.5,6.1,5300.0,6.3395833333333345,6.256543209876543,,,,,
8,20180426.0,6.1,6.1,6.1,6.1,260.0,6.219791666666666,6.204362139917696,6.110000000000001,,,,
9,20180423.0,6.1,6.2,6.2,6.1,18100.0,6.1598958333333345,6.16957475994513,6.108181818181818,,,,
10,20180420.0,6.6,6.3,6.6,6.3,2500.0,6.379947916666666,6.313049839963421,6.197603305785125,,,,
11,20180419.0,6.5,6.3,6.5,6.3,2900.0,6.439973958333333,6.375366559975614,6.252584522915102,,,,
12,20180418.0,6.3,6.6,6.6,6.3,400.0,6.369986979166667,6.350244373317075,6.261205518748721,6.185714285714285,,,
13,20180417.0,6.5,6.6,6.6,6.3,3050.0,6.434993489583333,6.4001629155447155,6.304622697158043,6.227619047619047,,,
14,20180413.0,6.6,6.4,6.6,6.4,2320.0,6.517496744791665,6.466775277029811,6.358327661311127,6.277269841269841,,,
15,20180412.0,6.6,6.6,6.6,6.6,9.0,6.558748372395832,6.511183518019873,6.402268086527284,6.320300529100529,,,
16,20180411.0,6.6,6.5,6.6,6.0,12100.0,6.579374186197916,6.540789012013249,6.4382193435223245,6.357593791887124,,,
17,20180410.0,6.6,6.5,6.6,6.5,6200.0,6.5896870930989575,6.560526008008833,6.467634008336447,6.389914619635507,,,
18,20180404.0,6.8,6.4,6.8,6.4,5300.0,6.694843546549478,6.640350672005889,6.52806418863891,6.444592670350772,6.3149999999999995,,
19,20180403.0,6.4,6.6,6.6,6.4,89300.0,6.547421773274738,6.56023378133726,6.504779790704564,6.43864698097067,6.323095238095237,,
20,20180402.0,6.6,6.5,6.7,6.4,35800.0,6.57371088663737,6.573489187558173,6.522092556031007,6.460160716841248,6.349467120181404,,
21,20180330.0,7.0,7.0,7.0,7.0,2400.0,6.786855443318684,6.715659458372114,6.608984818570824,6.53213928792908,6.41142263254508,,
22,20180329.0,7.0,7.0,7.1,7.0,3500.0,6.893427721659343,6.810439638914743,6.680078487921583,6.594520716205205,6.46747761992174,,
23,20180328.0,6.9,6.6,6.9,6.6,24249.0,6.896713860829672,6.840293092609829,6.720064217390386,6.635251287377844,6.508670227548241,,
24,20180327.0,6.6,6.6,6.6,6.6,300.0,6.748356930414837,6.760195395073218,6.698234359683044,6.630551115727465,6.5173683011150745,,
25,20180326.0,6.5,6.4,6.5,6.4,3700.0,6.624178465207418,6.67346359671548,6.66219174883158,6.613144300297136,6.515714177199354,,
26,20180323.0,6.6,6.4,6.6,6.4,3120.0,6.61208923260371,6.648975731143653,6.65088415813493,6.611391726924185,6.523741398418462,,
27,20180322.0,6.5,6.5,6.5,6.5,400.0,6.556044616301854,6.599317154095769,6.6234506748376685,6.596539496667625,6.521480312854799,,
28,20180321.0,6.4,6.4,6.4,6.4,600.0,6.478022308150927,6.532878102730512,6.582823279412638,6.570334230445276,6.50991075924958,,
29,20180320.0,6.4,6.3,6.6,6.3,2300.0,6.439011154075464,6.488585401820343,6.549582683155795,6.54762299971924,6.499443067892478,,
30,20180319.0,6.3,6.2,6.3,6.2,2444.0,6.369505577037732,6.425723601213561,6.504204013491106,6.5146065997566724,6.480448489997956,,
31,20180316.0,6.3,6.3,6.3,6.3,2538.0,6.334752788518865,6.383815734142373,6.467076011038176,6.485992386455783,6.46326291952196,,
32,20180315.0,6.4,6.4,6.4,6.4,2800.0,6.367376394259433,6.389210489428248,6.454880372667599,6.4745267349283475,6.457237879567488,,
33,20180314.0,6.4,6.3,6.4,6.2,14618.0,6.383688197129716,6.392806992952166,6.444902123091672,6.4645898369379005,6.451786652942014,,
34,20180313.0,6.4,6.4,6.6,6.3,5468.0,6.3918440985648575,6.395204661968112,6.436738100711368,6.455977858679513,6.4468545907570585,,
35,20180312.0,6.4,6.4,6.5,6.4,6310.0,6.3959220492824285,6.396803107978741,6.430058446036573,6.448514144188913,6.442392248780196,,
36,20180309.0,6.4,6.5,6.5,6.4,2007.0,6.397961024641214,6.397868738652494,6.424593274029924,6.442045591630389,6.438354891753512,,
37,20180308.0,6.9,6.4,6.9,6.3,9403.0,6.648980512320606,6.565245825768329,6.511030860569938,6.503106179413004,6.48232109253889,,
38,20180307.0,6.9,6.5,7.2,6.5,54740.0,6.774490256160305,6.67683055051222,6.5817525222844955,6.556025355491272,6.522100036106616,,
39,20180306.0,7.2,7.2,7.2,7.2,1630.0,6.987245128080152,6.851220367008145,6.694161154596404,6.641888641425767,6.586661937429795,,
