,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,18.9,19.3,19.4,18.9,427900.0,,,,,,,
1,20180518.0,19.0,19.25,19.5,18.9,711320.0,18.83333333333333,,,,,,
2,20180517.0,19.3,19.3,19.6,19.25,634490.0,19.066666666666663,,,,,,
3,20180516.0,19.3,19.9,19.9,19.3,502980.0,19.18333333333333,19.02,,,,,
4,20180515.0,19.9,19.45,20.15,19.2,1173780.0,19.54166666666666,19.31333333333333,,,,,
5,20180514.0,19.4,19.1,19.4,18.95,517520.0,19.470833333333328,19.342222222222222,,,,,
6,20180511.0,19.2,18.9,19.3,18.7,408580.0,19.335416666666667,19.294814814814814,,,,,
7,20180510.0,19.1,18.8,19.4,18.6,1028590.0,19.21770833333333,19.229876543209883,,,,,
8,20180509.0,18.7,18.5,18.85,18.35,438000.0,18.95885416666667,19.053251028806585,19.14,,,,
9,20180508.0,18.5,18.5,18.5,18.4,521020.0,18.72942708333333,18.86883401920439,19.02363636363636,,,,
10,20180507.0,18.5,18.4,18.5,18.3,283730.0,18.614713541666667,18.745889346136256,18.928429752066112,,,,
11,20180504.0,18.3,18.15,18.4,18.15,988760.0,18.457356770833332,18.59725956409084,18.814169797145,,,,
12,20180503.0,18.15,18.5,18.55,18.0,1021150.0,18.303678385416667,18.448173042727227,18.693411652209548,18.91785714285714,,,
13,20180502.0,18.6,19.2,19.2,18.6,905520.0,18.451839192708334,18.498782028484815,18.676427715444177,18.87547619047619,,,
14,20180427.0,19.1,19.1,19.15,18.85,782950.0,18.775919596354168,18.699188018989883,18.753440858090688,18.905412698412697,,,
15,20180426.0,19.1,19.2,19.45,18.95,748970.0,18.937959798177083,18.83279201265992,18.816451611165114,18.93135767195767,,,
16,20180424.0,19.15,18.8,19.65,18.8,373410.0,19.04397989908854,18.938528008439942,18.87709677277145,18.960509982363313,,,
17,20180423.0,19.0,20.1,20.2,19.0,600860.0,19.02198994954427,18.959018672293297,18.89944281408573,18.965775318048205,,,
18,20180420.0,20.1,19.9,20.3,19.9,335430.0,19.560994974772132,19.339345781528863,19.11772593879742,19.117005275641777,18.995,,
19,20180419.0,19.95,20.3,20.4,19.95,891290.0,19.755497487386062,19.542897187685906,19.269048495379707,19.22807123888954,19.08595238095238,,
20,20180418.0,20.15,20.5,20.8,20.15,445210.0,19.95274874369303,19.745264791790607,19.42922149621976,19.35099507370427,19.187290249433108,,
21,20180417.0,20.5,20.7,20.8,20.45,538280.0,20.22637437184652,19.996843194527074,19.623908496907077,19.504195730543696,19.31231022567757,,
22,20180416.0,20.7,20.9,21.05,20.7,515740.0,20.46318718592326,20.231228796351377,19.819561497469422,19.66363629980454,19.444471156565424,,
23,20180413.0,20.9,21.4,21.4,20.8,1007390.0,20.68159359296163,20.45415253090092,20.01600486156589,19.828484793163934,19.58309295117824,,
24,20180412.0,21.4,21.3,21.55,21.3,292830.0,21.040796796480805,20.76943502060061,20.267640341281183,20.038020154075408,19.75613171773269,,
25,20180411.0,21.3,21.7,21.7,21.25,569600.0,21.17039839824041,20.946290013733744,20.45534209741188,20.206284133532016,19.90316679223434,,
26,20180410.0,21.7,21.3,22.0,21.3,1321190.0,21.435199199120206,21.19752667582249,20.68164353424608,20.405446249061082,20.074293764402498,,
27,20180409.0,21.3,21.25,21.35,21.25,557760.0,21.367599599560098,21.231684450548325,20.794071982564972,20.524720082519604,20.191027691602255,,
28,20180406.0,21.25,21.4,21.4,21.2,505550.0,21.308799799780047,21.237789633698885,20.876967985734975,20.62142407151699,20.291882197163943,,
29,20180405.0,21.3,21.25,21.4,21.25,415520.0,21.304399899890022,21.258526422465923,20.953882897419525,20.71190086198139,20.387893416481663,,
30,20180404.0,21.3,21.5,21.55,21.25,473830.0,21.30219994994501,21.272350948310617,21.016813279706888,20.790314080383872,20.47476071015008,,
31,20180403.0,21.35,21.7,21.75,21.3,1322130.0,21.326099974972507,21.29823396554041,21.077392683396543,20.864938869666023,20.558116832992926,,
32,20180402.0,21.75,22.1,22.3,21.75,803710.0,21.538049987486254,21.448822643693607,21.199684922778992,20.982947020377217,20.67162951556503,,
33,20180330.0,22.0,21.95,22.0,21.7,243630.0,21.76902499374313,21.63254842912907,21.345196755000995,21.118554084326924,20.79814099027312,,
34,20180329.0,21.95,22.3,22.3,21.55,1048030.0,21.859512496871563,21.738365619419376,21.455160981364447,21.22941353975,20.907841848342343,,
35,20180328.0,22.0,22.1,22.3,22.0,247390.0,21.929756248435776,21.825577079612923,21.554222621116367,21.33215840111667,21.011856910404976,,
36,20180327.0,22.1,22.4,22.8,22.05,893100.0,22.014878124217887,21.91705138640861,21.65345487182249,21.434537280967778,21.115489585604507,,
37,20180326.0,22.4,22.8,22.8,22.4,359470.0,22.207439062108943,22.07803425760574,21.789190349672943,21.563265643505407,21.237823910785032,,
38,20180323.0,22.85,22.5,22.85,22.35,699710.0,22.528719531054477,22.335356171737157,21.98206483155059,21.734830224371358,21.391364490710266,,
39,20180322.0,22.85,22.9,23.1,22.8,554870.0,22.689359765527236,22.50690411449144,22.13987122581412,21.883519527788508,21.53028215826167,,
40,20180321.0,22.8,22.6,22.9,22.35,659150.0,22.74467988276362,22.60460274299429,22.259894639302463,22.005716924083366,21.65120766699865,,
