,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20171227.0,2.7,2.7,2.7,2.7,100.0,,,,,,,
1,20170526.0,2.3,2.3,2.3,2.3,1500.0,2.5666666666666673,,,,,,
2,20160527.0,2.4,2.4,2.4,2.4,100.0,2.483333333333333,,,,,,
3,20160330.0,2.8,2.8,2.8,2.8,3100.0,2.641666666666666,2.58,,,,,
4,20160321.0,2.5,2.5,2.5,2.5,800.0,2.570833333333333,2.553333333333333,,,,,
5,20160314.0,2.2,2.2,2.2,2.2,1100.0,2.3854166666666674,2.435555555555556,,,,,
6,20160302.0,2.2,2.2,2.2,2.2,700.0,2.2927083333333327,2.3570370370370366,,,,,
7,20151230.0,2.1,2.1,2.1,2.1,2200.0,2.1963541666666666,2.2713580246913585,,,,,
8,20151022.0,1.5,1.5,1.5,1.5,100.0,1.8481770833333329,2.014238683127572,2.34,,,,
9,20150528.0,2.1,2.1,2.1,2.1,11000.0,1.9740885416666665,2.0428257887517147,2.2963636363636364,,,,
10,20150427.0,2.0,2.0,2.0,2.0,2000.0,1.9870442708333331,2.0285505258344765,2.242479338842976,,,,
11,20150424.0,2.0,2.0,2.0,2.0,9000.0,1.9935221354166668,2.019033683889651,2.1983921863260703,,,,
12,20141105.0,3.0,3.0,3.0,3.0,7000.0,2.4967610677083334,2.3460224559264335,2.3441390615395123,2.321428571428572,,,
13,20140522.0,3.0,3.0,3.0,3.0,6100.0,2.7483805338541663,2.5640149706176225,2.463386504895965,2.411904761904762,,,
14,20140403.0,3.0,3.0,3.0,3.0,200.0,2.8741902669270836,2.709343313745081,2.56095259491488,2.4903174603174607,,,
15,20130515.0,3.3,3.3,3.3,3.3,71700.0,3.0870951334635417,2.9062288758300543,2.6953248503849014,2.5982751322751327,,,
16,20130412.0,3.3,3.3,3.3,3.3,2800.0,3.1935475667317705,3.0374859172200357,2.805265786678556,2.6918384479717816,,,
17,20121129.0,3.3,3.3,3.3,3.3,100.0,3.2467737833658847,3.124990611480024,2.8952174618279094,2.7729266549088774,,,
18,20120612.0,3.3,3.3,3.3,3.3,100.0,3.273386891682943,3.183327074320016,2.968814286950108,2.843203100921027,2.5849999999999995,,
19,20120320.0,3.3,3.3,3.3,3.3,100.0,3.2866934458414705,3.2222180495466763,3.029029871140997,2.9041093541315566,2.6530952380952377,,
20,20120130.0,3.3,3.3,3.3,3.3,100.0,3.2933467229207354,3.2481453663644513,3.078297167297179,2.9568947735806823,2.7147052154195004,,
21,20111223.0,3.6,3.6,3.6,3.6,100.0,3.446673361460368,3.3654302442429676,3.173152227788601,3.0426421371032575,2.7990190044271674,,
22,20111114.0,4.4,4.4,4.4,4.4,100.0,3.923336680730184,3.710286829495312,3.3962154590997646,3.2236231854894903,2.9514933849579132,,
23,20111026.0,4.8,4.8,4.8,4.8,100.0,4.361668340365092,4.073524552996874,3.651449011990717,3.4338067607575584,3.1275416340095408,,
24,20111021.0,5.2,5.2,5.2,5.2,100.0,4.780834170182546,4.449016368664584,3.933003737083313,3.6692991926565512,3.324918621246727,,
25,20111014.0,5.7,5.7,5.7,5.7,100.0,5.2404170850912735,4.866010912443056,4.254275784886348,3.940059300302344,3.551116847794657,,
26,20111012.0,6.3,6.3,6.3,6.3,100.0,5.770208542545638,5.344007274962037,4.6262256421797385,4.254718060262031,3.812915243242785,,
27,20111003.0,6.9,6.9,6.9,6.9,100.0,6.335104271272818,5.862671516641358,5.039639161783423,4.607422318893761,4.1069233153149005,,
28,20110927.0,7.5,7.5,7.5,7.5,200.0,6.917552135636408,6.408447677760906,5.486977496004619,4.993099343041259,4.430073475761101,,
29,20110621.0,11.0,11.0,11.0,11.0,1200.0,8.958776067818205,7.9389651185072685,6.489345224003778,5.794019430635758,5.0557807637838525,,
30,20110602.0,10.0,10.0,10.0,10.0,500.0,9.479388033909103,8.625976745671514,7.12764609236673,6.354816839884324,5.526658786280628,,
31,20110428.0,10.5,10.5,10.5,10.5,10800.0,9.989694016954552,9.250651163781008,7.740801348300051,6.907507927899748,6.000310330444379,,
32,20110422.0,10.5,10.5,10.5,10.5,7200.0,10.244847008477278,9.667100775854006,8.242473830427315,7.3865068708464445,6.42885220373539,,
33,20110418.0,10.5,10.5,10.5,10.5,1000.0,10.372423504238638,9.944733850569337,8.652933133985984,7.80163928806692,6.816580565284401,,
34,20101006.0,11.0,11.0,11.0,11.0,11900.0,10.686211752119322,10.296489233712894,9.07967256417035,8.228087382991331,7.2150014638287425,,
35,20100824.0,11.0,11.0,11.0,11.0,1200.0,10.843105876059662,10.53099282247526,9.428823007048468,8.59767573192582,7.575477514892672,,
36,20100702.0,11.4,11.4,11.4,11.4,1100.0,11.121552938029827,10.820661881650175,9.787218823948747,8.971318967669044,7.939717751569561,,
