,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,3.2,3.2,3.2,3.2,8000.0,,,,,,,
1,20180518.0,2.9,3.2,3.2,2.9,1600.0,3.1,,,,,,
2,20180517.0,3.3,3.3,3.3,3.3,5300.0,3.2,,,,,,
3,20180516.0,3.3,3.3,3.3,3.3,2000.0,3.25,3.1800000000000006,,,,,
4,20180514.0,3.3,3.3,3.3,3.3,5000.0,3.275,3.22,,,,,
5,20180511.0,3.3,3.3,3.3,3.3,5000.0,3.2875,3.246666666666666,,,,,
6,20180509.0,3.3,3.6,3.6,3.3,2100.0,3.29375,3.264444444444444,,,,,
7,20180427.0,3.3,3.3,3.3,3.3,5000.0,3.296875,3.276296296296296,,,,,
8,20180424.0,3.4,3.3,3.4,3.3,2600.0,3.3484375,3.317530864197531,3.2500000000000004,,,,
9,20180418.0,3.4,3.4,3.4,3.4,6000.0,3.37421875,3.3450205761316867,3.2772727272727282,,,,
10,20180417.0,3.3,3.4,3.4,3.3,1000.0,3.337109375,3.3300137174211253,3.2814049586776863,,,,
11,20180416.0,3.5,3.5,3.5,3.5,300.0,3.4185546875000004,3.386675811614084,3.3211495116453795,,,,
12,20180412.0,3.4,3.4,3.4,3.4,1100.0,3.40927734375,3.391117207742722,3.3354859640734924,3.292857142857143,,,
13,20180410.0,3.5,3.4,3.5,3.4,1000.0,3.4546386718750006,3.4274114718284814,3.3653976069692213,3.3204761904761906,,,
14,20180404.0,3.7,3.7,3.7,3.7,700.0,3.5773193359375,3.5182743145523205,3.4262344057020897,3.3710793650793653,,,
15,20180403.0,3.8,3.8,3.8,3.8,100.0,3.6886596679687504,3.6121828763682142,3.4941917864835275,3.4282687830687837,,,
16,20180402.0,3.4,3.4,3.4,3.4,1000.0,3.5443298339843747,3.541455250912142,3.477066007122887,3.4244996119929456,,,
17,20180329.0,3.7,3.7,3.7,3.7,310.0,3.622164916992189,3.594303500608095,3.517599460373271,3.4612329970605527,,,
18,20180327.0,3.4,3.4,3.4,3.4,500.0,3.511082458496093,3.5295356670720635,3.4962177403054033,3.4530685974524795,3.3800000000000003,,
19,20180321.0,3.5,3.5,3.5,3.5,100.0,3.5055412292480463,3.5196904447147084,3.496905423886239,3.4593261177921484,3.391428571428572,,
20,20180320.0,3.5,3.5,3.5,3.5,100.0,3.5027706146240245,3.513126963143139,3.497468074088741,3.4647493020865285,3.4017687074829936,,
21,20180319.0,3.6,3.5,3.6,3.5,1000.0,3.5513853073120125,3.542084642095426,3.5161102424362425,3.482782728474992,3.420647878198899,,
22,20180316.0,3.5,3.5,3.5,3.5,410.0,3.5256926536560056,3.5280564280636173,3.513181107447835,3.4850783646783263,3.4282052231323368,,
23,20180315.0,3.8,3.4,3.9,3.4,2900.0,3.6628463268280025,3.618704285375745,3.5653299970027734,3.5270679160545484,3.4636142495006865,,
24,20180313.0,3.3,3.4,3.4,3.3,4600.0,3.4814231634140014,3.51246952358383,3.517088179365906,3.4967921939139432,3.44803194002443,,
25,20180309.0,3.5,3.5,3.5,3.5,2000.0,3.490711581707001,3.508313015722553,3.513981237663014,3.497219901392084,3.452981279069722,,
26,20180308.0,3.4,3.4,3.4,3.4,4800.0,3.4453557908535,3.4722086771483687,3.493257376269739,3.4842572478731393,3.447935442967844,,
27,20180307.0,3.4,3.4,3.4,3.4,410.0,3.4226778954267494,3.4481391180989123,3.4763014896752407,3.473022948156721,3.443370162685192,,
28,20180306.0,3.5,3.4,3.5,3.4,5000.0,3.461338947713375,3.4654260787326083,3.480610309734288,3.4766198884024906,3.4487634805246974,,
29,20180302.0,3.3,3.3,3.3,3.3,1000.0,3.3806694738566874,3.4102840524884046,3.447772071600781,3.4530705699488253,3.4345955299985356,,
30,20180301.0,3.4,3.4,3.4,3.4,1800.0,3.3903347369283434,3.4068560349922703,3.4390862404006395,3.4459944939556486,3.431300717617723,,
31,20180227.0,3.4,3.4,3.4,3.4,2000.0,3.395167368464172,3.4045706899948467,3.4319796512368863,3.439861894761562,3.428319696892226,,
32,20180226.0,3.5,3.3,3.5,3.3,6500.0,3.4475836842320855,3.4363804599965646,3.444346987375634,3.4478803087933545,3.435146392426299,,
33,20180222.0,3.3,3.4,3.5,3.3,33500.0,3.373791842116043,3.3909203066643765,3.4181020805800646,3.428162934287573,3.4222753074333188,,
34,20180221.0,3.4,3.6,3.6,3.4,6200.0,3.3868959210580214,3.393946871109584,3.41481079320187,3.424407876382564,3.4201538495825266,,
35,20180213.0,3.5,3.5,3.5,3.5,11900.0,3.443447960529011,3.4292979140730564,3.4302997398924395,3.434486826198221,3.4277582448603807,,
36,20180212.0,3.4,3.4,3.4,3.4,3000.0,3.4217239802645047,3.419531942715371,3.424790696275633,3.429888582705125,3.4251146024927257,,
37,20180209.0,3.3,3.3,3.3,3.3,100.0,3.360861990132252,3.379687961810247,3.402101478770972,3.412570105011109,3.413198926064847,,
38,20180208.0,3.4,3.4,3.4,3.4,700.0,3.380430995066125,3.3864586412068314,3.4017193917217043,3.410894091009628,3.4119418854872423,,
39,20180207.0,3.4,3.5,3.5,3.4,8300.0,3.390215497533063,3.3909724274712207,3.401406775045031,3.4094415455416778,3.4108045630598856,,
40,20180206.0,3.5,3.3,3.5,3.1,5800.0,3.4451077487665316,3.4273149516474803,3.419332815945934,3.4215160061361205,3.4192993665779916,,
41,20180205.0,3.4,3.5,3.5,3.4,32900.0,3.422553874383265,3.418209967764987,3.4158177585012193,3.4186472053179706,3.4174613316658022,,
42,20180202.0,3.5,3.5,3.5,3.5,100.0,3.461276937191633,3.4454733118433247,3.4311236205919067,3.4294942446089083,3.42532215722144,,
43,20180201.0,3.4,3.5,3.5,3.4,7300.0,3.4306384685958164,3.430315541228883,3.4254647804842877,3.4255616786610537,3.422910523200351,,
