,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,5.29,5.32,5.34,5.29,2274080.0,,,,,,,
1,20180518.0,5.32,5.35,5.38,5.28,4076180.0,5.23,,,,,,
2,20180517.0,5.32,5.35,5.39,5.32,2881310.0,5.275,,,,,,
3,20180516.0,5.31,5.3,5.4,5.28,4303840.0,5.2925,5.264,,,,,
4,20180515.0,5.28,5.31,5.32,5.28,2159620.0,5.286250000000001,5.269333333333335,,,,,
5,20180514.0,5.28,5.33,5.34,5.28,1755550.0,5.283125,5.27288888888889,,,,,
6,20180511.0,5.31,5.26,5.31,5.24,3970500.0,5.2965625,5.285259259259259,,,,,
7,20180510.0,5.26,5.38,5.39,5.26,5606960.0,5.27828125,5.27683950617284,,,,,
8,20180509.0,5.38,5.45,5.53,5.38,3188620.0,5.329140624999999,5.31122633744856,5.283,,,,
9,20180508.0,5.45,5.37,5.5,5.35,4543900.0,5.3895703125,5.357484224965706,5.313363636363636,,,,
10,20180507.0,5.37,5.35,5.39,5.27,3099350.0,5.37978515625,5.3616561499771365,5.323661157024794,,,,
11,20180504.0,5.29,5.26,5.31,5.21,3002690.0,5.334892578125,5.337770766651425,5.317540946656649,,,,
12,20180503.0,5.21,5.36,5.36,5.21,5616970.0,5.2724462890625015,5.29518051110095,5.297988047264531,5.296428571428572,,,
13,20180502.0,5.35,5.46,5.47,5.35,4317640.0,5.31122314453125,5.3134536740673,5.307444765943706,5.303571428571429,,,
14,20180427.0,5.42,5.35,5.52,5.34,4374460.0,5.365611572265625,5.348969116044866,5.327909353953942,5.319095238095239,,,
15,20180426.0,5.35,5.56,5.56,5.3,5654570.0,5.357805786132812,5.349312744029911,5.331925835053225,5.323215873015873,,,
16,20180424.0,5.5,5.5,5.55,5.44,4793580.0,5.428902893066406,5.399541829353273,5.362484774134456,5.34678708994709,,,
17,20180423.0,5.5,5.75,5.85,5.5,7396590.0,5.464451446533203,5.433027886235516,5.387487542473645,5.367215477954144,,,
18,20180420.0,5.75,5.79,5.82,5.75,6563560.0,5.607225723266602,5.538685257490344,5.453398898387528,5.418253414226926,5.351,,
19,20180419.0,5.78,5.9,5.92,5.75,5321040.0,5.693612861633301,5.619123504993563,5.512780916862523,5.466486292330003,5.391857142857143,,
20,20180418.0,5.85,5.85,6.04,5.79,7893870.0,5.771806430816651,5.696082336662375,5.574093477432974,5.517621453352668,5.435489795918368,,
