,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180420.0,2.7,2.7,2.7,2.7,100.0,,,,,,,
1,20180327.0,4.1,4.1,4.1,4.1,8.0,3.1,,,,,,
2,20180326.0,4.1,4.1,4.1,4.1,8.0,3.6,,,,,,
3,20180302.0,3.7,4.9,4.9,3.7,300.0,3.65,3.4200000000000004,,,,,
4,20180213.0,4.3,4.3,4.3,4.3,100.0,3.975,3.713333333333333,,,,,
5,20180212.0,4.9,4.9,4.9,4.9,100.0,4.4375,4.108888888888889,,,,,
6,20180208.0,5.7,5.7,5.7,5.7,1100.0,5.06875,4.639259259259259,,,,,
7,20180207.0,6.7,6.7,6.7,6.7,1100.0,5.884375,5.326172839506173,,,,,
8,20180115.0,7.8,7.8,7.8,7.8,5000.0,6.8421875,6.150781893004115,4.65,,,,
9,20180111.0,9.1,9.1,9.1,9.1,100.0,7.971093749999999,7.133854595336078,5.459090909090909,,,,
10,20171201.0,7.0,7.0,7.0,7.0,100.0,7.485546875,7.089236396890718,5.739256198347108,,,,
11,20170926.0,5.1,5.1,5.1,5.1,1000.0,6.292773437499998,6.426157597927146,5.623027798647634,,,,
12,20170918.0,5.9,5.9,5.9,5.9,3200.0,6.096386718750001,6.25077173195143,5.673386380711699,5.257142857142858,,,
13,20170901.0,5.2,5.2,5.2,5.2,100.0,5.648193359375001,5.90051448796762,5.5873161296732095,5.249523809523811,,,
14,20170830.0,5.5,5.5,5.5,5.5,100.0,5.5740966796875,5.76700965864508,5.571440469732626,5.282920634920637,,,
15,20170829.0,5.9,5.9,5.9,5.9,100.0,5.737048339843749,5.8113397724300535,5.631178566144877,5.365197883597885,,,
16,20170828.0,5.2,5.2,5.2,5.2,800.0,5.468524169921875,5.6075598482867015,5.552782463209443,5.343171499118167,,,
17,20170825.0,6.0,6.0,6.1,6.0,700.0,5.734262084960937,5.738373232191136,5.6340947426259085,5.430748632569078,,,
18,20170824.0,7.0,7.0,7.0,7.0,100.0,6.367131042480468,6.158915488127422,5.88244115305756,5.639982148226535,5.420000000000001,,
19,20170822.0,6.3,6.3,6.3,6.3,2600.0,6.333565521240232,6.205943658751616,5.958360943410732,5.727984528462997,5.503809523809524,,
20,20170821.0,5.5,5.5,5.5,5.5,200.0,5.916782760620118,5.9706291058344085,5.875022590063325,5.6975865913345975,5.503446712018141,,
21,20170818.0,4.8,4.8,4.8,4.8,6890.0,5.358391380310057,5.580419403889606,5.679563937324538,5.57790837915665,5.436451787064032,,
22,20170817.0,4.2,4.2,4.2,4.2,100.0,4.77919569015503,5.120279602593072,5.410552312356441,5.394187261935763,5.3186944740103135,,
23,20170816.0,3.7,3.7,3.7,3.7,100.0,4.239597845077515,4.646853068395381,5.099542801018907,5.168295627010996,5.164533095533143,,
24,20170815.0,3.3,3.3,3.3,3.3,100.0,3.7697989225387576,4.197902045596921,4.77235320083365,4.919189543409529,4.986958515006176,,
25,20170814.0,2.9,2.9,2.9,2.9,100.0,3.3348994612693783,3.765268030397947,4.431925346136623,4.649964270954925,4.788200561196064,,
26,20170810.0,2.6,2.6,2.6,2.6,100.0,2.9674497306346894,3.376845353598632,4.098848010475418,4.376635701494268,4.57980050774882,,
27,20170809.0,2.3,2.3,2.3,2.3,100.0,2.633724865317345,3.017896902399088,3.7717847358435246,4.099750941295032,4.36267664986798,,
28,20170808.0,2.0,2.0,2.0,2.0,100.0,2.316862432658672,2.6785979349327254,3.4496420565992474,3.8197841491223614,4.137659826071029,,
29,20170807.0,1.8,1.8,1.8,1.8,100.0,2.0584312163293363,2.3857319566218167,3.1497071372175665,3.550479595906047,3.915025556921407,,
30,20170728.0,1.6,1.6,1.6,1.6,100.0,1.829215608164668,2.1238213044145446,2.8679422031780084,3.2904156497852406,3.6945469324527007,,
31,20170727.0,1.4,1.4,1.4,1.4,100.0,1.6146078040823342,1.8825475362763633,2.601043620782007,3.038360229813875,3.476018653171492,,
32,20170724.0,1.3,1.3,1.3,1.3,110.0,1.4573039020411673,1.688365024184242,2.3644902351852783,2.806578865838691,3.2687787814408726,,
33,20170721.0,1.2,1.2,1.2,1.2,100.0,1.3286519510205834,1.5255766827894948,2.152764737878864,2.5923683503935324,3.0717522308274563,,
34,20170428.0,1.5,1.5,1.5,1.5,500.0,1.4143259755102915,1.5170511218596634,2.034080240082707,2.446719237007728,2.9220615421772234,,
35,20170308.0,2.5,2.5,2.5,2.5,90.0,1.9571629877551455,1.844700747906442,2.118792923704033,2.4538233387400314,2.8818652048270113,,
36,20170303.0,2.5,2.5,2.5,2.5,100.0,2.2285814938775728,2.063133831937628,2.1881033012123905,2.459980226908027,2.8454970900815817,,
37,20160804.0,3.8,3.8,3.8,3.8,200.0,3.0142907469387867,2.642089221291752,2.481175428264683,2.6386495299869566,2.936402129121431,,
38,20160413.0,4.4,4.4,4.4,4.4,100.0,3.707145373469393,3.228059480861168,2.8300526231256495,2.873496259322029,3.075792402538437,,
39,20160406.0,5.1,5.1,5.1,5.1,40.0,4.403572686734695,3.8520396539074446,3.242770328011896,3.1703634247457586,3.2685740784871578,,
40,20160404.0,5.1,5.1,5.1,5.1,10.0,4.751786343367348,4.268026435938297,3.5804484501915503,3.4276483014463235,3.442995594821714,,
41,20160325.0,5.1,5.1,5.1,5.1,50.0,4.925893171683675,4.5453509572921975,3.856730550156724,3.6506285279201474,3.6008055381720268,,
42,20160324.0,5.1,5.1,5.1,5.1,100.0,5.012946585841837,4.730233971528131,4.082779541037319,3.8438780575307936,3.743585963108024,,
43,20160316.0,5.8,5.8,5.8,5.8,100.0,5.406473292920919,5.086822647685421,4.3950014426668975,4.104694316526689,3.9394349190024966,,
