,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,13.0,13.0,13.1,12.45,7660.0,,,,,,,
1,20180518.0,13.35,12.85,13.35,12.85,3530.0,13.11666666666667,,,,,,
2,20180517.0,12.95,12.9,12.95,12.6,290.0,13.03333333333333,,,,,,
3,20180516.0,12.75,13.2,13.2,12.4,26680.0,12.891666666666666,13.01,,,,,
4,20180515.0,13.2,13.0,13.45,12.85,3990.0,13.045833333333329,13.073333333333329,,,,,
5,20180514.0,13.05,13.5,13.5,12.65,3040.0,13.047916666666666,13.065555555555555,,,,,
6,20180511.0,13.25,13.15,13.25,12.85,4700.0,13.14895833333333,13.127037037037034,,,,,
7,20180510.0,12.95,12.85,13.35,12.85,1890.0,13.049479166666666,13.068024691358024,,,,,
8,20180509.0,12.8,12.7,12.95,12.65,26360.0,12.924739583333334,12.978683127572015,13.03,,,,
9,20180508.0,12.9,13.35,13.4,12.9,7710.0,12.912369791666666,12.952455418381343,13.006363636363636,,,,
10,20180507.0,13.45,13.45,13.45,13.15,1030.0,13.181184895833331,13.118303612254229,13.087024793388432,,,,
11,20180504.0,13.5,13.45,13.5,13.1,14160.0,13.340592447916666,13.245535741502817,13.162111194590532,,,,
12,20180503.0,13.6,13.7,13.75,13.3,3460.0,13.470296223958332,13.363690494335211,13.241727341028618,13.125,,,
13,20180502.0,13.55,13.95,13.95,12.75,5410.0,13.510148111979166,13.425793662890142,13.29777691538705,13.181666666666665,,,
14,20180427.0,13.5,13.9,13.9,12.7,7530.0,13.505074055989583,13.450529108593429,13.33454474895304,13.224111111111112,,,
15,20180426.0,14.85,14.8,14.95,14.8,10390.0,14.177537027994793,13.91701940572895,13.610082067325214,13.440896296296298,,,
16,20180424.0,14.8,14.7,14.8,14.7,270.0,14.488768513997396,14.211346270485969,13.826430782356995,13.62211012345679,,,
17,20180423.0,14.7,14.9,14.9,14.7,1640.0,14.594384256998694,14.374230846990644,13.985261549201178,13.76582877366255,,,
18,20180420.0,14.8,14.7,14.9,14.7,220.0,14.697192128499347,14.516153897993764,14.13339581298278,13.903718270507545,13.497499999999997,,
19,20180419.0,15.0,15.0,15.0,14.75,21980.0,14.848596064249673,14.67743593199584,14.290960210622275,14.049889167773205,13.640595238095235,,
20,20180418.0,15.0,14.9,15.0,14.6,53590.0,14.924298032124838,14.784957287997228,14.41987653596368,14.176570612070114,13.770062358276643,,
21,20180417.0,15.0,14.65,15.1,14.65,27260.0,14.962149016062419,14.856638191998151,14.525353529424828,14.286361197127428,13.887199276536009,,
22,20180416.0,15.0,14.95,15.35,14.6,20580.0,14.981074508031206,14.9044254613321,14.611652887711225,14.381513037510441,13.993180297818297,,
