,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180518.0,7.5,7.5,7.5,7.5,5.0,,,,,,,
1,20180511.0,7.5,7.5,7.5,7.5,2.0,7.5,,,,,,
2,20180509.0,7.5,7.5,7.5,7.5,6800.0,7.5,,,,,,
3,20180508.0,8.5,8.5,8.5,8.5,1000.0,8.0,7.7,,,,,
4,20180427.0,9.0,9.0,9.0,9.0,1100.0,8.5,8.133333333333331,,,,,
5,20180426.0,9.0,8.5,9.0,8.5,300.0,8.75,8.422222222222222,,,,,
6,20180424.0,8.0,8.0,8.0,8.0,500.0,8.375,8.281481481481482,,,,,
7,20180420.0,7.2,7.2,7.2,7.2,200.0,7.787499999999999,7.920987654320989,,,,,
8,20180410.0,6.5,6.1,6.5,6.1,1250.0,7.14375,7.447325102880659,7.82,,,,
9,20180406.0,6.5,6.3,6.5,6.3,600.0,6.821875,7.131550068587106,7.58,,,,
10,20180405.0,6.2,6.2,6.2,6.2,100.0,6.510937500000001,6.821033379058071,7.329090909090909,,,,
11,20180403.0,7.0,7.1,7.1,7.0,2230.0,6.75546875,6.880688919372047,7.269256198347109,,,,
12,20180402.0,6.2,6.2,6.2,6.2,30.0,6.477734375000002,6.653792612914699,7.074845980465815,7.435714285714287,,,
13,20180330.0,6.2,6.2,6.2,6.2,100.0,6.3388671875,6.502528408609798,6.915783074926577,7.270952380952381,,,
14,20180319.0,7.0,7.0,7.0,7.0,4100.0,6.669433593750001,6.6683522724065325,6.931095243121744,7.234825396825396,,,
15,20180316.0,8.0,8.0,8.0,8.0,100.0,7.334716796875,7.1122348482710205,7.125441562554153,7.3368486772486765,,,
16,20180314.0,8.0,8.0,8.0,8.0,100.0,7.667358398437501,7.408156565514014,7.284452187544307,7.42526885361552,,,
17,20180313.0,7.0,7.0,7.0,7.0,4100.0,7.33367919921875,7.2721043770093425,7.232733607990797,7.368566339800116,,,
18,20180312.0,7.5,7.5,7.5,7.5,10.0,7.416839599609374,7.348069584672895,7.281327497447016,7.386090827826768,7.39,,
