,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180518.0,35.3,35.3,35.3,35.3,100.0,,,,,,,
1,20180516.0,35.0,34.9,35.0,34.9,500.0,35.06666666666666,,,,,,
2,20180514.0,35.9,37.0,37.0,34.1,2400.0,35.483333333333334,,,,,,
3,20180511.0,34.0,37.9,37.9,34.0,1500.0,34.74166666666667,35.02,,,,,
4,20180510.0,35.8,33.6,35.8,33.5,2400.0,35.27083333333332,35.279999999999994,,,,,
5,20180509.0,35.9,35.0,36.3,35.0,2300.0,35.58541666666666,35.486666666666665,,,,,
6,20180508.0,36.2,36.2,36.2,36.2,100.0,35.892708333333324,35.724444444444444,,,,,
7,20180507.0,34.5,35.0,36.4,34.0,3279.0,35.196354166666666,35.316296296296294,,,,,
8,20180504.0,36.6,36.6,36.6,36.6,400.0,35.89817708333334,35.7441975308642,35.410000000000004,,,,
9,20180503.0,36.9,36.9,36.9,36.9,100.0,36.39908854166668,36.12946502057613,35.6809090909091,,,,
10,20180502.0,36.6,33.6,36.8,33.6,1100.0,36.49954427083334,36.28631001371743,35.848016528925626,,,,
11,20180427.0,36.6,36.7,36.7,36.6,600.0,36.549772135416674,36.39087334247829,35.98474079639369,,,,
12,20180426.0,36.2,36.2,36.3,36.2,2679.0,36.37488606770834,36.32724889498552,36.023878833413015,35.74285714285715,,,
13,20180424.0,36.1,36.1,36.1,36.1,100.0,36.23744303385417,36.25149926332368,36.037719045519744,35.79047619047619,,,
14,20180423.0,35.7,36.9,36.9,35.7,2400.0,35.96872151692709,36.06766617554912,35.97631558269797,35.778412698412694,,,
15,20180420.0,36.4,36.4,36.4,36.4,200.0,36.18436075846354,36.17844411703274,36.05334911311653,35.86129100529101,,,
16,20180419.0,36.3,36.5,36.5,36.0,1200.0,36.24218037923177,36.2189627446885,36.098194728913526,35.91978553791888,,,
17,20180418.0,36.3,36.0,36.3,36.0,2600.0,36.271090189615876,36.245975163125664,36.13488659638378,35.970480799529696,,,
18,20180417.0,36.3,36.3,36.3,36.3,500.0,36.28554509480794,36.26398344208378,36.164907215223096,36.014416692925735,35.87499999999999,,
19,20180416.0,36.4,36.3,36.4,36.3,400.0,36.34277254740397,36.30932229472252,36.207651357909796,36.065827800535644,35.92499999999999,,
20,20180413.0,36.5,36.5,36.5,35.6,1200.0,36.421386273701984,36.37288152981501,36.26080565647167,36.12371742713088,35.979761904761894,,
21,20180412.0,36.5,36.8,36.8,36.0,1400.0,36.46069313685099,36.41525435321001,36.30429553711318,36.173888436846774,36.029308390022656,,
22,20180411.0,36.5,35.4,36.9,35.2,4450.0,36.480346568425496,36.44350290214,36.339878166728965,36.21736997860052,36.07413616240146,,
23,20180410.0,36.9,36.6,37.0,36.5,2100.0,36.69017328421274,36.59566860142666,36.441718500050975,36.30838731478713,36.15278986122036,,
24,20180406.0,37.6,37.4,37.6,37.4,400.0,37.14508664210638,36.93044573428445,36.65231513640534,36.480602339482175,36.290619398247,,
25,20180405.0,37.5,36.5,37.5,36.5,3100.0,37.32254332105319,37.12029715618963,36.80643965705892,36.61652202755122,36.40579850317586,,
26,20180404.0,37.7,37.7,37.7,36.5,1800.0,37.511271660526596,37.31353143745975,36.968905173957296,36.76098575721106,36.52905578858768,,
27,20180403.0,37.7,37.1,37.7,37.0,1300.0,37.605635830263296,37.44235429163984,37.10183150596506,36.88618765624959,36.64057428491267,,
28,20180402.0,37.8,37.6,37.8,37.5,3100.0,37.70281791513165,37.561569527759886,37.22877123215322,37.008029302082974,36.75099578158765,,
29,20180330.0,39.8,37.5,40.6,37.5,7400.0,38.75140895756582,38.3077130185066,37.69626737176173,37.38029206180524,37.041377135722165,,
30,20180329.0,37.5,37.9,37.9,37.5,2100.0,38.12570447878291,38.03847534567107,37.660582395077775,37.39625312023121,37.08505550374862,,
31,20180326.0,37.9,38.0,38.0,37.9,728.0,38.01285223939145,37.99231689711405,37.7041128687,37.46341937086704,37.16266926529637,,
32,20180323.0,37.9,38.8,38.8,37.9,5700.0,37.95642611969572,37.96154459807603,37.739728710754555,37.521630121418106,37.23289124003005,,
33,20180322.0,39.7,40.5,40.5,38.0,1000.0,38.82821305984786,38.54102973205069,38.096141672435536,37.812079438562364,37.46785397907481,,
34,20180321.0,37.6,38.8,38.8,37.6,1920.0,38.21410652992393,38.22735315470045,38.00593409562908,37.78380218008737,37.48043931440102,,
35,20180320.0,38.4,38.6,38.6,37.3,1600.0,38.30705326496197,38.28490210313364,38.077582441878334,37.86596188940906,37.56801652255329,,
36,20180319.0,37.2,38.0,38.0,37.2,4000.0,37.75352663248097,37.92326806875576,37.918021997900446,37.777166970821185,37.53296732992918,,
37,20180316.0,38.8,37.0,38.8,37.0,5000.0,38.27676331624048,38.21551204583717,38.07838163464582,37.91354470804502,37.65363710803116,,
38,20180315.0,38.0,38.6,38.6,38.0,1500.0,38.13838165812025,38.14367469722478,38.06413042834657,37.92507208030569,37.68662405012344,,
39,20180313.0,38.6,38.6,38.6,38.6,500.0,38.36919082906012,38.29578313148319,38.16156125955629,38.015062469598256,37.77361223582597,,
40,20180312.0,38.8,38.7,39.0,38.7,4400.0,38.58459541453006,38.46385542098879,38.27764103054606,38.119720806985164,37.87136345146159,,
41,20180309.0,38.6,39.0,39.0,38.6,3200.0,38.59229770726503,38.50923694732585,38.33625175226496,38.18375803272048,37.940757408465245,,
42,20180306.0,39.4,39.6,39.6,39.4,1000.0,38.99614885363252,38.80615796488391,38.529660524580414,38.34592362835775,38.07973289337332,,
43,20180228.0,39.7,39.1,39.7,39.0,2800.0,39.348074426816254,39.10410530992261,38.74244952011126,38.52646714457671,38.234044046385385,,
44,20180227.0,38.7,38.4,39.9,38.4,900.0,39.024037213408135,38.96940353994841,38.734731425545576,38.54960485863315,38.278420803872486,,
45,20180226.0,39.8,40.0,40.0,39.8,200.0,39.41201860670407,39.24626902663226,38.928416620900926,38.7163242108154,38.423333108265595,,
46,20180223.0,40.3,39.0,40.3,39.0,1100.0,39.85600930335203,39.59751268442151,39.17779541710075,38.92748098270668,38.60206328843077,,
47,20180222.0,40.4,44.0,44.0,39.9,6000.0,40.12800465167602,39.865008456281,39.40001443217334,39.123816851679116,38.77329535619927,,
48,20180221.0,44.0,40.9,44.0,40.9,400.0,42.064002325838004,41.243338970854005,40.23637544450546,39.77397460478857,39.271076750846966,37.394,
49,20180213.0,40.5,39.9,40.5,39.9,200.0,41.282001162919,40.99555931390266,40.2843071818681,39.87077799081676,39.38811706029011,37.51580392156863,
50,20180212.0,39.9,40.0,40.0,39.8,700.0,40.5910005814595,40.63037287593511,40.21443314880118,39.874674258707856,39.43686781645295,37.60930180699731,
51,20180209.0,38.2,40.8,40.8,38.2,2700.0,39.39550029072976,39.82024858395673,39.84817257629187,39.65138435754682,39.31907088155267,37.63246644201702,
52,20180208.0,38.2,38.2,38.2,38.2,500.0,38.79775014536487,39.28016572263783,39.548504835147895,39.457866443207244,39.212492702357174,37.65472265997714,
53,20180207.0,39.8,41.0,41.0,38.2,700.0,39.298875072682435,39.45344381509188,39.59423122875737,39.503484250779614,39.26844577832316,37.73885118311529,
