,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,16.7,17.3,17.3,16.6,44870.0,,,,,,,
1,20180518.0,17.149999999999995,16.8,17.2,16.649999999999995,88220.0,16.5,,,,,,
2,20180517.0,17.2,17.8,17.8,17.2,12980.0,16.85,,,,,,
3,20180516.0,17.8,17.1,18.0,17.0,79660.0,17.325000000000003,16.899999999999995,,,,,
4,20180515.0,17.0,16.7,17.1,16.7,21800.0,17.1625,16.93333333333333,,,,,
5,20180514.0,16.95,16.5,17.1,16.5,28020.0,17.056249999999995,16.93888888888889,,,,,
6,20180511.0,16.95,16.399999999999995,17.0,16.399999999999995,44690.0,17.003124999999997,16.942592592592593,,,,,
7,20180510.0,16.95,16.6,17.2,16.6,19440.0,16.9765625,16.94506172839506,,,,,
8,20180509.0,17.149999999999995,17.0,17.399999999999995,17.0,23640.0,17.06328125,17.013374485596707,16.95,,,,
9,20180508.0,17.0,17.45,17.5,17.0,33640.0,17.031640625,17.00891632373114,16.959090909090907,,,,
10,20180507.0,17.399999999999995,16.399999999999995,17.5,16.399999999999995,41790.0,17.2158203125,17.13927754915409,17.039256198347104,,,,
11,20180504.0,16.399999999999995,16.0,16.399999999999995,15.9,84090.0,16.80791015625,16.89285169943606,16.923027798647627,,,,
12,20180503.0,16.0,16.3,16.5,16.0,99460.0,16.403955078124998,16.59523446629071,16.755204562529883,16.878571428571426,,,
13,20180502.0,16.5,17.05,17.5,16.5,27640.0,16.4519775390625,16.563489644193805,16.708803732978993,16.828095238095237,,,
14,20180427.0,17.05,16.5,17.149999999999995,16.5,23930.0,16.75098876953125,16.72565976279587,16.7708394178919,16.85768253968254,,,
15,20180426.0,17.0,17.35,17.6,16.7,66910.0,16.875494384765627,16.81710650853058,16.812504978275193,16.876658201058202,,,
16,20180424.0,17.35,17.399999999999995,17.6,17.3,279880.0,17.112747192382812,16.994737672353722,16.910231345861522,16.93977044091711,,,
17,20180423.0,18.55,19.0,20.0,18.55,227530.0,17.831373596191405,17.51315844823581,17.20837110115943,17.15446771546149,,,
18,20180420.0,19.9,20.1,20.35,19.7,28260.0,18.865686798095698,18.308772298823875,17.697758173675897,17.520538686733293,17.1325,,
19,20180419.0,20.0,20.4,20.4,19.6,34060.0,19.432843399047847,18.872514865882586,18.116347596643916,17.85113352850219,17.405595238095234,,
20,20180418.0,20.4,20.2,20.8,20.0,37580.0,19.91642169952392,19.381676577255053,18.53155712452684,18.190982391368564,17.69077664399093,,
21,20180417.0,20.2,19.7,20.2,19.7,109130.0,20.05821084976196,19.654451051503365,18.83491037461287,18.458851405852755,17.929750296944174,,
22,20180416.0,19.6,19.7,19.9,19.5,66830.0,19.829105424880986,19.63630070100224,18.97401757922872,18.611004551739054,18.088821697235204,,
23,20180413.0,20.0,20.5,20.5,19.6,22240.0,19.914552712440486,19.757533800668163,19.160559837550768,18.796203944840514,18.2708386784509,,
24,20180412.0,20.5,19.6,21.0,19.6,64470.0,20.207276356220245,20.00502253377877,19.404094412541532,19.02337675219511,18.48313975669367,,
25,20180411.0,20.5,21.0,21.2,20.5,361070.0,20.353638178110124,20.170015022519184,19.60334997389762,19.22025985190243,18.67522168462761,,
26,20180410.0,22.0,23.0,23.1,21.55,115620.0,21.176819089055066,20.780010015012788,20.03910452409805,19.59089187164877,18.9918672384726,,
27,20180409.0,23.1,23.4,24.0,23.0,79670.0,22.138409544527534,21.553340010008526,20.595630974262043,20.058772955428932,19.383117977665684,,
28,20180406.0,23.3,22.5,23.75,22.5,108310.0,22.719204772263762,22.13556000667235,21.087334433487122,20.490936561371743,19.756154360745146,,
29,20180405.0,22.5,23.4,24.5,22.0,236900.0,22.60960238613188,22.257040004448232,21.344182718307646,20.758811686522176,20.01747299305513,,
30,20180404.0,36.5,36.7,36.8,36.3,228290.0,29.554801193065938,27.004693336298818,24.09978586043353,22.857636794985886,21.587237469907024,,
31,20180403.0,36.7,37.1,37.3,36.3,218350.0,33.127400596532965,30.23646222419921,26.390733885809247,24.703285222321107,23.026548187058737,,
32,20180402.0,37.2,37.95,37.95,37.2,135890.0,35.16370029826649,32.557641482799475,28.356054997480296,26.369513859344956,24.37640074067219,,
33,20180330.0,37.5,37.0,37.5,37.0,94300.0,36.331850149133246,34.20509432186632,30.018590452483878,27.85357867809897,25.626267336798648,,
34,20180329.0,37.4,38.0,38.0,37.0,96260.0,36.86592507456662,35.270062881244215,31.36066491566863,29.126434854352436,26.747575209484488,,
35,20180328.0,37.4,37.45,37.9,36.9,126750.0,37.1329625372833,35.98004192082948,32.45872584009251,30.22957687377211,27.762091856200254,,
36,20180327.0,36.9,36.9,38.0,36.8,92010.0,37.016481268641655,36.286694613886326,33.266230232802954,31.118966623935826,28.632368822276412,,
37,20180326.0,36.9,36.9,38.0,36.9,115780.0,36.95824063432083,36.49112974259088,33.92691564502061,31.88977107407772,29.4197622677739,,
38,20180323.0,37.0,35.6,37.6,35.6,131340.0,36.979120317160415,36.66075316172724,34.48565825501686,32.57113493086736,30.141689670843054,,
39,20180322.0,37.9,38.55,38.65,37.9,68770.0,37.439560158580214,37.0738354411515,35.10644766319561,33.28165027341837,30.880576368857998,,
40,20180321.0,38.55,38.4,39.0,38.3,218150.0,37.9947800792901,37.565890294100996,35.73254808806913,33.98409690362926,31.610997667062,,
41,20180320.0,37.85,37.8,38.5,37.8,379410.0,37.92239003964505,37.66059352940067,36.11753934478384,34.49955064981202,32.205188365437046,,
42,20180319.0,36.8,38.0,38.0,36.6,130560.0,37.36119501982253,37.37372901960045,36.24162310027769,34.80627722983708,32.64278947349066,,
43,20180316.0,37.0,37.8,37.8,36.85,134490.0,37.18059750991127,37.24915267973363,36.379509809318115,35.09877359919214,33.05776190458678,,
44,20180315.0,37.2,37.6,37.6,37.0,37660.0,37.190298754955634,37.232768453155764,36.52868984398755,35.378937119299856,33.452260770816615,,
45,20180314.0,37.6,38.0,38.0,37.3,35170.0,37.39514937747782,37.355178968770495,36.723473508717085,35.67507883672654,33.84728355454836,,
46,20180313.0,38.0,36.8,38.0,36.5,82910.0,37.69757468873891,37.57011931251367,36.95556923440489,35.985068325163,34.24278035887709,,
47,20180312.0,37.4,37.6,37.7,37.0,82160.0,37.54878734436946,37.51341287500912,37.036374828149455,36.17372588180793,34.543467943745945,,
48,20180309.0,37.6,37.3,37.9,37.3,85190.0,37.574393672184726,37.54227525000607,37.13885213212228,36.36389576423354,34.83456623481776,25.683,
49,20180308.0,37.6,37.9,37.9,37.3,22140.0,37.58719683609236,37.56151683333738,37.22269719900914,36.52870966233574,35.09794087912083,26.150333333333332,
50,20180307.0,37.9,38.4,38.4,37.6,54650.0,37.743598418046176,37.67434455555825,37.34584316282566,36.71154837402431,35.364803652537894,26.6111045751634,
51,20180306.0,38.4,38.0,38.8,38.0,10130.0,38.07179920902308,37.9162297037055,37.53750804231191,36.936675257487735,35.65386997134381,27.07341419966679,
52,20180305.0,38.4,39.0,39.0,38.35,27960.0,38.23589960451154,38.077486469137,37.69432476189156,37.13178522315604,35.91540616454916,27.51759403497398,
53,20180302.0,39.0,39.0,39.15,38.85,117070.0,38.61794980225577,38.38499097942465,37.93172025972946,37.38088052673523,36.20917700602067,27.967884464975,
54,20180301.0,39.0,39.0,39.1,38.5,20110.0,38.808974901127876,38.58999398628311,38.12595293977865,37.596763123170525,36.474969672113936,28.400516446740685,
55,20180228.0,38.7,39.0,39.3,38.6,61140.0,38.754487450563936,38.62666265752208,38.23032513254617,37.74386137341446,36.6868773223888,28.804417762554777,
56,20180227.0,38.5,38.75,38.8,38.0,59580.0,38.62724372528197,38.58444177168138,38.27935692662869,37.8446798569592,36.85955567263749,29.184636673827136,
57,20180226.0,38.3,37.6,38.3,37.4,45430.0,38.46362186264097,38.48962784778759,38.2831102126962,37.90538920936464,36.99674084667201,29.542101902304506,
58,20180223.0,37.6,38.0,38.3,37.6,22160.0,38.031810931320486,38.19308523185839,38.15890835584234,37.86467064811602,37.05419409936992,29.8580979061357,
