,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180412.0,10.0,10.0,10.0,10.0,2200.0,,,,,,,
1,20180403.0,10.2,10.2,10.2,10.2,28.0,9.73333333333333,,,,,,
2,20180329.0,10.2,10.2,10.2,10.2,28.0,9.966666666666663,,,,,,
3,20180328.0,10.2,10.2,10.2,10.2,100.0,10.08333333333333,9.919999999999998,,,,,
4,20180205.0,10.2,10.2,10.2,10.2,100.0,10.141666666666664,10.013333333333332,,,,,
5,20180104.0,10.3,10.3,10.3,10.3,100.0,10.220833333333331,10.108888888888888,,,,,
6,20180102.0,9.0,9.0,9.0,9.0,700.0,9.610416666666664,9.739259259259258,,,,,
7,20171229.0,10.0,11.0,11.0,10.0,2100.0,9.805208333333331,9.826172839506174,,,,,
8,20171124.0,10.0,10.0,10.0,10.0,100.0,9.902604166666666,9.884115226337448,9.91,,,,
9,20171122.0,8.9,8.9,8.9,8.9,100.0,9.401302083333334,9.556076817558301,9.726363636363635,,,,
10,20171121.0,8.599999999999998,8.599999999999998,8.599999999999998,8.599999999999998,100.0,9.00065104166667,9.237384545038868,9.521570247933887,,,,
11,20171117.0,7.5,7.5,7.5,7.5,100.0,8.250325520833332,8.658256363359245,9.154012021036815,,,,
12,20171116.0,6.6,6.6,6.6,6.6,100.0,7.425162760416666,7.972170908906163,8.689646199030124,9.335714285714285,,,
13,20171115.0,5.8,5.8,5.8,5.8,100.0,6.612581380208333,7.248113939270778,8.164255981024645,8.864285714285716,,,
14,20171109.0,5.1,5.1,5.1,5.1,25000.0,5.856290690104166,6.53207595951385,7.607118529929256,8.362380952380953,,,
15,20171031.0,5.9,5.9,5.9,5.9,100.0,5.878145345052082,6.321383973009233,7.29673334266939,8.034063492063494,,,
16,20170921.0,9.7,9.7,9.7,9.7,100.0,7.789072672526042,7.447589315339488,7.7336909167295,8.25618835978836,,,
17,20170727.0,9.7,9.7,9.7,9.7,1700.0,8.744536336263021,8.198392876892992,8.09120165914232,8.448696578483244,,,
18,20170711.0,11.3,11.3,11.3,11.3,2000.0,10.022268168131511,9.232261917928662,8.674619539298261,8.82887036801881,8.91,,
19,20170530.0,14.0,14.0,14.0,14.0,1000.0,12.011134084065757,10.821507945285775,9.64287053215312,9.518354318949633,9.394761904761905,,
