,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20140507.0,0.9,0.9,1.0,0.9,265200.0,,,,,,,
1,20140506.0,1.0,1.0,1.0,1.0,4200.0,0.8666666666666668,,,,,,
2,20140505.0,1.1,1.1,1.1,1.1,4000.0,0.9833333333333332,,,,,,
3,20140429.0,1.2,1.2,1.2,1.2,3600.0,1.0916666666666668,0.9800000000000002,,,,,
4,20140428.0,1.3,1.3,1.3,1.3,12000.0,1.195833333333333,1.0866666666666664,,,,,
5,20140425.0,1.4,1.4,1.4,1.4,5200.0,1.2979166666666664,1.1911111111111112,,,,,
6,20140424.0,1.5,1.5,1.5,1.5,3700.0,1.398958333333333,1.2940740740740737,,,,,
7,20140423.0,1.6,1.6,1.6,1.6,5800.0,1.4994791666666665,1.3960493827160494,,,,,
8,20140422.0,1.7,1.7,1.7,1.7,17200.0,1.599739583333333,1.4973662551440328,1.2399999999999998,,,,
9,20140421.0,1.8,1.9,1.9,1.8,29500.0,1.6998697916666663,1.598244170096022,1.3418181818181816,,,,
10,20140418.0,2.0,2.0,2.2,2.0,76900.0,1.8499348958333328,1.7321627800640147,1.4614876033057849,,,,
11,20140417.0,2.2,1.9,2.2,1.9,136800.0,2.0249674479166666,1.8881085200426764,1.5957625845229149,,,,
12,20140416.0,2.1,2.0,2.2,2.0,50300.0,2.062483723958333,1.9587390133617844,1.6874421146096577,1.464285714285714,,,
13,20140415.0,2.2,2.2,2.2,2.1,50500.0,2.131241861979167,2.03915934224119,1.7806344574079016,1.5623809523809524,,,
14,20140414.0,2.3,2.4,2.4,2.3,12600.0,2.2156209309895836,2.1261062281607934,1.8750645560610104,1.6607301587301586,,,
15,20140411.0,2.4,2.1,2.4,2.1,7700.0,2.307810465494792,2.217404152107195,1.9705073640499176,1.7592994708994707,,,
16,20140410.0,2.2,2.3,2.4,2.2,50500.0,2.253905232747396,2.211602768071464,2.012233297859024,1.818059541446208,,,
17,20140408.0,2.4,2.4,2.6,2.4,121210.0,2.326952616373698,2.274401845380976,2.0827363346119285,1.8956516025867136,,,
18,20140407.0,2.6,2.8,2.8,2.6,8900.0,2.4634763081868494,2.3829345635873174,2.176784273773396,1.989564722241818,1.7299999999999998,,
19,20140404.0,2.8,2.7,2.8,2.6,51900.0,2.631738154093424,2.521956375724878,2.290096223996415,2.097622759276242,1.8319047619047617,,
20,20140403.0,2.6,2.2,2.6,2.2,155500.0,2.615869077046712,2.547970917149919,2.346442365087976,2.1646063913727436,1.9050566893424037,,
21,20140402.0,2.4,2.4,2.5,2.4,22100.0,2.507934538523356,2.498647278099946,2.356180116890162,2.1959922058563777,1.9521941475002695,,
22,20140401.0,2.6,2.6,2.7,2.6,77180.0,2.5539672692616775,2.5324315187332966,2.4005110047283145,2.249859911742194,2.013889942976435,,
23,20140331.0,2.8,2.9,3.0,2.7,254949.0,2.676983634630839,2.621621012488865,2.473145367504984,2.323211923509901,2.0887575674548686,,
24,20140328.0,2.9,2.8,3.2,2.8,150800.0,2.7884918173154194,2.7144140083259094,2.550755300685896,2.400117000375248,2.166018751506787,,
25,20140327.0,3.1,3.4,3.4,3.1,118000.0,2.9442459086577095,2.842942672217273,2.6506179732884605,2.4934347336585474,2.2549693466013787,,
26,20140326.0,3.4,3.6,3.6,3.0,538649.0,3.1721229543288554,3.0286284481448487,2.786869250872377,2.614310102504075,2.364019885020295,,
27,20140325.0,3.3,3.3,3.3,3.3,39500.0,3.2360614771644274,3.1190856320965654,2.880165750713763,2.7057354221701986,2.453160848351696,,
28,20140324.0,3.0,3.0,3.0,3.0,32600.0,3.1180307385822137,3.07939042139771,2.901953796038533,2.744970699214172,2.505240767556296,,
