,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180502.0,11.0,11.0,11.0,11.0,2100.0,,,,,,,
1,20180406.0,11.0,11.0,11.0,11.0,100.0,11.0,,,,,,
2,20180312.0,10.9,10.9,10.9,10.9,100.0,10.95,,,,,,
3,20180126.0,9.5,9.5,9.5,9.5,1520.0,10.225,10.68,,,,,
4,20180123.0,9.5,9.5,9.5,9.5,500.0,9.8625,10.286666666666669,,,,,
5,20170330.0,11.7,11.7,11.7,11.7,500.0,10.78125,10.757777777777775,,,,,
6,20161216.0,9.0,9.0,9.0,9.0,200.0,9.890625,10.171851851851853,,,,,
7,20161214.0,9.0,9.0,9.0,9.0,100.0,9.4453125,9.781234567901235,,,,,
8,20161212.0,9.2,9.2,9.2,9.2,100.0,9.322656249999998,9.587489711934158,10.18,,,,
9,20161206.0,8.0,8.0,8.0,8.0,100.0,8.661328125,9.058326474622769,9.783636363636365,,,,
10,20161205.0,7.0,7.0,7.0,7.0,200.0,7.8306640625,8.372217649748512,9.277520661157023,,,,
11,20161201.0,6.4,6.4,6.4,6.4,100.0,7.11533203125,7.714811766499009,8.754335086401204,,,,
12,20161128.0,5.6,5.6,5.6,5.6,100.0,6.357666015625,7.009874510999339,8.180819616146438,9.2,,,
13,20161012.0,4.0,4.0,4.0,4.0,100.0,5.178833007812499,6.0065830073328925,7.420670595028902,8.50666666666667,,,
14,20160930.0,4.7,4.7,4.7,4.7,100.0,4.93941650390625,5.571055338221929,6.926003214114558,7.999111111111112,,,
15,20160923.0,5.3,5.3,5.3,5.3,100.0,5.119708251953123,5.48070355881462,6.63036626609373,7.6392296296296305,,,
16,20160922.0,6.2,6.2,6.2,6.2,100.0,5.659854125976562,5.720469039209746,6.552117854076688,7.447332345679011,,,
17,20160920.0,7.2,7.2,7.2,7.2,100.0,6.42992706298828,6.213646026139831,6.669914607880927,7.414354699588478,,,
18,20160907.0,6.3,6.3,6.3,6.3,300.0,6.3649635314941415,6.24243068409322,6.602657406448031,7.265774072976682,8.125,,
19,20160901.0,7.4,7.4,7.4,7.4,100.0,6.882481765747071,6.628287122728813,6.747628787093843,7.283670863246457,8.05595238095238,,
20,20160818.0,8.699999999999998,8.699999999999998,8.699999999999998,8.699999999999998,100.0,7.7912408828735344,7.31885808181921,7.1026053712585995,7.47251474814693,8.117290249433108,,
21,20160804.0,10.2,10.2,10.2,10.2,1000.0,8.995620441436769,8.279238721212806,7.665768031029762,7.836179448394007,8.315643559010905,,
22,20160803.0,11.9,11.9,11.9,11.9,100.0,10.447810220718384,9.4861591474752,8.43562838902435,8.378022188608137,8.657010839105105,,
23,20160801.0,14.0,14.0,14.0,14.0,100.0,12.22390511035919,10.99077276498347,9.447332318292652,9.127619230127053,9.165866949666524,,
24,20160728.0,13.0,13.0,13.0,13.0,100.0,12.611952555179597,11.660515176655647,10.093271896784897,9.643936666110113,9.531022478269715,,
25,20160722.0,12.5,12.5,12.5,12.5,300.0,12.555976277589796,11.940343451103764,10.53085882464219,10.024745110628764,9.813782242244024,,
26,20160721.0,14.7,14.7,14.7,14.7,100.0,13.627988138794896,12.86022896740251,11.288884492889062,10.648112429211597,10.27913631441126,,
27,20160720.0,13.8,13.8,13.8,12.0,900.0,13.713994069397447,13.173485978268339,11.745450948727415,11.068364105316716,10.614456665419713,,
28,20160719.0,12.0,12.0,12.0,12.0,100.0,12.856997034698724,12.782323985512226,11.791732594413341,11.19258222460782,10.746413173474979,,
29,20160711.0,10.5,10.5,10.5,10.5,80.0,11.67849851734936,12.021549323674819,11.556872122701824,11.100237927993444,10.722945252191648,,
30,20160706.0,10.5,10.5,10.5,10.5,100.0,11.08924925867468,11.514366215783209,11.364713554937856,11.020206204260985,10.701712371030538,,
31,20160609.0,12.0,12.0,12.0,12.0,90.0,11.54462462933734,11.676244143855472,11.480220181312792,11.150845377026185,10.82535881188477,,
32,20160606.0,12.0,12.0,12.0,12.0,100.0,11.772312314668673,11.784162762570316,11.574725602892284,11.264065993422696,10.93722940122908,,
33,20160518.0,13.9,13.9,13.9,13.9,250.0,12.836156157334337,12.489441841713544,11.997502766002778,11.615523860966336,11.219398029683454,,
34,20160506.0,13.0,13.0,13.0,13.0,50.0,12.918078078667167,12.659627894475696,12.17977499036591,11.800120679504158,11.3889791697136,,
35,20160505.0,13.0,13.0,13.0,13.0,250.0,12.959039039333584,12.773085262983795,12.32890681029938,11.9601045889036,11.542409724978972,,
36,20160428.0,13.0,13.0,13.0,13.0,400.0,12.979519519666793,12.848723508655864,12.450923753881314,12.098757310383121,11.681227846409545,,
37,20160425.0,13.0,13.0,13.0,13.0,400.0,12.989759759833396,12.899149005770576,12.550755798630165,12.21892300233204,11.806825194370543,,
38,20160422.0,13.0,13.0,13.0,13.0,200.0,12.994879879916697,12.932766003847053,12.632436562515586,12.323066602021102,11.920460890144778,,
39,20160421.0,14.0,14.0,14.0,14.0,100.0,13.49743993995835,13.288510669231368,12.881084460240029,12.54665772175162,12.11851223394051,,
40,20160419.0,14.0,14.0,14.0,14.0,500.0,13.748719969979172,13.525673779487578,13.084523649287297,12.740436692184737,12.297701544993796,,
41,20151221.0,14.7,14.7,14.7,14.7,100.0,14.224359984989585,13.91711585299172,13.37824662214415,13.00171179989344,12.526491874042007,,
