,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180504.0,15.9,15.4,15.9,15.4,200.0,,,,,,,
1,20180322.0,15.6,15.6,15.6,15.6,100.0,16.233333333333334,,,,,,
2,20180321.0,14.4,14.4,14.4,14.4,800.0,15.316666666666666,,,,,,
3,20180316.0,15.9,15.9,15.9,15.9,183.0,15.608333333333334,15.8,,,,,
4,20180309.0,15.4,15.4,15.4,15.4,100.0,15.504166666666666,15.66666666666667,,,,,
5,20180306.0,14.1,14.1,14.1,14.1,100.0,14.80208333333333,15.144444444444444,,,,,
6,20180305.0,12.9,12.9,12.9,12.9,103.0,13.85104166666667,14.396296296296297,,,,,
7,20180302.0,11.8,11.8,11.8,11.8,30.0,12.825520833333332,13.530864197530864,,,,,
8,20180222.0,11.8,11.8,11.8,11.8,400.0,12.312760416666666,12.953909465020578,14.500000000000004,,,,
9,20180213.0,10.8,10.8,10.8,10.8,500.0,11.556380208333334,12.23593964334705,13.82727272727273,,,,
10,20180209.0,9.9,9.9,9.9,9.9,1000.0,10.72819010416667,11.457293095564703,13.113223140495869,,,,
11,20180205.0,11.0,11.0,11.0,11.0,100.0,10.864095052083332,11.3048620637098,12.729000751314803,,,,
12,20180201.0,11.9,11.9,11.9,11.9,100.0,11.382047526041667,11.503241375806532,12.578273341984842,13.471428571428577,,,
13,20180131.0,12.9,12.9,12.9,12.9,10.0,12.141023763020831,11.968827583871022,12.6367690979876,13.395238095238097,,,
14,20180129.0,12.9,12.9,12.9,12.9,100.0,12.520511881510416,12.279218389247347,12.684629261989853,13.329206349206354,,,
15,20180126.0,14.0,14.0,14.0,14.0,90.0,13.26025594075521,12.852812259498233,12.923787577991696,13.418645502645504,,,
16,20180124.0,14.0,14.0,14.0,14.0,100.0,13.630127970377604,13.235208172998819,13.119462563811389,13.496159435626105,,,
17,20180117.0,15.5,15.5,15.5,15.5,2000.0,14.5650639851888,13.990138781999212,13.552287552209314,13.763338177542625,,,
18,20180115.0,15.7,15.7,15.7,15.7,500.0,15.1325319925944,14.560092521332807,13.942780724534895,14.021559753870273,13.680000000000003,,
19,20180112.0,15.2,15.4,15.4,15.2,1200.0,15.1662659962972,14.773395014221872,14.171366047346734,14.178685120020905,13.824761904761907,,
20,20180111.0,15.5,15.5,15.5,15.5,60.0,15.333132998148601,15.015596676147913,14.412935856920054,14.354860437351446,13.984308390022678,,
21,20180108.0,15.5,15.5,15.5,15.5,50.0,15.416566499074301,15.177064450765277,14.61058388293459,14.507545712371257,14.128659971925279,,
22,20180102.0,15.5,15.5,15.5,15.5,100.0,15.458283249537148,15.284709633843518,14.772295904219206,14.639872950721754,14.259263784122872,,
23,20171228.0,14.4,14.4,14.4,14.4,100.0,14.929141624768576,14.989806422562342,14.704605739815715,14.60788989062552,14.27266723325403,,
24,20171226.0,13.2,13.2,13.2,13.2,100.0,14.064570812384286,14.393204281708233,14.431041059849223,14.420171238542116,14.170508449134596,,
25,20171225.0,12.0,12.3,12.3,12.0,1300.0,13.032285406192145,13.595469521138819,13.989033594422093,14.097481740069833,13.963793358740823,,
26,20171222.0,12.6,12.7,12.7,12.6,3200.0,12.816142703096071,13.263646347425878,13.73648203179989,13.897817508060523,13.833908276955984,,
27,20171221.0,13.9,13.9,13.9,13.9,900.0,13.358071351548036,13.475764231617251,13.76621257147264,13.898108506985789,13.840202726769698,,
28,20171215.0,14.4,14.4,14.4,14.4,260.0,13.87903567577402,13.783842821078169,13.881446649386705,13.96502737272102,13.893516752791632,,
29,20171214.0,14.4,14.8,14.8,14.4,700.0,14.139517837887006,13.989228547385446,13.975729076770941,14.02302372302488,13.941753252525762,,
30,20171213.0,14.9,14.9,14.9,14.9,100.0,14.519758918943504,14.292819031590298,14.14377833553986,14.139953893288233,14.033014847523308,,
31,20171208.0,15.0,15.0,15.0,15.0,33.0,14.759879459471751,14.528546021060198,14.299455001805342,14.254626707516463,14.125108671568707,,
32,20171204.0,15.0,14.8,15.0,14.8,200.0,14.879939729735876,14.685697347373466,14.426826819658915,14.354009813180935,14.20843165522883,,
33,20171130.0,15.0,15.0,15.0,15.0,33.0,14.939969864867939,14.790464898248976,14.531040125175474,14.440141838090144,14.283819116635609,,
34,20171129.0,15.0,15.0,15.0,15.0,200.0,14.969984932433972,14.860309932165984,14.616305556961754,14.514789593011459,14.35202681981317,,
35,20171128.0,15.0,15.0,15.0,15.0,1100.0,14.984992466216985,14.906873288110656,14.686068182968707,14.579484313943263,14.413738551259536,,
36,20171127.0,15.0,15.0,15.0,15.0,200.0,14.992496233108493,14.937915525407105,14.743146695156215,14.635553072084162,14.469572974949104,,
37,20171123.0,15.5,15.5,15.5,15.5,1000.0,15.246248116554247,15.125277016938067,14.88075638694599,14.75081266247294,14.567708882096806,,
38,20171121.0,14.9,14.0,14.9,13.9,5100.0,15.073124058277124,15.050184677958713,14.884255225683084,14.770704307476548,14.599355655230445,,
39,20171120.0,15.4,15.4,15.7,13.9,2100.0,15.23656202913856,15.166789785305808,14.978027002831617,14.854610399813009,14.675607497589446,,
