,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180503.0,22.0,22.0,22.0,22.0,200.0,,,,,,,
1,20180502.0,22.5,22.5,22.5,22.5,200.0,23.1,,,,,,
2,20180427.0,22.5,22.5,22.5,22.5,1000.0,22.8,,,,,,
3,20180423.0,25.0,25.0,25.0,25.0,300.0,23.9,23.36,,,,,
4,20180420.0,24.5,25.5,25.5,24.5,200.0,24.2,23.74,,,,,
5,20180319.0,27.0,27.0,27.0,27.0,100.0,25.6,24.82666666666666,,,,,
6,20180227.0,31.7,28.0,31.7,28.0,200.0,28.65,27.11777777777777,,,,,
7,20180226.0,27.6,27.6,27.6,27.6,100.0,28.125,27.27851851851852,,,,,
8,20180223.0,24.0,24.0,24.0,24.0,100.0,26.0625,26.185679012345684,25.16,,,,
9,20180213.0,22.8,22.8,22.8,22.8,150.0,24.43125,25.057119341563784,24.730909090909087,,,,
10,20180212.0,19.9,19.9,19.9,19.9,100.0,22.165625,23.338079561042523,23.852561983471073,,,,
11,20180206.0,23.2,23.2,23.2,23.2,200.0,22.6828125,23.292053040695013,23.73391435011269,,,,
12,20180205.0,25.0,25.0,25.0,25.0,200.0,23.84140625,23.861368693796678,23.9641117410013,24.46428571428571,,,
13,20180129.0,27.1,27.1,27.1,27.1,50.0,25.470703124999996,24.940912462531116,24.534273242637425,24.81571428571428,,,
14,20180126.0,27.0,31.0,31.0,27.0,11270.0,26.2353515625,25.627274975020743,24.98258719852153,25.10695238095238,,,
15,20180123.0,27.1,27.1,27.1,27.1,100.0,26.667675781250004,26.118183316680494,25.36757134424489,25.37269206349206,,,
16,20180122.0,25.2,25.1,25.2,25.1,3000.0,25.933837890625,25.812122211120325,25.337103827109445,25.349666455026448,,,
17,20180117.0,27.5,27.5,27.5,27.5,200.0,26.716918945312504,26.374748140746885,25.73035767672592,25.636377594356254,,,
18,20180112.0,26.0,29.8,29.8,26.0,200.0,26.35845947265625,26.249832093831262,25.779383553684838,25.68486058177542,25.12,,
19,20180109.0,26.0,26.0,26.0,26.0,20.0,26.179229736328125,26.166554729220838,25.819495634833057,25.72687917087203,25.20380952380952,,
20,20180108.0,26.0,26.0,26.0,26.0,1300.0,26.089614868164062,26.111036486147224,25.852314610317958,25.76329528142243,25.279637188208607,,
21,20171227.0,27.5,27.5,27.5,27.5,100.0,26.79480743408203,26.57402432409815,26.15189377207833,25.994855910566102,25.491100313141125,,
22,20171225.0,27.5,27.5,27.5,27.5,300.0,27.14740371704101,26.882682882732098,26.397003995336814,26.195541789157282,25.682424092841973,,
