,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,2.01,2.02,2.02,1.99,2022460.0,,,,,,,
1,20180518.0,2.02,2.04,2.04,2.01,2271070.0,2.0133333333333328,,,,,,
2,20180517.0,2.04,2.04,2.06,2.02,2549390.0,2.0266666666666664,,,,,,
3,20180516.0,2.04,2.08,2.1,2.03,3999500.0,2.0333333333333328,2.0239999999999996,,,,,
4,20180515.0,2.01,2.0,2.02,2.0,2173840.0,2.0216666666666665,2.019333333333333,,,,,
5,20180514.0,2.01,2.02,2.03,1.99,1665610.0,2.0158333333333327,2.016222222222221,,,,,
6,20180511.0,2.02,2.02,2.02,1.99,2321030.0,2.0179166666666664,2.017481481481481,,,,,
7,20180510.0,2.02,2.03,2.03,2.0,1618850.0,2.018958333333333,2.0183209876543207,,,,,
8,20180509.0,2.01,2.04,2.06,2.01,2522530.0,2.0144791666666664,2.015547325102881,2.019,,,,
9,20180508.0,2.06,2.06,2.07,2.03,1358160.0,2.0372395833333328,2.0303648834019206,2.026454545454545,,,,
10,20180507.0,2.06,2.04,2.06,2.02,1239350.0,2.0486197916666673,2.0402432556012804,2.032553719008264,,,,
11,20180504.0,2.03,2.02,2.04,2.0,1343960.0,2.0393098958333327,2.03682883706752,2.0320894064613073,,,,
12,20180503.0,2.02,2.02,2.04,1.97,2991900.0,2.029654947916667,2.03121922471168,2.029891332559252,2.0257142857142854,,,
13,20180502.0,2.02,2.05,2.07,2.0,2362370.0,2.0248274739583327,2.02747948314112,2.0280929084575687,2.0249523809523806,,,
14,20180427.0,2.05,2.03,2.05,2.01,3500010.0,2.0374137369791665,2.03498632209408,2.032076016010739,2.028292063492063,,,
15,20180426.0,2.02,2.07,2.1,2.0,4924450.0,2.028706868489583,2.0299908813960528,2.0298803767360587,2.0271864550264542,,,
16,20180424.0,2.1,2.17,2.18,2.08,4795040.0,2.064353434244792,2.0533272542640355,2.0426293991476845,2.0368949276895942,,,
17,20180423.0,2.18,2.23,2.24,2.18,2733540.0,2.122176717122396,2.0955515028426905,2.067605872029924,2.0559756039976484,,,
18,20180420.0,2.23,2.22,2.24,2.21,1785510.0,2.1760883585611976,2.1403676685617934,2.097132077115392,2.079178856797962,2.0479999999999996,,
19,20180419.0,2.23,2.25,2.26,2.22,3572410.0,2.2030441792805986,2.1702451123745283,2.1212898812762297,2.099288342558234,2.065333333333333,,
20,20180418.0,2.25,2.27,2.27,2.22,3247200.0,2.2265220896402993,2.1968300749163525,2.144691721044188,2.119383230217136,2.0829206349206344,,
21,20180417.0,2.26,2.24,2.26,2.23,2734240.0,2.2432610448201498,2.2178867166109018,2.165656862672517,2.1381321328548513,2.0997853363567645,,
22,20180416.0,2.25,2.23,2.26,2.23,2981930.0,2.246630522410075,2.228591144407268,2.1809919785502414,2.1530478484742046,2.114091494798977,,
23,20180413.0,2.25,2.26,2.27,2.24,2960820.0,2.248315261205037,2.235727429604845,2.193538891541107,2.165974802010977,2.1270351619609795,,
24,20180412.0,2.25,2.23,2.25,2.22,3586540.0,2.249157630602519,2.2404849530698967,2.203804547624541,2.1771781617428476,2.1387460989170766,,
25,20180411.0,2.23,2.3,2.3,2.23,3557030.0,2.2395788153012592,2.2369899687132646,2.208567357147352,2.1842210735104675,2.14743694663926,,
26,20180410.0,2.29,2.31,2.32,2.26,3916670.0,2.2647894076506296,2.2546599791421764,2.2233732922114693,2.1983249303757386,2.161014380292664,,
27,20180409.0,2.31,2.34,2.38,2.31,4570720.0,2.287394703825315,2.2731066527614514,2.2391236027184758,2.213214939658973,2.175203486931457,,
28,20180406.0,2.33,2.29,2.36,2.29,6810790.0,2.3086973519126577,2.292071101840967,2.2556465840423887,2.228786281037777,2.189946011985605,,
