,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,3.4,3.5,3.55,3.4,101240.0,,,,,,,
1,20180518.0,3.44,3.52,3.52,3.4,175940.0,3.3799999999999994,,,,,,
2,20180517.0,3.48,3.52,3.52,3.4,41110.0,3.43,,,,,,
3,20180516.0,3.4,3.5,3.56,3.4,128470.0,3.415,3.404,,,,,
4,20180515.0,3.5,3.65,3.69,3.47,110170.0,3.4575,3.436,,,,,
5,20180514.0,3.63,3.67,3.67,3.56,306420.0,3.54375,3.500666666666666,,,,,
6,20180511.0,3.55,3.43,3.6,3.31,148240.0,3.546875,3.5171111111111113,,,,,
7,20180510.0,3.43,3.6,3.6,3.43,393240.0,3.4884375,3.488074074074074,,,,,
8,20180509.0,3.54,3.79,3.79,3.54,510370.0,3.51421875,3.505382716049383,3.467,,,,
9,20180508.0,3.78,3.93,3.94,3.77,319570.0,3.647109375,3.596921810699589,3.523909090909091,,,,
10,20180507.0,3.94,3.88,3.95,3.83,66930.0,3.7935546875,3.7112812071330583,3.5995619834710744,,,,
11,20180504.0,3.7,3.75,3.87,3.7,513430.0,3.74677734375,3.7075208047553727,3.617823441021788,,,,
12,20180503.0,3.7,3.64,3.9,3.64,392830.0,3.723388671875,3.705013869836915,3.63276463356328,3.556428571428572,,,
13,20180502.0,3.91,4.3,4.3,3.91,539850.0,3.8166943359375,3.7733425798912767,3.6831710638245023,3.6035714285714286,,,
14,20180427.0,4.2,4.19,4.32,4.15,251150.0,4.008347167968752,3.915561719927517,3.7771399613109566,3.6830952380952384,,,
15,20180426.0,4.19,4.8,4.8,4.19,773660.0,4.099173583984376,4.007041146618345,3.8522054228907834,3.75068253968254,,,
16,20180424.0,4.5,4.52,4.64,4.45,224790.0,4.299586791992188,4.17136076441223,3.9699862550924583,3.850591534391536,,,
17,20180423.0,4.51,4.77,4.8,4.51,204070.0,4.404793395996094,4.2842405096081535,4.068170572348375,3.938512663139329,,,
18,20180420.0,4.7,4.8,4.84,4.7,155890.0,4.552396697998047,4.422827006405437,4.183048650103216,4.040044308054086,3.79,,
19,20180419.0,4.53,4.75,4.75,4.5,192800.0,4.541198348999024,4.458551337603624,4.246130713720813,4.105371733646875,3.860476190476191,,
20,20180418.0,4.7,4.69,4.73,4.6,196780.0,4.620599174499512,4.539034225069082,4.3286524021352095,4.184655502493958,3.940430839002268,,
21,20180417.0,4.6,4.7,4.7,4.53,202990.0,4.610299587249756,4.559356150046055,4.377988329019717,4.240034768828097,4.003246949573481,,
22,20180416.0,4.6,4.4,4.7,4.4,105660.0,4.605149793624878,4.572904100030704,4.418354087379769,4.2880301329843515,4.060080573423625,,
23,20180413.0,4.4,4.6,4.64,4.4,176060.0,4.5025748968124395,4.515269400020469,4.415016980583449,4.302959448586437,4.092453852145185,,
24,20180412.0,4.6,4.7,4.8,4.4,321850.0,4.55128744840622,4.543512933346979,4.448650256841002,4.342564855441577,4.14079158051231,,
25,20180411.0,4.7,4.99,4.99,4.65,513270.0,4.62564372420311,4.5956752888979855,4.494350210142638,4.390222874716033,4.194049525225424,,
26,20180410.0,5.0,5.03,5.1,4.94,208190.0,4.812821862101555,4.730450192598656,4.586286535571251,4.471526491420563,4.270806713299192,,
27,20180409.0,5.02,5.0,5.13,5.0,168960.0,4.916410931050777,4.826966795065772,4.665143529103751,4.544656292564488,4.342158454889746,,
28,20180406.0,5.0,4.96,5.09,4.91,125160.0,4.958205465525389,4.884644530043848,4.726026523812159,4.6053687868892235,4.404810030614532,,
29,20180405.0,4.96,5.05,5.1,4.95,137660.0,4.959102732762695,4.909763020029232,4.768567155846312,4.652652948637326,4.4576852657941,,
30,20180404.0,5.05,5.05,5.15,5.0,101880.0,5.004551366381348,4.956508680019488,4.819736763874255,4.705632555485682,4.514096192861328,,
31,20180403.0,5.05,5.1,5.2,5.01,167100.0,5.027275683190672,4.987672453346325,4.861602806806209,4.751548214754258,4.56513465068406,,
32,20180402.0,5.2,5.15,5.28,5.15,157100.0,5.113637841595336,5.058448302230883,4.92312956920508,4.811341786120357,4.6255980172855775,,
33,20180330.0,5.15,4.99,5.19,4.99,263620.0,5.131818920797667,5.088965534820589,4.96437873844052,4.856496214637642,4.67554106325838,,
34,20180329.0,4.99,5.09,5.09,4.99,243450.0,5.060909460398833,5.0559770232137256,4.969037149633153,4.874296719352624,4.705489533424249,,
35,20180328.0,4.92,5.2,5.2,4.9,110130.0,4.990454730199417,5.0106513488091515,4.960121304245307,4.880390490105607,4.725919101669558,,
36,20180327.0,4.92,5.18,5.18,4.92,256260.0,4.9552273650997085,4.980434232539434,4.952826521655251,4.885671758091527,4.744402996748647,,
37,20180326.0,5.0,4.98,5.04,4.88,262750.0,4.977613682549856,4.986956155026289,4.961403517717933,4.9009155236793225,4.768745568486872,,
38,20180323.0,4.8,4.96,4.96,4.65,271870.0,4.888806841274928,4.9246374366841925,4.9320574235874,4.887460120522079,4.771722181011931,,
39,20180322.0,4.95,5.0,5.19,4.95,262400.0,4.919403420637464,4.933091624456129,4.935319710207873,4.895798771119136,4.788701020915558,,
40,20180321.0,5.05,4.95,5.19,4.7,445600.0,4.984701710318731,4.972061082970752,4.95617067198826,4.916358934969916,4.813586637971218,,
41,20180320.0,4.95,5.4,5.4,4.95,763940.0,4.967350855159365,4.964707388647168,4.955048731626758,4.920844410307262,4.826578386735864,,
42,20180319.0,5.32,5.32,5.32,5.32,66290.0,5.143675427579683,5.083138259098113,5.021403507694621,4.974065155599626,4.873570921332448,,
43,20180316.0,5.72,5.88,5.9,5.5,648950.0,5.43183771378984,5.295425506065408,5.148421051750144,5.073523134853009,4.95418321453888,,
44,20180315.0,5.8,6.1,6.1,5.8,369090.0,5.61591885689492,5.4636170040436065,5.266889951431936,5.170386716872609,5.034737194106608,,
45,20180314.0,5.86,6.1,6.1,5.85,505930.0,5.7379594284474615,5.595744669362404,5.374728142080675,5.262335154622928,5.11333365181074,,
46,20180313.0,6.09,6.15,6.15,5.98,1073620.0,5.913979714223729,5.760496446241603,5.504777570793279,5.372690467339871,5.206349494495432,,
47,20180312.0,5.75,5.6,5.75,5.5,408530.0,5.831989857111864,5.756997630827735,5.549363467012684,5.422998405027888,5.2581257331149125,,
48,20180309.0,5.38,5.3,5.5,5.18,616310.0,5.6059949285559325,5.6313317538851555,5.5185701093740125,5.417265284357503,5.2697328061515885,4.5572,
49,20180308.0,5.18,5.3,5.32,5.1,454600.0,5.3929974642779674,5.480887835923437,5.457011907669648,5.385629913109836,5.261186824613343,4.581623529411764,
50,20180307.0,5.18,4.9,5.24,4.9,533310.0,5.286498732138983,5.380591890615625,5.406646106275165,5.358212591361857,5.253454746078738,4.605089273356401,
51,20180306.0,4.9,4.58,4.9,4.57,452160.0,5.093249366069492,5.220394593743751,5.314528632406954,5.297117579180277,5.219792389309334,4.616654399891444,
52,20180305.0,4.58,4.54,4.75,4.49,539480.0,4.836624683034746,5.0069297291625,5.180977971969325,5.20150190195624,5.158859780803684,4.6152169724447205,
53,20180302.0,4.54,4.8,4.84,4.45,1218770.0,4.688312341517372,4.851286486108333,5.0644365225203565,5.113301648362074,5.0999207540604745,4.61226728725081,
54,20180301.0,4.78,5.0,5.0,4.78,395000.0,4.734156170758686,4.827524324072222,5.012720791153019,5.0688614285804645,5.069452110816621,4.618845040691956,
55,20180228.0,5.0,5.16,5.2,5.0,323680.0,4.867078085379343,4.885016216048148,5.010407920034289,5.059679904769736,5.062837624072181,4.633792293998153,
56,20180227.0,5.16,5.19,5.33,5.16,153690.0,5.013539042689671,4.976677477365432,5.037606480028054,5.073055917467104,5.0720911836843525,4.6544278903119505,
