,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,14.4,14.4,14.4,14.4,22.0,,,,,,,
1,20180509.0,14.4,14.4,14.4,14.4,86.0,13.7,,,,,,
2,20180508.0,14.0,15.0,15.0,14.0,500.0,13.85,,,,,,
3,20180420.0,15.5,15.5,15.5,15.5,100.0,14.675,14.12,,,,,
4,20180406.0,15.7,15.7,15.7,15.7,100.0,15.1875,14.646666666666665,,,,,
5,20180404.0,18.4,18.4,18.4,18.4,100.0,16.79375,15.897777777777776,,,,,
6,20180305.0,16.0,16.0,16.0,16.0,36.0,16.396875,15.931851851851853,,,,,
7,20180228.0,16.0,16.0,16.0,16.0,100.0,16.1984375,15.954567901234567,,,,,
8,20180227.0,14.0,14.0,14.0,14.0,500.0,15.09921875,15.303045267489711,15.069999999999997,,,,
9,20180208.0,15.9,15.9,15.9,15.9,100.0,15.499609375,15.502030178326473,15.220909090909087,,,,
10,20180207.0,14.4,14.4,14.4,14.4,100.0,14.9498046875,15.134686785550983,15.07165289256198,,,,
11,20180205.0,12.6,12.6,12.6,12.6,1000.0,13.77490234375,14.289791190367318,14.622261457550714,,,,
12,20180202.0,11.0,11.0,11.0,11.0,34.0,12.387451171875,13.193194126911548,13.963668465268764,14.614285714285712,,,
13,20180126.0,11.0,11.0,11.0,11.0,100.0,11.6937255859375,12.462129417941034,13.424819653401714,14.13238095238095,,,
14,20180123.0,12.8,12.8,12.8,12.8,100.0,12.24686279296875,12.574752945294021,13.31121608005595,13.95473015873016,,,
15,20180119.0,15.0,15.0,15.0,15.0,500.0,13.623431396484374,13.383168630196014,13.618267701863958,14.094099470899472,,,
16,20180116.0,15.4,15.2,15.4,15.2,600.0,14.511715698242188,14.05544575346401,13.942219028797782,14.26821954144621,,,
17,20180112.0,15.2,15.1,15.2,15.1,700.0,14.855857849121092,14.436963835642672,14.170906478107277,14.392456935920048,,,
18,20180111.0,15.0,15.0,15.0,15.0,100.0,14.927928924560547,14.624642557095116,14.321650754815042,14.473462677797375,14.45,,
19,20180110.0,13.2,13.2,13.2,13.2,100.0,14.063964462280271,14.149761704730077,14.117714253939582,14.303667654091056,14.33095238095238,,
20,20180109.0,11.6,11.6,11.6,11.6,100.0,12.831982231140138,13.299841136486716,13.659948025950566,13.943178633545584,14.070861678004537,,
21,20180102.0,10.1,10.1,10.1,10.1,100.0,11.465991115570068,12.23322742432448,13.012684748505007,13.430754815739505,13.692684375337437,,
22,20171226.0,11.6,11.6,11.6,11.6,600.0,11.532995557785034,12.02215161621632,12.755832976049552,13.186654173640903,13.493381101495775,,
23,20171225.0,10.1,10.1,10.1,10.1,100.0,10.816497778892515,11.38143441081088,12.272954253131452,12.775100283822114,13.170201948972368,,
24,20171220.0,13.4,10.0,13.4,10.0,200.0,12.108248889446257,12.054289607207249,12.477871661653008,12.858420245979167,13.192087477641664,,
25,20171218.0,11.7,11.7,11.7,11.7,105.0,11.904124444723127,11.9361930714715,12.33644045044337,12.703964213181948,13.04998390834246,,
26,20171208.0,10.2,10.2,10.2,10.2,100.0,11.052062222361565,11.357462047647667,11.947996732180938,12.370102318091021,12.7785568694527,,
27,20171207.0,11.4,11.4,11.4,11.4,100.0,11.226031111180783,11.371641365098444,11.848360962693494,12.240755342345553,12.647265739028633,,
28,20171206.0,13.4,13.4,13.4,13.4,100.0,12.313015555590388,12.04776091006563,12.130477151294674,12.395321296699478,12.718954716264003,,
29,20171123.0,15.7,15.7,15.7,15.7,100.0,14.006507777795195,13.265173940043754,12.779481305604737,12.83594512380621,13.002863790905524,,
30,20171122.0,13.8,13.8,13.8,13.8,100.0,13.903253888897597,13.443449293362503,12.965030159131146,12.964485773965386,13.078781525104999,,
31,20171121.0,12.1,12.1,12.1,12.1,110.0,13.001626944448798,12.995632862241667,12.807751948380028,12.849221004103335,12.98556423699976,,
32,20171120.0,10.6,10.6,10.6,10.6,100.0,11.8008134722244,12.197088574827779,12.406342503220023,12.54932487022289,12.758367642999785,,
33,20171117.0,11.6,11.6,11.6,11.6,10.0,11.7004067361122,11.998059049885184,12.259734775361839,12.422748220859837,12.648046915095044,,
34,20171116.0,11.6,11.6,11.6,11.6,100.0,11.650203368056099,11.865372699923457,12.139782998023318,12.313048458078525,12.54823292318123,,
35,20171115.0,10.1,10.1,10.1,10.1,100.0,10.875101684028047,11.276915133282305,11.768913362019081,12.017975330334723,12.315067882878255,,
36,20171109.0,11.2,11.2,11.2,11.2,100.0,11.037550842014024,11.251276755521536,11.665474568924703,11.908911952956759,12.208870941651753,,
37,20171106.0,11.1,13.5,13.5,11.1,200.0,11.068775421007011,11.20085117034769,11.56266101093839,11.80105702589586,12.103264185303967,,
38,20171031.0,12.9,12.9,12.9,12.9,100.0,11.984387710503505,11.767234113565127,11.805813554404143,11.947582755776413,12.179143786703587,,
39,20171030.0,12.8,12.8,12.8,12.8,100.0,12.392193855251753,12.111489409043418,11.986574726330659,12.061238388339556,12.238272949874675,,
40,20171025.0,15.0,15.0,15.0,15.0,100.0,13.696096927625877,13.074326272695613,12.534470230634176,12.453073269894281,12.501294573696132,,
41,20171024.0,17.6,17.6,17.6,17.6,10.0,15.648048463812941,14.582884181797075,13.455475643246148,13.139330167241711,12.986885566677456,,
42,20171017.0,17.6,17.6,17.6,17.6,1000.0,16.62402423190647,15.588589454531386,14.2090255262923,13.734086144942818,13.426229798422456,,
43,20171005.0,20.7,20.7,20.7,20.7,64.0,18.662012115953235,17.29239296968759,15.389202703330064,14.662874658950438,14.118969817620322,,
44,20170922.0,21.9,21.9,21.9,21.9,100.0,20.281006057976615,18.828261979791726,16.572984029997325,15.627824704423714,14.860020311180287,,
45,20170921.0,21.9,21.9,21.9,21.9,100.0,21.09050302898831,19.852174653194485,17.54153238817963,16.464114743833886,15.530494567258355,,
46,20170914.0,19.8,19.8,19.8,19.8,82.0,20.44525151449415,19.834783102129652,17.95216286305606,16.908899444656033,15.93711413228137,,
47,20170908.0,19.8,19.8,19.8,19.8,82.0,20.12262575724708,19.823188734753103,18.288133251591322,17.294379518701895,16.30500802444505,,
48,20170811.0,19.8,19.8,19.8,19.8,100.0,19.961312878623534,19.81545915650207,18.563018114938355,17.628462249541638,16.63786440306933,14.265999999999996,
49,20170810.0,17.0,17.5,17.5,17.0,300.0,18.48065643931177,18.87697277100138,18.27883300313138,17.54466728293609,16.67235350753892,14.37321568627451,
50,20170809.0,19.8,19.8,19.8,19.8,100.0,19.140328219655885,19.184648514000923,18.555408820743857,17.845378311877944,16.970224602059023,14.586030757400994,
51,20170719.0,19.8,19.8,19.8,19.8,100.0,19.470164109827937,19.38976567600061,18.781698126063155,18.105994536960882,17.239727020910546,14.790500139463706,
52,20170613.0,19.8,19.8,19.8,19.8,100.0,19.63508205491397,19.526510450667075,18.9668439213244,18.33186193203277,17.48356254272859,14.986951114386695,
53,20170203.0,14.2,14.2,14.2,14.2,900.0,16.917541027456984,17.751006967111387,18.100145026538147,17.780947007761732,17.17084230056396,14.956090286371532,
54,20170104.0,12.4,12.4,12.4,12.4,2400.0,14.658770513728493,15.967337978074257,17.06375502171303,17.063487406726836,16.716476367176917,14.855851451611866,
55,20170103.0,14.5,14.5,14.5,14.5,100.0,14.579385256864244,15.47822531871617,16.597617745037933,16.721689085829922,16.505383379826736,14.841896492725123,
56,20161230.0,17.0,17.0,17.0,17.0,100.0,15.789692628432121,15.98548354581078,16.670778155031037,16.75879720771927,16.552489724605138,14.926528002814337,
57,20161229.0,20.0,20.0,20.0,20.0,1000.0,17.89484631421606,17.323655697207187,17.27609121775267,17.190957580023362,16.88082403654751,15.12548768897848,
58,20161129.0,23.2,23.2,23.2,23.2,135.0,20.547423157108028,19.282437131471458,18.353165541797637,17.99216323602025,17.482650318781083,15.442135230587168,
59,20161125.0,23.2,23.2,23.2,23.2,25.0,21.873711578554012,20.588291420980966,19.234408170561704,18.68654147121755,18.0271598122305,15.746365221544531,
60,20161124.0,23.0,25.0,25.0,23.0,3240.0,22.436855789277008,21.39219428065398,19.919061230459576,19.261669275055205,18.50076363963712,16.030821487366318,
61,20161123.0,21.8,21.8,21.8,21.8,2384.0,22.1184278946385,21.528129520435986,20.26105009764874,19.600113371714514,18.814976626338343,16.257063781979404,
62,20161122.0,19.0,19.0,19.0,19.0,1731.0,20.559213947319247,20.68541968029066,20.031768261712607,19.520098255485912,18.83259790002041,16.36462990817629,
63,20161121.0,16.6,16.6,16.6,16.6,100.0,18.579606973659622,19.323613120193773,19.407810395946687,19.130751821421125,18.61996952858989,16.373860107855652,
