,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,11.55,11.4,11.9,11.3,129270.0,,,,,,,
1,20180518.0,11.4,11.35,11.7,11.1,40340.0,11.4,,,,,,
2,20180517.0,11.4,11.7,11.7,11.3,42490.0,11.4,,,,,,
3,20180516.0,11.4,11.7,11.75,11.0,58420.0,11.4,11.4,,,,,
4,20180515.0,11.3,10.85,11.3,10.65,126510.0,11.35,11.366666666666669,,,,,
5,20180514.0,10.6,10.55,10.85,10.55,19450.0,10.975,11.11111111111111,,,,,
6,20180511.0,10.55,10.4,10.7,10.4,9560.0,10.7625,10.924074074074074,,,,,
7,20180510.0,10.4,10.7,10.9,10.4,8430.0,10.58125,10.749382716049382,,,,,
8,20180509.0,10.65,10.2,10.95,10.2,16790.0,10.615625,10.71625514403292,11.05,,,,
9,20180508.0,10.65,10.7,10.7,10.0,156650.0,10.6328125,10.69417009602195,10.977272727272728,,,,
10,20180507.0,10.7,10.5,10.7,10.5,22600.0,10.66640625,10.696113397347965,10.926859504132231,,,,
11,20180504.0,10.7,10.5,10.7,10.25,41750.0,10.683203124999999,10.69740893156531,10.885612321562732,,,,
12,20180503.0,10.25,10.2,10.6,10.1,97190.0,10.4666015625,10.54827262104354,10.770046444914962,10.914285714285713,,,
13,20180502.0,10.2,10.35,10.35,10.2,22600.0,10.33330078125,10.432181747362359,10.666401636748606,10.819047619047618,,,
14,20180427.0,10.35,10.1,10.4,10.1,14810.0,10.341650390624999,10.404787831574904,10.608874066430676,10.756507936507935,,,
15,20180426.0,10.0,9.93,10.2,9.93,25110.0,10.1708251953125,10.269858554383273,10.498169690716008,10.655640211640211,,,
16,20180424.0,10.15,10.0,10.15,9.9,12260.0,10.160412597656249,10.22990570292218,10.434866110585826,10.588221516754848,,,
17,20180423.0,10.2,10.0,10.25,9.9,40640.0,10.180206298828125,10.219937135281453,10.392163181388403,10.536458647854202,,,
18,20180420.0,10.1,9.91,10.2,9.9,19380.0,10.140103149414063,10.179958090187634,10.339042602954148,10.478264161473641,10.689999999999996,,
19,20180419.0,9.91,10.0,10.1,9.9,23520.0,10.025051574707032,10.08997206012509,10.261034856962484,10.402495606610488,10.615714285714283,,
20,20180418.0,10.1,10.05,10.15,10.05,8950.0,10.062525787353513,10.09331470675006,10.231755792060214,10.362162859062423,10.56659863945578,,
21,20180417.0,10.45,10.0,10.45,10.0,42760.0,10.256262893676755,10.21220980450004,10.271436557140175,10.373874477854098,10.555494007126656,,
22,20180416.0,10.0,10.2,10.2,9.9,108730.0,10.128131446838376,10.141473203000027,10.222084455841962,10.324024547473554,10.502589815971737,,
23,20180413.0,10.5,10.75,10.8,10.5,8400.0,10.314065723419187,10.260982135333354,10.27261455477979,10.347487941143747,10.50234316683157,,
24,20180412.0,10.75,10.0,10.8,10.0,26410.0,10.532032861709597,10.423988090222233,10.35941190845619,10.401156215657915,10.525929531895232,,
25,20180411.0,10.1,10.0,10.4,9.99,28370.0,10.316016430854798,10.315992060148156,10.312246106918701,10.361002053570193,10.485364814571875,,
26,20180410.0,10.2,10.45,10.6,10.0,68130.0,10.258008215427399,10.277328040098771,10.291837723842574,10.339535113094167,10.458187213184077,,
27,20180409.0,10.45,10.85,10.9,10.45,40600.0,10.354004107713699,10.334885360065847,10.320594501325743,10.354263764681614,10.457407478595117,,
28,20180406.0,10.9,11.3,11.3,10.9,21780.0,10.627002053856849,10.523256906710563,10.425940955630152,10.427028596057395,10.499559147300344,,
29,20180405.0,11.3,11.2,11.35,11.2,48510.0,10.963501026928425,10.782171271140378,10.584860781879216,10.543424783249744,10.575791609462216,,
30,20180404.0,11.3,11.2,11.4,10.95,48520.0,11.131750513464212,10.954780847426916,10.714886094264813,10.644301478816445,10.64476383713248,,
31,20180403.0,10.95,11.3,11.3,10.75,54610.0,11.040875256732104,10.953187231617944,10.757634077125758,10.685061281640916,10.673833947881768,,
32,20180402.0,11.3,11.6,11.85,11.3,48510.0,11.17043762836605,11.068791487745296,10.856246063102889,10.767053110755462,10.733468809988269,,
33,20180330.0,11.8,11.4,12.0,11.3,193960.0,11.485218814183026,11.312527658496863,11.027837687993273,10.904779362654734,10.835043209037005,,
