,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20140730.0,2.5,2.5,2.5,2.5,4500.0,,,,,,,
1,20140520.0,1.8,1.8,1.8,1.8,1000.0,2.2666666666666666,,,,,,
2,20131015.0,3.0,3.0,3.0,3.0,100.0,2.633333333333333,,,,,,
3,20130920.0,2.9,2.9,2.9,2.9,5000.0,2.766666666666666,2.54,,,,,
4,20130911.0,3.2,3.2,3.2,3.2,700.0,2.983333333333333,2.76,,,,,
5,20130909.0,3.5,3.5,3.5,3.5,200.0,3.241666666666666,3.0066666666666673,,,,,
6,20130905.0,3.8,3.8,3.8,3.8,3000.0,3.5208333333333326,3.2711111111111117,,,,,
7,20130904.0,4.2,4.2,4.2,4.2,100.0,3.8604166666666657,3.5807407407407412,,,,,
8,20130830.0,4.6,4.6,4.6,4.6,100.0,4.2302083333333345,3.9204938271604934,3.2,,,,
9,20130829.0,5.1,5.1,5.1,5.1,1000.0,4.665104166666666,4.313662551440329,3.5454545454545454,,,,
10,20130827.0,5.6,5.6,5.6,5.6,5000.0,5.1325520833333345,4.742441700960219,3.9190082644628097,,,,
11,20120502.0,9.3,9.3,9.3,9.3,1900.0,7.216276041666667,6.261627800640146,4.897370398196845,,,,
12,20110111.0,16.0,16.0,16.0,16.0,2600.0,11.608138020833332,9.50775186709343,6.916030325797417,4.857142857142857,,,
13,20100802.0,16.5,16.5,16.5,16.5,4700.0,14.054069010416665,11.838501244728953,8.658570266561524,6.40952380952381,,,
14,20100728.0,16.0,16.0,16.0,16.0,1800.0,15.027034505208333,13.225667496485968,9.993375672641248,7.688253968253968,,,
15,20100705.0,16.0,16.0,16.0,16.0,5000.0,15.513517252604167,14.150444997657313,11.085489186706477,8.796486772486773,,,
