,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180312.0,17.0,17.0,17.0,17.0,900.0,,,,,,,
1,20180111.0,21.0,21.0,21.0,21.0,100.0,18.33333333333333,,,,,,
2,20171130.0,31.3,31.3,31.3,31.3,100.0,24.81666666666666,,,,,,
3,20171122.0,27.3,27.3,27.3,27.3,100.0,26.05833333333333,22.72,,,,,
4,20171120.0,23.9,23.9,23.9,23.9,100.0,24.97916666666666,23.11333333333333,,,,,
5,20171117.0,21.4,21.4,21.4,21.4,100.0,23.18958333333333,22.54222222222222,,,,,
6,20171115.0,18.7,18.7,18.7,18.7,100.0,20.944791666666667,21.26148148148148,,,,,
7,20171026.0,21.0,15.8,21.0,15.8,1100.0,20.97239583333333,21.17432098765432,,,,,
8,20171017.0,18.5,18.5,18.5,18.5,100.0,19.73619791666667,20.282880658436216,21.71,,,,
9,20171011.0,18.5,18.5,18.5,18.5,700.0,19.11809895833333,19.688587105624144,21.126363636363642,,,,
10,20170919.0,18.5,18.5,18.5,18.5,700.0,18.809049479166667,19.292391403749434,20.64884297520661,,,,
11,20170918.0,18.5,18.5,18.5,18.5,1000.0,18.65452473958333,19.028260935832957,20.258144252441774,,,,
12,20170905.0,21.0,21.0,21.0,21.0,300.0,19.82726236979167,19.685507290555304,20.393027115634176,20.971428571428568,,,
13,20170901.0,23.2,23.2,23.2,23.2,300.0,21.513631184895836,20.857004860370203,20.90338582188251,21.268571428571423,,,
14,20170815.0,26.0,27.3,27.3,26.0,3700.0,23.756815592447918,22.571336573580133,21.8300429451766,21.89942857142857,,,
15,20170814.0,23.9,23.9,23.9,23.9,100.0,23.82840779622396,23.014224382386757,22.206398773326303,22.166171428571428,,,
16,20170809.0,21.0,28.2,28.2,21.0,1100.0,22.414203898111975,22.342816254924507,21.987053541812433,22.010681904761903,,,
17,20170808.0,24.0,26.0,26.0,24.0,300.0,23.20710194905599,22.895210836616332,22.353043806937446,22.275924317460316,,,
18,20170803.0,23.0,23.0,23.0,23.0,100.0,23.103550974527995,22.930140557744224,22.470672205676088,22.37246774179894,21.735,,
19,20170801.0,20.1,20.1,20.1,20.1,500.0,21.601775487264,21.986760371829483,22.03964089555317,22.069472042892414,21.579285714285714,,
20,20170731.0,17.5,17.5,17.5,17.5,800.0,19.550887743632,20.491173581219652,21.214251641816222,21.46020910384009,21.19078231292517,,
21,20170728.0,17.0,17.0,17.0,17.0,100.0,18.275443871816,19.327449054146438,20.448024070576917,20.86551455666141,20.791660187884677,,
22,20170727.0,16.0,16.0,16.0,16.0,600.0,17.137721935908,18.21829936943096,19.639292421381114,20.216779282439887,20.33531159856233,,
23,20170725.0,18.6,18.6,18.6,18.6,2300.0,17.868860967954,18.34553291295397,19.45033016294818,20.001208711447905,20.170043827270682,,
24,20170724.0,21.7,21.7,21.7,21.7,600.0,19.784430483976998,19.463688608635984,19.859361042412143,20.227714216588186,20.315753938959183,,
25,20170720.0,19.0,19.0,19.0,19.0,800.0,19.392215241988495,19.309125739090657,19.703113580155392,20.06401898770976,20.19044404001069,,
