,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180413.0,33.5,33.5,33.5,33.5,500.0,,,,,,,
1,20180412.0,32.5,32.5,32.5,32.5,300.0,34.666666666666664,,,,,,
2,20180411.0,28.5,28.5,28.5,28.5,500.0,31.583333333333325,,,,,,
3,20180410.0,24.9,25.0,25.0,24.9,700.0,28.241666666666667,31.48,,,,,
4,20180406.0,22.3,16.0,22.3,16.0,2100.0,25.270833333333332,28.42,,,,,
5,20171206.0,16.0,16.0,16.0,16.0,500.0,20.635416666666668,24.28,,,,,
6,20171031.0,14.9,14.9,14.9,14.9,10000.0,17.767708333333335,21.153333333333332,,,,,
7,20170704.0,25.0,25.0,25.0,25.0,500.0,21.383854166666662,22.43555555555556,,,,,
8,20170620.0,24.7,24.7,24.7,24.7,100.0,23.04192708333333,23.190370370370363,26.03,,,,
9,20170515.0,29.0,29.0,29.0,29.0,100.0,26.020963541666667,25.126913580246917,26.57,,,,
10,20170509.0,25.3,25.3,25.3,25.3,100.0,25.660481770833332,25.184609053497947,26.33909090909091,,,,
11,20170309.0,24.0,24.0,24.0,24.0,100.0,24.830240885416668,24.789739368998625,25.91380165289256,,,,
12,20170209.0,21.0,21.0,21.0,21.0,100.0,22.915120442708332,23.526492912665752,25.020383170548456,25.685714285714287,,,
13,20161215.0,21.0,21.0,21.0,21.0,100.0,21.957560221354168,22.68432860844384,24.289404412266915,25.06095238095238,,,
