,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,19.1,19.7,19.7,19.1,500.0,,,,,,,
1,20180518.0,19.3,20.1,20.1,19.2,500.0,19.2,,,,,,
2,20180517.0,19.0,20.1,20.1,19.0,300.0,19.1,,,,,,
3,20180516.0,19.0,19.9,19.9,19.0,645.0,19.05,19.12,,,,,
4,20180515.0,19.1,20.2,20.2,18.6,700.0,19.075,19.11333333333333,,,,,
5,20180514.0,18.6,18.6,18.6,18.6,1000.0,18.8375,18.942222222222224,,,,,
6,20180511.0,20.2,20.2,20.2,20.2,100.0,19.51875,19.361481481481484,,,,,
7,20180510.0,18.2,17.0,19.5,17.0,1500.0,18.859375,18.974320987654323,,,,,
8,20180509.0,19.4,19.4,19.4,19.4,100.0,19.1296875,19.11621399176955,19.109999999999996,,,,
9,20180508.0,17.2,17.6,17.6,17.2,500.0,18.16484375,18.477475994513032,18.76272727272727,,,,
10,20180507.0,18.0,21.5,21.9,17.6,11000.0,18.082421875,18.318317329675356,18.624049586776852,,,,
11,20180504.0,20.3,20.3,20.3,20.2,2300.0,19.1912109375,18.978878219783567,18.928767843726522,,,,
12,20180503.0,18.0,17.2,18.5,17.2,6400.0,18.59560546875,18.652585479855713,18.759900963048967,18.9,,,
13,20180502.0,20.0,22.2,22.2,20.0,4100.0,19.297802734375,19.10172365323714,18.985373515221884,19.046666666666663,,,
14,20180427.0,20.7,20.7,20.7,20.7,2000.0,19.9989013671875,19.634482435491428,19.29712378518154,19.267111111111106,,,
15,20180426.0,19.0,17.7,21.4,17.7,2800.0,19.499450683593754,19.422988290327616,19.24310127878489,19.231496296296292,,,
16,20180424.0,20.5,21.5,21.5,20.0,3400.0,19.99972534179688,19.781992193551748,19.471628319005823,19.400630123456786,,,
17,20180423.0,22.0,20.2,22.0,20.2,600.0,20.999862670898438,20.521328129034497,19.931332261004766,19.747212773662554,,,
18,20180420.0,20.0,24.0,24.0,19.8,700.0,20.499931335449215,20.347552086023,19.943817304458445,19.780917737174207,19.34,,
19,20180419.0,23.0,23.0,23.0,23.0,100.0,21.74996566772461,21.231701390682,20.499486885466,20.210128705550982,19.688571428571425,,
20,20180418.0,21.5,23.5,24.0,21.5,5300.0,21.624982833862305,21.321134260454663,20.68139836083582,20.382111544810847,19.861088435374143,,
21,20180417.0,24.9,24.9,24.9,24.9,100.0,23.262491416931155,22.514089506969775,21.44841684068385,20.984496672169403,20.340984774862324,,
22,20180416.0,24.0,24.0,24.0,24.0,200.0,23.63124570846557,23.009393004646522,21.91234105146861,21.386563782546812,20.689462415351628,,
23,20180413.0,21.0,21.3,21.3,21.0,1100.0,22.31562285423279,22.33959533643101,21.746460860292498,21.33502194487391,20.719037423413372,,
24,20180412.0,21.2,25.0,25.0,21.2,2725.0,21.757811427116398,21.95973022428734,21.64710434023932,21.31701901889072,20.764843383088287,,
25,20180411.0,24.5,24.5,24.5,24.5,500.0,23.1289057135582,22.80648681619156,22.165812642013982,21.741416483038623,21.120572584698927,,
26,20180410.0,23.0,23.0,23.0,23.0,2900.0,23.064452856779102,22.870991210794372,22.31748307073872,21.90922761863348,21.29956567187046,,
27,20180409.0,25.0,25.0,25.0,25.0,100.0,24.03222642838955,23.580660807196253,22.805213421513496,22.32133060281568,21.651987988835174,,
28,20180406.0,24.8,24.0,24.8,24.0,2700.0,24.41611321419477,23.987107204797496,23.167901890329222,22.65181985577359,21.95179865656516,,
29,20180405.0,23.0,24.1,24.8,23.0,1866.0,23.708056607097387,23.658071469865,23.137374273905724,22.698243875003772,22.051627355939903,,
30,20180404.0,24.7,22.0,24.7,22.0,2500.0,24.20402830354869,24.00538097991,23.42148804228651,22.965144691669938,22.30385332204087,,
31,20180403.0,24.8,24.8,24.8,22.1,6800.0,24.502014151774343,24.27025398660667,23.672126580052602,23.209792066113945,22.541581577084596,,
32,20180402.0,22.1,22.1,22.1,22.1,600.0,23.30100707588717,23.54683599107111,23.386285383679397,23.061819790632082,22.49952618879082,,
33,20180330.0,22.0,24.5,25.0,22.0,11200.0,22.650503537943585,23.03122399404741,23.134233495737693,22.920243818547807,22.45195226604884,,
34,20180329.0,22.3,19.1,25.4,19.1,3600.0,22.475251768971795,22.787482662698274,22.982554678330843,22.837544642741435,22.437480621663237,,
35,20180328.0,23.5,22.0,23.5,22.0,2140.0,22.987625884485894,23.024988441798847,23.076635645907047,22.925872023709243,22.538672943409598,,
36,20180326.0,22.3,22.3,22.3,22.3,400.0,22.643812942242945,22.783325627865896,22.93542916483304,22.842422420548008,22.515942186894396,,
37,20180323.0,20.6,21.0,21.0,20.4,11100.0,21.621906471121477,22.055550418577266,22.510805680317947,22.543432764474936,22.333471502428264,,
38,20180322.0,24.0,24.0,24.0,24.0,1000.0,22.810953235560735,22.703700279051514,22.781568283896497,22.737641729211614,22.492188502197,,
39,20180320.0,22.0,20.5,22.4,20.5,2900.0,22.40547661778037,22.469133519367677,22.63946495955168,22.639289498650065,22.445313406749666,,
40,20180319.0,20.5,20.5,20.5,20.5,500.0,21.452738308890183,21.812755679578448,22.25047133054229,22.354050898830053,22.260045463249696,,
41,20180316.0,21.0,22.0,23.6,21.0,3900.0,21.226369154445088,21.54183711971897,22.023112906807324,22.17351077898605,22.14004113341639,,
42,20180315.0,21.3,21.3,21.3,21.3,100.0,21.263184577222543,21.461224746479314,21.891637832842363,22.05704267512124,22.060037215948164,,
43,20180314.0,25.0,25.0,25.0,25.0,5000.0,23.131592288611277,22.640816497652878,22.456794590507386,22.44943698510508,22.340033671572147,,
44,20180313.0,22.3,22.3,22.3,22.3,500.0,22.715796144305635,22.527210998435248,22.428286483142404,22.42951205375773,22.336220940946234,,
45,20180312.0,20.1,20.6,20.6,20.1,1900.0,21.407898072152815,21.7181406656235,22.004961668025604,22.118910446590036,22.12324751799897,,
46,20180309.0,20.0,20.1,22.6,20.0,13600.0,20.70394903607641,21.145427110415667,21.640423182930043,21.836389053711365,21.92103346866573,,
47,20180308.0,19.9,19.9,19.9,19.9,100.0,20.301974518038204,20.730284740277106,21.323982604215487,21.57820384654985,21.728554090697568,,
48,20180307.0,19.1,19.5,19.5,19.1,10300.0,19.7009872590191,20.18685649351808,20.91962213072176,21.24777666700987,21.478215605869227,21.204,
49,20180306.0,20.8,22.8,23.9,20.8,9200.0,20.25049362950955,20.391237662345382,20.897872652408715,21.18807311140855,21.413623643405487,21.188156862745096,
50,20180305.0,20.6,23.0,23.0,20.6,1200.0,20.42524681475477,20.460825108230257,20.843713988334404,21.109663363220747,21.336135677366872,21.165091887735485,
51,20180302.0,20.3,20.0,22.4,20.0,8200.0,20.362623407377388,20.407216738820168,20.74485689954633,21.001708248124647,21.237456089046216,21.131166715667423,
52,20180301.0,20.3,18.5,20.3,18.5,2200.0,20.33131170368869,20.371477825880117,20.663973826901543,20.90814714837469,21.148174556756103,21.098571942504,
53,20180228.0,18.3,18.3,18.3,18.0,2500.0,19.315655851844348,19.680985217253408,20.234160403828536,20.560394195258066,20.876919837065042,20.988824023190116,
54,20180227.0,18.0,18.0,18.0,17.899999999999995,3110.0,18.657827925922174,19.120656811502272,19.827949421314255,20.219008302556997,20.602927471630277,20.871615237966974,
55,20180226.0,19.8,19.8,19.8,19.8,1236.0,19.228913962961087,19.347104541001517,19.82286770834803,20.163140528882728,20.526458188617877,20.829591110987877,
56,20180223.0,17.5,17.5,17.5,17.5,2000.0,18.364456981480544,18.731403027334338,19.400528125012027,19.808055125031697,20.238224075416166,20.699018910556976,
57,20180222.0,17.5,17.5,17.5,17.5,1708.0,17.932228490740272,18.320935351556223,19.054977556828018,19.500314441694137,19.977440830138438,20.57356718857435,
58,20180221.0,17.5,17.399999999999995,17.5,17.399999999999995,3542.0,17.716114245370136,18.047290234370816,18.772254364677472,19.23360584946825,19.74149408441097,20.45303514196359,
59,20180213.0,17.5,17.5,17.5,17.5,2500.0,17.608057122685068,17.86486015624721,18.540935389281568,19.002458402872485,19.528018457324208,20.337229842278745,
60,20180212.0,17.3,17.5,17.5,17.3,20900.0,17.454028561342533,17.676573437498142,18.315310773048555,18.77546394915616,19.31582622329333,20.218122789640365,
61,20180209.0,17.2,17.2,17.2,17.2,1000.0,17.327014280671264,17.517715624998758,18.11252699613064,18.565402089268666,19.114318963932064,20.09976503318388,
62,20180207.0,17.2,17.2,17.2,17.2,1500.0,17.263507140335633,17.41181041666584,17.94661299683416,18.383348477366177,18.932002872129008,19.986048757372743,
63,20180206.0,15.1,15.1,15.1,15.1,1600.0,16.181753570167814,16.641206944443894,17.429046997409767,17.94556868038402,18.56705021764053,19.794439002181658,
64,20180205.0,17.2,18.8,18.8,17.2,6300.0,16.69087678508391,16.82747129629593,17.38740208878981,17.846159522999486,18.436854958817626,19.692696296213754,
65,20180202.0,17.899999999999995,17.899999999999995,17.899999999999995,17.899999999999995,200.0,17.295438392541953,17.184980864197282,17.480601709009843,17.85333825326622,18.38572591512071,19.62239448067596,
66,20180131.0,17.5,17.5,17.5,17.5,500.0,17.397719196270977,17.28998724279819,17.484128671008055,17.806226486164057,18.3013710660616,19.539163324571014,
67,20180130.0,17.5,17.5,17.5,17.5,50000.0,17.44885959813549,17.359991495198795,17.487014367188408,17.765396288008848,18.225050012150962,19.459196135372153,
68,20180129.0,17.0,17.5,17.5,17.0,5300.0,17.224429799067742,17.23999433013253,17.398466300426875,17.663343449607666,18.108378582422304,19.362757071239912,
69,20180126.0,17.2,17.2,17.2,17.2,1030.0,17.21221489953387,17.22666288675502,17.362381518531084,17.601564322993312,18.021866336477324,19.27794306844619,
70,20180125.0,17.2,17.2,17.2,17.2,1400.0,17.206107449766932,17.217775257836674,17.332857606070885,17.54802241326087,17.943593352050907,19.196455104977712,
71,20180124.0,17.2,17.2,17.2,16.899999999999995,61500.0,17.203053724883468,17.21185017189112,17.308701677694362,17.501619424826085,17.872774937569872,19.11816274791976,
72,20180123.0,17.2,17.2,17.2,17.2,35000.0,17.20152686244173,17.207900114594075,17.288937736295388,17.461403501515942,17.80870113399179,19.04294067937389,
73,20180119.0,16.2,16.2,16.2,16.2,300.0,16.700763431220864,16.871933409729387,17.090949056968952,17.293216367980484,17.655491502183047,18.93145280959452,
74,20180118.0,17.2,17.0,17.2,17.0,24500.0,16.950381715610433,16.981288939819592,17.110776501156415,17.28078751891642,17.612111359117996,18.863552699414342,
75,20180117.0,17.0,17.0,17.0,17.0,1000.0,16.975190857805217,16.98752595987973,17.090635319127973,17.243349183060896,17.553815039201996,18.790472201398092,
76,20180116.0,17.0,16.5,17.0,16.5,1800.0,16.98759542890261,16.991683973253153,17.074156170195614,17.21090262531944,17.501070749754188,18.720257605264838,
