,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20170609.0,6.6,6.6,6.6,6.6,733.0,,,,,,,
1,20160408.0,7.9,7.9,7.9,7.9,100.0,7.133333333333332,,,,,,
2,20160330.0,7.2,7.2,7.2,7.2,100.0,7.166666666666665,,,,,,
3,20160324.0,7.8,7.8,7.8,7.8,100.0,7.483333333333332,7.2799999999999985,,,,,
4,20160321.0,8.5,8.5,8.5,8.5,100.0,7.991666666666665,7.686666666666666,,,,,
5,20160318.0,7.8,7.8,7.8,7.8,200.0,7.895833333333331,7.724444444444445,,,,,
6,20160315.0,8.5,8.5,8.5,8.5,200.0,8.197916666666666,7.982962962962963,,,,,
7,20160229.0,9.0,9.0,9.0,9.0,333.0,8.59895833333333,8.321975308641974,,,,,
8,20160125.0,9.9,9.9,9.9,9.9,2100.0,9.249479166666669,8.847983539094649,8.009999999999998,,,,
9,20151217.0,9.0,9.0,9.0,9.0,1400.0,9.124739583333332,8.898655692729767,8.189999999999998,,,,
10,20151126.0,9.9,9.9,9.9,9.9,3300.0,9.51236979166667,9.232437128486511,8.50090909090909,,,,
11,20151119.0,11.0,11.0,11.0,11.0,4455.0,10.256184895833332,9.82162475232434,8.955289256198347,,,,
12,20151118.0,11.3,11.3,11.3,11.3,3000.0,10.778092447916666,10.31441650154956,9.38160030052592,8.664285714285713,,,
13,20150923.0,12.5,12.5,12.5,12.5,21.0,11.639046223958333,11.042944334366371,9.948582064066661,9.175714285714285,,,
14,20150918.0,12.5,12.5,12.5,12.5,21.0,12.069523111979164,11.528629556244248,10.412476234236362,9.618952380952384,,,
15,20150715.0,12.5,12.5,12.5,12.5,1111.0,12.284761555989585,11.852419704162832,10.792026009829748,10.003092063492064,,,
16,20150708.0,13.5,13.5,13.5,13.5,33.0,12.892380777994793,12.401613136108553,11.284384917133432,10.469346455026455,,,
17,20150615.0,13.5,13.5,13.5,13.5,600.0,13.196190388997397,12.767742090739038,11.687224023109174,10.873433594356259,,,
18,20150528.0,15.0,15.0,15.0,15.0,2444.0,14.098095194498697,13.511828060492693,12.289546927998412,11.423642448442093,10.040000000000001,,
19,20150515.0,15.0,15.0,15.0,15.0,2655.0,14.549047597249347,14.007885373661793,12.782356577453251,11.900490121983145,10.512380952380951,,
20,20150513.0,13.7,13.7,13.7,13.7,13400.0,14.12452379862467,13.905256915774528,12.949200836098113,12.140424772385392,10.815963718820862,,
21,20150512.0,12.5,12.5,12.5,12.5,40.0,13.312261899312336,13.436837943849687,12.867527956807548,12.188368136067341,10.976348126552208,,
22,20150508.0,12.5,12.5,12.5,12.5,37.0,12.90613094965617,13.124558629233123,12.800704691933449,12.22991905125836,11.121457828785331,,
23,20150506.0,12.5,12.5,12.5,12.5,2740.0,12.703065474828083,12.91637241948875,12.74603111158191,12.265929844423914,11.252747559377204,,
24,20150504.0,13.8,13.8,13.8,13.8,1980.0,13.251532737414042,13.210914946325834,12.937661818567019,12.470472531834057,11.495343029912707,,
25,20150424.0,15.3,15.3,15.3,15.3,100.0,14.275766368707021,13.907276630883889,13.367177851554832,12.847742860922851,11.857691312778163,,
26,20150422.0,17.0,17.399999999999995,18.1,17.0,5455.0,15.63788318435351,14.93818442058926,14.027690969453955,13.401377146133136,12.347434997275485,,
27,20150421.0,16.5,16.5,16.5,16.5,100.0,16.068941592176756,15.458789613726173,14.477201702280508,13.81452685998205,12.742917378487343,,
28,20150420.0,15.0,15.0,15.0,15.0,4000.0,15.534470796088378,15.305859742484115,14.572255938229507,13.97258994531778,12.957877628155213,,
29,20150413.0,13.7,16.5,16.5,13.7,1400.0,14.617235398044189,14.770573161656078,14.413663949460506,13.936244619275408,13.028555949283286,,
30,20150407.0,15.0,15.0,15.0,15.0,100.0,14.808617699022093,14.847048774437383,14.520270504104047,14.078078670038686,13.21631252554202,,
31,20150402.0,15.8,15.8,15.8,15.8,4900.0,15.304308849511047,15.164699182958255,14.75294859426695,14.307668180700196,13.462377999299921,,
32,20150330.0,14.4,14.4,14.4,14.4,1200.0,14.852154424755524,14.909799455305505,14.688776122582052,14.319979089940167,13.551675332699933,,
33,20150326.0,13.1,13.1,13.1,13.1,100.0,13.976077212377758,14.30653297020367,14.39990773665804,14.157315211281482,13.508658634347555,,
34,20150324.0,14.5,14.5,14.5,14.5,3300.0,14.238038606188882,14.37102198013578,14.418106329992941,14.203006516443951,13.603072097743027,,
35,20150320.0,14.7,14.7,14.7,14.7,100.0,14.469019303094438,14.480681320090522,14.469359724539677,14.269272314251422,13.7075414217675,,
