,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180516.0,24.5,24.5,24.5,24.5,200.0,,,,,,,
1,20180510.0,24.2,24.2,24.2,24.2,1500.0,24.4,,,,,,
2,20180509.0,24.4,24.4,24.4,24.4,400.0,24.4,,,,,,
3,20180503.0,26.9,26.9,26.9,26.9,100.0,25.65,24.9,,,,,
4,20180427.0,24.6,24.6,24.6,24.6,100.0,25.125,24.8,,,,,
5,20180424.0,27.3,27.0,27.3,27.0,500.0,26.2125,25.633333333333333,,,,,
6,20180417.0,27.0,27.0,27.0,27.0,100.0,26.60625,26.08888888888889,,,,,
7,20180412.0,27.0,26.5,27.0,26.5,300.0,26.803125,26.392592592592596,,,,,
8,20180410.0,28.5,28.5,28.5,28.5,24.0,27.6515625,27.095061728395066,25.89,,,,
9,20180406.0,28.5,28.5,28.5,28.5,1000.0,28.07578125,27.563374485596707,26.364545454545453,,,,
10,20180405.0,28.3,28.3,28.3,28.3,100.0,28.187890624999998,27.80891632373114,26.716446280991736,,,,
11,20180402.0,26.2,26.2,26.2,26.2,100.0,27.1939453125,27.27261088248743,26.622546957175057,,,,
12,20180330.0,26.2,26.2,26.2,26.2,1024.0,26.69697265625,26.915073921658283,26.545720237688684,26.29285714285714,,,
13,20180328.0,28.5,28.4,28.5,28.4,200.0,27.598486328125,27.443382614438853,26.901043830836198,26.58714285714285,,,
14,20180326.0,28.8,28.7,28.8,28.7,200.0,28.199243164062498,27.8955884096259,27.24630858886598,26.882190476190473,,,
15,20180322.0,28.7,27.9,28.7,27.9,740.0,28.44962158203125,28.163725606417263,27.510616118163078,27.124565079365077,,,
16,20180321.0,28.6,28.0,28.6,28.0,900.0,28.52481079101562,28.309150404278178,27.7086859148607,27.321289735449735,,,
17,20180320.0,28.6,28.6,28.6,28.6,1000.0,28.56240539550781,28.406100269518788,27.870743021249663,27.491784437389768,,,
18,20180319.0,28.9,28.9,28.9,28.9,100.0,28.731202697753908,28.570733513012524,28.057880653749724,27.67954651240447,27.01,,
19,20180316.0,27.1,29.5,29.5,27.1,6360.0,27.91560134887696,28.080489008675013,27.883720534886137,27.602273644083873,27.018571428571434,,
20,20180315.0,29.5,29.5,29.5,29.5,100.0,28.707800674438484,28.553659339116678,28.1775895285432,27.85530382487269,27.254897959183676,,
21,20180312.0,29.6,28.0,29.6,28.0,1500.0,29.153900337219238,28.902439559411125,28.436209614262623,28.087929981556325,27.47824101068999,,
22,20180308.0,29.0,29.0,29.0,29.0,115.0,29.07695016860962,28.93495970627408,28.538716957123963,28.20953931734882,27.62317043824332,,
