,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,1.6,1.6,1.6,1.6,8000.0,,,,,,,
1,20180518.0,1.6,1.6,1.6,1.6,10400.0,1.6000000000000003,,,,,,
2,20180517.0,1.7,1.7,1.7,1.7,100.0,1.65,,,,,,
3,20180516.0,1.7,1.7,1.7,1.6,25300.0,1.675,1.64,,,,,
4,20180515.0,1.6,1.7,1.7,1.6,7200.0,1.6375,1.626666666666667,,,,,
5,20180514.0,1.8,1.7,1.8,1.7,200.0,1.71875,1.6844444444444444,,,,,
6,20180511.0,1.8,1.8,1.8,1.8,100.0,1.759375,1.722962962962963,,,,,
7,20180510.0,1.8,1.7,1.8,1.7,5100.0,1.7796875,1.7486419753086417,,,,,
8,20180509.0,1.6,1.7,1.7,1.6,1100.0,1.68984375,1.6990946502057611,1.6800000000000002,,,,
9,20180508.0,1.6,1.7,1.7,1.6,7100.0,1.644921875,1.666063100137174,1.6654545454545455,,,,
10,20180507.0,1.7,1.7,1.7,1.6,3800.0,1.6724609375,1.6773754000914494,1.6717355371900828,,,,
11,20180504.0,1.7,1.7,1.7,1.7,100.0,1.6862304687499996,1.6849169333942995,1.6768745304282495,,,,
12,20180503.0,1.7,1.7,1.7,1.6,1200.0,1.693115234375,1.6899446222628662,1.6810791612594769,1.6785714285714288,,,
13,20180502.0,1.6,1.7,1.7,1.6,5100.0,1.6465576171875,1.6599630815085775,1.6663374955759358,1.6680952380952383,,,
14,20180427.0,1.7,1.7,1.7,1.7,600.0,1.67327880859375,1.673308721005718,1.6724579509257655,1.6723492063492067,,,
15,20180426.0,1.7,1.7,1.7,1.5,5500.0,1.686639404296875,1.6822058140038119,1.67746559621199,1.6760359788359789,,,
16,20180424.0,1.7,1.7,1.7,1.7,2800.0,1.6933197021484376,1.6881372093358746,1.6815627605370826,1.6792311816578485,,,
17,20180423.0,1.9,1.9,1.9,1.9,1100.0,1.7966598510742184,1.75875813955725,1.721278622257613,1.7086670241034687,,,
18,20180420.0,1.9,1.8,1.9,1.8,1100.0,1.8483299255371088,1.8058387597048324,1.753773418210774,1.7341780875563395,1.7,,
19,20180419.0,1.8,1.8,1.9,1.7,22400.0,1.8241649627685552,1.8038925064698883,1.7621782512633606,1.7429543425488276,1.7095238095238092,,
20,20180418.0,1.8,1.8,1.8,1.8,100.0,1.8120824813842769,1.8025950043132593,1.7690549328518401,1.7505604302089837,1.718140589569161,,
21,20180417.0,1.7,1.6,1.7,1.6,200.0,1.756041240692139,1.7683966695421727,1.7564994905151423,1.7438190395144524,1.716412914372098,,
22,20180416.0,1.7,1.7,1.7,1.7,200.0,1.7280206203460697,1.745597779694782,1.7462268558760254,1.7379765009125254,1.7148497796699933,,
23,20180413.0,1.7,1.7,1.7,1.7,100.0,1.714010310173035,1.7303985197965213,1.7378219729894755,1.7329129674575225,1.7134355149395173,,
24,20180410.0,1.8,1.8,1.8,1.8,100.0,1.7570051550865171,1.7535990131976806,1.7491270688095706,1.7418579051298524,1.7216797516119449,,
25,20180409.0,1.7,1.6,1.7,1.6,25100.0,1.7285025775432588,1.7357326754651201,1.7401948744805575,1.7362768511125388,1.7196150133631878,,
26,20180406.0,1.7,1.7,1.7,1.7,4000.0,1.714251288771629,1.7238217836434138,1.732886715484093,1.731439937630867,1.7177469168524084,,
27,20180405.0,1.8,1.8,1.8,1.8,100.0,1.7571256443858148,1.7492145224289424,1.7450891308506211,1.7405812792800843,1.7255805438188454,,
28,20180404.0,1.7,1.7,1.7,1.7,7900.0,1.7285628221929072,1.732809681619295,1.7368911070595994,1.7351704420427398,1.7231443015503844,,
29,20180403.0,1.8,1.8,1.8,1.7,32300.0,1.7642814110964535,1.7552064544128634,1.7483654512305813,1.743814383103708,1.7304638918789192,,
30,20180327.0,1.9,1.9,1.9,1.9,900.0,1.8321407055482268,1.8034709696085756,1.7759353691886572,1.7646391320232135,1.7466101878904503,,
31,20180326.0,1.8,1.8,1.8,1.8,7100.0,1.816070352774113,1.8023139797390504,1.7803107566089016,1.7693539144201187,1.751694931900884,,
32,20180323.0,1.9,1.9,1.9,1.9,100.0,1.8580351763870568,1.8348759864927,1.8020724372254648,1.7867733924974363,1.7658192241007997,,
33,20180322.0,1.8,1.8,1.8,1.8,12500.0,1.8290175881935284,1.8232506576618,1.8016956304571985,1.7885369401644444,1.7690745360911997,,
34,20180321.0,1.9,1.7,1.9,1.7,7700.0,1.864508794096764,1.8488337717745331,1.8195691521922528,1.8033986814758525,1.7815436278920376,,
35,20180319.0,1.9,1.9,1.9,1.9,100.0,1.882254397048382,1.8658891811830225,1.8341929427027523,1.816278857279072,1.792825187140415,,
36,20180316.0,1.8,1.8,1.8,1.8,1800.0,1.8411271985241913,1.8439261207886812,1.8279760440295247,1.814108342975196,1.7935085026508517,,
37,20180315.0,1.9,1.8,1.9,1.8,400.0,1.8705635992620957,1.8626174138591207,1.8410713087514288,1.825560563911836,1.8036505500174371,,
38,20180314.0,1.8,1.8,1.8,1.8,8000.0,1.835281799631048,1.8417449425727472,1.8336037980693507,1.8221524887235916,1.8033028785872047,,
39,20180313.0,1.8,1.8,1.8,1.8,25500.0,1.817640899815524,1.8278299617151648,1.8274940166021965,1.8191988235604457,1.8029883187217568,,
40,20180312.0,1.9,1.8,1.9,1.8,2300.0,1.8588204499077616,1.8518866411434431,1.8406769226745243,1.8299723137523864,1.812227526462542,,
41,20180309.0,1.9,1.9,1.9,1.9,100.0,1.879410224953881,1.8679244274289617,1.8514629367337017,1.8393093385854011,1.8205868096565851,,
42,20180308.0,1.9,1.9,1.9,1.8,10600.0,1.8897051124769404,1.878616284952641,1.860287857327574,1.8474014267740144,1.8281499706416728,,
43,20180307.0,1.9,2.0,2.0,1.8,28600.0,1.89485255623847,1.8857441899684275,1.8675082469043784,1.8544145698708128,1.8349928305805607,,
44,20180306.0,2.0,2.0,2.0,2.0,9100.0,1.9474262781192353,1.923829459978952,1.891597656558128,1.873825960554704,1.850707799096698,,
