,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,20.0,20.0,20.9,20.0,4900.0,,,,,,,
1,20180518.0,20.0,18.6,20.0,18.6,2200.0,19.83333333333333,,,,,,
2,20180517.0,20.0,18.6,20.0,18.6,1200.0,19.91666666666666,,,,,,
3,20180516.0,20.0,19.5,20.5,19.5,344900.0,19.95833333333333,19.9,,,,,
4,20180515.0,19.1,18.6,20.5,18.6,2200.0,19.52916666666667,19.63333333333333,,,,,
5,20180514.0,19.5,19.5,19.5,19.5,1000.0,19.51458333333333,19.58888888888889,,,,,
6,20180511.0,18.6,18.6,18.6,18.6,100.0,19.057291666666668,19.259259259259256,,,,,
7,20180510.0,19.5,18.5,19.5,18.5,2000.0,19.278645833333332,19.339506172839503,,,,,
8,20180509.0,18.2,18.2,18.2,18.2,100.0,18.739322916666662,18.959670781893,19.44,,,,
9,20180508.0,18.5,18.9,18.9,18.2,2100.0,18.61966145833333,18.80644718792867,19.269090909090906,,,,
10,20180504.0,20.8,18.8,20.8,18.8,2100.0,19.70983072916667,19.470964791952447,19.547438016528922,,,,
11,20180503.0,18.0,17.6,18.2,17.6,2200.0,18.85491536458333,18.980643194634965,19.266085649887295,,,,
12,20180502.0,18.2,17.5,18.2,17.5,1760.0,18.52745768229167,18.72042879642331,19.07225189536233,19.27857142857143,,,
13,20180427.0,17.6,17.6,17.6,17.6,100.0,18.06372884114584,18.34695253094887,18.804569732569185,19.054761904761904,,,
14,20180426.0,17.8,17.8,17.8,17.8,100.0,17.931864420572914,18.16463502063258,18.62192069028388,18.88746031746032,,,
15,20180420.0,18.1,18.1,18.1,18.1,200.0,18.015932210286458,18.143090013755053,18.52702601932317,18.782465608465607,,,
16,20180417.0,19.0,18.1,19.0,18.1,500.0,18.50796610514323,18.428726675836703,18.61302128853714,18.811470194003526,,,
17,20180416.0,18.7,18.7,18.7,18.7,100.0,18.603983052571614,18.519151117224467,18.628835599712207,18.796607501469722,,,
18,20180413.0,21.8,18.6,21.8,18.6,6400.0,20.20199152628581,19.612767411482977,19.20541094521908,19.19705983460709,19.145000000000003,,
19,20180412.0,20.0,18.6,20.0,18.6,475.0,20.100995763142905,19.741844940988646,19.34988168245197,19.304118523326142,19.226428571428574,,
20,20180410.0,21.0,20.5,21.0,20.5,686.0,20.55049788157145,20.161229960659103,19.649903194733437,19.530236053549327,19.395340136054426,,
21,20180409.0,20.5,20.5,20.5,20.5,2000.0,20.52524894078573,20.27415330710607,19.804466250236445,19.65953791307608,19.50054583738257,,
22,20180406.0,23.5,23.5,23.5,23.5,110.0,22.012624470392865,21.349435538070715,20.47638147746618,20.171599524665936,19.88144623382233,,
23,20180405.0,25.8,22.0,25.8,22.0,7234.0,23.90631223519643,22.832957025380477,21.444312117926877,20.922052921377148,20.44511802107735,,
24,20180404.0,22.5,22.5,22.5,22.5,10000.0,23.203156117598216,22.721971350253646,21.636255369212897,21.132445865193528,20.64082106668903,,
25,20180403.0,21.5,21.5,21.5,21.5,55.0,22.351578058799102,22.31464756683577,21.611481665719644,21.181453083167725,20.722647631766264,,
26,20180330.0,21.0,21.5,21.5,21.0,1100.0,21.675789029399553,21.876431711223844,21.500303181043343,21.15725933874536,20.74906214302662,,
27,20180329.0,20.5,20.5,20.5,20.5,700.0,21.087894514699776,21.417621140815896,21.3184298753991,21.06962476024598,20.72534193892885,,
28,20180328.0,20.0,20.0,20.0,20.0,1000.0,20.54394725734989,20.94508076054393,21.078715352599264,20.927008125546514,20.65626175426896,,
29,20180322.0,21.0,20.5,21.0,20.5,4155.0,20.771973628674942,20.963387173695953,21.064403470308488,20.936740375473647,20.688998730052862,,
30,20180320.0,20.0,20.0,21.0,19.5,8600.0,20.38598681433747,20.6422581157973,20.870875566616036,20.811841658743823,20.623379803381166,,
31,20180316.0,20.0,20.0,20.0,20.0,400.0,20.192993407168732,20.4281720771982,20.71253455450403,20.703596104244646,20.564010298297244,,
32,20180314.0,20.0,20.0,20.0,20.0,100.0,20.096496703584368,20.28544805146547,20.58298281732148,20.60978329034536,20.510295031792744,,
33,20180312.0,20.0,20.0,20.0,20.0,1000.0,20.048248351792186,20.190298700976975,20.47698594144485,20.528478851632645,20.46169550495534,,
34,20180309.0,22.0,22.0,22.0,22.0,70.0,21.02412417589609,20.793532467317984,20.75389758845488,20.724681671414963,20.608200694959592,,
35,20180307.0,22.0,22.1,22.1,22.0,3000.0,21.512062087948046,21.195688311545318,20.98046166328126,20.894724115226296,20.740753009725346,,
36,20180306.0,22.1,22.0,22.1,22.0,300.0,21.806031043974023,21.49712554103021,21.184014088139214,21.055427566529456,20.870205104037215,,
37,20180305.0,22.0,22.0,22.0,22.0,400.0,21.903015521987008,21.66475036068681,21.332375163022995,21.181370557658862,20.977804617938435,,
38,20180302.0,22.0,22.0,22.0,22.0,5041.0,21.951507760993508,21.776500240457874,21.453761497018814,21.290521149971013,21.075156559087155,,
39,20180301.0,21.5,21.5,21.5,21.5,300.0,21.725753880496754,21.684333493638587,21.462168497560846,21.31845166330821,21.115617839174085,,
40,20180228.0,21.5,21.5,22.0,21.5,14322.0,21.612876940248377,21.62288899575905,21.46904695254978,21.34265810820045,21.152225664014654,,
41,20180226.0,22.0,20.0,22.0,20.0,5254.0,21.80643847012419,21.748592663839368,21.565583870268004,21.430303693773727,21.23296607696564,,
42,20180212.0,23.0,23.0,23.0,23.0,1300.0,22.403219235062096,22.165728442559576,21.826386802946548,21.639596534603896,21.401255022016528,,
43,20180208.0,23.0,23.0,23.0,23.0,200.0,22.701609617531048,22.443818961706388,22.039771020592635,21.820983663323375,21.55351644849115,,
44,20180130.0,23.0,23.0,23.0,23.0,5000.0,22.850804808765524,22.629212641137595,22.214358107757608,21.978185841546928,21.691276786730082,,
45,20180129.0,23.0,22.5,23.0,22.5,7000.0,22.92540240438276,22.752808427425062,22.357202088165316,22.114427729340672,21.815917092755797,,
46,20180123.0,22.0,22.0,22.0,22.0,5005.0,22.462701202191386,22.501872284950043,22.29225625395344,22.09917069876192,21.833448798207623,,
47,20180122.0,22.5,22.0,22.5,22.0,5700.0,22.481350601095688,22.50124818996669,22.330027844143725,22.152614605593666,21.896929865044992,,
48,20180118.0,22.0,22.0,22.0,22.0,900.0,22.240675300547842,22.334165459977797,22.270022781572134,22.132265991514508,21.90674606837404,20.676,
49,20180116.0,21.0,21.0,21.0,21.0,100.0,21.620337650273925,21.8894436399852,22.039109548559026,21.981297192645908,21.820389299957466,20.68870588235294,
50,20180112.0,21.1,18.1,21.1,18.1,3425.0,21.360168825136963,21.62629575999013,21.86836235791193,21.86379090029312,21.75178079519961,20.70483506343714,
51,20180111.0,18.4,18.4,18.4,18.4,100.0,19.88008441256848,20.550863839993426,21.23775102010976,21.401952113587367,21.43256357660917,20.614449374674898,
52,20180110.0,21.5,18.4,21.5,18.4,2125.0,20.69004220628424,20.867242559995614,21.285432652817075,21.415025165109054,21.438986093122587,20.64917685017784,
53,20180108.0,21.5,20.0,21.5,20.0,3550.0,21.09502110314212,21.078161706663742,21.324444897759424,21.42635514309451,21.44479694139662,20.682542463896358,
54,20180105.0,18.7,18.7,18.7,18.7,100.0,19.897510551571056,20.285441137775823,20.8472730981668,21.062841124015243,21.183387708882655,20.604795700606303,
55,20180104.0,22.0,22.0,22.0,22.0,100.0,20.94875527578553,20.856960758517214,21.05685980759102,21.18779564081321,21.26116030803669,20.65950959470017,
56,20180103.0,22.0,22.0,22.0,22.0,25.0,21.474377637892765,21.23797383901148,21.22833984257447,21.29608955537145,21.331525992985572,20.712077845888402,
57,20171229.0,22.8,22.0,22.8,22.0,3300.0,22.137188818946385,21.75864922600765,21.51409623483366,21.49661094798859,21.471380660320282,20.793957146049646,
58,20171226.0,22.0,22.0,22.0,22.0,200.0,22.06859440947319,21.8390994840051,21.60244237395481,21.563729488256772,21.521725359337402,20.841252944243777,
59,20171225.0,22.0,21.0,22.0,21.0,24000.0,22.034297204736603,21.89273298933673,21.674725578690296,21.621898889822535,21.56727532511479,20.886694005253823,
60,20171222.0,21.5,21.5,21.5,21.5,2060.0,21.767148602368295,21.761821992891154,21.642957291655698,21.605645704512863,21.56086815129433,20.910745220734068,
61,20171221.0,20.2,20.2,20.2,20.2,2800.0,20.98357430118415,21.24121466192744,21.38060142044557,21.418226277244482,21.431261660694872,20.882872859136654,
62,20171220.0,20.1,20.0,20.1,20.0,6000.0,20.541787150592075,20.86080977461829,21.147764798546376,21.242462773611887,21.304474835866788,20.852171962699924,
63,20171219.0,21.0,21.0,21.0,21.0,5000.0,20.770893575296036,20.907206516412195,21.120898471537945,21.210134403796967,21.275477232450907,20.857969140633255,
64,20171218.0,20.5,20.5,20.5,20.5,1000.0,20.635446787648014,20.771471010941465,21.00800784034923,21.11544981662404,21.20162225793177,20.843931135118225,
65,20171215.0,20.5,20.5,20.5,20.5,3900.0,20.567723393824007,20.680980673960978,20.915642778467554,21.033389841074168,21.134801090509697,20.830443639623397,
66,20171214.0,20.5,20.5,20.5,20.5,2200.0,20.533861696912002,20.620653782640645,20.84007136420072,20.962271195597605,21.07434384379449,20.81748506552052,
67,20171213.0,20.5,20.5,20.5,20.5,700.0,20.516930848456,20.580435855093768,20.778240207073317,20.900635036184603,21.019644430099774,20.805034670794225,
68,20171211.0,20.5,20.5,21.0,20.5,1100.0,20.508465424228,20.55362390339584,20.72765107851453,20.847217031359982,20.970154484375986,20.793072526841506,
69,20171208.0,20.2,20.2,20.2,20.1,2500.0,20.354232712114,20.435749268930564,20.631714518784616,20.76092142717865,20.89680643824494,20.76981478069086,
