,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180420.0,30.0,30.0,30.0,30.0,300.0,,,,,,,
1,20180416.0,30.0,30.0,30.0,30.0,500.0,30.0,,,,,,
2,20180412.0,29.0,29.0,29.0,29.0,500.0,29.5,,,,,,
3,20180410.0,26.0,26.0,26.0,26.0,400.0,27.75,29.0,,,,,
4,20180409.0,25.3,25.4,25.4,25.3,1100.0,26.525,27.76666666666666,,,,,
5,20180405.0,28.2,28.2,30.0,28.2,1400.0,27.3625,27.91111111111111,,,,,
6,20180402.0,33.0,33.0,33.0,33.0,1.0,30.18125,29.60740740740741,,,,,
7,20180327.0,33.0,33.0,33.0,33.0,101.0,31.590625,30.738271604938273,,,,,
8,20180326.0,30.0,30.0,30.0,30.0,100.0,30.7953125,30.492181069958846,29.45,,,,
9,20180321.0,30.0,30.0,30.0,30.0,100.0,30.39765625,30.328120713305893,29.55,,,,
10,20180320.0,26.4,26.4,26.4,26.4,5.0,28.398828124999998,29.018747142203928,28.97727272727273,,,,
11,20180315.0,26.4,26.4,26.4,26.4,10.0,27.3994140625,28.145831428135953,28.508677685950413,,,,
12,20180302.0,26.4,26.5,26.5,26.4,2400.0,26.899707031250003,27.563887618757306,28.125281743050337,28.83571428571428,,,
13,20180228.0,31.0,31.0,31.0,31.0,100.0,28.949853515624998,28.709258412504866,28.647957789768455,29.12428571428571,,,
14,20180226.0,27.2,27.2,27.2,27.2,1000.0,28.074926757812495,28.206172275003247,28.384692737083284,28.86771428571428,,,
15,20180209.0,32.0,32.0,32.0,32.0,5.0,30.037463378906246,29.470781516668833,29.04202133034087,29.28535238095238,,,
16,20180207.0,32.0,32.0,32.0,32.0,100.0,31.018731689453126,30.31385434444589,29.579835633915252,29.647305396825395,,,
17,20180202.0,31.5,31.5,31.5,31.5,500.0,31.259365844726567,30.709236229630598,29.928956427748844,29.89433134391534,,,
18,20180201.0,31.5,31.5,31.5,31.5,401.0,31.379682922363276,30.972824153087064,30.214600713612686,30.10842049805996,29.444999999999993,,
19,20180130.0,32.0,32.0,32.0,32.0,1.0,31.68984146118164,31.31521610205804,30.53921876568311,30.36063109831864,29.688333333333325,,
20,20180124.0,32.0,32.0,32.0,32.0,18.0,31.84492073059082,31.543477401372026,30.80481535374072,30.579213618542816,29.90849206349205,,
21,20180115.0,32.0,32.0,32.0,32.0,100.0,31.92246036529541,31.695651600914683,31.022121653060594,30.768651802737107,30.10768329554043,,
22,20180105.0,30.0,30.0,30.0,30.0,110.0,30.961230182647707,31.130434400609786,30.836281352504123,30.666164895705485,30.0974277435842,,
23,20180104.0,30.0,33.0,33.0,30.0,4800.0,30.480615091323845,30.75362293373985,30.68423019750337,30.57734290961143,30.08814891086189,,
24,20171227.0,33.0,33.0,33.0,33.0,200.0,31.740307545661928,31.502415289159902,31.105279252502758,30.90036385499657,30.36546806220838,,
25,20171226.0,37.0,37.0,37.0,37.0,100.0,34.37015377283096,33.33494352610661,32.177046661138625,31.71364867433036,30.997328246759963,,
26,20171222.0,32.9,32.9,32.9,32.9,100.0,33.635076886415476,33.18996235073774,32.30849272274978,31.871828851086317,31.17853508040187,,
27,20171220.0,28.8,28.8,28.8,28.8,100.0,31.217538443207737,31.726641567158488,31.670584954977095,31.462251670941477,30.95200792988741,,
28,20171215.0,25.1,25.1,25.1,25.1,100.0,28.158769221603873,29.517761044772325,30.475933144981255,30.61395144814928,30.394673841326707,,
29,20171214.0,28.0,28.0,28.1,28.0,2100.0,28.07938461080193,29.011840696514888,30.025763482257396,30.265424588396037,30.166609665962252,,
30,20171115.0,28.2,28.5,28.5,28.2,400.0,28.139692305400967,28.74122713100992,29.69380648548332,29.99003464327657,29.97931350729918,,
31,20171113.0,25.6,25.6,25.6,25.6,100.0,26.869846152700475,27.69415142067328,28.949478033577268,29.404696690839685,29.562236030413544,,
32,20171110.0,29.7,29.5,29.7,29.5,600.0,28.28492307635024,28.36276761378219,29.085936572926848,29.4440704653944,29.5753564084694,,
33,20171109.0,29.0,32.1,32.1,29.0,2200.0,28.64246153817512,28.575178409188126,29.070311741485607,29.38486107000848,29.520560560043737,,
34,20171107.0,29.0,32.4,32.4,29.0,4200.0,28.82123076908756,28.716785606125413,29.057527788488223,29.33354626067401,29.4709833638491,,
35,20171106.0,33.0,33.0,33.0,33.0,70.0,30.91061538454378,30.144523737416947,29.774340917854005,29.82240675925081,29.80708018633966,,
36,20171102.0,33.0,33.0,33.0,33.0,4.0,31.955307692271884,31.096349158277963,30.360824387335093,30.24608585801737,30.111167787640646,,
37,20171030.0,33.0,33.0,33.0,33.0,2100.0,32.477653846135944,31.730899438851974,30.840674498728717,30.613274410281722,30.386294665008204,,
38,20171027.0,33.0,33.0,33.0,33.0,475.0,32.738826923067975,32.15393295923465,31.23327913532349,30.93150448891082,30.63521898262647,,
39,20171026.0,33.0,33.0,33.0,33.0,1000.0,32.86941346153399,32.435955306156444,31.554501110719226,31.207303890389383,30.860436222376325,,
40,20171024.0,35.0,33.0,35.0,26.7,400.0,33.93470673076699,33.29063687077096,32.180955454224815,31.712996705004134,31.254680391673823,,
41,20171016.0,31.0,36.0,36.0,31.0,10200.0,32.467353365383495,32.52709124718064,31.966236280729394,31.617930477670246,31.230425116276315,,
42,20171013.0,34.7,34.7,34.7,34.7,100.0,33.583676682691745,33.251394164787094,32.46328422968769,32.02887308064754,31.560860819488088,,
