,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180515.0,26.0,26.0,26.0,26.0,100.0,,,,,,,
1,20180514.0,23.0,23.0,23.0,23.0,100.0,25.333333333333332,,,,,,
2,20180511.0,26.0,26.0,26.0,26.0,200.0,25.66666666666666,,,,,,
3,20180404.0,30.5,30.5,30.5,30.5,100.0,28.083333333333332,26.5,,,,,
4,20180403.0,29.0,29.0,29.0,29.0,100.0,28.54166666666666,27.333333333333332,,,,,
5,20180402.0,27.0,27.0,27.0,27.0,100.0,27.770833333333332,27.222222222222225,,,,,
6,20180330.0,24.0,24.0,24.0,24.0,100.0,25.88541666666666,26.14814814814815,,,,,
7,20180329.0,23.0,23.0,23.0,23.0,100.0,24.442708333333332,25.098765432098766,,,,,
8,20180328.0,20.4,20.4,20.4,20.4,100.0,22.421354166666667,23.532510288065843,25.59,,,,
9,20180327.0,23.0,23.0,23.0,23.0,100.0,22.71067708333333,23.355006858710563,25.119090909090907,,,,
10,20180326.0,20.0,20.0,20.0,20.0,1800.0,21.35533854166667,22.23667123914037,24.18834710743802,,,,
11,20180322.0,19.6,19.6,19.6,19.6,300.0,20.47766927083333,21.357780826093585,23.354102178812923,,,,
12,20180321.0,21.0,21.0,21.0,21.0,2000.0,20.738834635416666,21.238520550729056,22.926083600846937,24.25,,,
13,20180319.0,23.0,23.0,23.0,23.0,1000.0,21.869417317708326,21.825680367152703,22.93952294614749,24.083333333333332,,,
14,20180315.0,21.0,21.0,21.0,21.0,100.0,21.43470865885417,21.5504535781018,22.586882410484318,23.672222222222224,,,
15,20180312.0,21.0,21.0,21.0,21.0,30.0,21.217354329427078,21.36696905206787,22.298358335850804,23.315925925925924,,,
16,20180308.0,21.0,21.0,21.0,21.0,20.0,21.10867716471354,21.24464603471191,22.062293183877927,23.007135802469126,,,
17,20180226.0,21.0,21.0,21.0,21.0,830.0,21.054338582356767,21.16309735647461,21.8691489686274,22.739517695473246,,,
18,20180223.0,21.0,21.0,21.0,21.0,100.0,21.027169291178385,21.10873157098307,21.71112188342241,22.507582002743483,23.375,,
19,20180212.0,20.0,20.0,20.0,20.0,100.0,20.51358464558919,20.73915438065538,21.40000881370925,22.173237735711016,23.053571428571427,,
20,20180209.0,20.0,20.0,20.0,20.0,300.0,20.256792322794595,20.492769587103588,21.145461756671203,21.883472704282884,22.762755102040813,,
21,20180207.0,20.0,20.0,20.0,20.0,90.0,20.128396161397298,20.328513058069056,20.937195982730984,21.632343010378495,22.49963556851312,,
22,20180206.0,20.0,20.0,20.0,20.0,1000.0,20.06419808069865,20.219008705379373,20.766796713143528,21.414697275661364,22.26157503817853,,
23,20180205.0,19.0,19.0,19.0,19.0,1600.0,19.53209904034932,19.81267247025292,20.445560947117436,21.09273763890652,21.95094884406629,,
24,20180202.0,20.0,20.0,20.0,20.0,600.0,19.766049520174658,19.875114980168608,20.36454986582336,20.947039287052313,21.765144192250457,,
25,20180131.0,19.0,19.0,19.0,19.0,400.0,19.383024760087327,19.583409986779074,20.11644989021911,20.68743404877867,21.501797126321843,,
26,20180129.0,19.0,19.0,19.0,19.0,10.0,19.191512380043665,19.38893999118605,19.91345900108836,20.462442842274847,21.26353073333881,,
27,20180125.0,19.0,19.0,19.0,19.0,900.0,19.09575619002183,19.25929332745737,19.747375546345022,20.26745046330487,21.047956377782725,,
28,20180123.0,17.0,17.0,17.0,17.0,600.0,18.047878095010915,18.506195551638246,19.247852719736837,19.831790401530885,20.662436722755807,,
29,20180119.0,19.5,19.5,19.5,19.5,700.0,18.773939047505458,18.83746370109216,19.293697679784685,19.787551681326768,20.551728463445727,,
30,20171219.0,17.0,17.0,17.0,17.0,300.0,17.88696952375273,18.224975800728114,18.876661738005648,19.41587812381653,20.21346860978423,,
31,20171218.0,20.0,20.0,20.0,20.0,500.0,18.94348476187636,18.816650533818738,19.080905058368256,19.493761040640994,20.19313826599526,,
32,20171205.0,20.1,20.1,20.1,20.1,200.0,19.521742380938182,19.244433689212492,19.266195047755847,19.574592901888863,20.18426795494809,,
33,20171127.0,17.899999999999995,17.0,17.899999999999995,17.0,200.0,18.71087119046909,18.796289126141662,19.017795948163876,19.35131384830368,19.96671862590541,,
34,20171124.0,15.6,15.6,15.6,15.6,100.0,17.155435595234547,17.730859417427773,18.396378503043167,18.851138668529856,19.55084066153347,,
35,20171122.0,13.6,13.6,13.6,13.6,100.0,15.377717797617274,16.35390627828518,17.524309684308047,18.150986846059208,18.98409393186361,,
36,20171120.0,11.9,11.9,11.9,11.9,100.0,13.638858898808637,14.869270852190118,16.501707923524766,17.317521933251314,18.309418319305177,,
37,20171110.0,14.0,14.0,14.0,14.0,1800.0,13.819429449404316,14.57951390146008,16.046851937429352,16.875185675484474,17.8989975269904,,
38,20171024.0,15.1,15.1,15.1,15.1,100.0,14.45971472470216,14.753009267640051,15.874697039714924,16.638494252086545,17.63242633394369,,
39,20171023.0,13.2,13.2,13.2,13.2,5100.0,13.829857362351081,14.235339511760035,15.388388487039485,16.18002835180834,17.210290492615723,,
40,20171020.0,15.5,15.5,15.5,15.5,200.0,14.664928681175539,14.656893007840026,15.408681489395939,16.08935790490056,17.047405683795173,,
41,20171017.0,14.3,11.9,16.1,11.9,300.0,14.48246434058777,14.537928671893347,15.207103036778497,15.850776850913821,16.785747999624206,,
42,20171016.0,14.0,14.0,14.0,14.0,5000.0,14.241232170293884,14.358619114595566,14.987629757364225,15.604006604125308,16.52043866632666,,
43,20171013.0,16.5,16.0,16.5,16.0,1000.0,15.37061608514694,15.072412743063708,15.262606165116186,15.723472390241936,16.518492126676502,,
44,20171010.0,15.3,15.3,15.3,15.3,1000.0,15.335308042573471,15.14827516204247,15.269405044185968,15.667009404876346,16.402445257469218,,
45,20171006.0,15.1,15.1,15.1,15.1,6000.0,15.217654021286735,15.132183441361647,15.238604127061247,15.591408150892832,16.278402851995963,,
46,20171005.0,16.899999999999995,16.899999999999995,16.899999999999995,16.899999999999995,100.0,16.058827010643366,15.721455627574432,15.5406761039592,15.76588706410712,16.337602580377297,,
47,20171004.0,15.6,15.6,15.6,15.6,1000.0,15.829413505321684,15.680970418382957,15.551462266875708,15.743768788892838,16.267354715579458,,
48,20171002.0,15.0,11.5,15.0,11.5,2500.0,15.41470675266084,15.453980278921968,15.451196400171037,15.64459961704046,16.146654266476652,19.532,
49,20170929.0,13.4,13.4,13.4,13.4,100.0,14.40735337633042,14.769320185947981,15.078251600139936,15.34531966810173,15.885068145859828,19.291529411764703,
50,20170928.0,11.7,11.7,11.7,11.7,10.0,13.053676688165206,13.746213457298653,14.464024036478131,14.859277045688167,15.486490227206511,18.993822376009227,
51,20170925.0,15.1,15.1,15.1,11.4,11300.0,14.076838344082606,14.197475638199101,14.579656029845744,14.891373439596412,15.449681634139226,18.84112345930298,
52,20170922.0,17.0,15.1,17.0,12.9,13100.0,15.5384191720413,15.131650425466066,15.019718569873788,15.172523647650223,15.59733100231644,18.76892253933032,
53,20170921.0,15.1,15.1,15.1,15.1,20000.0,15.319209586020653,15.121100283644045,15.0343151935331,15.162853827963527,15.54996614495297,18.625043224062463,
54,20170920.0,17.899999999999995,17.6,17.899999999999995,17.399999999999995,6600.0,16.609604793010327,16.047400189096027,15.5553487947089,15.527806650901725,15.773778893052688,18.596610156452165,
55,20170919.0,15.6,15.6,15.6,15.6,200.0,16.104802396505164,15.898266792730688,15.563467195670919,15.537432430781491,15.757228522285763,18.479096032669727,
56,20170918.0,13.6,13.6,13.6,13.6,100.0,14.852401198252583,15.132177861820457,15.206473160094387,15.279108106677294,15.551778186829978,18.287758933349348,
57,20170915.0,15.1,11.4,15.1,11.4,11400.0,14.97620059912629,15.121451907880306,15.187114403713586,15.255227025786988,15.50875169284617,18.162748779100355,
58,20170914.0,13.2,13.2,13.2,13.2,6000.0,14.088100299563145,14.48096793858687,14.825820875765665,14.981196755682054,15.288870579241772,17.96813117991995,
59,20170913.0,15.5,15.5,15.5,15.5,13100.0,14.79405014978157,14.820645292391244,14.948398898353725,15.050370521591116,15.308978143123507,17.87134172188387,
60,20170912.0,18.2,18.2,18.2,18.2,2000.0,16.497025074890782,15.947096861594163,15.53959909865305,15.4703211187123,15.584313558064125,17.88423028180999,
61,20170911.0,19.9,19.9,25.6,19.9,5800.0,18.198512537445392,17.264731241062776,16.332399262534306,16.060944969550658,15.995331314438973,17.96328007468019,
62,20170829.0,23.3,23.3,23.3,23.3,1000.0,20.749256268722693,19.27648749404185,17.599235760255343,17.026152306943906,16.691014046397164,18.17256320900645,
63,20170828.0,24.0,19.5,24.6,19.5,6200.0,22.37462813436135,20.850991662694568,18.763011076572557,17.95599866601805,17.38710794674029,18.401090141986597,
64,20170825.0,23.0,18.1,24.3,18.1,1100.0,22.687314067180672,21.567327775129712,19.533372699013903,18.628532177215643,17.921669094669785,18.5814395481832,
65,20170823.0,21.6,16.0,21.6,16.0,1300.0,22.143657033590337,21.578218516753147,19.90912311737501,19.024727886920225,18.27198632374885,18.69981446786229,
66,20170822.0,18.8,18.8,18.8,18.8,100.0,20.471828516795167,20.652145677835428,19.70746436876137,18.994764168664194,18.322273340534675,18.703743312259842,
67,20170817.0,22.0,22.4,22.4,22.0,1400.0,21.235914258397585,21.101430451890284,20.124289028986578,19.395462279508966,18.672533022388517,18.83300828040652,
68,20170816.0,21.5,24.7,24.7,21.5,4200.0,21.36795712919879,21.234286967926852,20.374418296443565,19.67606730890777,18.941815591684847,18.93759619097881,
69,20170814.0,21.5,21.5,21.5,21.5,100.0,21.4339785645994,21.322857978617904,20.579069515272007,19.919258334386736,19.185452202000576,19.03808261486199,
70,20170811.0,18.7,18.7,18.7,18.7,100.0,20.066989282299694,20.448571985745268,20.23742051249528,19.756690556468506,19.139218658952903,19.024824473102694,
71,20170731.0,16.3,16.3,16.3,16.3,100.0,18.18349464114985,19.065714657163515,19.52152587385977,19.295798482272705,18.868816881909765,18.917968611412398,
72,20170726.0,14.2,14.2,14.2,14.2,200.0,16.191747320574926,17.44380977144234,18.553975714976175,18.616358684636346,18.42416765506122,18.732950234494258,
73,20170721.0,12.4,12.4,12.4,12.4,100.0,14.295873660287462,15.762539847628224,17.435071039525965,17.787510860018166,17.850437402198246,18.484599244906246,
74,20170718.0,10.8,10.8,10.8,10.8,100.0,12.547936830143732,14.108359898418817,16.22869448688488,16.855842745349076,17.178967173417465,18.18324241177267,
75,20170713.0,9.4,9.4,9.4,9.4,100.0,10.973968415071866,12.538906598945879,14.987113671087629,15.86173037930253,16.438113156901515,17.83880153287962,
76,20170711.0,8.199999999999998,8.199999999999998,8.199999999999998,8.199999999999998,100.0,9.586984207535933,11.092604399297251,13.753093003617153,14.840166328728861,15.653530951482324,17.460809315903955,
77,20170630.0,7.2,7.2,7.2,7.2,100.0,8.393492103767969,9.795069599531502,12.561621548414031,13.821477484898345,14.848432765626864,17.058424636848898,
78,20170417.0,9.4,9.4,9.4,9.4,100.0,8.896746051883982,9.663379733021,11.986781266884208,13.231947153578568,14.329534406995732,16.758094258933255,
79,20170414.0,8.199999999999998,8.199999999999998,8.199999999999998,8.199999999999998,100.0,8.54837302594199,9.175586488680665,11.298275581996169,12.561020866434756,13.74576922537709,16.422482719367245,
80,20170303.0,5.9,5.9,5.9,5.9,100.0,7.224186512970995,8.083724325787111,10.316770930724141,11.672884750910127,12.998553108674512,16.00983633821559,
81,20170228.0,6.9,6.9,6.9,6.9,100.0,7.0620932564854995,7.689149550524743,9.69553985241066,11.03650011745544,12.417738526895986,15.652587854363997,
82,20170227.0,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,100.0,7.581046628242749,7.826099700349827,9.405441697426905,10.64496676846138,12.006525333858274,15.356407938506585,
83,20170224.0,9.5,9.5,9.5,9.5,100.0,8.540523314121375,8.384066466899885,9.422634116076557,10.492304532666529,11.76780863539558,15.126744882094563,
84,20170223.0,11.1,11.1,11.1,11.1,100.0,9.820261657060689,9.289377644599924,9.727609731335363,10.573330594977657,11.704207812976957,14.968833318090855,
85,20170222.0,13.0,13.0,13.0,13.0,400.0,11.410130828530344,10.526251763066616,10.32258978018348,10.896886515647305,11.827616592693436,14.891624168361798,
86,20170220.0,13.0,17.399999999999995,17.399999999999995,13.0,200.0,12.205065414265169,11.350834508711076,10.80939163833194,11.17730164689433,11.93927215529406,14.817442828426044,
87,20170215.0,15.2,15.2,15.2,15.2,100.0,13.702532707132585,12.633889672474051,11.607684067726131,11.71366142730842,12.249817664313674,14.83244507044855,
88,20170214.0,13.3,13.3,13.3,13.3,100.0,13.50126635356629,12.855926448316035,11.915377873594108,11.925173237000628,12.349835029617134,14.77234918533292,
89,20170210.0,11.6,11.6,11.6,11.6,100.0,12.550633176783151,12.437284298877358,11.858036442031544,11.881816805400545,12.278422169653599,14.647943334927708,
90,20170209.0,10.1,10.1,10.1,10.1,100.0,11.325316588391571,11.658189532584904,11.538393452571263,11.64424123134714,12.07095339159135,14.469592615910937,
91,20170207.0,8.8,8.8,8.8,8.8,100.0,10.062658294195785,10.705459688389936,11.040503733921945,11.26500906716752,11.7594340209636,14.247255650581097,
92,20170206.0,7.7,7.7,7.7,7.7,100.0,8.881329147097894,9.703639792259956,10.433139418663409,10.789674524878516,11.372821257062304,13.990500527028894,
93,20161206.0,6.1,14.1,14.1,6.1,2900.0,7.490664573548946,8.502426528173306,9.645295887997332,10.164384588228048,10.870647804008753,13.681069133812079,
