,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,17.899999999999995,17.8,18.0,17.8,29910.0,,,,,,,
1,20180518.0,17.7,17.7,17.7,17.7,8000.0,17.599999999999998,,,,,,
2,20180517.0,18.0,17.899999999999995,18.0,17.899999999999995,1980.0,17.799999999999997,,,,,,
3,20180516.0,18.0,18.4,18.4,18.0,21890.0,17.899999999999995,17.759999999999998,,,,,
4,20180515.0,18.3,18.3,18.3,18.3,11000.0,18.1,17.939999999999998,,,,,
5,20180514.0,18.9,19.4,19.4,18.9,860.0,18.5,18.26,,,,,
6,20180511.0,19.35,19.0,19.35,19.0,3950.0,18.925,18.623333333333328,,,,,
7,20180510.0,19.0,19.0,19.0,19.0,6240.0,18.9625,18.74888888888889,,,,,
8,20180509.0,18.8,18.8,19.0,18.8,7020.0,18.88125,18.765925925925927,18.315,,,,
9,20180507.0,18.55,18.5,18.55,18.5,27470.0,18.715625,18.693950617283953,18.357727272727278,,,,
10,20180504.0,18.5,18.6,18.6,18.5,3620.0,18.6078125,18.629300411522635,18.383595041322316,,,,
11,20180503.0,18.5,18.5,18.5,18.5,4600.0,18.55390625,18.58620027434842,18.404759579263715,,,,
12,20180427.0,18.5,18.5,18.5,18.5,3280.0,18.526953125,18.557466849565618,18.422076019397583,18.371428571428574,,,
13,20180426.0,18.5,18.9,18.9,18.5,1050.0,18.5134765625,18.538311233043743,18.436244015870752,18.38857142857143,,,
14,20180424.0,18.65,18.6,18.65,18.5,22110.0,18.58173828125,18.575540822029165,18.475108740257888,18.423428571428573,,,
15,20180423.0,18.6,18.6,18.6,18.6,5000.0,18.590869140625,18.583693881352772,18.49781624202918,18.44697142857143,,,
16,20180419.0,18.6,18.6,18.6,18.55,3230.0,18.595434570312495,18.589129254235186,18.516395107114786,18.46737523809524,,,
17,20180418.0,18.7,19.0,19.0,18.55,2880.0,18.64771728515625,18.62608616949012,18.549777814912098,18.49839187301588,,,
18,20180416.0,19.0,19.0,19.0,19.0,30.0,18.823858642578124,18.75072411299341,18.631636394018994,18.56527295661376,18.4625,,
19,20180413.0,19.0,18.5,19.2,18.5,59040.0,18.91192932128906,18.833816075328944,18.698611595106446,18.623236562398592,18.51369047619048,,
20,20180412.0,18.5,18.5,18.5,18.5,1000.0,18.70596466064453,18.722544050219295,18.662500395996187,18.606805020745448,18.512386621315198,,
21,20180411.0,18.5,18.7,18.7,18.5,14660.0,18.602982330322266,18.6483627001462,18.63295486945142,18.59256435131272,18.511206943094695,,
22,20180410.0,18.7,19.85,19.85,18.7,40.0,18.651491165161126,18.6655751334308,18.645144893187528,18.606889104471023,18.529187234228537,,
23,20180406.0,18.95,18.9,18.95,18.9,40.0,18.800745582580568,18.7603834222872,18.70057309442616,18.652637223874887,18.569264640492484,,
24,20180405.0,18.65,18.6,18.65,18.6,2580.0,18.725372791290283,18.723588948191463,18.691377986348677,18.652285594024903,18.576953722350343,,
25,20180404.0,18.6,19.2,19.25,18.6,2000.0,18.662686395645146,18.682392632127645,18.674763807012546,18.64531418148825,18.579148605936027,,
26,20180403.0,19.3,19.5,19.5,18.6,6640.0,18.981343197822568,18.888261754751763,18.788443114828446,18.732605623956484,18.647801119656403,,
27,20180402.0,19.0,18.7,19.0,18.7,610.0,18.990671598911284,18.925507836501172,18.826908003041456,18.768258207428957,18.681343870165318,,
28,20180330.0,18.7,18.55,18.7,18.55,4060.0,18.84533579945564,18.85033855766745,18.803833820670285,18.75915711310509,18.683120644435288,,
29,20180329.0,19.3,19.0,19.3,19.0,2510.0,19.072667899727815,19.00022570511163,18.894045853275685,18.83126949802441,18.741871059250972,,
30,20180328.0,19.5,19.7,19.7,19.5,8080.0,19.286333949863906,19.166817136741088,19.004219334498288,18.920433564954493,18.81407381551279,,
31,20180327.0,19.7,19.5,19.7,19.5,1620.0,19.493166974931952,19.344544757827393,19.13072491004405,19.02437575629389,18.8984477378449,,
32,20180326.0,19.5,18.55,19.5,18.55,1610.0,19.496583487465976,19.39636317188493,19.19786583549059,19.087792322121373,18.95573842947872,,
33,20180323.0,18.55,18.55,19.0,18.55,3010.0,19.02329174373299,19.114242114589953,19.08007204721957,19.016086679171856,18.91709667429027,,
34,20180322.0,18.3,20.2,20.2,18.3,15620.0,18.661645871866497,18.842828076393307,18.93824076590692,18.920608455282274,18.858325562453103,,
35,20180321.0,19.65,19.0,19.65,19.0,110.0,19.155822935933248,19.1118853842622,19.067651535742023,19.01786066124464,18.93372312793376,,
36,20180320.0,18.4,19.75,20.0,18.4,75010.0,18.777911467966625,18.8745902561748,18.946260347425294,18.93547923974535,18.88289235384483,,
