,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,2.8,2.8,2.8,2.8,400.0,,,,,,,
1,20180517.0,2.8,2.8,2.8,2.8,100.0,2.766666666666667,,,,,,
2,20180504.0,2.8,2.8,2.8,2.8,500.0,2.7833333333333328,,,,,,
3,20180503.0,2.9,2.9,2.9,2.9,20.0,2.8416666666666672,2.8,,,,,
4,20180427.0,2.9,2.8,2.9,2.7,5900.0,2.8708333333333327,2.8333333333333326,,,,,
5,20180418.0,2.9,2.9,2.9,2.9,100.0,2.8854166666666674,2.855555555555556,,,,,
6,20180417.0,2.9,2.9,2.9,2.9,1000.0,2.8927083333333323,2.8703703703703702,,,,,
7,20180416.0,2.9,2.9,2.9,2.9,328.0,2.8963541666666672,2.880246913580246,,,,,
8,20180413.0,3.0,3.0,3.0,3.0,14400.0,2.948177083333333,2.920164609053497,2.86,,,,
9,20180412.0,3.3,3.5,3.5,3.3,4115.0,3.1240885416666666,3.046776406035665,2.94,,,,
10,20180328.0,3.6,3.6,3.6,3.6,410.0,3.362044270833333,3.2311842706904432,3.06,,,,
11,20180326.0,3.6,3.6,3.6,3.6,2000.0,3.481022135416666,3.354122847126962,3.158181818181818,,,,
12,20180323.0,3.5,3.5,3.5,3.5,5.0,3.4905110677083337,3.4027485647513083,3.220330578512397,3.042857142857143,,,
13,20180322.0,3.5,3.5,3.5,3.5,40.0,3.4952555338541664,3.435165709834205,3.2711795642374155,3.103809523809524,,,
14,20180319.0,3.5,3.5,3.5,3.5,12.0,3.4976277669270837,3.4567771398894704,3.3127832798306125,3.1566349206349207,,,
15,20180315.0,3.5,3.7,3.7,3.5,450.0,3.4988138834635416,3.4711847599263126,3.3468226834977735,3.202416931216932,,,
16,20180314.0,3.8,3.8,3.8,3.8,100.0,3.6494069417317703,3.580789839950876,3.4292185592254514,3.282094673721341,,,
17,20180312.0,3.7,3.8,3.8,3.7,1200.0,3.674703470865885,3.6205265599672503,3.478451548457188,3.337815383891829,,,
18,20180302.0,3.8,3.8,3.8,3.8,100.0,3.7373517354329424,3.6803510399781674,3.5369149032831535,3.3994399993729174,3.22,,
19,20180301.0,3.5,3.8,3.8,3.5,800.0,3.6186758677164703,3.620234026652111,3.530203102686217,3.4128479994565284,3.2466666666666675,,
20,20180228.0,3.8,3.7,3.8,3.7,400.0,3.7093379338582366,3.6801560177680734,3.5792570840159947,3.4644682661956585,3.29936507936508,,
21,20180223.0,4.0,3.5,4.0,3.5,500.0,3.854668966929117,3.7867706785120503,3.655755796013087,3.5358724973695703,3.3660922146636434,,
22,20180222.0,3.8,3.8,3.8,3.5,2105.0,3.82733448346456,3.7911804523413664,3.6819820149197984,3.5710894977202945,3.4074167656480583,,
23,20180221.0,3.5,3.7,3.7,3.5,500.0,3.6636672417322793,3.694120301560911,3.6488943758434713,3.561610898024256,3.4162342165387205,,
24,20180212.0,3.8,3.5,3.8,3.5,200.0,3.73183362086614,3.72941353437394,3.6763681256901126,3.5933961116210207,3.452783338773127,,
25,20180209.0,3.5,3.8,3.8,3.5,200.0,3.6159168104330695,3.6529423562492935,3.6443011937464567,3.580943296738218,3.457280163651877,,
26,20180207.0,3.8,3.8,3.8,3.8,100.0,3.707958405216535,3.7019615708328626,3.6726100676107367,3.6101508571731222,3.489920148065984,,
27,20180206.0,3.5,3.7,3.7,3.5,1100.0,3.6039792026082673,3.634641047221908,3.6412264189542394,3.5954640762167065,3.4908801339644615,,
