,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20171204.0,1.5,1.5,1.5,1.5,10.0,,,,,,,
1,20171116.0,2.5,2.5,2.5,2.5,120.0,1.8333333333333328,,,,,,
2,20171017.0,2.2,2.2,2.2,2.2,100.0,2.0166666666666666,,,,,,
3,20170810.0,1.6,1.6,1.6,1.6,100.0,1.808333333333333,1.86,,,,,
4,20170612.0,1.2,1.2,1.2,1.2,100.0,1.5041666666666664,1.64,,,,,
5,20170403.0,0.9,0.9,0.9,0.9,100.0,1.2020833333333332,1.3933333333333335,,,,,
6,20150928.0,0.7,0.7,0.7,0.7,5000.0,0.9510416666666665,1.1622222222222225,,,,,
7,20150424.0,1.5,1.5,1.5,1.5,100.0,1.2255208333333332,1.2748148148148148,,,,,
8,20141124.0,2.1,2.1,2.1,2.1,100.0,1.662760416666667,1.5498765432098764,1.5699999999999998,,,,
9,20140106.0,3.7,3.7,3.7,3.7,100.0,2.6813802083333327,2.266584362139917,1.9572727272727273,,,,
10,20130312.0,4.0,4.0,4.0,4.0,100.0,3.340690104166667,2.844389574759945,2.328677685950413,,,,
11,20120528.0,4.9,4.9,4.9,4.9,100.0,4.120345052083334,3.5295930498399635,2.796190833959429,,,,
12,20120416.0,3.5,3.5,3.5,3.5,300.0,3.8101725260416663,3.519728699893309,2.924156136875897,2.271428571428572,,,
13,20120215.0,5.0,5.0,5.0,5.0,800.0,4.4050862630208325,4.013152466595538,3.301582293807552,2.635238095238095,,,
14,20120106.0,5.0,5.0,5.0,5.0,800.0,4.702543131510416,4.342101644397026,3.61038551311527,2.9505396825396817,,,
15,20110811.0,6.0,6.0,6.0,6.0,490.0,5.351271565755209,4.894734429598016,4.044860874367039,3.3571343915343914,,,
16,20110810.0,6.0,6.0,6.0,6.0,100.0,5.675635782877604,5.2631562863986785,4.400340715391214,3.709516472663138,,,
17,20110608.0,10.0,10.0,10.0,10.0,200.0,7.837817891438801,6.842104190932451,5.418460585320084,4.548247609641387,,,
18,20110524.0,10.0,10.0,10.0,10.0,3460.0,8.9189089457194,7.894736127288301,6.251467751625523,5.275147928355869,3.69,,
19,20110523.0,10.0,10.0,10.0,10.0,100.0,9.459454472859699,8.596490751525534,6.933019069511793,5.905128204575088,4.290952380952381,,
20,20110314.0,10.0,10.0,10.0,10.0,2950.0,9.729727236429849,9.064327167683688,7.490651965964194,6.451111110631742,4.834671201814057,,
21,20110310.0,10.0,10.0,10.0,10.0,1415.0,9.864863618214926,9.376218111789129,7.946897063061613,6.924296295880843,5.326607277831768,,
22,20110221.0,10.0,10.0,10.0,10.0,1000.0,9.932431809107465,9.584145407859417,8.320188506141319,7.334390123096731,5.771692298990647,,
23,20101019.0,10.0,10.0,10.0,10.0,5000.0,9.96621590455373,9.722763605239614,8.625608777751987,7.689804773350501,6.174388270515347,,
24,20100920.0,10.0,10.0,10.0,10.0,6470.0,9.983107952276866,9.81517573682641,8.875498090887989,7.997830803570434,6.538732244751981,,
25,20100917.0,10.0,10.0,10.0,10.0,1000.0,9.991553976138432,9.876783824550941,9.079952983453811,8.26478669642771,6.86837679287084,,
26,20100409.0,10.0,10.0,10.0,10.0,390.0,9.995776988069217,9.91785588303396,9.24723425918948,8.496148470237348,7.166626622121237,,
