,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,2.0,2.0,2.0,1.9,2200.0,,,,,,,
1,20180518.0,1.9,1.9,1.9,1.9,11200.0,1.933333333333333,,,,,,
2,20180517.0,2.0,2.0,2.0,2.0,100.0,1.9666666666666672,,,,,,
3,20180516.0,2.0,2.0,2.0,1.9,4900.0,1.9833333333333327,1.96,,,,,
4,20180515.0,1.9,1.9,1.9,1.9,110.0,1.9416666666666664,1.94,,,,,
5,20180514.0,2.0,2.0,2.1,2.0,102800.0,1.9708333333333328,1.96,,,,,
6,20180511.0,2.0,2.0,2.0,2.0,20700.0,1.9854166666666664,1.9733333333333327,,,,,
7,20180510.0,2.0,2.0,2.1,2.0,126600.0,1.9927083333333329,1.9822222222222223,,,,,
8,20180509.0,2.0,2.0,2.0,1.9,12400.0,1.9963541666666664,1.9881481481481476,1.97,,,,
9,20180507.0,2.0,1.9,2.0,1.9,500.0,1.9981770833333328,1.9920987654320987,1.9754545454545456,,,,
10,20180504.0,1.9,2.0,2.1,1.9,5500.0,1.9490885416666663,1.9613991769547323,1.9617355371900824,,,,
11,20180503.0,2.0,1.9,2.0,1.9,12800.0,1.9745442708333332,1.9742661179698215,1.9686927122464313,,,,
12,20180502.0,2.0,2.0,2.0,2.0,1600.0,1.987272135416666,1.982844078646548,1.974384946383444,1.9714285714285715,,,
13,20180427.0,2.0,2.0,2.0,1.9,7800.0,1.9936360677083331,1.9885627190976984,1.9790422288591811,1.9752380952380952,,,
14,20180426.0,2.0,2.1,2.1,1.9,40700.0,1.9968180338541668,1.992375146065132,1.9828527327029664,1.9785396825396824,,,
15,20180424.0,2.0,2.0,2.1,1.9,49400.0,1.9984090169270836,1.994916764043421,1.9859704176660635,1.9814010582010575,,,
16,20180423.0,2.1,1.9,2.1,1.9,44500.0,2.0492045084635415,2.0299445093622808,2.0067030689995065,1.9972142504409167,,,
17,20180420.0,2.0,2.0,2.0,2.0,28300.0,2.024602254231771,2.019963006241521,2.005484329181414,1.9975856837154613,,,
18,20180419.0,2.0,2.1,2.1,1.9,40800.0,2.0123011271158857,2.0133086708276804,2.0044871784211566,1.9979075925534,1.985,,
19,20180418.0,2.0,2.1,2.1,2.0,9300.0,2.006150563557943,2.0088724472184527,2.0036713277991285,1.9981865802129464,1.9864285714285717,,
20,20180417.0,2.1,2.1,2.1,1.9,116900.0,2.0530752817789715,2.039248298145636,2.0211856318356505,2.01176170285122,1.997244897959184,,
21,20180416.0,2.1,2.1,2.1,2.0,68900.0,2.076537640889485,2.059498865430424,2.0355155169564414,2.0235268091377243,2.007031098153547,,
22,20180413.0,2.1,2.1,2.1,2.0,97400.0,2.0882688204447426,2.0729992436202824,2.047239968418906,2.033723234586028,2.0158852792817807,,
23,20180412.0,2.1,2.1,2.1,2.0,35600.0,2.094134410222371,2.081999495746855,2.0568327014336507,2.042560136641224,2.023896205064468,,
24,20180411.0,2.0,2.1,2.1,2.0,112100.0,2.0470672051111856,2.054666330497904,2.0464994829911682,2.0368854517557278,2.0216203760107088,,
25,20180410.0,2.1,2.0,2.1,2.0,60700.0,2.073533602555593,2.069777553665269,2.0562268497200478,2.0453007248549637,2.0290851021049274,,
26,20180409.0,2.1,2.1,2.1,2.0,115600.0,2.0867668012777965,2.079851702443513,2.064185604316403,2.0525939615409685,2.0358389019044583,,
27,20180406.0,2.1,2.1,2.1,2.0,47300.0,2.0933834006388987,2.0865678016290086,2.0706973126225106,2.0589147666688388,2.041949482675462,,
28,20180405.0,2.1,2.2,2.2,2.1,22600.0,2.0966917003194494,2.0910452010860054,2.076025073963873,2.064392797779661,2.0474781033730367,,
29,20180404.0,2.1,2.2,2.2,2.1,31100.0,2.098345850159725,2.094030134057337,2.080384151424987,2.069140424742373,2.05248018876608,,
30,20180403.0,2.2,2.1,2.3,2.1,95500.0,2.1491729250798626,2.129353422704891,2.102132487529534,2.0865883681100565,2.066529694597883,,
31,20180402.0,2.2,2.2,2.2,2.1,48520.0,2.174586462539932,2.152902281803261,2.119926580705983,2.101709919028716,2.079241152255227,,
32,20180330.0,2.1,2.2,2.2,2.1,11600.0,2.137293231269965,2.135268187868841,2.116303566032168,2.101481929824887,2.081218185373777,,
33,20180329.0,2.2,2.2,2.2,2.1,18620.0,2.168646615634983,2.156845458579227,2.1315210994808647,2.1146176725149015,2.092530739147703,,
34,20180328.0,2.3,2.2,2.3,2.2,5420.0,2.2343233078174918,2.204563639052818,2.16215362684798,2.1393353161795816,2.112289716371732,,
35,20180327.0,2.2,2.2,2.3,2.2,13400.0,2.2171616539087458,2.2030424260352124,2.169034785602893,2.1474239406889706,2.120643076717281,,
36,20180326.0,2.1,2.3,2.3,2.1,5400.0,2.1585808269543727,2.1686949506901407,2.156483006402367,2.1411007485971076,2.118677069410873,,
37,20180323.0,2.3,2.2,2.3,2.1,64300.0,2.2292904134771865,2.212463300460094,2.1825770052383,2.1622873154508264,2.135945919943171,,
38,20180322.0,2.3,2.2,2.3,2.1,32300.0,2.2646452067385927,2.241642200306729,2.2039266406495184,2.1806490067240496,2.1515701180438214,,
39,20180321.0,2.2,2.2,2.3,2.1,30100.0,2.2323226033692967,2.227761466871153,2.2032127059859694,2.183229139160843,2.156182487753933,,
40,20180320.0,2.2,2.2,2.3,2.2,225100.0,2.2161613016846484,2.2185076445807685,2.2026285776248837,2.185465253939397,2.160355584158321,,
41,20180319.0,2.3,2.3,2.3,2.2,34200.0,2.258080650842324,2.2456717630538456,2.220332472602178,2.2007365534141443,2.173655052333719,,
42,20180316.0,2.3,2.3,2.3,2.2,4500.0,2.279040325421162,2.2637811753692305,2.2348174775836,2.213971679625592,2.185687904492412,,
43,20180315.0,2.2,2.3,2.3,2.2,201700.0,2.2395201627105807,2.242520783579487,2.2284870271138546,2.212108789008845,2.1870509612074205,,
44,20180314.0,2.3,2.4,2.4,2.2,370120.0,2.26976008135529,2.2616805223863246,2.2414893858204263,2.223827617141,2.1978080125209996,,
45,20180313.0,2.4,2.3,2.4,2.3,40900.0,2.3348800406776453,2.3077870149242163,2.2703094974894396,2.2473172681888665,2.217064392280904,,
46,20180312.0,2.3,2.4,2.4,2.3,19900.0,2.317440020338822,2.305191343282811,2.2757077706731774,2.254341632430351,2.224963021587485,,
47,20180309.0,2.3,2.3,2.4,2.3,43800.0,2.308720010169411,2.3034608955218734,2.280124539641691,2.2604294147729713,2.232109400483915,,
48,20180308.0,2.2,2.4,2.4,2.2,39600.0,2.2543600050847057,2.2689739303479164,2.26555644152502,2.252372159469908,2.2290513623425894,2.104,
49,20180307.0,2.3,2.4,2.4,2.2,143100.0,2.2771800025423525,2.2793159535652774,2.27181890670229,2.2587225382072527,2.2358083754528195,2.111686274509804,
50,20180306.0,2.4,2.4,2.4,2.3,31500.0,2.338590001271176,2.3195439690435182,2.2951245600291457,2.277559533112953,2.251445673028741,2.1229926951172624,
51,20180305.0,2.4,2.3,2.4,2.3,435000.0,2.3692950006355877,2.346362646029012,2.3141928218420285,2.2938849286978926,2.2655937041688614,2.133855726681291,
52,20180302.0,2.3,2.3,2.5,2.3,393600.0,2.3346475003177938,2.330908430686008,2.3116123087798415,2.294700271538173,2.268870494248018,2.140371188380064,
53,20180301.0,2.4,2.4,2.5,2.3,161200.0,2.3673237501588966,2.353938953790672,2.327682798092597,2.3087402353330835,2.281359018605349,2.150552710404375,
54,20180228.0,2.3,2.4,2.4,2.3,45800.0,2.333661875079448,2.335959302527115,2.3226495620757617,2.3075748706220054,2.2831343501667445,2.156413388427733,
55,20180227.0,2.3,2.4,2.4,2.3,94900.0,2.3168309375397245,2.32397286835141,2.3185314598801687,2.3065648878724048,2.284740602531816,2.16204423594037,
56,20180226.0,2.5,2.3,2.5,2.3,137600.0,2.408415468769862,2.3826485789009406,2.351525739901956,2.3323562361560843,2.3052414975287863,2.175297403158395,
57,20180223.0,2.4,2.4,2.5,2.4,93300.0,2.404207734384931,2.38843238593396,2.360339241737964,2.3413754046686064,2.3142661168117584,2.184109269701203,
58,20180222.0,2.4,2.4,2.4,2.3,3000.0,2.4021038671924657,2.392288257289306,2.3675502886946975,2.349192017379459,2.3224312485439724,2.1925755728501755,
59,20180221.0,2.4,2.3,2.4,2.3,16300.0,2.4010519335962326,2.394858838192871,2.3734502362047527,2.355966415062197,2.3298187486826416,2.200709864110953,
60,20180213.0,2.3,2.3,2.4,2.3,8600.0,2.3505259667981164,2.3632392254619137,2.360095647803888,2.348504226387238,2.3269788678557233,2.204603594930131,
61,20180212.0,2.3,2.3,2.3,2.2,223300.0,2.325262983399058,2.342159483641275,2.349169166385,2.342036996202273,2.324409451869464,2.208344630423067,
62,20180209.0,2.3,2.2,2.3,2.2,41500.0,2.3126314916995288,2.3281063224275167,2.340229317951364,2.336432063375303,2.3220847421676103,2.2119389586417704,
63,20180208.0,2.3,2.4,2.4,2.2,14900.0,2.306315745849764,2.3187375482850108,2.332914896505661,2.3315744549252626,2.3199814333897426,2.215392332812681,
64,20180207.0,2.4,2.3,2.4,2.3,55600.0,2.353157872924882,2.345825032190008,2.345112188050086,2.340697860935227,2.327602249257386,2.2226318491729686,
65,20180206.0,2.3,2.2,2.3,2.1,64100.0,2.326578936462441,2.330550021460005,2.33690997204098,2.3352714794771967,2.324973463613825,2.2256658943034404,
66,20180205.0,2.3,2.4,2.4,2.2,36800.0,2.3132894682312197,2.320366680973337,2.330199068033529,2.330568615546904,2.322595038507747,2.228580957271933,
67,20180202.0,2.4,2.4,2.4,2.3,56100.0,2.35664473411561,2.3469111206488913,2.3428901465728877,2.3398261334739834,2.3299669396022478,2.235303272673033,
68,20180201.0,2.4,2.3,2.4,2.3,127500.0,2.3783223670578053,2.364607413765928,2.3532737562869084,2.3478493156774523,2.336636754878224,2.241761967862326,
69,20180131.0,2.3,2.3,2.4,2.3,170400.0,2.339161183528903,2.3430716091772847,2.3435876187801967,2.3414694069204582,2.3331475401279174,2.2440458122598814,
70,20180130.0,2.4,2.2,2.4,2.2,325200.0,2.3695805917644512,2.3620477394515236,2.353844415365616,2.3492734859977307,2.339514441068115,2.2501616627594943,
71,20180129.0,2.2,2.3,2.4,2.2,141200.0,2.284790295882225,2.308031826301016,2.3258727034809583,2.3293703545313664,2.3262273514425806,2.2481945387297095,
72,20180126.0,2.3,2.3,2.4,2.3,49700.0,2.2923951479411127,2.305354550867344,2.321168575575329,2.325454307260518,2.3237295084480487,2.250226125446192,
73,20180125.0,2.3,2.4,2.4,2.3,108900.0,2.296197573970556,2.3035697005782287,2.317319743652542,2.322060399625782,2.321469555262521,2.2521780420953603,
74,20180124.0,2.4,2.4,2.4,2.3,133500.0,2.348098786985278,2.3357131337188193,2.3323525175338977,2.332452346342344,2.328948645237519,2.257974981621033,
75,20180123.0,2.3,2.3,2.4,2.2,159400.0,2.324049393492639,2.3238087558125455,2.326470241618644,2.328125366830032,2.3261916314053743,2.259623021557463,
76,20180122.0,2.3,2.4,2.4,2.3,309700.0,2.31202469674632,2.3158725038750303,2.3216574704152535,2.3243753179193605,2.323697190319148,2.2612064324767776,
77,20180119.0,2.4,2.4,2.4,2.3,387600.0,2.35601234837316,2.343915002583353,2.3359015667033898,2.334458608863446,2.3309641245744674,2.2666493174776887,
78,20180118.0,2.4,2.3,2.4,2.3,99400.0,2.37800617418658,2.362610001722236,2.347555827302773,2.3431974610149866,2.3375389698530897,2.2718787560079754,
79,20180117.0,2.4,2.4,2.5,2.3,104500.0,2.3890030870932897,2.3750733344814905,2.3570911314295406,2.350771132879655,2.34348763939089,2.276903118517466,
80,20180116.0,2.4,2.3,2.4,2.3,81900.0,2.394501543546645,2.3833822229876604,2.3648927438968976,2.357334981829034,2.3488697689727105,2.281730447203056,
81,20180115.0,2.3,2.3,2.4,2.3,64500.0,2.3472507717733224,2.35558814865844,2.3530940631883706,2.349690317585163,2.3442155052610243,2.2824469002539165,
82,20180112.0,2.3,2.4,2.4,2.3,203700.0,2.3236253858866607,2.337058765772293,2.343440597154121,2.3430649419071408,2.340004504759974,2.283135257106704,
83,20180111.0,2.4,2.4,2.4,2.3,134700.0,2.3618126929433307,2.3580391771815292,2.3537241249442813,2.350656282986189,2.3457183614495007,2.2877181882005586,
84,20180110.0,2.4,2.4,2.5,2.3,38000.0,2.3809063464716647,2.372026118121019,2.3621379204089568,2.3572354452546977,2.350888041311453,2.292121396506419,
85,20180109.0,2.5,2.3,2.5,2.3,66300.0,2.4404531732358326,2.4146840787473463,2.3872037530618737,2.376270719220737,2.3650891802341714,2.3002734986042066,
86,20180108.0,2.3,2.5,2.5,2.3,129800.0,2.370226586617916,2.3764560524982308,2.371348525232442,2.3661012899913056,2.358890210688059,2.300262773168748,
87,20180105.0,2.4,2.4,2.4,2.2,67200.0,2.3851132933089585,2.3843040349988205,2.3765578842810884,2.3706211179924646,2.362805428717768,2.304174036966052,
88,20180104.0,2.4,2.5,2.6,2.4,30700.0,2.392556646654479,2.389536023332547,2.3808200871390723,2.374538302260136,2.3663477688398853,2.3079319178693436,
89,20180103.0,2.5,2.5,2.5,2.5,22300.0,2.44627832332724,2.426357348888365,2.4024891622046964,2.3912665286254517,2.379076552759896,2.3154639995215263,
90,20180102.0,2.6,2.6,2.6,2.5,5900.0,2.52313916166362,2.484238232592243,2.438400223622024,2.419097658142058,2.4001168810684774,2.3266222740500937,
91,20171229.0,2.6,2.5,2.6,2.4,35540.0,2.5615695808318097,2.5228254883948287,2.467782001145293,2.443217970389784,2.4191533685857647,2.337342969185384,
92,20171228.0,2.6,2.5,2.6,2.5,7300.0,2.5807847904159047,2.548550325596552,2.4918216373006943,2.4641222410044796,2.436376857291884,2.3476432449036038,
93,20171227.0,2.6,2.5,2.6,2.5,27500.0,2.590392395207952,2.565700217064368,2.5114904305187493,2.4822392755372156,2.4519600137402753,2.357539588240717,
94,20171226.0,2.7,2.6,2.7,2.6,24700.0,2.645196197603976,2.610466811376245,2.545764897697159,2.51127403879892,2.4755828695745348,2.370969408309709,
95,20171225.0,2.7,2.6,2.7,2.5,30200.0,2.6725980988019877,2.640311207584164,2.5738076435704027,2.536437500292397,2.496955929615056,2.383872568768152,
96,20171222.0,2.7,2.6,2.7,2.6,14600.0,2.686299049400995,2.660207471722776,2.596751708375784,2.5582458335867444,2.516293460127907,2.396269722934106,
97,20171221.0,2.7,2.6,2.7,2.6,36300.0,2.693149524700497,2.673471647815184,2.6155241250347325,2.5771463891085116,2.533789321068107,2.4081807141915927,
98,20171220.0,2.7,2.5,2.7,2.5,48700.0,2.6965747623502487,2.6823144318767893,2.6308833750284175,2.593526870560711,2.5496189095378115,2.4196246077527066,
99,20171219.0,2.6,2.7,2.8,2.5,32600.0,2.648287381175124,2.654876287917859,2.625268215932341,2.594389954485949,2.554417108629448,2.4266981525467175,
100,20171218.0,2.7,2.6,2.7,2.6,10103.0,2.674143690587562,2.6699175252785725,2.6388558130355517,2.6084712938878223,2.5682821459028338,2.4374158720546895,
101,20171215.0,2.6,2.5,2.6,2.5,4107.0,2.637071845293781,2.646611683519048,2.6317911197563606,2.6073417880361123,2.571302893912088,2.443791720209408,
102,20171214.0,2.6,2.6,2.6,2.6,5300.0,2.6185359226468914,2.6310744556793657,2.6260109161642955,2.606362882964631,2.574035951634745,2.449917535103157,
103,20171213.0,2.7,2.5,2.7,2.5,8350.0,2.659267961323445,2.654049637119577,2.6394634768616965,2.61884783190268,2.586032527669532,2.459724690589307,
