,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180511.0,2.1,2.1,2.1,2.1,466.0,,,,,,,
1,20180504.0,2.4,2.4,2.4,2.4,50.0,2.1,,,,,,
2,20180420.0,2.4,2.4,2.4,2.4,200.0,2.25,,,,,,
3,20180413.0,2.4,3.2,3.2,2.4,200.0,2.325,2.22,,,,,
4,20180406.0,2.8,2.8,2.8,2.8,30.0,2.5625,2.4133333333333327,,,,,
5,20180330.0,2.8,2.8,2.8,2.8,126.0,2.68125,2.5422222222222226,,,,,
6,20180323.0,2.5,2.5,2.5,2.5,325.0,2.590625,2.528148148148148,,,,,
7,20180316.0,2.9,2.9,2.9,2.9,10.0,2.7453125,2.6520987654320987,,,,,
8,20180309.0,2.9,2.9,2.9,2.9,132.0,2.82265625,2.7347325102880657,2.5,,,,
9,20180302.0,2.6,2.6,2.6,2.6,100.0,2.711328125,2.6898216735253766,2.518181818181818,,,,
10,20180209.0,2.4,2.4,2.4,2.4,100.0,2.5556640624999996,2.593214449016918,2.4966942148760323,,,,
11,20180202.0,2.3,2.2,2.3,2.2,1366.0,2.42783203125,2.495476299344612,2.4609316303531186,,,,
12,20180126.0,2.0,2.0,2.0,2.0,20.0,2.213916015625,2.330317532896408,2.377125879379824,2.45,,,
13,20180112.0,1.9,2.0,2.0,1.9,2225.0,2.0569580078125,2.186878355264272,2.290375719492584,2.376666666666666,,,
14,20180105.0,1.7,1.8,1.8,1.7,560.0,1.87847900390625,2.024585570176181,2.183034679584841,2.286444444444444,,,
15,20171229.0,1.9,1.9,1.9,1.9,76.0,1.8892395019531247,1.9830570467841209,2.1315738287512334,2.2349185185185183,,,
16,20171215.0,1.9,1.9,1.9,1.9,1000.0,1.8946197509765628,1.9553713645227473,2.0894694962510085,2.1902627160493826,,,
17,20171208.0,1.8,1.8,1.8,1.8,200.0,1.8473098754882813,1.9035809096818317,2.0368386787508257,2.1382276872427983,,,
18,20171201.0,1.8,1.8,1.8,1.8,50.0,1.8236549377441404,1.8690539397878876,1.9937771007961296,2.093130662277092,2.265,,
19,20171124.0,1.8,1.8,1.8,1.8,700.0,1.81182746887207,1.846035959858592,1.958544900651379,2.0540465739734795,2.2207142857142856,,
20,20171110.0,1.8,2.1,2.1,1.8,23600.0,1.8059137344360348,1.830690639905728,1.9297185550784004,2.0201736974436817,2.1806462585034008,,
21,20171027.0,2.1,2.1,2.1,2.1,50.0,1.952956867218017,1.9204604266038183,1.9606788177914192,2.030817204451192,2.1729656624554576,,
22,20171020.0,2.1,2.1,2.1,2.1,4350.0,2.0264784336090087,1.9803069510692124,1.9860099418293429,2.0400415771910327,2.166016551745414,,
23,20171013.0,2.0,2.0,2.1,2.0,3095.0,2.0132392168045046,1.986871300712808,1.9885535887694623,2.0347027002322284,2.150205451579185,,
24,20171006.0,2.2,2.0,2.2,2.0,3866.0,2.1066196084022524,2.057914200475205,2.0269983908113787,2.056742340201265,2.1549477895240243,,
25,20170929.0,2.1,2.1,2.1,2.1,90.0,2.1033098042011265,2.071942800316804,2.040271410663855,2.062510028174429,2.1497146667122125,,
26,20170922.0,2.1,2.1,2.1,2.1,95.0,2.101654902100563,2.081295200211202,2.0511311541795174,2.0675086910845057,2.144979936549145,,
27,20170915.0,2.1,2.1,2.1,2.1,700.0,2.1008274510502813,2.087530133474135,2.0600163988741507,2.071840865606572,2.1406961330682734,,
28,20170908.0,2.1,2.1,2.1,2.1,400.0,2.100413725525141,2.091686755649423,2.0672861445333965,2.075595416859029,2.1368203108712955,,
29,20170901.0,2.0,2.0,2.0,2.0,357.0,2.0502068627625705,2.0611245037662815,2.055052300072779,2.065516027944492,2.1237898050740287,,
30,20170825.0,1.9,2.1,2.1,1.9,23100.0,1.9751034313812847,2.007416335844188,2.026860972786819,2.0434472242185597,2.102476490305074,,
31,20170818.0,2.1,2.1,2.1,2.1,3200.0,2.0375517156906424,2.038277557229459,2.0401589777346705,2.0509875943227516,2.102240634085543,,
32,20170811.0,2.2,2.2,2.3,2.2,25700.0,2.118775857845321,2.0921850381529725,2.0692209817829124,2.070855915079718,2.11155104988692,,
33,20170804.0,2.3,2.2,2.3,2.2,6520.0,2.2093879289226606,2.1614566921019818,2.111180803276928,2.1014084597357563,2.129498568945309,,
34,20170728.0,2.2,2.2,2.2,2.1,23610.0,2.20469396446133,2.1743044614013214,2.1273297481356686,2.114553998437655,2.1362129909505176,,
35,20170721.0,2.2,2.0,2.3,2.0,54466.0,2.2023469822306647,2.1828696409342143,2.1405425212019105,2.125946798645968,2.1422879441933254,,
36,20170714.0,2.4,2.2,2.4,2.2,17376.0,2.3011734911153328,2.2552464272894768,2.1877166082561086,2.1624872254931717,2.166831949508247,,
37,20170707.0,2.5,2.5,2.5,2.5,2100.0,2.400586745557667,2.3368309515263177,2.244495406754998,2.2074889287607493,2.1985622400312708,,
38,20170630.0,2.9,2.9,2.9,2.9,105.0,2.6502933727788327,2.5245539676842115,2.363678060072271,2.2998237382593154,2.265365836218769,,
39,20170623.0,3.4,3.4,3.4,3.4,100.0,3.0251466863894168,2.8163693117894746,2.5521002309682217,2.446513906491407,2.3734262327693623,,
40,20170602.0,3.9,3.9,3.9,3.9,11600.0,3.462573343194708,3.177579541192983,2.7971729162467267,2.6403120522925527,2.518814210600852,,
41,20170525.0,2.8,2.7,2.8,2.7,16900.0,3.1312866715973535,3.0517196941286553,2.797686931474595,2.6616037786535456,2.5455938095912467,,
42,20170523.0,2.6,2.4,2.6,2.4,38273.0,2.865643335798677,2.9011464627524366,2.761743853024668,2.65338994149974,2.5507753515349374,,
43,20170522.0,2.4,2.3,2.5,2.3,79800.0,2.6328216678993384,2.7340976418349574,2.695972243383819,2.619604615966441,2.5364157942458956,,
44,20170519.0,2.4,2.4,2.4,2.4,300.0,2.516410833949669,2.622731761223305,2.6421591082231246,2.590324000504249,2.5234238138415246,,
45,20170518.0,2.5,2.5,2.5,2.5,4000.0,2.508205416974835,2.58182117414887,2.6163119976371023,2.578280800437016,2.521192974428045,,
46,20170517.0,2.5,2.5,2.5,2.5,74500.0,2.504102708487417,2.55454744943258,2.5951643617030835,2.5678433603787467,2.519174595911089,,
47,20170516.0,2.7,2.5,2.7,2.3,7959.0,2.6020513542437085,2.6030316329550534,2.6142253868479775,2.5854642456615804,2.536396062967176,,
48,20170515.0,2.5,2.5,2.5,2.3,18310.0,2.5510256771218542,2.568687755303369,2.5934571346938,2.574069012906703,2.532929771256016,2.3220000000000005,
49,20170512.0,2.3,2.1,2.5,2.1,10050.0,2.425512838560927,2.4791251702022454,2.5401012920222,2.5375264778524764,2.510745983517348,2.3211372549019607,
50,20170511.0,2.3,2.0,2.3,2.0,25375.0,2.362756419280464,2.4194167801348305,2.496446511654527,2.505856280805479,2.490674937468077,2.3203083429450206,
51,20170510.0,2.1,2.1,2.1,2.1,1000.0,2.231378209640232,2.312944520089887,2.42436532771734,2.451742110031415,2.453467800566355,2.3116688000844325,
52,20170509.0,2.3,2.3,2.3,2.3,2346.0,2.265689104820116,2.3086296800599246,2.4017534499505513,2.4315098286938928,2.438851819560035,2.311211200081121,
53,20170508.0,2.1,2.1,2.1,2.1,12588.0,2.1828445524100575,2.2390864533732833,2.3468891863231782,2.387308518201374,2.4065802176971745,2.302928407921077,
54,20170505.0,2.2,2.2,2.2,2.2,7.0,2.191422276205029,2.2260576355821886,2.320182061537146,2.3623340491078575,2.386905911249825,2.298891999767309,
55,20170504.0,2.2,2.2,2.3,2.1,33100.0,2.195711138102515,2.2173717570547926,2.2983307776213007,2.3406895092268094,2.369105348273651,2.295013882129376,
56,20170503.0,2.3,2.3,2.3,2.3,70400.0,2.2478555690512567,2.244914504703195,2.298634272599246,2.3352642413299014,2.362523886533303,2.2952094161635177,
57,20170427.0,2.5,2.5,2.5,2.5,2000.0,2.3739277845256286,2.3299430031354627,2.335246223035747,2.3572290091525816,2.3756168497206076,2.303240419451223,
58,20170426.0,2.6,2.6,2.6,2.5,300.0,2.4869638922628146,2.4199620020903088,2.3833832733928837,2.389598474598904,2.39698667355674,2.3148780500609787,
59,20170425.0,2.6,2.6,2.6,2.6,100.0,2.543481946131407,2.4799746680602057,2.422768132775995,2.4176520113190496,2.416321276075146,2.326059302999764,
60,20170421.0,2.4,2.4,2.4,2.4,3400.0,2.4717409730657027,2.4533164453734706,2.4186284722712688,2.415298409809844,2.4147668688298936,2.3289589381762434,
61,20170420.0,2.6,2.5,2.6,2.5,400.0,2.5358704865328514,2.5022109635823138,2.451605113676493,2.439925288501864,2.432408119417523,2.3395879994242343,
62,20170419.0,2.5,2.2,2.5,2.2,400.0,2.517935243266426,2.501473975721543,2.4604041839171304,2.447935250034949,2.438845441377759,2.34587866611348,
63,20170418.0,2.3,2.3,2.3,2.3,8800.0,2.408967621633213,2.4343159838143618,2.4312397868412887,2.428210550030289,2.425622066008448,2.3440795027364807,
64,20170417.0,2.5,2.1,2.5,2.1,3800.0,2.4544838108166065,2.4562106558762418,2.4437416437792363,2.4377824766929166,2.432705678769549,2.350194032040932,
65,20170414.0,2.3,2.4,2.4,2.3,1600.0,2.377241905408303,2.404140437250827,2.417606799455738,2.419411479800528,2.4200670426962585,2.348225638627562,
66,20170413.0,2.5,2.5,2.5,2.5,11800.0,2.438620952704152,2.4360936248338847,2.4325873813728767,2.4301566158271237,2.427679705296615,2.3541775743676574,
67,20170411.0,2.7,2.7,2.7,2.7,38.0,2.569310476352076,2.524062416555924,2.4812078574868996,2.4661357337168406,2.4536149714588418,2.367739238117945,
68,20170410.0,2.7,2.5,2.7,2.5,856.0,2.634655238176038,2.582708277703949,2.520988247034736,2.4973176358879288,2.477080212272285,2.3807690719172414,
69,20170407.0,2.6,2.5,2.6,2.5,2300.0,2.6173276190880195,2.588472185135965,2.535354020301148,2.511008617769538,2.488786858722544,2.389366363214605,
70,20170405.0,2.4,2.7,2.7,2.4,200.0,2.508663809544009,2.5256481234239767,2.5107441984282115,2.4962074687335996,2.4803309674156346,2.389783368578738,
71,20170404.0,2.6,2.6,2.6,2.6,110.0,2.554331904772005,2.550432082282652,2.526972525986719,2.5100464729024528,2.491728018137956,2.3980271580462382,
