,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180514.0,7.0,7.0,7.0,7.0,100.0,,,,,,,
1,20180420.0,6.1,6.1,6.1,6.1,100.0,6.7,,,,,,
2,20180321.0,7.0,7.0,7.0,7.0,100.0,6.85,,,,,,
3,20180312.0,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,11.0,7.474999999999999,7.040000000000001,,,,,
4,20180308.0,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,40.0,7.787499999999999,7.393333333333331,,,,,
5,20180306.0,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,100.0,7.943749999999999,7.628888888888888,,,,,
6,20180305.0,8.3,8.3,8.3,8.3,100.0,8.121874999999998,7.852592592592591,,,,,
7,20180302.0,9.3,9.3,9.3,9.3,100.0,8.7109375,8.335061728395061,,,,,
8,20180301.0,9.7,9.7,9.7,9.7,110.0,9.20546875,8.790041152263374,7.87,,,,
9,20180228.0,8.0,7.9,10.3,7.9,6800.0,8.602734375,8.526694101508916,7.893636363636364,,,,
10,20180227.0,9.0,9.0,9.0,9.0,100.0,8.8013671875,8.684462734339277,8.09479338842975,,,,
11,20180226.0,10.3,7.7,10.3,7.7,1100.0,9.55068359375,9.222975156226182,8.495740045078886,,,,
12,20180223.0,9.0,9.0,9.0,9.0,100.0,9.275341796875,9.148650104150793,8.587423673246363,8.214285714285714,,,
13,20180222.0,9.7,9.2,10.5,9.2,761.0,9.4876708984375,9.332433402767192,8.789710278110661,8.41238095238095,,,
14,20180221.0,10.5,9.0,10.5,9.0,1800.0,9.99383544921875,9.72162226851146,9.100672045726904,8.690730158730158,,,
15,20180213.0,8.699999999999998,10.4,10.4,8.699999999999998,800.0,9.346917724609375,9.381081512340977,9.027822582867465,8.691966137566137,,,
16,20180212.0,9.5,9.5,9.5,7.9,600.0,9.423458862304688,9.420721008227316,9.11367302234611,8.799703985890654,,,
17,20180209.0,9.0,7.1,9.0,7.1,700.0,9.211729431152344,9.280480672151544,9.093005200101363,8.82641012110523,,,
18,20180208.0,7.9,7.9,7.9,7.9,100.0,8.555864715576172,8.820320448101027,8.876095163719297,8.702888771624535,8.514999999999999,,
19,20180131.0,7.7,7.7,7.7,7.7,100.0,8.127932357788087,8.446880298734019,8.662259679406697,8.569170268741262,8.437380952380952,,
20,20180126.0,7.3,7.3,7.3,7.3,100.0,7.713966178894043,8.064586865822678,8.414576101332752,8.399947566242428,8.3290589569161,,
21,20180123.0,8.5,8.5,8.5,8.5,61.0,8.10698308944702,8.209724577215118,8.430107719272252,8.413287890743439,8.345339056257425,,
22,20180122.0,8.5,8.5,8.5,8.5,100.0,8.303491544723508,8.306483051476746,8.442815406677298,8.424849505310977,8.360068669947193,,
23,20180115.0,9.7,9.7,9.7,9.7,100.0,9.001745772361753,8.770988700984498,8.671394423645062,8.594869571269516,8.48768117757127,,
24,20171225.0,10.1,10.1,10.1,10.1,100.0,9.550872886180876,9.213992467323001,8.931140892073232,8.79555362843358,8.64123535113591,,
25,20171215.0,10.5,10.5,10.5,10.5,100.0,10.025436443090438,9.642661644882,9.216388002605372,9.022813144642436,8.818260555789633,,
26,20171205.0,11.0,11.0,11.0,11.0,10.0,10.512718221545219,10.095107763254664,9.540681093040758,9.286438058690113,9.026045264762049,,
27,20171130.0,11.0,11.0,11.0,11.0,300.0,10.75635911077261,10.396738508836444,9.806011803396986,9.514912984198094,9.214040953832326,,
28,20171116.0,12.5,12.5,12.5,12.5,4600.0,11.628179555386303,11.09782567255763,10.295827839142989,9.912924586305015,9.526989434419727,,
29,20171113.0,12.5,12.5,12.5,12.5,3000.0,12.064089777693153,11.565217115038418,10.69658641384426,10.25786797479768,9.810133297808322,,
30,20171026.0,12.8,12.8,12.8,12.8,2200.0,12.432044888846576,11.976811410025613,11.07902524769076,10.596818911491324,10.094882507540865,,
31,20171025.0,12.8,12.8,12.8,12.8,4000.0,12.616022444423288,12.251207606683742,11.391929748110622,10.890576389959149,10.352512744917924,,
32,20171013.0,12.8,12.8,12.8,12.8,200.0,12.708011222211645,12.43413840445583,11.647942521181418,11.145166204631263,10.585606769211456,,
33,20171011.0,12.8,12.8,12.8,12.8,100.0,12.754005611105823,12.556092269637219,11.857407517330254,11.365810710680426,10.796501362619889,,
34,20171009.0,12.4,12.4,12.4,12.4,500.0,12.577002805552912,12.504061513091479,11.956060695997481,11.503702615923038,10.949215518560852,,
35,20171002.0,12.2,12.2,12.2,12.2,3600.0,12.388501402776456,12.40270767539432,12.000413296725206,11.596542267133296,11.068337850126483,,
36,20170922.0,12.9,12.9,12.9,12.9,400.0,12.644250701388227,12.56847178359621,12.163974515502446,11.770336631515523,11.242781864400152,,
37,20170918.0,12.9,12.9,12.9,12.9,100.0,12.772125350694113,12.678981189064144,12.297797330865635,11.920958413980122,11.400612163028708,,
38,20170915.0,12.9,12.9,12.9,12.9,200.0,12.836062675347057,12.75265412604276,12.4072887252537,12.051497292116105,11.543411004645023,,
39,20170914.0,12.9,12.9,12.9,12.9,200.0,12.868031337673528,12.80176941736184,12.496872593389392,12.164630986500624,11.672609956583594,,
40,20170913.0,12.9,12.9,12.9,12.9,100.0,12.884015668836765,12.834512944907894,12.570168485500412,12.262680188300541,11.789504246432772,,
41,20170912.0,12.9,12.9,12.9,12.9,500.0,12.892007834418385,12.856341963271932,12.630137851773064,12.347656163193802,11.89526574677251,,
42,20170830.0,12.9,12.9,12.9,12.9,200.0,12.896003917209194,12.87089464218129,12.679203696905237,12.421302008101295,11.990954723270365,,
43,20170829.0,12.9,12.9,12.9,12.9,200.0,12.898001958604596,12.880596428120858,12.719348479286097,12.485128407021124,12.07753046391128,,
44,20170828.0,12.9,12.9,12.9,12.9,300.0,12.899000979302295,12.887064285413906,12.752194210324992,12.540444619418308,12.155860895919732,,
45,20170824.0,12.9,12.8,12.9,12.8,400.0,12.89950048965115,12.891376190275938,12.779067990265903,12.5883853368292,12.226731286784517,,
46,20170818.0,12.8,12.8,12.8,12.8,300.0,12.849750244825577,12.860917460183959,12.782873810217554,12.616600625251971,12.281328307090755,,
47,20170817.0,12.5,12.5,12.5,12.5,700.0,12.674875122412788,12.74061164012264,12.731442208359821,12.601053875218376,12.302154182605921,,
48,20170808.0,12.0,12.0,12.0,12.0,100.0,12.337437561206395,12.49374109341509,12.59845271593076,12.520913358522593,12.273377593786309,10.433999999999997,
49,20170802.0,12.5,12.5,12.5,12.5,300.0,12.418718780603196,12.495827395610064,12.580552222125169,12.51812491071958,12.294960680092375,10.515019607843133,
50,20170731.0,12.0,12.0,12.0,12.0,100.0,12.209359390301598,12.330551597073377,12.474997272647864,12.449041589290305,12.266869186750244,10.573254133025754,
51,20170524.0,12.0,12.0,12.0,12.0,100.0,12.1046796951508,12.22036773138225,12.388634132166436,12.38916937738493,12.241453073726413,10.629204951338469,
52,20170517.0,12.0,12.0,12.0,12.0,100.0,12.052339847575402,12.1469118209215,12.317973380863446,12.337280127066936,12.218457542895324,10.682961619913431,
53,20170516.0,12.0,12.0,12.0,12.0,600.0,12.0261699237877,12.097941213947669,12.260160038888273,12.292309443458015,12.197652062619577,10.734610183838397,
54,20170508.0,13.5,13.5,13.5,13.5,1000.0,12.763084961893846,12.565294142631778,12.485585486363133,12.453334850996946,12.321685199512952,10.843056843295711,
55,20170323.0,14.7,14.7,14.7,14.7,100.0,13.731542480946922,13.276862761754519,12.888206307024381,12.752890204197353,12.548191370987908,10.994309516107647,
