,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,6.46,6.68,6.68,6.46,300.0,,,,,,,
1,20180518.0,6.68,6.68,6.68,6.68,10.0,6.396666666666665,,,,,,
2,20180517.0,6.3,6.28,6.69,6.28,16950.0,6.348333333333332,,,,,,
3,20180516.0,6.69,6.69,6.69,6.69,530.0,6.519166666666665,6.436,,,,,
4,20180515.0,7.19,7.19,7.19,7.19,1760.0,6.854583333333335,6.687333333333332,,,,,
5,20180514.0,7.73,8.38,8.4,7.73,2530.0,7.292291666666669,7.034888888888888,,,,,
6,20180511.0,8.3,7.36,8.42,7.349999999999999,1140.0,7.796145833333334,7.456592592592593,,,,,
7,20180510.0,7.9,7.9,7.9,7.9,7080.0,7.848072916666667,7.604395061728397,,,,,
8,20180509.0,7.98,7.45,7.98,7.45,1950.0,7.9140364583333325,7.72959670781893,7.127999999999999,,,,
9,20180508.0,7.98,7.599999999999999,8.13,7.1,5980.0,7.947018229166666,7.8130644718792865,7.282909090909089,,,,
10,20180507.0,7.599999999999999,7.889999999999999,7.91,7.2,11460.0,7.773509114583333,7.742042981252857,7.340561983471072,,,,
11,20180504.0,7.4,7.0,7.4,7.0,5050.0,7.586754557291667,7.628028654168574,7.351368895567242,,,,
12,20180503.0,6.92,7.34,7.82,6.91,13430.0,7.253377278645835,7.392019102779046,7.272938187282288,7.227142857142858,,,
13,20180502.0,7.309999999999999,7.24,7.309999999999999,7.24,12350.0,7.281688639322917,7.3646794018526975,7.279676698685507,7.238190476190477,,,
14,20180427.0,7.24,6.77,7.24,6.31,9380.0,7.260844319661458,7.323119601235133,7.272462753469963,7.238431746031747,,,
15,20180426.0,6.77,6.4,6.8,5.97,3490.0,7.015422159830729,7.138746400823421,7.181105889202696,7.17597417989418,,,
16,20180424.0,6.36,5.95,6.36,5.95,3300.0,6.687711079915365,6.879164267215615,7.031813909347661,7.067177622574955,,,
17,20180423.0,6.36,6.36,6.36,6.36,100.0,6.523855539957683,6.706109511477076,6.909665925829904,6.972887272898294,,,
18,20180420.0,6.36,6.3,6.36,6.0,3700.0,6.44192776997884,6.590739674318051,6.809726666588104,6.891168969845189,7.079000000000001,,
19,20180419.0,6.0,6.0,6.0,6.0,500.0,6.220963884989421,6.393826449545369,6.662503636299358,6.772346440532496,6.976238095238095,,
20,20180418.0,6.3,6.11,6.3,5.71,120.0,6.260481942494709,6.362550966363577,6.596593884244929,6.709366915128165,6.9118344671201815,,
21,20180417.0,6.11,6.0,6.11,5.63,1870.0,6.185240971247355,6.2783673109090525,6.5081222689276705,6.62945132644441,6.835469279775404,,
22,20180416.0,6.01,5.6,6.01,5.6,120.0,6.097620485623676,6.188911540606034,6.4175545836680925,6.546857816251823,6.756853157892033,,
23,20180413.0,6.01,5.3,6.03,5.3,4560.0,6.0538102428118385,6.129274360404024,6.343453750273895,6.475276774084913,6.685724285711837,,
24,20180412.0,5.67,5.31,6.09,5.31,15200.0,5.861905121405919,5.976182906936015,6.2210076138604595,6.367906537540257,6.588988639453567,,
25,20180411.0,5.7,6.02,6.02,5.7,11770.0,5.780952560702961,5.884121937957343,6.126278956794921,6.278852332534889,6.504323054743703,,
26,20180410.0,5.63,5.63,5.63,5.63,20.0,5.70547628035148,5.7994146253048955,6.036046419195845,6.192338688196904,6.42105419238716,,
27,20180409.0,6.04,6.0,6.04,6.0,550.0,5.8727381401757395,5.879609750203263,6.036765252069327,6.1720268631039845,6.384763316921717,,
28,20180406.0,5.65,6.04,6.04,5.65,100.0,5.76136907008787,5.803073166802176,5.966444297147633,6.102423281356786,6.314785858167268,,
29,20180405.0,6.04,6.0,6.04,6.0,1090.0,5.9006845350439345,5.8820487778681185,5.979818061302608,6.094100177175881,6.2886157764370525,,
30,20180404.0,5.65,6.0,6.0,5.63,1080.0,5.775342267521968,5.804699185245411,5.919851141065768,6.034886820219096,6.22779522630019,,
31,20180403.0,6.0,5.62,6.0,5.62,230.0,5.887671133760984,5.869799456830274,5.934423660871992,6.030235244189885,6.206100442843029,,
32,20180402.0,5.62,5.99,5.99,5.62,920.0,5.7538355668804915,5.786532971220184,5.877255722531631,5.975537211631233,6.150281353048455,,
33,20180330.0,5.6,5.65,5.99,5.6,1810.0,5.676917783440246,5.7243553141467896,5.826845591162243,5.925465583413735,6.097873605139078,,
34,20180329.0,5.65,5.65,5.65,5.65,20.0,5.663458891720122,5.699570209431193,5.794691847314563,5.888736838958571,6.055218976078213,,
35,20180328.0,5.69,6.05,6.06,5.69,290.0,5.676729445860061,5.6963801396207945,5.77565696598464,5.862238593764095,6.020436216451717,,
36,20180327.0,5.68,5.68,5.68,5.68,100.0,5.678364722930032,5.690920093080529,5.758264790351071,5.837940114595548,5.988013719646792,,
37,20180326.0,5.68,5.68,5.68,5.68,220.0,5.679182361465015,5.687280062053687,5.744034828469058,5.816881432649476,5.95867907968043,,
38,20180323.0,5.68,6.0,6.07,5.68,3290.0,5.6795911807325075,5.684853374702458,5.732392132383776,5.798630574962878,5.932138214948962,,
39,20180322.0,5.68,6.0,6.07,5.68,1700.0,5.679795590366254,5.683235583134972,5.722866290132179,5.782813164967829,5.9081250516204875,,
40,20180321.0,5.68,6.11,6.42,5.68,1700.0,5.679897795183126,5.682157055423315,5.715072419199056,5.769104742972119,5.88639885622806,,
41,20180320.0,6.1,5.88,6.5,5.88,3130.0,5.889948897591563,5.821438036948877,5.785059252071955,5.813224110575836,5.906741822301579,,
42,20180319.0,6.3,6.3,6.3,6.3,10150.0,6.094974448795781,5.98095869129925,5.878684842604328,5.878127562499057,5.944194982082381,,
43,20180316.0,6.3,6.3,6.42,6.3,15640.0,6.19748722439789,6.087305794199501,5.955287598494449,5.934377220832516,5.978081174265012,,
44,20180315.0,6.42,6.5,6.9,6.42,4350.0,6.308743612198945,6.198203862799667,6.039780762404549,5.999126924721513,6.020168681477867,,
45,20180314.0,6.9,6.9,6.9,6.4,93280.0,6.604371806099472,6.4321359085331125,6.196184260149176,6.119243334758646,6.103962140384738,,
46,20180313.0,6.45,7.38,7.38,6.45,4660.0,6.5271859030497374,6.438090605688741,6.24233257648569,6.163344223457493,6.136918127014763,,
47,20180312.0,6.9,6.51,6.9,6.5,6620.0,6.713592951524868,6.592060403792495,6.361908471670109,6.26156499366316,6.209592591108594,,
48,20180309.0,6.45,6.46,7.3,6.45,3880.0,6.5817964757624345,6.5447069358616625,6.377925113184635,6.286689661174738,6.232488534812537,6.4234,
49,20180308.0,6.93,6.93,6.93,6.93,300.0,6.755898237881217,6.673137957241109,6.478302365332883,6.372464373018107,6.298918198163724,6.4432666666666645,
50,20180307.0,7.44,7.44,8.0,7.44,400.0,7.097949118940609,6.928758638160739,6.653156480726905,6.5148024566156915,6.407592655481466,6.482354248366014,
51,20180306.0,8.0,8.0,8.0,8.0,100.0,7.548974559470304,7.28583909210716,6.89803712059474,6.7128287957336,6.559250497816564,6.541869768037935,
52,20180302.0,8.099999999999998,8.55,8.55,8.0,1010.0,7.824487279735152,7.557226061404773,7.11657582594115,6.897784956302453,6.705988545643559,6.602972914389388,
