,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20140106.0,12.8,12.0,12.8,12.0,17400.0,,,,,,,
1,20140103.0,12.0,12.1,12.7,11.9,9800.0,11.166666666666666,,,,,,
2,20140102.0,12.0,11.6,12.5,11.6,2655.0,11.58333333333333,,,,,,
3,20131231.0,11.5,10.8,11.5,10.7,3600.0,11.541666666666666,11.4,,,,,
4,20131230.0,11.5,11.9,11.9,11.5,3400.0,11.52083333333333,11.433333333333332,,,,,
5,20131227.0,11.9,11.7,12.2,11.7,6800.0,11.71041666666667,11.588888888888889,,,,,
6,20131226.0,11.7,11.0,11.7,11.0,35700.0,11.70520833333333,11.625925925925923,,,,,
7,20131225.0,11.5,11.5,11.5,11.5,1500.0,11.602604166666666,11.58395061728395,,,,,
8,20131224.0,11.4,12.3,12.4,11.4,44800.0,11.50130208333333,11.522633744855966,11.5,,,,
9,20131223.0,12.6,12.6,12.6,12.6,100.0,12.050651041666665,11.881755829903977,11.7,,,,
10,20131219.0,13.5,13.0,14.1,13.0,11300.0,12.77532552083333,12.42117055326932,12.027272727272726,,,,
11,20131217.0,13.5,13.5,13.5,13.5,1000.0,13.137662760416669,12.78078036884621,12.29504132231405,,,,
12,20131216.0,14.1,12.9,14.1,12.9,3100.0,13.618831380208336,13.220520245897475,12.62321562734786,12.05,,,
13,20131213.0,13.0,12.1,13.0,12.1,10900.0,13.309415690104169,13.147013497264982,12.691721876920976,12.176666666666671,,,
14,20131212.0,12.1,11.7,12.1,11.7,7300.0,12.704707845052083,12.798008998176655,12.584136081117162,12.166444444444446,,,
15,20131211.0,11.7,11.6,11.7,11.6,600.0,12.202353922526038,12.432005998784435,12.42338406636859,12.104251851851853,,,
16,20131209.0,12.0,11.5,12.0,11.5,4200.0,12.101176961263022,12.288003999189623,12.346405145210662,12.090351604938274,,,
17,20131206.0,11.4,10.9,11.4,10.9,1100.0,11.75058848063151,11.992002666126416,12.174331482445087,11.998304724279837,,,
18,20131205.0,10.9,10.9,10.9,10.9,3900.0,11.325294240315756,11.628001777417612,11.94263484927325,11.851864094375856,11.99,,
19,20131204.0,10.9,11.2,11.2,10.9,1100.0,11.112647120157876,11.385334518278409,11.753064876678115,11.724948881792406,11.886190476190476,,
20,20131203.0,10.7,10.9,10.9,10.5,1850.0,10.906323560078938,11.156889678852272,11.561598535463913,11.588289030886754,11.773219954648528,,
21,20131202.0,10.7,10.7,10.7,10.7,2000.0,10.803161780039469,11.004593119234848,11.404944256288655,11.469850493435187,11.671008530396286,,
22,20131129.0,10.5,10.4,10.8,10.4,11300.0,10.651580890019732,10.836395412823231,11.240408936963442,11.340537094310497,11.55948390845378,,
23,20131128.0,10.1,10.5,10.5,10.1,8000.0,10.375790445009864,10.59093027521549,11.033061857515545,11.17513214840243,11.420485440981992,,
24,20131127.0,10.9,10.9,10.9,10.9,110.0,10.637895222504932,10.693953516810323,11.008868792512718,11.138447861948771,11.370915398983708,,
25,20131126.0,10.6,10.5,10.9,10.5,6100.0,10.618947611252464,10.66263567787355,10.93452901205586,11.066654813688936,11.297494884794784,,
26,20131125.0,10.5,10.6,10.7,10.5,14000.0,10.559473805626233,10.608423785249032,10.855523737136611,10.991100838530409,11.221542991004803,,
27,20131122.0,10.6,10.5,10.6,10.5,8400.0,10.579736902813117,10.605615856832689,10.809064875839047,10.938954060059688,11.162348420432918,,
28,20131121.0,10.5,10.4,10.7,10.4,17700.0,10.539868451406559,10.570410571221792,10.752871262050128,10.88042685205173,11.099267618486927,,
29,20131120.0,10.6,10.2,10.6,10.2,10460.0,10.569934225703278,10.580273714147859,10.725076487131924,10.8430366051115,11.051718321488172,,
30,20131119.0,10.5,10.3,10.5,10.0,24200.0,10.53496711285164,10.553515809431907,10.684153489471575,10.797298391096634,10.99917371944168,,
31,20131118.0,10.5,10.5,10.7,10.5,700.0,10.517483556425821,10.535677206287936,10.650671036840377,10.757658605617081,10.951633365209137,,
32,20131115.0,10.3,11.0,11.0,10.3,600.0,10.40874177821291,10.457118137525294,10.586912666505762,10.696637458201472,10.88957304471303,,
33,20131114.0,10.1,10.5,10.6,10.1,2700.0,10.254370889106454,10.338078758350193,10.498383090777443,10.61708579710794,10.814375611883218,,
34,20131113.0,9.7,10.6,10.6,9.7,8010.0,9.977185444553225,10.125385838900128,10.353222528817907,10.494807690826883,10.708244601227673,,
35,20131112.0,9.7,10.5,10.8,9.7,5500.0,9.83859272227661,9.983590559266752,10.23445479630556,10.388833332049966,10.612221305872657,,
36,20131111.0,10.7,10.4,10.7,10.3,1300.0,10.269296361138304,10.222393706177833,10.319099378795457,10.430322221109968,10.620581181503832,,
37,20131108.0,10.5,10.2,10.8,10.2,20300.0,10.384648180569153,10.314929137451887,10.351990400832648,10.43961259162864,10.609097259455847,,
38,20131107.0,10.4,9.8,10.7,9.8,11900.0,10.392324090284577,10.343286091634592,10.360719418863075,10.43433091274482,10.589183234745766,,
