,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180518.0,15.8,15.8,15.8,15.8,500.0,,,,,,,
1,20180516.0,13.0,14.4,14.4,13.0,400.0,14.1,,,,,,
2,20180515.0,13.8,13.8,13.8,13.8,200.0,13.95,,,,,,
3,20180514.0,13.2,13.2,13.2,13.2,400.0,13.575,13.86,,,,,
4,20180508.0,11.7,11.7,11.7,11.7,3600.0,12.6375,13.139999999999997,,,,,
5,20180507.0,10.2,10.2,10.2,10.2,200.0,11.41875,12.159999999999997,,,,,
6,20180504.0,11.5,11.5,11.5,11.5,240.0,11.459375,11.94,,,,,
7,20180503.0,10.0,10.0,10.0,10.0,700.0,10.7296875,11.293333333333331,,,,,
8,20180427.0,11.3,11.3,11.3,11.3,900.0,11.01484375,11.295555555555556,12.4,,,,
9,20180426.0,11.2,11.1,11.2,11.1,2300.0,11.107421875,11.263703703703703,12.18181818181818,,,,
10,20180424.0,12.5,11.0,12.5,9.5,5700.0,11.803710937500002,11.6758024691358,12.239669421487603,,,,
11,20180423.0,10.9,10.9,10.9,10.9,1000.0,11.35185546875,11.417201646090534,11.996093163035312,,,,
12,20180420.0,10.8,10.8,10.8,10.8,3000.0,11.075927734375,11.211467764060355,11.778621678847074,12.1,,,
13,20180419.0,9.3,9.4,9.4,9.3,2100.0,10.1879638671875,10.574311842706905,11.32796319178397,11.726666666666665,,,
14,20180418.0,9.2,9.1,9.2,9.1,3400.0,9.693981933593752,10.116207895137936,10.941060793277794,11.389777777777775,,,
15,20180417.0,10.5,10.5,10.5,10.5,1500.0,10.096990966796877,10.244138596758624,10.860867921772739,11.271140740740739,,,
16,20180416.0,13.4,10.1,13.4,10.1,3100.0,11.748495483398436,11.296092397839082,11.322528299632241,11.554988641975308,,,
17,20180413.0,11.6,12.4,12.4,11.6,1100.0,11.674247741699217,11.39739493189272,11.372977699699106,11.560990156378601,,,
18,20180412.0,12.4,12.4,12.4,12.4,400.0,12.037123870849609,11.731596621261817,11.559709027026543,11.67285813552812,11.790000000000003,,
19,20180411.0,14.5,14.5,14.5,14.5,100.0,13.268561935424803,12.654397747507875,12.094307385748989,12.04981038412437,12.04809523809524,,
20,20180409.0,15.0,13.1,15.0,13.1,300.0,14.134280967712405,13.436265165005251,12.622615133794627,12.443168999574455,12.329229024943311,,
