,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180403.0,6.5,6.5,6.5,6.5,10.0,,,,,,,
1,20180330.0,6.5,6.5,6.5,6.5,10.0,6.5,,,,,,
2,20180329.0,6.5,6.5,6.5,6.5,117.0,6.5,,,,,,
3,20180322.0,6.5,6.5,6.5,6.5,10.0,6.5,6.5,,,,,
4,20180320.0,6.5,6.5,6.5,6.5,30.0,6.5,6.5,,,,,
5,20180312.0,6.5,6.5,6.5,6.5,100.0,6.5,6.5,,,,,
6,20180308.0,6.0,6.0,6.0,6.0,100.0,6.25,6.333333333333332,,,,,
7,20180228.0,5.5,5.5,5.5,5.5,500.0,5.875,6.055555555555555,,,,,
8,20180222.0,5.5,5.5,5.5,5.5,500.0,5.6875,5.870370370370369,6.25,,,,
9,20180208.0,5.0,5.0,5.0,5.0,24.0,5.34375,5.580246913580247,6.022727272727272,,,,
10,20180201.0,5.0,5.0,5.0,5.0,4.0,5.171875,5.386831275720166,5.836776859504132,,,,
11,20180130.0,5.0,5.0,5.0,5.0,100.0,5.0859375,5.257887517146777,5.684635612321562,,,,
12,20180115.0,5.5,5.5,5.5,5.5,300.0,5.29296875,5.33859167809785,5.651065500990369,5.928571428571429,,,
13,20180111.0,5.6,5.6,5.6,5.6,100.0,5.446484375000001,5.425727785398567,5.641780864446666,5.884761904761905,,,
14,20180105.0,5.5,5.5,5.5,5.5,100.0,5.4732421875,5.450485190265712,5.616002525456363,5.833460317460316,,,
15,20180104.0,6.0,6.0,6.0,6.0,17.0,5.73662109375,5.6336567935104735,5.68582024810066,5.855665608465609,,,
16,20171229.0,6.0,6.0,6.0,6.0,100.0,5.8683105468750005,5.755771195673651,5.742943839355085,5.874910194003528,,,
17,20171228.0,6.6,6.6,6.6,6.6,100.0,6.2341552734375005,6.037180797115766,5.898772232199617,5.9715888348030575,,,
18,20171227.0,7.3,7.3,7.3,7.3,100.0,6.767077636718748,6.458120531410512,6.153540917254231,6.148710323495983,5.999999999999999,,
19,20171114.0,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,76.0,7.4335388183593745,7.005413687607008,6.507442568662553,6.408882280363184,6.199999999999999,,
20,20171106.0,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,100.0,7.766769409179687,7.370275791738004,6.796998465269361,6.634364642981426,6.380952380952381,,
21,20171031.0,8.9,8.9,8.9,8.9,100.0,8.333384704589843,7.88018386115867,7.179362380674933,6.93644935725057,6.620861678004535,,
