,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180521.0,13.9,13.9,13.9,13.9,100.0,,,,,,,
1,20180518.0,16.3,16.3,16.3,16.3,100.0,14.566666666666668,,,,,,
2,20180517.0,14.3,14.3,14.3,14.3,100.0,14.433333333333332,,,,,,
3,20180516.0,12.8,12.8,12.8,12.8,1000.0,13.61666666666667,14.16,,,,,
4,20180514.0,12.8,12.8,12.8,12.8,2000.0,13.208333333333332,13.70666666666667,,,,,
5,20180510.0,15.0,15.0,15.0,15.0,1000.0,14.10416666666667,14.137777777777776,,,,,
6,20180508.0,17.399999999999995,17.899999999999995,17.899999999999995,17.399999999999995,300.0,15.752083333333331,15.225185185185184,,,,,
7,20180504.0,15.7,15.7,15.7,15.7,100.0,15.726041666666669,15.383456790123455,,,,,
8,20180503.0,13.8,13.8,13.8,13.8,100.0,14.76302083333333,14.855637860082304,14.55,,,,
9,20180502.0,12.1,12.1,12.1,12.1,1000.0,13.431510416666665,13.937091906721536,14.104545454545455,,,,
10,20180427.0,14.2,14.2,14.2,14.2,100.0,13.815755208333332,14.024727937814353,14.121900826446282,,,,
11,20180423.0,13.0,12.2,13.0,12.0,5000.0,13.407877604166666,13.683151958542904,13.917918858001505,,,,
12,20180418.0,13.0,14.2,14.2,13.0,500.0,13.20393880208333,13.455434639028603,13.75102452018305,14.128571428571426,,,
13,20180417.0,12.5,12.5,12.5,12.5,400.0,12.851969401041668,13.136956426019069,13.523565516513402,13.911428571428573,,,
14,20180413.0,13.8,13.8,13.9,13.8,5500.0,13.325984700520836,13.357970950679377,13.573826331692784,13.896571428571427,,,
15,20180412.0,17.2,15.0,17.2,15.0,6900.0,15.262992350260417,14.638647300452918,14.233130635021368,14.337028571428572,,,
16,20180405.0,15.9,15.9,15.9,15.9,800.0,15.581496175130209,15.059098200301946,14.536197792290208,14.545424761904762,,,
17,20180402.0,14.5,14.5,14.5,14.5,500.0,15.040748087565104,14.87273213353463,14.529616375510173,14.539368126984128,,,
18,20180330.0,17.0,17.0,17.0,17.0,800.0,16.020374043782553,15.58182142235642,14.978777034508322,14.867452376719578,14.434999999999997,,
19,20180323.0,15.2,15.2,15.2,15.2,700.0,15.610187021891276,15.454547614904282,15.018999391870445,14.911792059823632,14.507857142857139,,
20,20180321.0,13.4,13.4,13.4,13.4,100.0,14.505093510945638,14.769698409936186,14.72463586607582,14.71021978518048,14.402346938775505,,
21,20180320.0,12.0,12.0,12.0,12.0,700.0,13.25254675547282,13.846465606624125,14.229247526789308,14.348857147156416,14.173551992225459,,
22,20180313.0,13.1,13.1,13.1,13.1,10.0,13.176273377736406,13.597643737749417,14.023929794645795,14.182342860868895,14.071308945346845,,
23,20180308.0,13.1,13.2,13.2,13.1,900.0,13.138136688868203,13.431762491832943,13.85594255925565,14.038030479419708,13.978803331504286,,
24,20180307.0,14.9,16.899999999999995,16.899999999999995,14.9,620.0,14.019068344434103,13.921174994555294,14.045771184845533,14.152959748830412,14.066536347551498,,
25,20180306.0,15.3,15.3,15.3,15.3,100.0,14.659534172217052,14.380783329703531,14.27381278760089,14.305898448986358,14.184009076356118,,
26,20180226.0,14.0,12.8,14.0,12.8,2000.0,14.329767086108523,14.253855553135688,14.224028644400729,14.265111989121513,14.166484402417439,,
27,20180213.0,14.2,15.0,15.0,14.2,2000.0,14.264883543054262,14.23590370209046,14.219659799964232,14.256430390571976,14.169676364091968,,
28,20180212.0,15.7,15.7,15.7,15.7,600.0,14.982441771527133,14.723935801393639,14.488812563607098,14.448906338495712,14.315421472273686,,
29,20180208.0,18.4,18.4,18.4,18.4,100.0,16.691220885763563,15.949290534262426,15.19993755204217,14.975718826696285,14.704428951104765,,
30,20180207.0,14.8,19.9,19.9,14.8,400.0,15.745610442881782,15.566193689508285,15.12722163348905,14.952289649803443,14.713530955761453,,
31,20180202.0,14.8,19.9,19.9,14.8,400.0,15.27280522144089,15.310795793005523,15.067726791036494,14.931984363162982,14.721766102831792,,
32,20180201.0,17.399999999999995,17.399999999999995,17.399999999999995,17.399999999999995,100.0,16.336402610720445,16.00719719533701,15.491776465393494,15.261053114741252,14.976835997800192,,
33,20180131.0,15.3,15.3,15.3,15.3,700.0,15.81820130536022,15.77146479689134,15.456908017140131,15.26624603277575,15.00761352181922,,
34,20180130.0,18.0,18.0,18.0,18.0,100.0,16.90910065268011,16.514309864594228,15.91928837766011,15.630746561738986,15.292602710217391,,
35,20180119.0,15.8,15.8,15.8,15.8,100.0,16.35455032634005,16.276206576396152,15.897599581721904,15.653313686840454,15.340926261625254,,
36,20180118.0,14.5,14.5,14.5,14.5,100.0,15.427275163170025,15.684137717597437,15.643490566863376,15.499538528595062,15.260838046232378,,
37,20180117.0,13.0,13.1,13.1,13.0,29000.0,14.213637581585012,14.789425145064957,15.162855918342764,15.166266724782387,15.045520137067388,,
38,20180116.0,13.0,13.0,13.0,13.0,200.0,13.606818790792504,14.19295009670997,14.769609387734988,14.877431161478068,14.850708695441924,,
39,20180115.0,13.5,13.5,13.5,13.5,800.0,13.553409395396253,13.96196673113998,14.538771317237716,14.693773673280992,14.722069772066503,,
40,20180105.0,15.4,15.4,15.4,15.4,100.0,14.476704697698125,14.441311154093318,14.695358350467226,14.787937183510195,14.786634555679216,,
41,20180104.0,18.0,18.0,18.0,18.0,100.0,16.238352348849062,15.627540769395546,15.296202286745908,15.216212225708835,15.09266935990024,,
42,20180103.0,16.5,14.5,16.5,14.5,2500.0,16.36917617442453,15.918360512930365,15.515074598246652,15.387383928947655,15.226700849433552,,
43,20180102.0,14.5,14.0,14.5,14.0,400.0,15.434588087212262,15.445573675286909,15.330515580383622,15.269066071754633,15.157491244725593,,
44,20171229.0,13.8,13.8,13.8,13.8,10000.0,14.617294043606131,14.89704911685794,15.052240020313874,15.073190595520686,15.028206364275539,,
45,20171226.0,13.1,13.1,13.1,13.1,100.0,13.858647021803064,14.29803274457196,14.697287289347715,14.810098516117923,14.844567662915965,,
46,20171225.0,13.0,13.0,13.0,13.0,200.0,13.429323510901533,13.865355163047974,14.388689600375406,14.568752047302201,14.66889455216206,,
47,20171222.0,13.0,13.0,13.0,13.0,3000.0,13.214661755450768,13.576903442031982,14.136200582125328,14.359585107661905,14.509952213860911,,
48,20171218.0,14.5,14.3,14.5,14.3,1000.0,13.857330877725383,13.884602294687987,14.202345930829816,14.378307093306985,14.509004383969396,14.597999999999997,
49,20171214.0,14.3,14.3,14.3,14.3,100.0,14.078665438862691,14.02306819645866,14.220101216133482,14.36786614753272,14.489099204543741,14.586313725490191,
50,20171213.0,12.6,12.6,12.6,12.6,800.0,13.339332719431347,13.548712130972438,13.925537358654672,14.132150661195023,14.309184994587195,14.508419069588614,
51,20171212.0,14.7,14.7,14.7,14.7,15000.0,14.01966635971567,13.932474753981625,14.066348747990185,14.20786390636902,14.34640547129318,14.515932047251807,
52,20171204.0,17.2,17.2,17.2,17.2,100.0,15.609833179857837,15.02164983598775,14.636103521082877,14.606815385519822,14.618176378789062,14.621189614026246,
53,20171201.0,15.0,15.0,15.0,15.0,30.0,15.304916589928919,15.014433223991833,14.70226651724963,14.659240000783843,14.654540533190106,14.63604492328012,
54,20171130.0,15.0,15.0,15.0,15.0,4500.0,15.152458294964461,15.009622149327887,14.756399877749695,14.704674667345996,14.687441434791046,14.65031767138678,
55,20171129.0,14.6,13.5,14.6,13.5,5000.0,14.876229147482228,14.873081432885261,14.72796353634066,14.690718045033197,14.679113679096666,14.648344429371614,
56,20171128.0,12.7,12.7,12.7,12.7,500.0,13.788114573741117,14.148720955256842,14.35924289336963,14.425288972362106,14.490626662039837,14.571938765474687,
57,20171123.0,12.7,13.0,13.0,12.7,4000.0,13.244057286870557,13.665813970171229,14.057562367302422,14.195250442713826,14.320090789464617,14.49852940212274,
58,20171121.0,14.8,14.8,14.8,14.8,100.0,14.02202864343528,14.043875980114153,14.192551027792893,14.275883717018646,14.365796428563222,14.51035177851008,
59,20171110.0,17.3,17.3,17.3,17.3,100.0,15.661014321717639,15.129250653409434,14.757541750012365,14.67909922141616,14.64524438774768,14.619749747980272,
60,20171109.0,19.0,16.5,19.0,16.5,1300.0,17.330507160858822,16.419500435606288,15.528897795464665,15.255219325227337,15.059983017485997,14.791524267667322,
61,20171108.0,16.6,16.6,16.6,16.6,100.0,16.965253580429412,16.479666957070858,15.723643650834724,15.434523415197027,15.20665130153495,14.862444884621542,
62,20171107.0,15.7,13.8,15.7,13.8,2000.0,16.332626790214704,16.219777971380573,15.719344805228413,15.469920293170755,15.253636891864957,14.895290183263837,
