,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20180516.0,10.5,10.5,10.5,10.5,1000.0,,,,,,,
1,20180514.0,10.0,10.0,10.0,10.0,200.0,10.333333333333332,,,,,,
2,20180508.0,10.5,10.5,10.5,10.5,4000.0,10.41666666666667,,,,,,
3,20180424.0,10.0,10.0,10.0,10.0,3000.0,10.208333333333332,10.3,,,,,
4,20180418.0,10.0,10.0,10.0,10.0,100.0,10.10416666666667,10.2,,,,,
5,20180413.0,10.8,10.8,10.8,10.8,200.0,10.452083333333334,10.4,,,,,
6,20180409.0,10.8,10.8,10.8,10.8,100.0,10.62604166666667,10.533333333333331,,,,,
7,20180405.0,10.2,10.2,10.2,10.2,100.0,10.413020833333334,10.422222222222222,,,,,
8,20180404.0,10.1,10.2,10.2,10.1,400.0,10.25651041666667,10.314814814814817,10.34,,,,
9,20180403.0,10.0,10.0,10.0,10.0,400.0,10.128255208333332,10.209876543209875,10.278181818181816,,,,
10,20180308.0,9.1,9.1,9.1,9.1,79.0,9.614127604166665,9.83991769547325,10.06396694214876,,,,
11,20180213.0,9.1,9.1,9.1,9.1,100.0,9.35706380208333,9.593278463648833,9.88870022539444,,,,
12,20180209.0,9.0,9.0,9.0,9.0,100.0,9.178531901041664,9.39551897576589,9.72711836623181,10.042857142857143,,,
13,20180208.0,9.5,9.5,9.5,9.5,100.0,9.339265950520833,9.430345983843926,9.685824117826028,9.970476190476193,,,
14,20180207.0,9.7,9.7,9.7,9.7,100.0,9.519632975260416,9.520230655895949,9.68840155094857,9.934412698412698,,,
15,20180109.0,8.5,8.5,8.5,8.5,100.0,9.009816487630207,9.180153770597299,9.47232854168519,9.743157671957672,,,
16,20180105.0,8.5,8.0,8.5,8.0,1100.0,8.754908243815102,8.953435847064867,9.295541534106068,9.577403315696648,,,
17,20171220.0,8.9,8.9,8.9,8.9,100.0,8.827454121907552,8.935623898043245,9.223624891541329,9.487082873603761,,,
18,20171218.0,7.7,8.0,8.0,7.7,1800.0,8.263727060953777,8.523749265362163,8.94660218398836,9.248805157123261,9.669999999999998,,
19,20171215.0,9.0,9.0,9.0,9.0,100.0,8.631863530476888,8.682499510241444,8.95631087780866,9.21563113617349,9.606190476190477,,
20,20171201.0,8.0,8.099999999999998,8.099999999999998,8.0,300.0,8.315931765238444,8.454999673494294,8.782436172752538,9.053546984683694,9.453219954648524,,
21,20171113.0,7.5,7.5,7.5,7.5,700.0,7.907965882619222,8.136666448996197,8.549265959524803,8.846407386725868,9.267199006586758,,
22,20171011.0,7.5,7.5,7.5,7.5,200.0,7.703982941309612,7.924444299330797,8.358490330520294,8.666886401829085,9.098894339292784,,
23,20170908.0,8.0,8.0,8.0,8.0,2900.0,7.851991470654803,7.949629532887198,8.293310270425696,8.57796821491854,8.994237735550616,,
24,20170825.0,8.0,8.0,8.0,8.0,2000.0,7.925995735327402,7.966419688591464,8.239981130348296,8.500905786262734,8.899548427402937,,
25,20170824.0,8.0,8.0,8.0,8.0,800.0,7.962997867663699,7.977613125727643,8.196348197557697,8.434118348094369,8.813877148602655,,
26,20170720.0,9.3,9.3,9.3,9.3,500.0,8.631498933831853,8.418408750485094,8.397012161638115,8.549569235015118,8.860174563021452,,
27,20170704.0,8.099999999999998,8.099999999999998,8.099999999999998,8.099999999999998,100.0,8.365749466915924,8.312272500323399,8.343009950431185,8.489626670346437,8.787776985590837,,
28,20170626.0,10.0,10.0,10.0,10.0,1000.0,9.182874733457961,8.874848333548929,8.644280868534608,8.69100978096691,8.90322679648695,,
