,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
0,20160613.0,3.0,3.0,3.0,3.0,150000.0,,,,,,,
1,20160610.0,3.0,3.0,3.0,3.0,22039.0,3.0,,,,,,
2,20160518.0,3.4,3.4,3.4,3.4,100.0,3.2,,,,,,
3,20160513.0,4.0,4.0,4.0,4.0,100.0,3.6,3.28,,,,,
4,20160512.0,4.5,4.5,4.5,4.5,100.0,4.05,3.6866666666666656,,,,,
5,20160510.0,5.2,5.2,5.2,5.2,100.0,4.625,4.191111111111111,,,,,
6,20160509.0,6.1,6.1,6.1,6.1,100.0,5.3625,4.827407407407407,,,,,
7,20160505.0,7.1,7.1,7.1,7.1,100.0,6.231249999999999,5.584938271604938,,,,,
8,20160504.0,7.1,7.1,7.1,7.1,1900.0,6.665625,6.089958847736625,4.64,,,,
9,20160429.0,6.3,6.3,6.3,6.3,100.0,6.4828125,6.15997256515775,4.941818181818181,,,,
10,20160428.0,5.6,5.6,5.6,5.6,100.0,6.04140625,5.9733150434385,5.061487603305785,,,,
11,20160427.0,5.0,5.0,5.0,5.0,12268.0,5.520703124999999,5.648876695625666,5.050308039068369,,,,
12,20160426.0,5.6,5.6,5.6,5.6,100.0,5.5603515625,5.632584463750444,5.15025203196503,4.921428571428571,,,
13,20160425.0,6.5,6.5,6.5,6.5,340.0,6.030175781249999,5.921722975833629,5.395660753425932,5.131904761904761,,,
14,20160422.0,7.599999999999999,7.599999999999999,7.599999999999999,7.599999999999999,340.0,6.815087890624999,6.4811486505557525,5.79644970734849,5.460984126984126,,,
15,20160413.0,8.9,8.9,8.9,8.9,100.0,7.857543945312499,7.287432433703835,6.3607315787396725,5.919519576719576,,,
16,20160411.0,7.9,7.9,7.9,7.9,100.0,7.878771972656249,7.491621622469224,6.640598564423369,6.1835836331569665,,,
17,20160408.0,7.0,7.0,7.0,7.0,100.0,7.439385986328125,7.327747748312813,6.705944279982757,6.292439148736037,,,
18,20160407.0,6.2,6.2,6.2,6.2,100.0,6.819692993164062,6.951831832208544,6.6139544108949835,6.280113928904566,5.65,,
19,20160405.0,5.6,5.6,5.6,5.6,100.0,6.209846496582031,6.501221221472361,6.429599063459532,6.189432071717289,5.645238095238096,,
20,20160404.0,5.0,5.0,5.0,5.0,400.0,5.604923248291016,6.00081414764824,6.1696719610123445,6.030841128821653,5.583786848072561,,
21,20160401.0,5.0,5.0,5.0,5.0,13008.0,5.302461624145508,5.667209431765494,5.957004331737373,5.893395644978765,5.528188100637081,,
22,20160317.0,4.4,4.4,4.4,4.4,100.0,4.851230812072754,5.244806287843664,5.6739126350578495,5.694276225648263,5.42074161486212,,
23,20151217.0,7.3,7.3,7.3,7.3,100.0,6.075615406036377,5.929870858562443,5.969564883229151,5.90837272889516,5.59971860392287,,
24,20151216.0,6.5,6.5,6.5,6.5,100.0,6.2878077030181885,6.119913905708296,6.0660076317329406,5.987256365042473,5.685459689263549,,
25,20151214.0,5.9,5.9,5.9,5.9,100.0,6.093903851509094,6.046609270472197,6.035824425963316,5.97562218303681,5.705892099809878,,
26,20151208.0,5.3,5.3,5.3,5.3,100.0,5.696951925754547,5.79773951364813,5.902038166697258,5.88553922529857,5.667235709351794,,
27,20151203.0,4.7,4.7,4.7,4.7,100.0,5.198475962877273,5.431826342432087,5.683485772752302,5.727467328592093,5.575118022746862,,
28,20151202.0,4.1,4.1,4.1,4.1,100.0,4.649237981438636,4.987884228288058,5.39557926861552,5.510471684779815,5.434630592009065,,
